"Time","Drop","PolicyVerdict","Trace"
2023-03-13 12:00:00,0,1.26,90.5
2023-03-13 12:02:00,0,1.10,177
2023-03-13 12:04:00,0,1.26,89.3
2023-03-13 12:06:00,0,1.52,94.2
2023-03-13 12:08:00,0,1.10,88.2
2023-03-13 12:10:00,0.0600,1.26,89.3
2023-03-13 12:12:00,0,1.10,96.9
2023-03-13 12:14:00,0.0400,1.26,88.0
2023-03-13 12:16:00,0.0600,1.50,93.8
2023-03-13 12:18:00,0.0200,1.26,90.8
2023-03-13 12:20:00,0,1.30,88.7
2023-03-13 12:22:00,0,1.10,90.4
2023-03-13 12:24:00,0,1.24,89.2
2023-03-13 12:26:00,0,1.50,94.1
2023-03-13 12:28:00,0.0400,1.10,89
2023-03-13 12:30:00,0.0200,1.26,89.2
2023-03-13 12:32:00,0.0400,1.26,90.6
2023-03-13 12:34:00,0,1.26,134
2023-03-13 12:36:00,0.0600,1.50,93.1
2023-03-13 12:38:00,0.0400,1.26,89.1
2023-03-13 12:40:00,0.0600,1.12,89.5
2023-03-13 12:42:00,0.0400,1.26,90.1
2023-03-13 12:44:00,0.0400,1.10,213
2023-03-13 12:46:00,0,1.50,93.0
2023-03-13 12:48:00,0,1.26,90.6
2023-03-13 12:50:00,0,1.10,89.6
2023-03-13 12:52:00,0,1.10,89.5
2023-03-13 12:54:00,0.0400,1.26,198
2023-03-13 12:56:00,0.0200,1.48,92.4
2023-03-13 12:58:00,0.0600,1.26,90.8
2023-03-13 13:00:00,0.0200,1.10,88.7
2023-03-13 13:02:00,0.0200,1.26,91.8
2023-03-13 13:04:00,0.0400,1.26,115
2023-03-13 13:06:00,0.0600,1.64,95.8
2023-03-13 13:08:00,0.0400,1.26,91.2
2023-03-13 13:10:00,0,1.10,88.9
2023-03-13 13:12:00,0,1.26,92.4
2023-03-13 13:14:00,0,1.10,86.9
2023-03-13 13:16:00,0.0400,1.66,93.9
2023-03-13 13:18:00,0,1.26,89.1
2023-03-13 13:20:00,0.0400,1.10,87.8
2023-03-13 13:22:00,0.0200,1.26,91.9
2023-03-13 13:24:00,0.0200,1.10,88.4
2023-03-13 13:26:00,0.0400,1.66,108
2023-03-13 13:28:00,0.0200,1.10,88.5
2023-03-13 13:30:00,0.0200,1.24,90.1
2023-03-13 13:32:00,0.0200,1.10,90.1
2023-03-13 13:34:00,0,1.10,88.0
2023-03-13 13:36:00,0,1.68,192
2023-03-13 13:38:00,0,1.26,90.4
2023-03-13 13:40:00,0,1.26,88.0
2023-03-13 13:42:00,0.0600,1.26,91.9
2023-03-13 13:44:00,0,1.10,90.8
2023-03-13 13:46:00,0.0400,1.66,226
2023-03-13 13:48:00,0.0800,1.10,89.3
2023-03-13 13:50:00,0.100,1.26,90.3
2023-03-13 13:52:00,0.0200,1.26,90.1
2023-03-13 13:54:00,0.0400,1.10,90.3
2023-03-13 13:56:00,0.0200,1.66,146
2023-03-13 13:58:00,0,1.10,88.1
2023-03-13 14:00:00,0,1.10,88
2023-03-13 14:02:00,0,1.26,89.8
2023-03-13 14:04:00,0.0200,1.24,90.5
2023-03-13 14:06:00,0,1.84,95.5
2023-03-13 14:08:00,0,1.10,88.3
2023-03-13 14:10:00,0,1.26,88.6
2023-03-13 14:12:00,0,1.12,89.0
2023-03-13 14:14:00,0.0600,1.26,87.9
2023-03-13 14:16:00,0.0200,1.50,92.0
2023-03-13 14:18:00,0.0400,1.10,89.3
2023-03-13 14:20:00,0,1.26,88.6
2023-03-13 14:22:00,0,1.12,89.8
2023-03-13 14:24:00,0,1.26,89.2
2023-03-13 14:26:00,0,1.66,93.8
2023-03-13 14:28:00,0.0200,1.10,156
2023-03-13 14:30:00,0.0600,1.26,90.8
2023-03-13 14:32:00,0,1.10,90.1
2023-03-13 14:34:00,0.120,1.10,89.0
2023-03-13 14:36:00,0.0400,1.66,93.1
2023-03-13 14:38:00,0.0200,1.24,218
2023-03-13 14:40:00,0.0200,1.26,90.3
2023-03-13 14:42:00,0.0600,1.10,91.1
