"Time","10250/TCP","3000/TCP","443/TCP","53/UDP","6443/TCP","80/TCP","8079/TCP","8080/TCP","8181/TCP","8443/TCP","8500/TCP","8765/TCP","9093/TCP","9443/TCP"
2023-03-13 15:36:00,3.28,,1.88,1.80,6.62,9,3.22,2.58,2.14,,5.20,,1.70,
2023-03-13 15:38:00,3.50,,1.58,,6.28,8.64,3.30,2.52,2.10,,5.24,,1.60,1.68
2023-03-13 15:40:00,3.54,,,,6.20,8.88,3.34,2.58,2.18,43.5,5.16,,1.74,1.70
2023-03-13 15:42:00,3.40,,1.62,,6.28,8.88,3.32,2.50,2.06,,5.20,,1.68,1.68
2023-03-13 15:44:00,3.56,,1.70,,6.22,9.12,3.26,2.54,2.04,,5.14,,1.66,1.68
2023-03-13 15:46:00,3.58,,2.06,2.62,6.46,8.80,3.26,2.58,2.18,,5.20,,1.74,
2023-03-13 15:48:00,3.42,,1.58,,6.32,9.18,3.22,2.50,2.12,,5.18,,1.90,1.68
2023-03-13 15:50:00,3.44,1.52,,,6.26,9.24,3.22,2.50,2.08,,5.18,,1.78,1.72
2023-03-13 15:52:00,3.42,,1.62,,6.28,9.04,3.24,2.50,2.10,,5.12,,1.80,1.68
2023-03-13 15:54:00,3.42,,1.52,,6.32,9.04,3.30,2.60,2.12,,5.22,,1.74,1.68
2023-03-13 15:56:00,3.48,,1.88,2.34,6.20,8.98,3.26,2.44,2.02,,5.22,,1.76,
2023-03-13 15:58:00,3.44,,1.58,,6.16,9.04,3.20,2.48,2.14,,5.12,,1.66,1.66
2023-03-13 16:00:00,3.54,,1.52,,6.38,9.20,3.30,2.56,2.04,,5.14,,1.80,1.68
2023-03-13 16:02:00,3.32,,,1.76,6.06,12.6,3.22,2.58,2.06,3.42,5.16,,1.70,
2023-03-13 16:04:00,3.36,,1.52,,6.42,8.86,3.16,2.60,2.22,,5.20,,1.74,1.68
2023-03-13 16:06:00,3.60,,1.88,2.18,6.44,8.96,3.12,2.52,2.08,,5.22,,,1.66
2023-03-13 16:08:00,3.40,,1.66,,6.16,8.92,3.24,2.54,2.06,,5.20,,1.78,1.68
2023-03-13 16:10:00,3.42,,1.52,,6.40,8.78,3.22,2.54,1.88,,5.22,,1.76,1.68
2023-03-13 16:12:00,3.38,,,1.92,6.34,15.7,3.34,2.50,2.02,66.9,5.20,,1.72,
2023-03-13 16:14:00,3.50,,1.52,,6.14,8.80,3.20,2.54,2.16,,5.22,,1.74,1.66
2023-03-13 16:16:00,3.46,,1.88,2.18,6.54,9.18,3.32,2.50,2.10,,5.16,,,1.76
2023-03-13 16:18:00,3.36,,1.58,,6.20,9.12,3.26,2.56,2.10,,5.24,,1.66,1.68
2023-03-13 16:20:00,3.58,,1.52,,6.48,9.22,3.16,2.56,2.12,,5.24,,1.64,1.66
2023-03-13 16:22:00,3.40,,,,6.40,12.7,3.34,2.48,2.04,95.9,5.22,,1.76,1.70
2023-03-13 16:24:00,3.40,,1.52,,6.14,9.18,3.30,2.54,2.12,,5.20,,1.72,1.68
2023-03-13 16:26:00,3.54,,1.88,1.80,6.54,9.18,3.26,2.62,2.14,,5.18,,,1.76
2023-03-13 16:28:00,3.38,,1.58,,6.10,9.14,3.18,2.52,2.18,,5.24,,1.76,1.68
2023-03-13 16:30:00,3.44,,1.52,,6.36,9.34,3.18,2.62,2.02,,5.18,,1.70,1.68
2023-03-13 16:32:00,3.38,,,,6.50,8.96,3.38,2.58,2.06,32.8,5.22,,1.72,1.68
2023-03-13 16:34:00,3.36,,1.52,,6.20,9,3.20,2.46,2.12,,5.20,,1.72,1.68
2023-03-13 16:36:00,3.56,,1.88,2.16,6.46,8.92,3.22,2.48,2.08,,5.18,,1.76,
2023-03-13 16:38:00,3.38,,1.58,,6.24,8.98,3.20,2.54,2.10,,5.20,,1.78,1.68
2023-03-13 16:40:00,3.56,1.54,,,6.32,9.02,3.22,2.48,1.98,,5.14,,1.58,1.68
2023-03-13 16:42:00,3.24,,1.88,,6.16,8.62,3.08,2.58,2.10,,5.20,,1.70,1.68
2023-03-13 16:44:00,3.40,,1.70,,6.26,8.98,3.32,2.54,2.02,,5.14,,1.70,1.68
2023-03-13 16:46:00,3.46,,2.06,2.22,6.42,8.68,3.08,2.48,2.02,,5.18,,1.76,
2023-03-13 16:48:00,3.32,,1.58,,6.16,8.82,3.06,2.54,2.06,,5.14,,1.74,1.68
2023-03-13 16:50:00,3.46,,1.52,,6.46,8.98,2.94,2.54,1.92,,5.10,,1.62,1.68
2023-03-13 16:52:00,3.36,,1.62,,6.30,8.88,3.24,2.56,2.04,,5.08,,1.68,1.68
2023-03-13 16:54:00,3.48,,,,6.06,16.0,3.24,2.52,2.08,13.2,5.22,,1.68,1.68
2023-03-13 16:56:00,3.62,,1.88,2.18,6.28,8.58,3.30,2.54,2.10,,5.24,,,1.68
2023-03-13 16:58:00,3.44,,1.58,,6.26,8.48,3.32,2.56,2.10,,5.24,,1.74,1.70
2023-03-13 17:00:00,3.58,1.52,,,6.26,8.96,3.24,2.52,2.14,,5.22,,1.74,1.68
