"Time","avg","min","max"
2023-03-13 12:00:00,91.7,91.7,91.7
2023-03-13 12:02:00,178,178,178
2023-03-13 12:04:00,90.6,90.6,90.6
2023-03-13 12:06:00,95.7,95.7,95.7
2023-03-13 12:08:00,89.3,89.3,89.3
2023-03-13 12:10:00,90.6,90.6,90.6
2023-03-13 12:12:00,98.0,98.0,98.0
2023-03-13 12:14:00,89.3,89.3,89.3
2023-03-13 12:16:00,95.3,95.3,95.3
2023-03-13 12:18:00,92.1,92.1,92.1
2023-03-13 12:20:00,90.0,90.0,90.0
2023-03-13 12:22:00,91.5,91.5,91.5
2023-03-13 12:24:00,90.4,90.4,90.4
2023-03-13 12:26:00,95.6,95.6,95.6
2023-03-13 12:28:00,90.1,90.1,90.1
2023-03-13 12:30:00,90.5,90.5,90.5
2023-03-13 12:32:00,91.9,91.9,91.9
2023-03-13 12:34:00,135,135,135
2023-03-13 12:36:00,94.7,94.7,94.7
2023-03-13 12:38:00,90.4,90.4,90.4
2023-03-13 12:40:00,90.7,90.7,90.7
2023-03-13 12:42:00,91.4,91.4,91.4
2023-03-13 12:44:00,214,214,214
2023-03-13 12:46:00,94.5,94.5,94.5
2023-03-13 12:48:00,91.9,91.9,91.9
2023-03-13 12:50:00,90.7,90.7,90.7
2023-03-13 12:52:00,90.6,90.6,90.6
2023-03-13 12:54:00,199,199,199
2023-03-13 12:56:00,93.9,93.9,93.9
2023-03-13 12:58:00,92.1,92.1,92.1
2023-03-13 13:00:00,89.9,89.9,89.9
2023-03-13 13:02:00,93.1,93.1,93.1
2023-03-13 13:04:00,116,116,116
2023-03-13 13:06:00,97.5,97.5,97.5
2023-03-13 13:08:00,92.5,92.5,92.5
2023-03-13 13:10:00,90.0,90.0,90.0
2023-03-13 13:12:00,93.6,93.6,93.6
2023-03-13 13:14:00,88.0,88.0,88.0
2023-03-13 13:16:00,95.6,95.6,95.6
2023-03-13 13:18:00,90.3,90.3,90.3
2023-03-13 13:20:00,88.9,88.9,88.9
2023-03-13 13:22:00,93.2,93.2,93.2
2023-03-13 13:24:00,89.5,89.5,89.5
2023-03-13 13:26:00,109,109,109
2023-03-13 13:28:00,89.6,89.6,89.6
2023-03-13 13:30:00,91.3,91.3,91.3
2023-03-13 13:32:00,91.2,91.2,91.2
2023-03-13 13:34:00,89.1,89.1,89.1
2023-03-13 13:36:00,193,193,193
2023-03-13 13:38:00,91.7,91.7,91.7
2023-03-13 13:40:00,89.3,89.3,89.3
2023-03-13 13:42:00,93.2,93.2,93.2
2023-03-13 13:44:00,91.9,91.9,91.9
2023-03-13 13:46:00,227,227,227
2023-03-13 13:48:00,90.5,90.5,90.5
2023-03-13 13:50:00,91.7,91.7,91.7
2023-03-13 13:52:00,91.4,91.4,91.4
2023-03-13 13:54:00,91.5,91.5,91.5
2023-03-13 13:56:00,148,148,148
2023-03-13 13:58:00,89.2,89.2,89.2
2023-03-13 14:00:00,89.1,89.1,89.1
2023-03-13 14:02:00,91.0,91.0,91.0
2023-03-13 14:04:00,91.7,91.7,91.7
2023-03-13 14:06:00,97.3,97.3,97.3
2023-03-13 14:08:00,89.4,89.4,89.4
2023-03-13 14:10:00,89.9,89.9,89.9
2023-03-13 14:12:00,90.1,90.1,90.1
2023-03-13 14:14:00,89.2,89.2,89.2
2023-03-13 14:16:00,93.5,93.5,93.5
2023-03-13 14:18:00,90.4,90.4,90.4
2023-03-13 14:20:00,89.8,89.8,89.8
2023-03-13 14:22:00,90.9,90.9,90.9
2023-03-13 14:24:00,90.5,90.5,90.5
2023-03-13 14:26:00,95.5,95.5,95.5
2023-03-13 14:28:00,158,158,158
2023-03-13 14:30:00,92.2,92.2,92.2
2023-03-13 14:32:00,91.2,91.2,91.2
2023-03-13 14:34:00,90.2,90.2,90.2
2023-03-13 14:36:00,94.8,94.8,94.8
2023-03-13 14:38:00,220,220,220
2023-03-13 14:40:00,91.5,91.5,91.5
2023-03-13 14:42:00,92.3,92.3,92.3
2023-03-13 14:44:00,92.3,92.3,92.3
2023-03-13 14:46:00,93.6,93.6,93.6
2023-03-13 14:48:00,159,159,159
2023-03-13 14:50:00,89.1,89.1,89.1
2023-03-13 14:52:00,90.0,90.0,90.0
2023-03-13 14:54:00,90.4,90.4,90.4
2023-03-13 14:56:00,94.9,94.9,94.9
2023-03-13 14:58:00,90.9,90.9,90.9
2023-03-13 15:00:00,89.7,89.7,89.7
2023-03-13 15:02:00,93.0,93.0,93.0
2023-03-13 15:04:00,90.5,90.5,90.5
2023-03-13 15:06:00,94.3,94.3,94.3
2023-03-13 15:08:00,89.5,89.5,89.5
2023-03-13 15:10:00,88.9,88.9,88.9
2023-03-13 15:12:00,89.5,89.5,89.5
2023-03-13 15:14:00,90.8,90.8,90.8
2023-03-13 15:16:00,93.1,93.1,93.1
2023-03-13 15:18:00,90.2,90.2,90.2
2023-03-13 15:20:00,168,168,168
2023-03-13 15:22:00,91.1,91.1,91.1
2023-03-13 15:24:00,90.9,90.9,90.9
2023-03-13 15:26:00,95.6,95.6,95.6
2023-03-13 15:28:00,90.0,90.0,90.0
2023-03-13 15:30:00,223,223,223
2023-03-13 15:32:00,91.4,91.4,91.4
2023-03-13 15:34:00,89.3,89.3,89.3
2023-03-13 15:36:00,96.9,96.9,96.9
2023-03-13 15:38:00,90.4,90.4,90.4
2023-03-13 15:40:00,139,139,139
2023-03-13 15:42:00,91.9,91.9,91.9
2023-03-13 15:44:00,92.9,92.9,92.9
2023-03-13 15:46:00,97.4,97.4,97.4
2023-03-13 15:48:00,92.5,92.5,92.5
2023-03-13 15:50:00,90.7,90.7,90.7
2023-03-13 15:52:00,91.4,91.4,91.4
2023-03-13 15:54:00,90.7,90.7,90.7
2023-03-13 15:56:00,95.4,95.4,95.4
2023-03-13 15:58:00,90.7,90.7,90.7
2023-03-13 16:00:00,90.6,90.6,90.6
2023-03-13 16:02:00,103,103,103
2023-03-13 16:04:00,90.0,90.0,90.0
2023-03-13 16:06:00,95.8,95.8,95.8
2023-03-13 16:08:00,89.4,89.4,89.4
2023-03-13 16:10:00,88.7,88.7,88.7
2023-03-13 16:12:00,187,187,187
2023-03-13 16:14:00,89.1,89.1,89.1
2023-03-13 16:16:00,95.7,95.7,95.7
2023-03-13 16:18:00,91.5,91.5,91.5
2023-03-13 16:20:00,90.6,90.6,90.6
2023-03-13 16:22:00,211,211,211
2023-03-13 16:24:00,89.6,89.6,89.6
2023-03-13 16:26:00,95.3,95.3,95.3
2023-03-13 16:28:00,91.2,91.2,91.2
2023-03-13 16:30:00,91.5,91.5,91.5
2023-03-13 16:32:00,129,129,129
2023-03-13 16:34:00,90.1,90.1,90.1
2023-03-13 16:36:00,95.7,95.7,95.7
2023-03-13 16:38:00,89.5,89.5,89.5
2023-03-13 16:40:00,91.2,91.2,91.2
2023-03-13 16:42:00,90.8,90.8,90.8
2023-03-13 16:44:00,91.5,91.5,91.5
2023-03-13 16:46:00,95.3,95.3,95.3
2023-03-13 16:48:00,89.4,89.4,89.4
2023-03-13 16:50:00,91.4,91.4,91.4
2023-03-13 16:52:00,91.9,91.9,91.9
2023-03-13 16:54:00,122,122,122
2023-03-13 16:56:00,93.3,93.3,93.3
2023-03-13 16:58:00,89.6,89.6,89.6
2023-03-13 17:00:00,91.3,91.3,91.3
2023-03-13 17:02:00,90.9,90.9,90.9
2023-03-13 17:04:00,204,204,204
2023-03-13 17:06:00,97.5,97.5,97.5
2023-03-13 17:08:00,89.0,89.0,89.0
2023-03-13 17:10:00,90.3,90.3,90.3
2023-03-13 17:12:00,91.8,91.8,91.8
2023-03-13 17:14:00,191,191,191
2023-03-13 17:16:00,95.2,95.2,95.2
2023-03-13 17:18:00,91.2,91.2,91.2
2023-03-13 17:20:00,91.5,91.5,91.5
2023-03-13 17:22:00,91.8,91.8,91.8
2023-03-13 17:24:00,108,108,108
2023-03-13 17:26:00,94.9,94.9,94.9
2023-03-13 17:28:00,90.0,90.0,90.0
2023-03-13 17:30:00,90.9,90.9,90.9
2023-03-13 17:32:00,90.6,90.6,90.6
2023-03-13 17:34:00,91.0,91.0,91.0
2023-03-13 17:36:00,94.6,94.6,94.6
2023-03-13 17:38:00,91.6,91.6,91.6
2023-03-13 17:40:00,92.3,92.3,92.3
2023-03-13 17:42:00,89.9,89.9,89.9
2023-03-13 17:44:00,93.0,93.0,93.0
2023-03-13 17:46:00,138,138,138
2023-03-13 17:48:00,91.4,91.4,91.4
2023-03-13 17:50:00,90.2,90.2,90.2
2023-03-13 17:52:00,90.3,90.3,90.3
2023-03-13 17:54:00,92.2,92.2,92.2
2023-03-13 17:56:00,215,215,215
2023-03-13 17:58:00,90.7,90.7,90.7
2023-03-13 18:00:00,90.6,90.6,90.6
2023-03-13 18:02:00,90.6,90.6,90.6
