"Time","unreachable nodes","unreachable nodes","unreachable nodes","unreachable health endpoints","unreachable health endpoints","unreachable health endpoints"
2023-03-11 09:30:00,0,0,0,0,0,0
2023-03-11 09:32:00,0,0,0,0,0,0
2023-03-11 09:34:00,0,0,0,0,0,0
2023-03-11 09:36:00,0,0,0,0,0,0
2023-03-11 09:38:00,0,0,0,0,0,0
2023-03-11 09:40:00,0,0,0,0,0,0
2023-03-11 09:42:00,0,0,0,0,0,0
2023-03-11 09:44:00,0,0,0,0,0,0
2023-03-11 09:46:00,0,0,0,0,0,0
2023-03-11 09:48:00,0,0,0,0,0,0
2023-03-11 09:50:00,0,0,0,0,0,0
2023-03-11 09:52:00,0,0,0,0,0,0
2023-03-11 09:54:00,0,0,0,0,0,0
2023-03-11 09:56:00,0,0,0,0,0,0
2023-03-11 09:58:00,0,0,0,0,0,0
2023-03-11 10:00:00,0,0,0,0,0,0
2023-03-11 10:02:00,0,0,0,0,0,0
2023-03-11 10:04:00,0,0,0,0,0,0
2023-03-11 10:06:00,0,0,0,0,0,0
2023-03-11 10:08:00,0,0,0,0,0,0
2023-03-11 10:10:00,0,0,0,0,0,0
2023-03-11 10:12:00,0,0,0,0,0,0
2023-03-11 10:14:00,0,0,0,0,0,0
2023-03-11 10:16:00,0,0,0,0,0,0
2023-03-11 10:18:00,0,0,0,0,0,0
2023-03-11 10:20:00,0,0,0,0,0,0
2023-03-11 10:22:00,0,0,0,0,0,0
2023-03-11 10:24:00,0,0,0,0,0,0
2023-03-11 10:26:00,0,0,0,0,0,0
2023-03-11 10:28:00,0,0,0,0,0,0
2023-03-11 10:30:00,0,0,0,0,0,0
2023-03-11 10:32:00,0,0,0,0,0,0
2023-03-11 10:34:00,0,0,0,0,0,0
2023-03-11 10:36:00,0,0,0,0,0,0
2023-03-11 10:38:00,0,0,0,0,0,0
2023-03-11 10:40:00,0,0,0,0,0,0
2023-03-11 10:42:00,0,0,0,0,0,0
2023-03-11 10:44:00,0,0,0,0,0,0
2023-03-11 10:46:00,0,0,0,0,0,0
2023-03-11 10:48:00,0,0,0,0,0,0
2023-03-11 10:50:00,0,0,0,0,0,0
2023-03-11 10:52:00,0,0,0,0,0,0
2023-03-11 10:54:00,0,0,0,0,0,0
2023-03-11 10:56:00,0,0,0,0,0,0
2023-03-11 10:58:00,0,0,0,0,0,0
2023-03-11 11:00:00,0,0,0,0,0,0
2023-03-11 11:02:00,0,0,0,0,0,0
2023-03-11 11:04:00,0,0,0,0,0,0
2023-03-11 11:06:00,0,0,0,0,0,0
2023-03-11 11:08:00,0,0,0,0,0,0
2023-03-11 11:10:00,0,0,0,0,0,0
2023-03-11 11:12:00,0,0,0,0,0,0
2023-03-11 11:14:00,0,0,0,0,0,0
2023-03-11 11:16:00,0,0,0,0,0,0
2023-03-11 11:18:00,0,0,0,0,0,0
2023-03-11 11:20:00,0,0,0,0,0,0
2023-03-11 11:22:00,0,0,0,0,0,0
2023-03-11 11:24:00,0,0,0,0,0,0
2023-03-11 11:26:00,0,0,0,0,0,0
2023-03-11 11:28:00,0,0,0,0,0,0
2023-03-11 11:30:00,0,0,0,0,0,0
2023-03-11 11:32:00,0,0,0,0,0,0
2023-03-11 11:34:00,0,0,0,0,0,0
2023-03-11 11:36:00,0,0,0,0,0,0
2023-03-11 11:38:00,0,0,0,0,0,0
2023-03-11 11:40:00,0,0,0,0,0,0
2023-03-11 11:42:00,0,0,0,0,0,0
2023-03-11 11:44:00,0,0,0,0,0,0
2023-03-11 11:46:00,0,0,0,0,0,0
2023-03-11 11:48:00,0,0,0,0,0,0
2023-03-11 11:50:00,0,0,0,0,0,0
2023-03-11 11:52:00,0,0,0,0,0,0
2023-03-11 11:54:00,0,0,0,0,0,0
2023-03-11 11:56:00,0,0,0,0,0,0
2023-03-11 11:58:00,0,0,0,0,0,0
2023-03-11 12:00:00,0,0,0,0,0,0
2023-03-11 12:02:00,0,0,0,0,0,0
2023-03-11 12:04:00,0,0,0,0,0,0
2023-03-11 12:06:00,0,0,0,0,0,0
