"Time","cattle-fleet-local-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-15 10:00:00,0,35485,5764,0,31947,0,0,0,15839
2023-03-15 10:04:00,0,548396,233435,0,287775,0,0,0,17193
2023-03-15 10:08:00,0,37696,309908,0,31886,0,0,0,16124
2023-03-15 10:12:00,0,32109,225844,0,30295,0,0,0,15356
2023-03-15 10:16:00,0,33395,228775,0,27449,0,0,0,17095
2023-03-15 10:20:00,0,38239,5894,0,68087,0,0,0,16053
2023-03-15 10:24:00,0,36002,227360,0,28520,0,0,0,16459
2023-03-15 10:28:00,0,35916,223922,0,31502,0,0,0,16115
2023-03-15 10:32:00,0,34373,229374,0,66717,0,0,0,15547
2023-03-15 10:36:00,0,32978,223474,0,31783,0,0,0,16938
2023-03-15 10:40:00,0,35809,5869,0,28601,0,0,0,15218
2023-03-15 10:44:00,0,35138,233819,0,29996,0,0,0,16618
2023-03-15 10:48:00,0,35177,233168,0,32583,0,0,0,15785
2023-03-15 10:52:00,0,35737,226656,0,29319,0,0,0,16640
2023-03-15 10:56:00,0,37801,219527,0,28974,0,0,0,16994
2023-03-15 11:00:00,0,36786,5969,0,32264,0,0,0,15361
2023-03-15 11:04:00,0,237270,227571,0,99985,0,0,0,16951
2023-03-15 11:08:00,0,36512,234019,0,31927,0,0,0,15398
2023-03-15 11:12:00,0,33925,219174,0,30040,0,0,0,15949
2023-03-15 11:16:00,0,34909,227889,0,29540,0,0,0,16452
2023-03-15 11:20:00,0,33764,6093,0,31687,0,0,0,16127
2023-03-15 11:24:00,0,33164,225184,0,29347,0,0,0,15662
2023-03-15 11:28:00,0,35876,228050,0,31346,0,0,0,16496
2023-03-15 11:32:00,0,34781,224831,0,65124,0,0,0,16094
2023-03-15 11:36:00,0,33279,228458,0,29669,0,0,0,16227
2023-03-15 11:40:00,0,34630,6012,0,31577,0,0,0,16379
2023-03-15 11:44:00,0,35250,228545,0,66261,0,0,0,15560
2023-03-15 11:48:00,0,34096,224406,0,29415,0,0,0,15929
2023-03-15 11:52:00,0,33844,228384,0,30884,0,0,0,16354
2023-03-15 11:56:00,0,35958,222988,0,27944,0,0,0,16184
2023-03-15 12:00:00,0,37455,5924,0,31112,0,0,0,16318
2023-03-15 12:04:00,0,1425887,229460,0,998489,0,0,0,15715
2023-03-15 12:08:00,0,35211,224485,0,29306,0,0,0,16222
2023-03-15 12:12:00,0,32760,234965,0,32106,0,0,0,15758
2023-03-15 12:16:00,0,36370,218361,0,29253,0,0,0,16620
2023-03-15 12:20:00,0,34997,5956,0,30839,0,0,0,16515
2023-03-15 12:24:00,0,34291,227745,0,32523,0,0,0,15522
2023-03-15 12:28:00,0,34282,230505,0,27693,0,0,0,16056
2023-03-15 12:32:00,0,34678,225935,0,68271,0,0,0,16273
2023-03-15 12:36:00,0,33951,227080,0,30733,0,0,0,16398
2023-03-15 12:40:00,0,34249,6054,0,28897,0,0,0,16224
2023-03-15 12:44:00,0,36808,232285,0,30454,0,0,0,15711
2023-03-15 12:48:00,0,31746,218595,0,31681,0,0,0,15798
2023-03-15 12:52:00,0,33974,235252,0,29431,0,0,0,16407
2023-03-15 12:56:00,0,34795,219713,0,26538,0,0,0,16096
2023-03-15 13:00:00,0,35289,5833,0,33489,0,0,0,16901
2023-03-15 13:04:00,0,247024,227547,0,100105,0,0,0,15129
2023-03-15 13:08:00,0,35428,232339,0,28692,0,0,0,16080
2023-03-15 13:12:00,0,37696,223810,0,31473,0,0,0,16348
2023-03-15 13:16:00,0,33813,229824,0,30990,0,0,0,16151
2023-03-15 13:20:00,0,32884,6018,0,27660,0,0,0,16441
2023-03-15 13:24:00,0,34555,224696,0,29890,0,0,0,15641
2023-03-15 13:28:00,0,33887,233475,0,31318,0,0,0,15413
2023-03-15 13:32:00,0,34596,227023,0,66408,0,0,0,16460
2023-03-15 13:36:00,0,35098,219540,0,28636,0,0,0,16433
2023-03-15 13:40:00,0,34485,5950,0,29747,0,0,0,15929
2023-03-15 13:44:00,0,34039,229777,0,68557,0,0,0,16088
2023-03-15 13:48:00,0,34141,226680,0,29544,0,0,0,15633
2023-03-15 13:52:00,0,36615,233431,0,30669,0,0,0,16635
2023-03-15 13:56:00,0,34475,219456,0,30274,0,0,0,16107
2023-03-15 14:00:00,0,37808,6026,0,30995,0,0,0,15929
2023-03-15 14:04:00,0,566246,226949,0,356924,0,0,0,16309
2023-03-15 14:08:00,0,34018,242612,0,29522,0,0,0,16039
2023-03-15 14:12:00,0,34015,224210,0,31720,0,0,0,16245
2023-03-15 14:16:00,0,34474,223045,0,31684,0,0,0,16245
2023-03-15 14:20:00,0,34653,5928,0,31023,0,0,0,16031
2023-03-15 14:24:00,0,34341,236099,0,31981,0,0,0,16140
2023-03-15 14:28:00,0,35287,222731,0,28600,0,0,0,15944
2023-03-15 14:32:00,0,33964,230150,0,66571,0,0,0,16615
2023-03-15 14:36:00,0,34767,222076,0,28595,0,0,0,16567
2023-03-15 14:40:00,0,35615,5890,0,32527,0,0,0,15708
2023-03-15 14:44:00,0,35953,229943,0,32500,0,0,0,16708
2023-03-15 14:48:00,0,35302,228269,0,31206,0,0,0,15665
2023-03-15 14:52:00,0,34469,227985,0,29577,0,0,0,16093
2023-03-15 14:56:00,0,34820,230045,0,30468,0,0,0,16858
2023-03-15 15:00:00,0,38470,5905,0,28452,0,0,0,15983
2023-03-15 15:04:00,0,241913,227708,0,100071,0,0,0,16090
2023-03-15 15:08:00,0,35162,225897,0,31204,0,0,0,15724
2023-03-15 15:12:00,0,33723,232950,0,30643,0,0,0,16165
2023-03-15 15:16:00,0,34914,222162,0,27883,0,0,0,16119
2023-03-15 15:20:00,0,35239,5932,0,30136,0,0,0,16155
2023-03-15 15:24:00,0,38292,228055,0,29941,0,0,0,16035
2023-03-15 15:28:00,0,37097,224544,0,32168,0,0,0,16117
2023-03-15 15:32:00,0,35986,234054,0,64865,0,0,0,16298
2023-03-15 15:36:00,0,33114,223075,0,30510,0,0,0,16804
2023-03-15 15:40:00,0,35778,5922,0,33515,0,0,0,15736
2023-03-15 15:44:00,0,35591,235163,0,66617,0,0,0,16180
2023-03-15 15:48:00,0,34457,224103,0,29020,0,0,0,16035
2023-03-15 15:52:00,0,34762,230307,0,30648,0,0,0,16150
2023-03-15 15:56:00,0,35120,219889,0,29710,0,0,0,16489
2023-03-15 16:00:00,0,33744,5991,0,29266,0,0,0,15667
2023-03-15 16:04:00,0,558135,228906,0,336862,0,0,0,16161
2023-03-15 16:08:00,0,34149,233022,0,28581,0,0,0,16533
2023-03-15 16:12:00,0,35069,224724,0,33391,0,0,0,15821
2023-03-15 16:16:00,0,35287,218511,0,30260,0,0,0,16639
2023-03-15 16:20:00,0,32335,6037,0,30902,0,0,0,15920
2023-03-15 16:24:00,0,37092,228313,0,30493,0,0,0,15591
2023-03-15 16:28:00,0,34182,227871,0,31134,0,0,0,16544
2023-03-15 16:32:00,0,32098,231243,0,62700,0,0,0,16200
2023-03-15 16:36:00,0,34231,221733,0,33123,0,0,0,15745
2023-03-15 16:40:00,0,34912,5940,0,29908,0,0,0,16928
2023-03-15 16:44:00,0,36772,230252,0,31472,0,0,0,15453
2023-03-15 16:48:00,0,33713,228810,0,28924,0,0,0,16286
2023-03-15 16:52:00,0,34244,228570,0,32065,0,0,0,16134
2023-03-15 16:56:00,0,32691,220048,0,29125,0,0,0,15919
2023-03-15 17:00:00,0,34492,5882,0,29938,0,0,0,16619
2023-03-15 17:04:00,0,243260,228632,0,100240,0,0,0,16007
2023-03-15 17:08:00,0,34372,232905,0,26960,0,0,0,16036
