"Time","ICMPv4","TCP","UDP"
2023-02-22 16:56:00,0.180,143,2.72
2023-02-22 16:58:00,0.180,48.1,0.0400
2023-02-22 17:00:00,0.180,48.5,1.68
2023-02-22 17:02:00,0.180,47.2,0.0800
2023-02-22 17:04:00,0.180,47.8,0.440
2023-02-22 17:06:00,0.180,152,2.38
2023-02-22 17:08:00,0.180,47.6,0.440
2023-02-22 17:10:00,0.180,48.3,1.34
2023-02-22 17:12:00,0.180,47.3,0.440
2023-02-22 17:14:00,0.180,48.0,0.0800
2023-02-22 17:16:00,0.180,151,2.74
2023-02-22 17:18:00,0.180,47.6,0.320
2023-02-22 17:20:00,0.180,47.5,1.44
2023-02-22 17:22:00,0.180,46.7,0.400
2023-02-22 17:24:00,0.180,47.4,0.160
2023-02-22 17:26:00,0.180,142,1.82
2023-02-22 17:28:00,0.180,47.0,0.0400
2023-02-22 17:30:00,0.180,47.5,1.46
2023-02-22 17:32:00,0.180,46.6,0.0800
2023-02-22 17:34:00,0.180,47.7,0.420
2023-02-22 17:36:00,0.180,120,0.620
2023-02-22 17:38:00,0.180,47.3,0.440
2023-02-22 17:40:00,0.180,47.7,1.60
2023-02-22 17:42:00,0.180,46.7,0.440
2023-02-22 17:44:00,0.180,46.8,0.0800
2023-02-22 17:46:00,0.180,102,1
2023-02-22 17:48:00,0.180,47.2,0.420
2023-02-22 17:50:00,0.180,46.9,1.34
2023-02-22 17:52:00,0.180,46.5,0.400
2023-02-22 17:54:00,0.180,47.0,0.0400
2023-02-22 17:56:00,0.180,82.7,0.940
2023-02-22 17:58:00,0.180,46.8,0.0400
2023-02-22 18:00:00,0.180,47.0,1.48
2023-02-22 18:02:00,0.180,46.0,0.0800
2023-02-22 18:04:00,0.180,46.7,0.440
2023-02-22 18:06:00,0.180,64.4,0.620
2023-02-22 18:08:00,0.180,45.8,0.440
2023-02-22 18:10:00,0.180,46.2,1.68
2023-02-22 18:12:00,0.180,46.1,0.440
2023-02-22 18:14:00,0.180,46.7,0.320
2023-02-22 18:16:00,0.180,47.6,0.980
2023-02-22 18:18:00,0.180,46.2,0.440
2023-02-22 18:20:00,0.180,46.2,1.16
2023-02-22 18:22:00,0.180,46.2,0.400
2023-02-22 18:24:00,0.180,45.4,0.0400
2023-02-22 18:26:00,0.180,46.0,0.940
2023-02-22 18:28:00,0.180,46.2,0.0400
2023-02-22 18:30:00,0.180,46.4,1.44
2023-02-22 18:32:00,0.180,45.7,0.0800
2023-02-22 18:34:00,0.180,45.2,0.440
2023-02-22 18:36:00,0.180,45.4,0.620
2023-02-22 18:38:00,0.180,46.0,0.440
2023-02-22 18:40:00,0.180,45.8,1.60
2023-02-22 18:42:00,0.180,44.6,0.440
2023-02-22 18:44:00,0.180,45.9,0.440
2023-02-22 18:46:00,0.180,45.6,0.940
2023-02-22 18:48:00,0.180,45.6,0.440
2023-02-22 18:50:00,0.180,45.8,1.08
2023-02-22 18:52:00,0.180,45.1,0.400
2023-02-22 18:54:00,0.180,45.1,0.0400
2023-02-22 18:56:00,0.180,45.7,0.960
2023-02-22 18:58:00,0.180,45.5,0.0400
2023-02-22 19:00:00,0.180,45.2,1.38
2023-02-22 19:02:00,0.180,45.1,0.0800
2023-02-22 19:04:00,0.180,45.1,0.440
2023-02-22 19:06:00,0.180,44.7,0.620
2023-02-22 19:08:00,0.180,45.3,0.440
2023-02-22 19:10:00,0.180,44.8,1.10
2023-02-22 19:12:00,0.180,44.7,0.440
2023-02-22 19:14:00,0.180,45.4,0.440
2023-02-22 19:16:00,0.180,44.8,0.740
2023-02-22 19:18:00,0.180,62.0,1.82
2023-02-22 19:20:00,0.180,45.3,1.10
2023-02-22 19:22:00,0.180,44.4,0.400
2023-02-22 19:24:00,0.180,45,0.0400
2023-02-22 19:26:00,0.180,44.4,0.940
2023-02-22 19:28:00,0.180,79.9,1.80
2023-02-22 19:30:00,0.180,45.0,1.42
2023-02-22 19:32:00,0.180,43.9,0.0800
2023-02-22 19:34:00,0.180,45.1,0.440
2023-02-22 19:36:00,0.180,44.4,0.640
2023-02-22 19:38:00,0.180,96.8,2.20
2023-02-22 19:40:00,0.180,45.3,1.84
2023-02-22 19:42:00,0.180,44.5,0.440
2023-02-22 19:44:00,0.180,44.6,0.440
2023-02-22 19:46:00,0.180,44.2,0.760
2023-02-22 19:48:00,0.180,125,2.18
2023-02-22 19:50:00,0.180,44.4,1.10
2023-02-22 19:52:00,0.180,44.2,0.400
2023-02-22 19:54:00,0.180,44.9,0.0400
2023-02-22 19:56:00,0.180,44.6,0.960
2023-02-22 19:58:00,0.180,141,1.80
2023-02-22 20:00:00,0.180,44.9,1.44
2023-02-22 20:02:00,0.180,45.9,0.0800
2023-02-22 20:04:00,0.180,45.8,0.440
2023-02-22 20:06:00,0.180,45.2,0.620
2023-02-22 20:08:00,0.180,152,2.20
2023-02-22 20:10:00,0.180,48.1,1.46
2023-02-22 20:12:00,0.180,47.6,0.440
2023-02-22 20:14:00,0.180,48.0,0.440
2023-02-22 20:16:00,0.180,47.8,0.600
2023-02-22 20:18:00,0.180,151,2.20
2023-02-22 20:20:00,0.180,47.9,1.08
2023-02-22 20:22:00,0.180,47.4,0.400
2023-02-22 20:24:00,0.180,47.7,0.0400
2023-02-22 20:26:00,0.180,47.6,0.940
2023-02-22 20:28:00,0.180,131,0.0400
2023-02-22 20:30:00,0.180,47.8,1.42
2023-02-22 20:32:00,0.180,47.1,0.0800
2023-02-22 20:34:00,0.180,47.1,0.440
