"Time","to-endpoint","to-overlay","to-stack"
2023-02-22 15:14:00,51.1,14.3,27.1
2023-02-22 15:16:00,48.4,10.0,27.0
2023-02-22 15:18:00,47.8,10.3,27.0
2023-02-22 15:20:00,48.5,11.8,26.9
2023-02-22 15:22:00,48.0,9.84,27
2023-02-22 15:24:00,47.7,11.9,26.9
2023-02-22 15:26:00,48.5,11.1,27.0
2023-02-22 15:28:00,47.3,10.1,26.9
2023-02-22 15:30:00,49.3,11.8,27.3
2023-02-22 15:32:00,46.6,9.86,26.6
2023-02-22 15:34:00,48.0,11.9,26.8
2023-02-22 15:36:00,47.2,11.0,26.5
2023-02-22 15:38:00,48,10.3,26.8
2023-02-22 15:40:00,49.1,11.2,27.3
2023-02-22 15:42:00,47.5,10,26.6
2023-02-22 15:44:00,47.5,11.6,26.6
2023-02-22 15:46:00,47.9,12.0,26.7
2023-02-22 15:48:00,47.5,10.1,26.9
2023-02-22 15:50:00,48.4,12.2,27.1
2023-02-22 15:52:00,46.7,10.9,26.5
2023-02-22 15:54:00,46.7,14.1,26.3
2023-02-22 15:56:00,48.1,12.8,27.0
2023-02-22 15:58:00,46.2,10.7,26.5
2023-02-22 16:00:00,48.3,12.4,26.6
2023-02-22 16:02:00,46.8,10.5,26.5
2023-02-22 16:04:00,47.4,13.3,26.4
2023-02-22 16:06:00,46.7,14.8,26.4
2023-02-22 16:08:00,47.1,10.9,26.5
2023-02-22 16:10:00,47.5,12.3,26.4
2023-02-22 16:12:00,46.8,11.2,26.5
2023-02-22 16:14:00,46.9,13.0,26.5
2023-02-22 16:16:00,60.1,30.5,26.2
2023-02-22 16:18:00,46.3,11.0,26.3
2023-02-22 16:20:00,47.4,12.2,26.5
2023-02-22 16:22:00,46.2,11.8,26
2023-02-22 16:24:00,46.6,13.1,26.4
2023-02-22 16:26:00,66.7,44.7,26.4
2023-02-22 16:28:00,46.0,10.7,26.5
2023-02-22 16:30:00,48.1,12.5,26.7
2023-02-22 16:32:00,45.7,11.8,26.1
2023-02-22 16:34:00,46.8,13.3,26.3
2023-02-22 16:36:00,70.9,58.8,26.0
2023-02-22 16:38:00,46.0,10.9,26
2023-02-22 16:40:00,48.0,12.3,26.9
2023-02-22 16:42:00,45.7,12.6,25.8
2023-02-22 16:44:00,45.8,14.7,26.1
2023-02-22 16:46:00,77.1,72.9,25.9
2023-02-22 16:48:00,46.3,11.0,26.2
2023-02-22 16:50:00,48.5,12.5,26.9
2023-02-22 16:52:00,47.3,11.8,26.8
2023-02-22 16:54:00,47.2,12.7,26.6
2023-02-22 16:56:00,89.0,89.1,27.3
2023-02-22 16:58:00,48.5,11.4,27.6
2023-02-22 17:00:00,50.5,12.7,27.8
