"Time","Receive Errors","Receive Total","Transmit Errors","Receive Dropped","Transmit Dropped","Transmit Total"
2023-02-22 15:12:00,0,477,0,0,0,485
2023-02-22 15:14:00,0,444,0,0,0,458
2023-02-22 15:16:00,0,644,0,0,0,659
2023-02-22 15:18:00,0,465,0,0,0,462
2023-02-22 15:20:00,0,454,0,0,0,457
2023-02-22 15:22:00,0,462,0,0,0,473
2023-02-22 15:24:00,0,442,0,0,0,454
2023-02-22 15:26:00,0,651,0,0,0,668
2023-02-22 15:28:00,0,471,0,0,0,478
2023-02-22 15:30:00,0,443,0,0,0,456
2023-02-22 15:32:00,0,486,0,0,0,501
2023-02-22 15:34:00,0,436,0,0,0,452
2023-02-22 15:36:00,0,636,0,0,0,659
2023-02-22 15:38:00,0,478,0,0,0,490
2023-02-22 15:40:00,0,443,0,0,0,453
2023-02-22 15:42:00,0,470,0,0,0,481
2023-02-22 15:44:00,0,434,0,0,0,452
2023-02-22 15:46:00,0,634,0,0,0,658
2023-02-22 15:48:00,0,489,0,0,0,500
2023-02-22 15:50:00,0,441,0,0,0,455
2023-02-22 15:52:00,0,456,0,0,0,473
2023-02-22 15:54:00,0,444,0,0,0,462
2023-02-22 15:56:00,0,676,0,0,0,696
2023-02-22 15:58:00,0,559,0,0,0,568
2023-02-22 16:00:00,0,439,0,0,0,457
2023-02-22 16:02:00,0,456,0,0,0,474
2023-02-22 16:04:00,0,440,0,0,0,459
2023-02-22 16:06:00,0,630,0,0,0,656
2023-02-22 16:08:00,0,555,0,0,0,571
2023-02-22 16:10:00,0,444,0,0,0,455
2023-02-22 16:12:00,0,467,0,0,0,479
2023-02-22 16:14:00,0,444,0,0,0,463
2023-02-22 16:16:00,0,632,0,0,0,655
2023-02-22 16:18:00,0,622,0,0,0,632
2023-02-22 16:20:00,0,440,0,0,0,452
2023-02-22 16:22:00,0,454,0,0,0,471
2023-02-22 16:24:00,0,445,0,0,0,462
2023-02-22 16:26:00,0,637,0,0,0,657
2023-02-22 16:28:00,0,608,0,0,0,624
2023-02-22 16:30:00,0,443,0,0,0,457
2023-02-22 16:32:00,0,459,0,0,0,471
2023-02-22 16:34:00,0,457,0,0,0,469
2023-02-22 16:36:00,0,637,0,0,0,654
2023-02-22 16:38:00,0,629,0,0,0,642
2023-02-22 16:40:00,0,448,0,0,0,455
2023-02-22 16:42:00,0,469,0,0,0,475
2023-02-22 16:44:00,0,465,0,0,0,472
2023-02-22 16:46:00,0,674,0,0,0,684
2023-02-22 16:48:00,0,642,0,0,0,657
2023-02-22 16:50:00,0,448,0,0,0,455
2023-02-22 16:52:00,0,457,0,0,0,466
2023-02-22 16:54:00,0,467,0,0,0,474
2023-02-22 16:56:00,0,631,0,0,0,644
2023-02-22 16:58:00,0,649,0,0,0,664
2023-02-22 17:00:00,0,461,0,0,0,470
2023-02-22 17:02:00,0,454,0,0,0,460
2023-02-22 17:04:00,0,463,0,0,0,468
2023-02-22 17:06:00,0,617,0,0,0,631
2023-02-22 17:08:00,0,650,0,0,0,660
2023-02-22 17:10:00,0,462,0,0,0,462
2023-02-22 17:12:00,0,462,0,0,0,469
2023-02-22 17:14:00,0,494,0,0,0,501
2023-02-22 17:16:00,0,666,0,0,0,665
2023-02-22 17:18:00,0,782,0,0,0,728
2023-02-22 17:20:00,0,635,0,0,0,551
2023-02-22 17:22:00,0,495,0,0,0,482
2023-02-22 17:24:00,0,456,0,0,0,468
2023-02-22 17:26:00,0,582,0,0,0,599
2023-02-22 17:28:00,0,644,0,0,0,658
2023-02-22 17:30:00,0,458,0,0,0,469
2023-02-22 17:32:00,0,449,0,0,0,459
2023-02-22 17:34:00,0,459,0,0,0,466
2023-02-22 17:36:00,0,535,0,0,0,551
2023-02-22 17:38:00,0,663,0,0,0,681
2023-02-22 17:40:00,0,490,0,0,0,495
2023-02-22 17:42:00,0,457,0,0,0,466
2023-02-22 17:44:00,0,455,0,0,0,469
2023-02-22 17:46:00,0,515,0,0,0,529
2023-02-22 17:48:00,0,630,0,0,0,649
2023-02-22 17:50:00,0,454,0,0,0,465
2023-02-22 17:52:00,0,447,0,0,0,457
2023-02-22 17:54:00,0,462,0,0,0,470
2023-02-22 17:56:00,0,510,0,0,0,517
2023-02-22 17:58:00,0,667,0,0,0,679
2023-02-22 18:00:00,0,464,0,0,0,472
2023-02-22 18:02:00,0,463,0,0,0,462
2023-02-22 18:04:00,0,466,0,0,0,472
2023-02-22 18:06:00,0,562,0,0,0,505
2023-02-22 18:08:00,0,713,0,0,0,657
2023-02-22 18:10:00,0,474,0,0,0,475
2023-02-22 18:12:00,0,479,0,0,0,479
2023-02-22 18:14:00,0,462,0,0,0,466
2023-02-22 18:16:00,0,474,0,0,0,473
2023-02-22 18:18:00,0,634,0,0,0,643
2023-02-22 18:20:00,0,472,0,0,0,465
2023-02-22 18:22:00,0,462,0,0,0,462
2023-02-22 18:24:00,0,461,0,0,0,467
2023-02-22 18:26:00,0,505,0,0,0,511
2023-02-22 18:28:00,0,634,0,0,0,649
2023-02-22 18:30:00,0,462,0,0,0,472
2023-02-22 18:32:00,0,453,0,0,0,460
2023-02-22 18:34:00,0,453,0,0,0,459
2023-02-22 18:36:00,0,474,0,0,0,477
2023-02-22 18:38:00,0,630,0,0,0,643
2023-02-22 18:40:00,0,484,0,0,0,487
2023-02-22 18:42:00,0,474,0,0,0,478
2023-02-22 18:44:00,0,449,0,0,0,460
2023-02-22 18:46:00,0,470,0,0,0,475
2023-02-22 18:48:00,0,659,0,0,0,675
2023-02-22 18:50:00,0,483,0,0,0,494
2023-02-22 18:52:00,0,460,0,0,0,472
2023-02-22 18:54:00,0,437,0,0,0,452
2023-02-22 18:56:00,0,467,0,0,0,479
2023-02-22 18:58:00,0,629,0,0,0,648
2023-02-22 19:00:00,0,523,0,0,0,529
2023-02-22 19:02:00,0,479,0,0,0,472
2023-02-22 19:04:00,0,487,0,0,0,484
2023-02-22 19:06:00,0,505,0,0,0,505
2023-02-22 19:08:00,0,636,0,0,0,648
2023-02-22 19:10:00,0,559,0,0,0,564
2023-02-22 19:12:00,0,481,0,0,0,481
2023-02-22 19:14:00,0,452,0,0,0,455
2023-02-22 19:16:00,0,472,0,0,0,473
2023-02-22 19:18:00,0,646,0,0,0,654
2023-02-22 19:20:00,0,580,0,0,0,585
2023-02-22 19:22:00,0,464,0,0,0,471
2023-02-22 19:24:00,0,440,0,0,0,451
2023-02-22 19:26:00,0,505,0,0,0,506
2023-02-22 19:28:00,0,675,0,0,0,689
2023-02-22 19:30:00,0,591,0,0,0,607
2023-02-22 19:32:00,0,463,0,0,0,474
2023-02-22 19:34:00,0,444,0,0,0,457
2023-02-22 19:36:00,0,464,0,0,0,473
2023-02-22 19:38:00,0,642,0,0,0,661
2023-02-22 19:40:00,0,605,0,0,0,617
2023-02-22 19:42:00,0,478,0,0,0,481
2023-02-22 19:44:00,0,442,0,0,0,456
2023-02-22 19:46:00,0,463,0,0,0,473
2023-02-22 19:48:00,0,640,0,0,0,661
2023-02-22 19:50:00,0,620,0,0,0,644
2023-02-22 19:52:00,0,468,0,0,0,482
2023-02-22 19:54:00,0,438,0,0,0,452
2023-02-22 19:56:00,0,495,0,0,0,503
2023-02-22 19:58:00,0,624,0,0,0,647
2023-02-22 20:00:00,0,616,0,0,0,640
2023-02-22 20:02:00,0,457,0,0,0,472
2023-02-22 20:04:00,0,447,0,0,0,460
2023-02-22 20:06:00,0,460,0,0,0,469
2023-02-22 20:08:00,0,615,0,0,0,637
2023-02-22 20:10:00,0,623,0,0,0,642
2023-02-22 20:12:00,0,473,0,0,0,481
2023-02-22 20:14:00,0,448,0,0,0,465
2023-02-22 20:16:00,0,488,0,0,0,497
2023-02-22 20:18:00,0,646,0,0,0,660
2023-02-22 20:20:00,0,626,0,0,0,644
2023-02-22 20:22:00,0,462,0,0,0,473
2023-02-22 20:24:00,0,456,0,0,0,472
2023-02-22 20:26:00,0,457,0,0,0,465
2023-02-22 20:28:00,0,564,0,0,0,581
2023-02-22 20:30:00,0,610,0,0,0,635
2023-02-22 20:32:00,0,451,0,0,0,469
2023-02-22 20:34:00,0,448,0,0,0,466
2023-02-22 20:36:00,0,448,0,0,0,460
2023-02-22 20:38:00,0,529,0,0,0,549
2023-02-22 20:40:00,0,783,0,0,0,761
2023-02-22 20:42:00,0,792,0,0,0,750
2023-02-22 20:44:00,0,518,0,0,0,534
2023-02-22 20:46:00,0,484,0,0,0,493
2023-02-22 20:48:00,0,507,0,0,0,523
2023-02-22 20:50:00,0,633,0,0,0,658
2023-02-22 20:52:00,0,449,0,0,0,465
2023-02-22 20:54:00,0,446,0,0,0,464
2023-02-22 20:56:00,0,454,0,0,0,466
2023-02-22 20:58:00,0,486,0,0,0,500
2023-02-22 21:00:00,0,622,0,0,0,650
2023-02-22 21:02:00,0,444,0,0,0,462
2023-02-22 21:04:00,0,450,0,0,0,468
2023-02-22 21:06:00,0,451,0,0,0,462
2023-02-22 21:08:00,0,467,0,0,0,478
2023-02-22 21:10:00,0,639,0,0,0,657
2023-02-22 21:12:00,0,462,0,0,0,469
2023-02-22 21:14:00,0,486,0,0,0,499
2023-02-22 21:16:00,0,480,0,0,0,490
2023-02-22 21:18:00,0,469,0,0,0,476
2023-02-22 21:20:00,0,637,0,0,0,659
2023-02-22 21:22:00,0,447,0,0,0,465
2023-02-22 21:24:00,0,448,0,0,0,466
2023-02-22 21:26:00,0,457,0,0,0,467
2023-02-22 21:28:00,0,456,0,0,0,465
2023-02-22 21:30:00,0,662,0,0,0,687
2023-02-22 21:32:00,0,484,0,0,0,499
2023-02-22 21:34:00,0,450,0,0,0,469
2023-02-22 21:36:00,0,448,0,0,0,461
2023-02-22 21:38:00,0,444,0,0,0,458
2023-02-22 21:40:00,0,638,0,0,0,658
2023-02-22 21:42:00,0,482,0,0,0,493
2023-02-22 21:44:00,0,452,0,0,0,469
2023-02-22 21:46:00,0,454,0,0,0,466
2023-02-22 21:48:00,0,444,0,0,0,457
2023-02-22 21:50:00,0,634,0,0,0,663
2023-02-22 21:52:00,0,494,0,0,0,511
2023-02-22 21:54:00,0,450,0,0,0,467
2023-02-22 21:56:00,0,463,0,0,0,474
