"Time","0(172.16.66.106:10250)","0(172.16.66.106:6443)","200(172.16.66.106:10250)","200(172.16.66.106:6443)","201(172.16.66.106:10250)","201(172.16.66.106:6443)","403(172.16.66.106:10250)","403(172.16.66.106:6443)","404(172.16.66.106:10250)","404(172.16.66.106:6443)","409(172.16.66.106:10250)","409(172.16.66.106:6443)","422(172.16.66.106:10250)","422(172.16.66.106:6443)","500(172.16.66.106:10250)","500(172.16.66.106:6443)"
2023-02-22 11:00:00,0,0,18.9,19.0,0.355,0.350,0,0,0,0,0,0,0,0,0,0
2023-02-22 11:02:00,0,0,19.3,19.1,0.350,0.361,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 11:04:00,0,0,19.7,19.9,0.356,0.356,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 11:06:00,0,0,19.8,19.7,0.367,0.383,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 11:08:00,0,0,19.5,19.5,0.367,0.339,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 11:10:00,0,0,19.2,19.2,0.339,0.339,0,0,0,0,0,0,0,0,0,0
2023-02-22 11:12:00,0,0,19.9,19.9,0.367,0.361,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 11:14:00,0,0,19.5,19.9,0.372,0.361,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 11:16:00,0,0,19.9,19.7,0.350,0.372,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 11:18:00,0,0,19.7,19.7,0.356,0.356,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 11:20:00,0,0,19.3,19.3,0.361,0.372,0,0,0,0,0,0,0,0,0,0
2023-02-22 11:22:00,0,0,19.8,19.9,0.361,0.367,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 11:24:00,0,0,19.2,19.7,0.400,0.394,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 11:26:00,0,0,19.8,19.5,0.383,0.367,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 11:28:00,0,0,19.8,19.8,0.406,0.389,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 11:30:00,0,0,19.2,19.2,0.433,0.444,0,0,0,0,0,0,0,0,0,0
2023-02-22 11:32:00,0,0,19.7,19.4,0.383,0.406,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 11:34:00,0,0,19.3,19.7,0.372,0.367,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 11:36:00,0,0,19.5,19.4,0.450,0.411,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 11:38:00,0,0,19.7,19.6,0.639,0.600,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 11:40:00,0,0,19.3,19.4,0.539,0.550,0,0,0,0,0,0,0,0,0,0
2023-02-22 11:42:00,0,0,20.9,21.0,0.400,0.394,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 11:44:00,0,0,19.2,20.0,0.372,0.372,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 11:46:00,0,0,20.3,19.7,0.350,0.372,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 11:48:00,0,0,20.2,20.1,0.361,0.372,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 11:50:00,0,0,19.9,20.0,0.350,0.350,0,0,0,0,0,0,0,0,0,0
2023-02-22 11:52:00,0,0,19.7,19.8,0.367,0.356,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 11:54:00,0,0,19.3,19.5,0.383,0.361,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 11:56:00,0,0,19.8,19.5,0.344,0.333,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 11:58:00,0,0,19.6,19.6,0.361,0.344,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 12:00:00,0,0,19.2,19.3,0.333,0.356,0,0,0,0,0,0,0,0,0,0
2023-02-22 12:02:00,0,0,19.8,19.8,0.333,0.333,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 12:04:00,0,0,19.5,19.9,0.361,0.356,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 12:06:00,0,0,19.4,19.2,0.333,0.344,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 12:08:00,0,0,19.8,19.7,0.372,0.361,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 12:10:00,0,0,19.1,19.4,0.367,0.378,0,0,0,0,0,0,0,0,0,0
2023-02-22 12:12:00,0,0,19.9,20.0,0.400,0.378,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 12:14:00,0,0,19.6,19.8,0.439,0.422,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 12:16:00,0,0,19.4,19.1,0.328,0.339,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 12:18:00,0,0,19.7,19.8,0.428,0.400,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 12:20:00,0,0,19.4,19.6,0.389,0.411,0,0,0,0,0,0,0,0,0,0
2023-02-22 12:22:00,0,0,19.6,19.7,0.333,0.328,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 12:24:00,0,0,19.5,19.4,0.456,0.422,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 12:26:00,0,0,19.6,19.4,0.578,0.544,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 12:28:00,0,0,19.9,19.7,0.622,0.606,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 12:30:00,0,0,19.4,19.7,0.389,0.428,0,0,0,0,0,0,0,0,0,0
2023-02-22 12:32:00,0,0,19.4,19.4,0.328,0.333,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 12:34:00,0,0,19.5,19.7,0.383,0.372,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 12:36:00,0,0,19.7,19.5,0.350,0.389,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 12:38:00,0,0,19.8,19.7,0.344,0.322,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 12:40:00,0,0,19.3,19.3,0.378,0.383,0,0,0,0,0,0,0,0,0,0
2023-02-22 12:42:00,0,0,19.8,19.6,0.339,0.333,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 12:44:00,0,0,19.9,19.9,0.372,0.356,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 12:46:00,0,0,19.6,19.3,0.367,0.378,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 12:48:00,0,0,19.3,19.3,0.333,0.328,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 12:50:00,0,0,19.3,19.4,0.383,0.383,0,0,0,0,0,0,0,0,0,0
2023-02-22 12:52:00,0,0,19.7,19.6,0.333,0.361,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 12:54:00,0,0,19.8,19.8,0.367,0.344,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 12:56:00,0,0,19.2,19.3,0.372,0.367,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 12:58:00,0,0,19.8,19.8,0.344,0.322,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 13:00:00,0,0,19.6,19.7,0.383,0.389,0,0,0,0,0,0,0,0,0,0
2023-02-22 13:02:00,0,0,19.5,19.5,0.372,0.411,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 13:04:00,0,0,19.6,19.6,0.356,0.339,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 13:06:00,0,0,19.5,19.5,0.422,0.456,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 13:08:00,0,0,19.9,19.8,0.411,0.433,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 13:10:00,0,0,19.4,19.6,0.383,0.372,0,0,0,0,0,0,0,0,0,0
2023-02-22 13:12:00,0,0,19.5,19.5,0.422,0.406,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 13:14:00,0,0,19.8,19.8,0.517,0.467,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 13:16:00,0,0,19.4,19.3,0.639,0.628,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 13:18:00,0,0,19.8,19.7,0.428,0.478,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 13:20:00,0,0,19.5,19.7,0.344,0.350,0,0,0,0,0,0,0,0,0,0
2023-02-22 13:22:00,0,0,19.4,19.3,0.361,0.361,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 13:24:00,0,0,19.7,19.6,0.356,0.344,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 13:26:00,0,0,19.9,19.9,0.350,0.367,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 13:28:00,0,0,19.5,19.3,0.378,0.372,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 13:30:00,0,0,19.4,19.5,0.367,0.361,0,0,0,0,0,0,0,0,0,0
2023-02-22 13:32:00,0,0,19.6,19.6,0.372,0.378,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 13:34:00,0,0,19.7,19.8,0.361,0.361,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 13:36:00,0,0,19.4,19.3,0.361,0.339,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 13:38:00,0,0,19.6,19.3,0.367,0.361,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 13:40:00,0,0,19.8,19.9,0.344,0.350,0,0,0,0,0,0,0,0,0,0
2023-02-22 13:42:00,0,0,19.5,19.5,0.367,0.356,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 13:44:00,0,0,19.4,19.4,0.383,0.378,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 13:46:00,0,0,19.8,19.5,0.339,0.356,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 13:48:00,0,0,19.5,19.6,0.383,0.389,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 13:50:00,0,0,19.4,19.4,0.389,0.422,0,0,0,0,0,0,0,0,0,0
2023-02-22 13:52:00,0,0,19.5,19.7,0.389,0.378,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 13:54:00,0,0,19.6,19.6,0.400,0.372,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 13:56:00,0,0,19.8,19.5,0.417,0.417,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 13:58:00,0,0,19.3,19.4,0.367,0.350,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 14:00:00,0,0,19.4,19.4,0.361,0.372,0,0,0,0,0,0,0,0,0,0
2023-02-22 14:02:00,0,0,19.6,19.8,0.433,0.411,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 14:04:00,0,0,19.6,19.5,0.589,0.600,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 14:06:00,0,0,19.8,19.5,0.511,0.544,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 14:08:00,0,0,19.4,19.4,0.356,0.344,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 14:10:00,0,0,19.4,19.5,0.372,0.367,0,0,0,0,0,0,0,0,0,0
2023-02-22 14:12:00,0,0,19.7,19.6,0.367,0.367,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 14:14:00,0,0,19.6,19.7,0.372,0.383,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 14:16:00,0,0,19.5,19.5,0.356,0.356,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 14:18:00,0,0,19.6,19.5,0.344,0.322,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 14:20:00,0,0,19.5,19.6,0.361,0.356,0,0,0,0,0,0,0,0,0,0
2023-02-22 14:22:00,0,0,19.8,19.8,0.333,0.350,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 14:24:00,0,0,19.3,19.5,0.361,0.344,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 14:26:00,0,0,19.7,19.6,0.356,0.372,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 14:28:00,0,0,19.4,19.6,0.333,0.344,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 14:30:00,0,0,19.5,19.6,0.345,0.356,0,0,0,0,0,0,0,0,0,0
2023-02-22 14:32:00,0,0,19.9,19.8,0.372,0.350,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 14:34:00,0,0,19.4,19.6,0.356,0.339,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 14:36:00,0,0,19.6,19.4,0.367,0.372,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 14:38:00,0,0,19.6,19.5,0.389,0.389,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 14:40:00,0,0,19.7,19.6,0.406,0.411,0,0,0,0,0,0,0,0,0,0
2023-02-22 14:42:00,0,0,20.0,19.8,0.372,0.378,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 14:44:00,0,0,19.5,19.7,0.422,0.422,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 14:46:00,0,0,19.8,19.5,0.389,0.389,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 14:48:00,0,0,19.4,19.7,0.361,0.350,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 14:50:00,0,0,19.3,19.3,0.417,0.389,0,0,0,0,0,0,0,0,0,0
2023-02-22 14:52:00,0,0,19.6,19.5,0.550,0.539,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 14:54:00,0,0,19.3,19.4,0.589,0.611,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 14:56:00,0,0,19.7,19.5,0.389,0.394,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 14:58:00,0,0,19.6,19.7,0.372,0.356,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 15:00:00,0,0,19.4,19.3,0.356,0.361,0,0,0,0,0,0,0,0,0,0
2023-02-22 15:02:00,0,0,19.7,19.7,0.350,0.344,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 15:04:00,0,0,19.4,19.6,0.350,0.350,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 15:06:00,0,0,19.8,19.5,0.333,0.344,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 15:08:00,0,0,19.8,20.0,0.350,0.328,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 15:10:00,0,0,19.3,19.3,0.344,0.356,0,0,0,0,0,0,0,0,0,0
2023-02-22 15:12:00,0,0,19.7,19.6,0.350,0.367,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 15:14:00,0,0,19.5,19.7,0.378,0.383,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 15:16:00,0,0,19.7,19.6,0.356,0.356,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 15:18:00,0,0,19.8,20.0,0.350,0.339,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 15:20:00,0,0,19.3,19.3,0.367,0.356,0,0,0,0,0,0,0,0,0,0
2023-02-22 15:22:00,0,0,19.5,19.5,0.339,0.333,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 15:24:00,0,0,19.3,19.5,0.372,0.372,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 15:26:00,0,0,19.9,19.8,0.344,0.350,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 15:28:00,0,0,19.6,19.8,0.383,0.378,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 15:30:00,0,0,19.2,19.1,0.389,0.389,0,0,0,0,0,0,0,0,0,0
2023-02-22 15:32:00,0,0,20.1,19.9,0.383,0.389,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 15:34:00,0,0,19.3,19.7,0.428,0.417,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 15:36:00,0,0,19.4,19.3,0.356,0.383,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 15:38:00,0,0,19.6,19.6,0.411,0.378,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 15:40:00,0,0,19.4,19.3,0.539,0.494,0,0,0,0,0,0,0,0,0,0
2023-02-22 15:42:00,0,0,19.8,19.9,0.583,0.606,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 15:44:00,0,0,19.4,19.8,0.433,0.439,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 15:46:00,0,0,19.6,19.3,0.356,0.361,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 15:48:00,0,0,19.8,19.8,0.328,0.328,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 15:50:00,0,0,19.4,19.4,0.367,0.378,0,0,0,0,0,0,0,0,0,0
2023-02-22 15:52:00,0,0,19.6,19.6,0.356,0.361,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 15:54:00,0,0,19.2,19.6,0.372,0.367,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 15:56:00,0,0,20.0,19.6,0.389,0.383,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 15:58:00,0,0,19.8,19.7,0.344,0.322,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 16:00:00,0,0,19.1,19.1,0.383,0.367,0,0,0,0,0,0,0,0,0,0
2023-02-22 16:02:00,0,0,19.6,19.7,0.344,0.350,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-02-22 16:04:00,0,0,19.5,19.9,0.333,0.333,0,0,0,0.0111,0,0,0,0,0,0
2023-02-22 16:06:00,0,0,19.3,19.2,0.367,0.372,0,0,0.0111,0,0,0,0,0,0,0
2023-02-22 16:08:00,0,0,19.6,19.6,0.328,0.356,0,0,0.0111,0.0111,0,0,0,0,0,0
