"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc08f9bbcf2cc2)","Transmit Total (lxc18b2a9fae4e6)","Transmit Total (lxc2d0cb026a340)","Transmit Total (lxc32ecf1ec23fa)","Transmit Total (lxc38d81bba1941)","Transmit Total (lxc536989e0bbe0)","Transmit Total (lxc7b55c12eff69)","Transmit Total (lxc815054fad3e3)","Transmit Total (lxc896636513d9b)","Transmit Total (lxc898970f2c474)","Transmit Total (lxc89bd03f98afc)","Transmit Total (lxc98325d012b94)","Transmit Total (lxc9a6f6d3b6e50)","Transmit Total (lxc9e5774929ec6)","Transmit Total (lxc_health)","Transmit Total (lxcb1aea5f13203)","Transmit Total (lxcc010f2457e82)","Transmit Total (lxcc255ada0b5e4)","Transmit Total (lxcc306a8298bc0)","Transmit Total (lxcd67315019948)","Transmit Total (lxcd95baf1a2e26)","Transmit Total (lxcdcee95369ec3)","Transmit Total (lxce37cface0780)","Transmit Total (lxcedcc30932457)","Transmit Total (lxcf1e7004cd84c)","Transmit Total (lxcf2b5505183fa)","Transmit Total (lxcf31ee673b547)","Transmit Total (lxcf97c652df312)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc08f9bbcf2cc2)","Receive Total (lxc18b2a9fae4e6)","Receive Total (lxc2d0cb026a340)","Receive Total (lxc32ecf1ec23fa)","Receive Total (lxc38d81bba1941)","Receive Total (lxc536989e0bbe0)","Receive Total (lxc7b55c12eff69)","Receive Total (lxc815054fad3e3)","Receive Total (lxc896636513d9b)","Receive Total (lxc898970f2c474)","Receive Total (lxc89bd03f98afc)","Receive Total (lxc98325d012b94)","Receive Total (lxc9a6f6d3b6e50)","Receive Total (lxc9e5774929ec6)","Receive Total (lxc_health)","Receive Total (lxcb1aea5f13203)","Receive Total (lxcc010f2457e82)","Receive Total (lxcc255ada0b5e4)","Receive Total (lxcc306a8298bc0)","Receive Total (lxcd67315019948)","Receive Total (lxcd95baf1a2e26)","Receive Total (lxcdcee95369ec3)","Receive Total (lxce37cface0780)","Receive Total (lxcedcc30932457)","Receive Total (lxcf1e7004cd84c)","Receive Total (lxcf2b5505183fa)","Receive Total (lxcf31ee673b547)","Receive Total (lxcf97c652df312)"
2023-03-20 13:56:00,0,78.5,34548,165194,0,0,0,0,155,178,294,130,454,66.1,448,1806,0,588,31.8,0,38.5,1711,4.27,450,0,65.8,41922,71.0,19,1732,6720,1079,78.5,0,130877,175933,0,0,0,0.389,380,224,119,30.3,253,40.6,252,1139,0,699,25.7,0,19,189,4.13,253,0,40.6,19281,69.8,38.5,211,1111,1075
2023-03-20 13:58:00,0,79.3,37663,84030,0,0,0,0,62,180,287,130,455,66.8,445,745,0,586,31.8,0,38.5,1946,4.27,449,0,65.8,42000,298,19,1955,7198,1874,79.3,0,52560,82808,0,0,0,0.389,152,221,107,30.3,255,41.4,249,467,0,700,25.7,0,19,211,4.13,251,0,40.3,30112,79.9,38.5,224,1122,1862
2023-03-20 14:00:00,0,82.6,23578,52029,0,0,0,0,0,177,288,130,454,65.7,449,38.5,0,591,32.0,0,38.5,1722,4.27,448,0,65.7,41892,83.8,19,1745,6746,1081,82.6,0,35545,60179,0,0.389,0,0,0,223,117,30.3,254,40.3,259,19,0,700,26.0,0,19,185,4.13,249,0,40.6,18894,82.5,38.5,225,1118,1072
2023-03-20 14:02:00,0,84.4,34115,63391,0,0,0,0,0,179,292,129,454,66.0,447,38.5,0,585,32.3,0,38.5,1993,4.27,449,0,65.4,41960,507,19,2017,7235,1877,84.4,0,36384,62830,0,0,0,0,0,223,118,30.3,254,41.4,251,19,0,700,26.2,0,19,202,4.13,251,0,40.6,28677,94.0,38.5,239,1158,1865
2023-03-20 14:04:00,0,82.9,25759,54279,0,0,0.389,0,0,178,288,124,454,65.7,450,38.5,0,580,32.5,0,38.5,1947,4.27,450,0,65.3,41855,296,19,1956,7124,1882,82.9,0,36309,62043,0,0,0,0,0,223,107,29.4,254,40.6,254,19,0,700,26.4,0.389,19,163,4.13,253,0,39.9,20297,78.8,38.5,184,1110,1871
2023-03-20 14:06:00,0,82.2,35531,90515,0,0,0,0,62,175,284,130,457,65.8,449,502,0,586,32.3,0,38.5,1736,4.27,448,0,66.1,41881,601,19,1749,63421,1080,82.2,0,58684,146340,0,0,0.389,0,152,225,111,30.3,256,40.3,253,374,0,699,26.2,0,19,151,4.13,250,0,41,28143,92.0,38.5,171,2312,1075
2023-03-20 14:08:00,0,80.7,28576,83232,0,0,0,0,62,176,289,130,452,66.4,449,502,0,589,32.0,0,38.5,1963,4.27,452,0,66.1,41906,808,19,1980,63901,1879,80.7,0,59480,148478,0,0,0,0,152,225,113,30.3,252,40.6,253,374,0,698,26.0,0,19,173,4.13,254,0,41.4,20400,91.5,38.9,207,2381,1866
2023-03-20 14:10:00,0,78.2,22022,50432,0,0,0,0,0,176,290,124,455,65.7,451,38.5,0,591,31.6,0,38.5,1733,4.50,451,0,66.1,41918,80.5,19,1760,6749,1082,78.2,0,35583,60125,0,0,0,0,0,225,110,29.0,255,40.3,256,19,0,697,25.5,0,19,193,4.37,253,0,40.3,17340,75.1,38.5,225,1136,1073
2023-03-20 14:12:00,0,75.6,32614,61800,0,0,0,0,0,175,289,130,455,65.7,446,38.5,0,590,31.6,0.389,38.5,1953,4.97,449,0,65.7,42047,288,19,1977,7231,1877,75.6,0,36450,62523,0,0,0,0,0,225,115,30.3,255,40.3,251,19,0,699,25.5,0,19,198,4.83,251,0,40.6,27167,75.7,38.5,233,1119,1862
2023-03-20 14:14:00,0,76.3,25581,54160,0.389,0,0,0,0,176,285,130,453,65.4,446,38.5,0,586,32.2,0.389,38.5,1960,4.73,449,0.389,65.8,41892,297,19,1957,7194,1867,76.3,0,36306,62065,0,0,0,0,0,226,108,30.3,252,39.9,250,19,0,702,25.7,0,19,194,4.60,252,0,41,20110,80.2,38.5,199,1113,1862
2023-03-20 14:16:00,0,76.3,33991,78881,0.389,0,0,0,0,175,289,130,455,65.3,448,38.5,0,589,32.4,0,38.5,1726,4.27,450,0.389,66.1,41960,80.9,19,1745,6782,1075,76.3,0,50182,77872,0.389,0,0,0,0,224,116,30.3,254,39.9,253,19,0,699,26.0,0,19.4,164,4.13,253,0.389,41.4,27930,75.5,38.5,191,1095,1082
2023-03-20 14:18:00,0,85.5,28541,81836,0,0,0,0,62,178,292,124,455,65.7,448,577,0.389,590,32.0,0,38.5,1943,4.27,450,0,66.0,41864,287,19,1965,7211,1864,85.5,0,59450,90398,0.389,0,0,0,154,223,117,29.0,260,40.3,253,391,0,698,26.0,0,19.4,156,4.13,252,0.389,41.4,20341,75.0,38.5,182,1118,1868
2023-03-20 14:20:00,0,80,24474,52842,0,0,0,0,0,177,289,124,454,65.8,446,38.5,0.389,588,31.6,0,38.5,1731,4.27,448,0,66.2,41874,80.5,19,1743,6710,1068,80,0,35515,59868,0,0,0,0,0,223,110,33.9,254,40.3,256,19,0,698,25.5,0,19,174,4.13,250,0,41,19800,75.5,38.5,187,1085,1070
2023-03-20 14:22:00,0,76.0,35293,64608,0,0,0,0,0,179,287,130,454,65.8,452,38.5,0,587,31.6,0,38.5,1859,4.27,449,0,66.2,41955,2531,19,1886,7077,1602,76.0,0,36117,63838,0,0,0,0,0,221,113,30.3,253,40.6,263,19,0,700,25.5,0,19,181,4.13,251,0,41.4,30109,109,38.5,223,1110,1602
2023-03-20 14:24:00,0,76.0,25193,53772,0,0,0,0,0,177,287,130,455,65.8,447,38.5,0,586,31.8,0,38.5,1923,4.27,436,0,65.7,41908,287,19,1943,7172,1863,76.0,0,36317,61886,0,0,0,0,0,222,109,30.3,254,41,251,19,0,701,25.7,0,19,187,4.13,244,0,40.6,19727,74.6,38.5,211,1143,1861
2023-03-20 14:26:00,0,78.2,34157,63426,0,0,0,0.389,0,178,288,124,455,66.1,446,38.5,0,587,32.3,0,38.5,1712,4.50,437,0,65.8,41929,81.6,19,1740,6688,1072,78.2,0,35561,60079,0,0,0,0,0,222,111,29.0,255,41,250,19,0,700,26.2,0,19,187,4.37,243,0,41,29513,74.7,38.5,219,1106,1074
2023-03-20 14:28:00,0,82.9,28537,82089,0,0,0,0,62,178,289,130,456,65.8,447,589,0,589,32.3,0,38.5,1932,4.89,450,0,66.3,41945,1889,19.4,1957,7110,1872,82.9,0,59663,91967,0,0,0,0,153,223,113,30.3,258,40.6,251,392,0,698,26.2,0,19,203,4.37,250,0,42.2,20338,97.0,38.5,223,1097,1869
2023-03-20 14:30:00,0.389,82.9,23920,52472,0,0,0,0,0,178,287,124,441,65.7,439,38.5,0,588,32.3,0,38.5,1811,4.97,449,0,66.1,41935,152,19,1823,6851,1348,82.9,0.389,35857,61117,0,0,0,0,0,224,112,29.0,252,41,255,19,0,699,26.2,0,19,202,4.83,256,0,40.6,18966,76.9,38.5,220,1120,1343
2023-03-20 14:32:00,0,77.0,29412,58328,0,0,0,0,0,177,289,130,453,65.7,447,38.5,0,587,32.3,0,38.5,1799,4.96,449,0,66.0,41904,154,19.0,1826,6930,1346,77.0,0,35813,61152,0,0,0,0,0,222,109,30.3,252,41.4,256,19.0,0,695,26.2,0,19.0,192,4.83,256,0,40.6,24493,77.3,38.5,224,1148,1335
2023-03-20 14:34:00,0,73.8,24140,52673,0,0,0,0,0,177,290,124,456,65.8,447,38.5,0,588,32.3,0,38.5,1953,4.73,450,0,65.8,41870,1633,19,1977,7134,1874,73.8,0,36301,63335,0,0,0,0,0,223,115,29.0,255,41,251,19,0,693,26.2,0,19,205,4.60,252,0,40.6,18688,93.9,38.5,234,1089,1869
2023-03-20 14:36:00,0,78.2,33077,62250,0,0,0,0,0,175,286,124,457,65.7,449,38.5,0,590,32.3,0,38.5,1728,4.27,448,0,65.7,41882,80.9,19,1745,6802,1084,78.2,0,35543,60246,0,0,0,0,0,223,108,29.0,257,40.3,255,19,0,694,26.2,0,19,193,4.13,250,0,40.6,28416,74.7,38.5,217,1114,1075
2023-03-20 14:38:00,0,77.1,28539,81926,0,0,0,0,62,174,286,129,454,66.0,444,631,0,588,32.3,0,38.5,1950,4.27,450,0,65.7,41844,297,19,1975,7272,1878,77.1,0,59435,90291,0,0,0,0,152,225,112,30.3,254,40.6,248,417,0,695,26.2,0,19,201,4.13,252,0,40.6,20301,80.2,38.5,234,1143,1866
2023-03-20 14:40:00,0,77.1,34100,65988,0,0,0,0,62,176,291,136,454,65.3,448,631,0,587,32.3,0,38.5,1869,4.27,451,0,65.7,41900,215,19,1901,7038,1602,77.1,0,38905,65018,0,0,0,0,152,224,113,31.6,253,39.9,253,417,0,694,26.2,0,19,195,4.52,254,0,41.4,28108,73.5,38.5,235,1137,1598
2023-03-20 14:42:00,0,73.8,25016,53559,0,0,0,0,0.389,178,292,124,454,65.6,444,38.5,0,589,32.3,0,38.5,1730,4.27,449,0,65.7,41879,373,19,1741,6792,1071,73.8,0,35525,60369,0,0,0,0,0,223,119,29.0,254,40.6,249,19,0.389,695,26.2,0,19,175,4.52,251,0,41.4,20332,87.4,38.5,189,1129,1072
2023-03-20 14:44:00,0,74.1,22868,51175,0,0,0,0,0.389,179,283,130,456,65.3,449,38.5,0,590,32.3,0,38.5,1943,4.27,448,0,65.7,41841,290,19,1960,7134,1876,74.1,0,36281,61881,0,0,0,0,0,223,109,30.3,257,40.3,254,19,0.389,693,26.2,0,19,159,4.13,249,0,40.6,17403,82.4,38.5,185,1070,1870
2023-03-20 14:46:00,0,84.8,31883,60834,0,0,0,0,0,178,286,130,455,65.4,449,38.5,0,592,32.3,0,38.5,1726,4.27,449,0,65.8,41920,298,19,1781,6726,1078,84.8,0,35581,60429,0,0,0,0,0,224,108,30.3,254,39.9,252,19,0,691,26.2,0,19,162,4.13,251,0,40.3,27222,85.9,38.5,198,1090,1077
2023-03-20 14:48:00,0,75.2,28456,81839,0,0,0,0,62,179,290,124,452,65.8,445,686,0,590,32.3,0,38.5,1939,4.27,450,0,66.1,41881,513,19,1950,7170,1877,75.2,0,59633,90734,0,0,0,0,152,222,110,29.0,252,40.4,249,444,0,694,26.2,0,19,166,4.13,252,0,42.1,20208,90.7,38.5,189,1145,1865
