"Time","Transmit Total","Receive Total"
2023-03-20 18:34:00,576881,457767
2023-03-20 18:36:00,571776,476308
2023-03-20 18:38:00,609731,494798
2023-03-20 18:40:00,664135,558689
2023-03-20 18:42:00,561638,467827
2023-03-20 18:44:00,590249,470677
2023-03-20 18:46:00,559257,463062
2023-03-20 18:48:00,582263,456936
2023-03-20 18:50:00,656804,548227
2023-03-20 18:52:00,646588,512862
2023-03-20 18:54:00,614416,479449
2023-03-20 18:56:00,556569,462430
2023-03-20 18:58:00,581898,462341
2023-03-20 19:00:00,658059,550636
2023-03-20 19:02:00,648987,520565
2023-03-20 19:04:00,560631,452402
2023-03-20 19:06:00,566004,466260
2023-03-20 19:08:00,584858,460775
2023-03-20 19:10:00,665120,565927
2023-03-20 19:12:00,669707,552899
2023-03-20 19:14:00,626518,490784
2023-03-20 19:16:00,611576,493531
2023-03-20 19:18:00,581302,470265
2023-03-20 19:20:00,610892,528927
2023-03-20 19:22:00,677240,554079
2023-03-20 19:24:00,563323,451334
2023-03-20 19:26:00,579097,474110
2023-03-20 19:28:00,552868,448701
2023-03-20 19:30:00,606473,492880
2023-03-20 19:32:00,716527,573039
2023-03-20 19:34:00,561034,454028
2023-03-20 19:36:00,590694,472973
2023-03-20 19:38:00,569283,458828
2023-03-20 19:40:00,554268,458063
2023-03-20 19:42:00,663144,546232
2023-03-20 19:44:00,602189,496950
2023-03-20 19:46:00,583693,465993
2023-03-20 19:48:00,563256,457920
2023-03-20 19:50:00,563606,466582
2023-03-20 19:52:00,676594,554791
2023-03-20 19:54:00,652232,542355
2023-03-20 19:56:00,653829,501690
2023-03-20 19:58:00,555824,452090
2023-03-20 20:00:00,563601,471062
2023-03-20 20:02:00,651230,540715
2023-03-20 20:04:00,658540,566504
2023-03-20 20:06:00,750495,618137
2023-03-20 20:08:00,880999,683007
2023-03-20 20:10:00,685464,532138
2023-03-20 20:12:00,668728,530116
2023-03-20 20:14:00,653999,559147
2023-03-20 20:16:00,571942,451462
2023-03-20 20:18:00,608112,488948
2023-03-20 20:20:00,577903,461456
2023-03-20 20:22:00,575639,462582
2023-03-20 20:24:00,654702,563331
2023-03-20 20:26:00,587247,469339
2023-03-20 20:28:00,565757,468378
2023-03-20 20:30:00,577191,460695
2023-03-20 20:32:00,565477,455279
2023-03-20 20:34:00,654209,561687
2023-03-20 20:36:00,618171,495191
2023-03-20 20:38:00,562827,475490
2023-03-20 20:40:00,564647,470314
2023-03-20 20:42:00,575173,491534
2023-03-20 20:44:00,685253,581882
2023-03-20 20:46:00,674654,572448
2023-03-20 20:48:00,626600,509700
2023-03-20 20:50:00,568716,456571
2023-03-20 20:52:00,574414,473542
2023-03-20 20:54:00,639965,531550
2023-03-20 20:56:00,676565,562877
2023-03-20 20:58:00,572052,471372
2023-03-20 21:00:00,551451,444814
2023-03-20 21:02:00,567649,468994
2023-03-20 21:04:00,626817,505247
2023-03-20 21:06:00,722693,585356
2023-03-20 21:08:00,596115,476016
2023-03-20 21:10:00,538760,434940
2023-03-20 21:12:00,561585,460934
2023-03-20 21:14:00,554853,442049
2023-03-20 21:16:00,683216,585409
2023-03-20 21:18:00,586366,468822
2023-03-20 21:20:00,543253,439452
2023-03-20 21:22:00,577540,473209
2023-03-20 21:24:00,560945,446465
2023-03-20 21:26:00,673282,574854
2023-03-20 21:28:00,644452,514040
2023-03-20 21:30:00,568012,453773
2023-03-20 21:32:00,594072,482003
2023-03-20 21:34:00,608481,476467
2023-03-20 21:36:00,728441,603441
2023-03-20 21:38:00,693852,562657
2023-03-20 21:40:00,541007,435691
2023-03-20 21:42:00,582446,465425
2023-03-20 21:44:00,551031,446526
