"Time","Transmit Total (192.168.0.211:9796)","Transmit Total (192.168.0.221:9796)","Transmit Total (192.168.0.222:9796)","Receive Total (192.168.0.211:9796)","Receive Total (192.168.0.221:9796)","Receive Total (192.168.0.222:9796)"
2023-03-16 21:18:00,235065,128444,186482,157450,117422,179452
2023-03-16 21:20:00,302267,177995,171747,205368,177721,155568
2023-03-16 21:22:00,265197,132191,178872,174901,119369,165082
2023-03-16 21:24:00,230006,141322,183234,152692,124453,177577
2023-03-16 21:26:00,256462,131085,198448,158870,117996,183272
2023-03-16 21:28:00,258438,126604,208586,157469,116599,201207
2023-03-16 21:30:00,300287,176440,166178,198670,177139,151385
2023-03-16 21:32:00,302212,144450,178144,198677,140071,172022
2023-03-16 21:34:00,228924,147522,171414,150184,126803,156371
2023-03-16 21:36:00,236842,131479,180127,163372,118350,162718
2023-03-16 21:38:00,242259,131522,197156,165348,119060,189112
2023-03-16 21:40:00,294447,183183,169817,194132,181182,157405
2023-03-16 21:42:00,312495,161820,191207,198682,170767,188548
2023-03-16 21:44:00,229696,150284,174372,152713,128209,159708
2023-03-16 21:46:00,232354,131227,173396,155882,118142,158377
2023-03-16 21:48:00,234658,130275,186207,155774,118423,180658
2023-03-16 21:50:00,243518,176840,169817,158885,171643,157475
2023-03-16 21:52:00,305422,159191,184049,201028,168746,179576
2023-03-16 21:54:00,229856,148649,173567,152081,127431,158562
2023-03-16 21:56:00,256146,131052,197175,156874,117955,182786
2023-03-16 21:58:00,258851,140513,210148,158674,123260,203375
2023-03-16 22:00:00,231247,137354,170327,152050,127426,156903
2023-03-16 22:02:00,304211,158328,182610,202577,168461,177176
2023-03-16 22:04:00,228928,147816,171204,149538,126921,156507
2023-03-16 22:06:00,235702,130900,180675,155202,117897,172189
2023-03-16 22:08:00,239254,145945,178920,156012,126030,161545
2023-03-16 22:10:00,228292,133309,169361,149079,120472,156669
2023-03-16 22:12:00,326333,158044,203879,199786,168093,200046
2023-03-16 22:14:00,289050,148080,196019,176808,127049,181722
2023-03-16 22:16:00,234575,130684,183327,156633,117837,178143
2023-03-16 22:18:00,235099,149367,175853,156595,127779,159900
2023-03-16 22:20:00,228905,132353,170555,151258,119393,157197
2023-03-16 22:22:00,303949,160612,182958,197982,169199,180316
2023-03-16 22:24:00,300738,170131,172951,198522,158925,160928
2023-03-16 22:26:00,235702,129174,180801,154161,117646,175677
2023-03-16 22:28:00,255015,148951,196889,152809,127472,182391
2023-03-16 22:30:00,252863,132086,194688,152948,119128,181434
2023-03-16 22:32:00,295711,159209,192373,189334,168712,187526
2023-03-16 22:34:00,311503,170920,184176,200982,175220,171523
2023-03-16 22:36:00,237137,128310,182137,154211,117153,176467
2023-03-16 22:38:00,236330,146993,178563,154574,125685,162415
2023-03-16 22:40:00,229393,132135,171707,152593,119184,157640
2023-03-16 22:42:00,236628,168241,177860,157133,162937,165165
2023-03-16 22:44:00,300290,163353,172762,198421,171431,160598
2023-03-16 22:46:00,236096,127387,180153,155404,117521,172890
2023-03-16 22:48:00,231910,144928,172741,153048,124680,155718
2023-03-16 22:50:00,251861,131558,202079,149998,118934,199481
2023-03-16 22:52:00,255142,146112,195166,148231,126040,181023
2023-03-16 22:54:00,298526,163506,172317,196668,171515,160752
