"Time","udp:99 ","udp:90","udp:50"
2023-03-16 18:00:00,189,99.0,55.0
2023-03-16 18:10:00,190,100,55.6
2023-03-16 18:20:00,185,96.4,53.6
2023-03-16 18:30:00,189,99.0,55.0
2023-03-16 18:40:00,189,99.0,55.0
2023-03-16 18:50:00,189,99.0,55.0
2023-03-16 19:00:00,99,90,50
2023-03-16 19:10:00,183,95.6,53.1
2023-03-16 19:20:00,185,96.4,53.6
2023-03-16 19:30:00,189,99.0,55.0
2023-03-16 19:40:00,189,99.0,55.0
2023-03-16 19:50:00,189,99.0,55.0
2023-03-16 20:00:00,185,96.4,53.6
2023-03-16 20:10:00,173,93.5,51.9
2023-03-16 20:20:00,174,93.6,52.0
2023-03-16 20:30:00,163,92.5,51.4
2023-03-16 20:40:00,99.0,90,50
2023-03-16 20:50:00,174,93.6,52.0
2023-03-16 21:00:00,174,93.6,52.0
2023-03-16 21:10:00,161,92.4,51.3
2023-03-16 21:20:00,129,91.3,50.7
2023-03-16 21:30:00,174,93.6,52.0
2023-03-16 21:40:00,189,99.0,55.0
2023-03-16 21:50:00,185,96.4,53.6
2023-03-16 22:00:00,173,93.5,51.9
2023-03-16 22:10:00,188,97.9,54.4
2023-03-16 22:20:00,189,99.0,55.0
2023-03-16 22:30:00,185,96.4,53.6
2023-03-16 22:40:00,185,96.7,53.7
2023-03-16 22:50:00,189,99.0,55.0
2023-03-16 23:00:00,189,99.0,55.0
2023-03-16 23:10:00,183,95.8,53.2
2023-03-16 23:20:00,173,93.5,51.9
2023-03-16 23:30:00,185,96.4,53.6
2023-03-16 23:40:00,191,112,56.5
2023-03-16 23:50:00,191,110,56.3
2023-03-17 00:00:00,189,99.0,55.0
2023-03-17 00:10:00,188,98.2,54.5
2023-03-17 00:20:00,174,93.6,52.0
2023-03-17 00:30:00,174,93.6,52.0
2023-03-17 00:40:00,163,92.5,51.4
2023-03-17 00:50:00,163,92.5,51.4
2023-03-17 01:00:00,163,92.5,51.4
2023-03-17 01:10:00,162,92.4,51.3
2023-03-17 01:20:00,129,91.3,50.7
2023-03-17 01:30:00,163,92.5,51.4
2023-03-17 01:40:00,163,92.5,51.4
2023-03-17 01:50:00,185,96.4,53.6
2023-03-17 02:00:00,185,96.4,53.6
2023-03-17 02:10:00,189,99.3,55.2
2023-03-17 02:20:00,99,90,50
2023-03-17 02:30:00,189,99.0,55.0
2023-03-17 02:40:00,191,112,56.5
2023-03-17 02:50:00,191,110,56.3
2023-03-17 03:00:00,189,99,55.0
2023-03-17 03:10:00,188,98.2,54.5
2023-03-17 03:20:00,189,99.0,55.0
2023-03-17 03:30:00,189,99.0,55.0
2023-03-17 03:40:00,185,96.7,53.7
2023-03-17 03:50:00,185,96.4,53.6
2023-03-17 04:00:00,185,96.4,53.6
2023-03-17 04:10:00,183,95.8,53.2
2023-03-17 04:20:00,185,96.4,53.6
2023-03-17 04:30:00,174,93.6,52.0
2023-03-17 04:40:00,163,92.5,51.4
2023-03-17 04:50:00,174,93.6,52.0
2023-03-17 05:00:00,129,91.3,50.7
2023-03-17 05:10:00,161,92.4,51.3
2023-03-17 05:20:00,163,92.5,51.4
2023-03-17 05:30:00,180,94.7,52.6
2023-03-17 05:40:00,180,94.7,52.6
2023-03-17 05:50:00,180,94.7,52.6
2023-03-17 06:00:00,174,93.6,52.0
2023-03-17 06:10:00,169,93.0,51.7
2023-03-17 06:20:00,189,99.0,55.0
2023-03-17 06:30:00,189,99.0,55.0
2023-03-17 06:40:00,189,99.0,55.0
2023-03-17 06:50:00,185,96.4,53.6
2023-03-17 07:00:00,189,99.0,55.0
2023-03-17 07:10:00,188,97.9,54.4
2023-03-17 07:20:00,189,99.0,55.0
2023-03-17 07:30:00,185,96.4,53.6
2023-03-17 07:40:00,185,96.4,53.6
2023-03-17 07:50:00,189,99.0,55.0
