"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (eno1)","Transmit Total (eno2)","Transmit Total (lxc0b50fe0be417)","Transmit Total (lxc0c76d1cbcf21)","Transmit Total (lxc1b365d1aeffb)","Transmit Total (lxc212dabdd3101)","Transmit Total (lxc2261ca0283f4)","Transmit Total (lxc259e871f6d0c)","Transmit Total (lxc291281b603ac)","Transmit Total (lxc35e9bc295a0c)","Transmit Total (lxc4550613e5de3)","Transmit Total (lxc4cf70bf74cce)","Transmit Total (lxc4ff33ab70345)","Transmit Total (lxc578068b371f4)","Transmit Total (lxc8224a39e8700)","Transmit Total (lxc8adbeb750e3f)","Transmit Total (lxc953e6e46c070)","Transmit Total (lxc95f308cab6d1)","Transmit Total (lxc9a229b32004d)","Transmit Total (lxc9c1a42b5409e)","Transmit Total (lxc9fecc55a4ec6)","Transmit Total (lxc_health)","Transmit Total (lxca8909a38a5c3)","Transmit Total (lxcaefae006e0ae)","Transmit Total (lxcbaae61bb59f9)","Transmit Total (lxcbe46e8f92045)","Transmit Total (lxcc98ddd4e021a)","Transmit Total (lxccf80711784ca)","Transmit Total (lxce1132a8b1efa)","Transmit Total (lxcee0aa8190d09)","Transmit Total (lxcee90dc48a2db)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (eno1)","Receive Total (eno2)","Receive Total (lxc0b50fe0be417)","Receive Total (lxc0c76d1cbcf21)","Receive Total (lxc1b365d1aeffb)","Receive Total (lxc212dabdd3101)","Receive Total (lxc2261ca0283f4)","Receive Total (lxc259e871f6d0c)","Receive Total (lxc291281b603ac)","Receive Total (lxc35e9bc295a0c)","Receive Total (lxc4550613e5de3)","Receive Total (lxc4cf70bf74cce)","Receive Total (lxc4ff33ab70345)","Receive Total (lxc578068b371f4)","Receive Total (lxc8224a39e8700)","Receive Total (lxc8adbeb750e3f)","Receive Total (lxc953e6e46c070)","Receive Total (lxc95f308cab6d1)","Receive Total (lxc9a229b32004d)","Receive Total (lxc9c1a42b5409e)","Receive Total (lxc9fecc55a4ec6)","Receive Total (lxc_health)","Receive Total (lxca8909a38a5c3)","Receive Total (lxcaefae006e0ae)","Receive Total (lxcbaae61bb59f9)","Receive Total (lxcbe46e8f92045)","Receive Total (lxcc98ddd4e021a)","Receive Total (lxccf80711784ca)","Receive Total (lxce1132a8b1efa)","Receive Total (lxcee0aa8190d09)","Receive Total (lxcee90dc48a2db)"
2023-03-11 09:14:00,0,11632,42462,99900,0,467,1817,123,66327,226,32.1,87.2,0,122,21965,444,5.13,404,0.389,66.4,161,439,1830,203,31.9,1927,15915,6949,0,154,0,66.4,0,76.2,11632,0,40650,100574,0,260,159,20.9,2357,234,22.3,66.6,0,20.9,24621,249,5.57,583,0,41.4,94.1,529,187,228,25.9,2300,15859,1047,0,135,0,41.4,0,3539
2023-03-11 09:16:00,0,10130,18083,71098,0,464,1758,123,66281,220,31.5,87.2,0,122,155,449,7.91,404,0.389,66.4,166,364,1770,205,31.6,1830,15919,6773,0,154,0,66.5,0,76.9,10130,0,17624,74388,0,259,175,20.9,2353,221,21.6,66.9,0,20.9,571,254,8.39,582,0,41,105,408,198,228,25.5,2166,15859,1058,0,135,0,41,0,3598
2023-03-11 09:18:00,0,11150,19186,92939,0,466,1866,140,66394,222,32.3,87.2,0,138,154,449,6.74,404,0,66.1,162,411,1890,207,32.0,1964,15930,6938,0,156,0,66.8,0,121,11150,0,18652,77010,0,259,182,23.8,2362,225,23.3,66.2,0,23.8,572,255,6.79,582,0.389,40.6,96.0,476,202,228,26.0,2269,15873,1012,0,137,0,42.1,0,3698
2023-03-11 09:20:00,0,9586,17606,68019,0,466,1691,134,66217,223,30.7,87.2,0,133,155,444,4.77,404,0,66.4,160,420,1705,206,32.6,1812,15921,6629,0,156,0,66.4,0,123,9586,0,17091,73534,0,260,176,22.8,2349,225,20.1,66.9,0,22.8,566,249,5.59,582,0.389,41.4,91.8,487,192,227,26.6,2268,15857,1024,0,137,0,41.7,0,3641
2023-03-11 09:22:00,0,12576,42859,95839,0,467,1868,128,66400,222,31.5,87.2,0,126,21834,445,4.40,404,0,66.8,163,396,1889,206,31.5,1946,15915,6979,0,154,0,66.5,0,76.2,12576,0,41429,101476,0,261,162,21.9,2358,228,21.0,66.2,0,21.9,24516,254,5.22,583,0,41.4,95.1,468,185,228,25.5,2197,15901,1047,0,134,0,41.4,0,3600
2023-03-11 09:24:00,0,11709,42385,98240,0,467,1801,118,66333,222,33.7,87.4,0,116,21832,447,4.63,404,0,66.4,160,431,1828,205,31.9,1934,15912,6890,0.389,154,0,66.8,0,75.9,11709,0,40570,100684,0,260,176,20.0,2362,229,29.0,66.4,0,20.0,24517,258,5.02,583,0,41,92.9,522,185,228,25.8,2298,15896,1054,0,134,0,41.7,0,3622
2023-03-11 09:26:00,0,9990,18082,69656,0,467,1749,134,66309,223,31.5,86.7,0.389,126,173,451,5,404,0,66.4,163,373,1785,205,32.3,1837,15917,6706,0,154,0,66.8,0,77.1,9990,0,17484,74398,0,260,177,22.8,2359,226,20.6,66.1,0.389,21.9,567,256,5.37,582,0,41,102,420,182,228,26.2,2165,15847,994,0,136,0,41.4,0,3592
2023-03-11 09:28:00,0,11294,19194,70249,0,468,1880,123,66398,219,32.9,86.3,0,122,174,445,3.50,405,0,66.4,165,416,1910,205,32.6,1960,15912,7009,0,154,0,66.1,0,121,11294,0,18800,76499,0,266,162,20.9,2369,219,28.6,66.1,0,20.9,567,254,3.50,583,0,41.4,99.3,487,199,228,26.6,2263,15851,1002,0,136,0,41.4,0,3585
2023-03-11 09:30:00,0,9355,17640,71827,0,454,1679,118,66232,223,32.3,89.0,0,116,171,431,5.47,404,0,66.4,159,430,1698,206,32.3,1833,15911,6674,0,156,0,66.1,0,122,9355,0,16877,73467,0,253,163,24.9,2356,225,22.6,66.9,0,24.9,572,240,6.29,582,0,41.4,90.0,509,183,228,26.2,2275,15848,1046,0,135,0,41,0,3587
2023-03-11 09:32:00,0,11138,40824,91210,0,469,1744,129,66296,222,30.7,89.1,0,133,21063,449,3.71,404,0,66.8,159,355,1764,206,32.3,1871,15929,6660,0,156,0,66.4,0,77.5,11138,0,39198,98345,0,261,157,21.9,2362,231,21.2,67.4,0,22.8,23617,255,4.09,583,0,41.4,91.7,393,178,228,25.8,2223,15858,1033,0,135,0,41.4,0,3598
