"Time","Transmit Total (192.168.0.211:9796)","Transmit Total (192.168.0.221:9796)","Transmit Total (192.168.0.222:9796)","Receive Total (192.168.0.211:9796)","Receive Total (192.168.0.221:9796)","Receive Total (192.168.0.222:9796)"
2023-03-20 13:00:00,234223,142299,178744,158297,125203,164657
2023-03-20 13:02:00,340359,164802,216665,211943,174840,212149
2023-03-20 13:04:00,277010,151794,175594,187020,130773,161445
2023-03-20 13:06:00,246890,137989,185666,165273,124907,171007
2023-03-20 13:08:00,252015,153482,192742,166085,132804,179286
2023-03-20 13:10:00,233191,134585,177194,157688,121277,163397
2023-03-20 13:12:00,316475,162547,189492,209384,173793,183492
2023-03-20 13:14:00,303686,173014,174219,203588,169216,159388
2023-03-20 13:16:00,243726,139580,192605,160266,127095,189218
2023-03-20 13:18:00,249616,159714,187365,163623,136833,173050
2023-03-20 13:20:00,256553,134465,200214,157091,121333,187233
2023-03-20 13:22:00,312998,167128,218806,191098,175711,215119
2023-03-20 13:24:00,308146,185897,182699,210038,182826,168568
2023-03-20 13:26:00,240281,135491,189577,161474,123889,183825
2023-03-20 13:28:00,247712,155636,183979,161021,133813,169272
2023-03-20 13:30:00,232505,134457,173810,153257,121351,161463
2023-03-20 13:32:00,246925,165144,193297,162925,159608,187697
2023-03-20 13:34:00,314523,173645,181043,209295,177283,168260
2023-03-20 13:36:00,262959,133143,213606,159513,121661,208177
2023-03-20 13:38:00,249289,154679,186032,161663,133152,170672
2023-03-20 13:40:00,233986,136779,175021,155174,123660,161867
2023-03-20 13:42:00,245211,153371,182199,157039,132597,171319
2023-03-20 13:44:00,312538,168681,180097,208053,176539,167703
2023-03-20 13:46:00,260813,133532,200536,169441,121493,195065
2023-03-20 13:48:00,260140,156416,197415,166411,134204,181833
2023-03-20 13:50:00,235432,134933,187423,157129,122377,183351
2023-03-20 13:52:00,271704,159060,208318,160690,136509,195667
2023-03-20 13:54:00,399083,213124,205377,252768,253722,192951
2023-03-20 13:56:00,580420,257782,189752,398910,332343,184981
2023-03-20 13:58:00,344352,180609,186344,229070,171661,173744
2023-03-20 14:00:00,234646,131760,183141,150555,119401,179939
2023-03-20 14:02:00,242426,155978,178488,154980,133549,164352
2023-03-20 14:04:00,240027,137971,180154,157534,124148,166670
2023-03-20 14:06:00,287192,239916,187542,196615,239571,172369
2023-03-20 14:08:00,383364,227651,281474,277743,235677,266217
2023-03-20 14:10:00,234029,128657,270353,153161,117841,265610
2023-03-20 14:12:00,238065,152661,176658,155214,131718,160239
2023-03-20 14:14:00,239187,137773,188420,155213,124012,185738
2023-03-20 14:16:00,236209,169118,175697,156472,160686,159222
2023-03-20 14:18:00,317948,168999,186648,213443,176220,171801
2023-03-20 14:20:00,250074,133393,198747,156416,119865,195258
2023-03-20 14:22:00,266693,159688,206887,157391,135385,193353
2023-03-20 14:24:00,239760,136918,189625,156512,123484,185926
2023-03-20 14:26:00,238814,153665,179139,158995,129892,163305
2023-03-20 14:28:00,318311,170830,184255,210941,178078,170149
2023-03-20 14:30:00,244383,133165,187087,161363,120999,182555
