"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop","tracee-system"
2023-03-22 01:28:00,4712,3449,4485,7915,171,34357,0,4246,422,145,0
2023-03-22 01:32:00,4269,3517,4259,6342,174,33339,0,3807,365,146,0
2023-03-22 01:36:00,10637,3690,5056,8993,177,33000,0,4476,362,145,0
2023-03-22 01:40:00,4337,3948,5787,6332,174,36601,0.218,5084,368,206,0
2023-03-22 01:44:00,4525,3482,5109,6709,167,33400,0,4579,375,145,0
2023-03-22 01:48:00,4719,3432,5519,7976,173,31958,0.219,4696,427,143,0
2023-03-22 01:52:00,4332,3481,9649,6322,179,31291,0,10897,364,786,0
2023-03-22 01:56:00,4439,3442,3910,9920,185,33352,0,4134,369,143,0
2023-03-22 02:00:00,4491,4090,5051,7093,177,31106,0,4444,390,144,0
2023-03-22 02:04:00,4580,3465,5457,7071,184,36230,0,4625,401,230,0
2023-03-22 02:08:00,4255,3515,5362,7085,174,34258,0,4845,383,144,0
2023-03-22 02:12:00,4411,3484,4960,6421,184,34174,0,4399,365,145,0
2023-03-22 02:16:00,4292,3481,4437,9423,166,33571,0,4001,363,144,0
2023-03-22 02:20:00,4526,4095,4668,7005,171,35457,0,3880,395,144,0
2023-03-22 02:24:00,4708,3475,5497,7862,173,34742,0,5064,424,314,0
2023-03-22 02:28:00,4389,3454,5144,6335,179,34239,0,4453,363,146,0
2023-03-22 02:32:00,4425,3455,4991,6330,194,31919,0,4374,362,141,0
2023-03-22 02:36:00,10274,3599,5317,11694,166,32689,0,4713,374,145,0
2023-03-22 02:40:00,4401,3938,4404,6623,182,31191,0,4529,371,143,0
2023-03-22 02:44:00,4637,3455,5557,7292,178,33136,0,5526,411,559,0
2023-03-22 02:48:00,4234,3452,4952,6421,168,36972,0,4428,364,146,0
2023-03-22 02:52:00,4370,3466,5047,6260,187,34092,0,4494,364,144,0
2023-03-22 02:56:00,72427,3974,5965,10080,169,35033,0,5118,391,143,0
2023-03-22 03:00:00,4628,4088,4914,7685,171,34369,0.271,4607,414,144,0
2023-03-22 03:04:00,4296,3436,6300,6337,183,33386,0,5836,364,649,0
2023-03-22 03:08:00,4327,3448,4663,6379,183,35988,0,4073,362,144,0
2023-03-22 03:12:00,4249,3444,5142,6335,193,33615,0,4352,367,144,0
2023-03-22 03:16:00,4440,3496,5257,9848,191,32499,0,4520,394,144,0
2023-03-22 03:20:00,4778,3943,5323,7910,182,34098,0,4757,439,145,0
2023-03-22 03:24:00,4324,3408,7238,6348,190,34699,0,7509,362,740,0
2023-03-22 03:28:00,79103,3452,5328,6372,182,35009,0,3900,363,143,0
2023-03-22 03:32:00,4474,3468,5149,7036,195,33332,0,4642,388,142,0
2023-03-22 03:36:00,10224,3603,5125,11488,185,33850,0,4710,382,145,0
2023-03-22 03:40:00,4639,4063,4967,6966,190,33228,0,4449,404,145,0
2023-03-22 03:44:00,4262,3460,8408,6252,176,31954,0,7509,363,724,0
2023-03-22 03:48:00,4270,3414,4398,6401,201,30927,0,4112,360,144,0
2023-03-22 03:52:00,4572,3389,4427,7057,185,33452,0.194,4005,390,144,0
2023-03-22 03:56:00,72126,3474,11146,9864,176,33958,0,11154,425,958,0
2023-03-22 04:00:00,4323,4067,5068,6396,179,33009,0,4443,363,144,0
2023-03-22 04:04:00,4415,3498,5159,6254,195,34371,0,4559,366,146,0
2023-03-22 04:08:00,4408,3453,4606,6417,184,32887,0,4136,368,144,0.354
2023-03-22 04:12:00,4562,3440,4362,6690,164,35300,0.236,3782,388,144,0
2023-03-22 04:16:00,4854,3491,7595,10133,176,34200,0,7697,432,309,0
2023-03-22 04:20:00,4302,3944,4920,6229,178,36506,0,4249,363,142,0
2023-03-22 04:24:00,82104,3403,5642,6272,175,31806,0,4793,363,144,0
2023-03-22 04:28:00,4506,3453,5186,7062,161,34717,0,4837,397,145,0
2023-03-22 04:32:00,4358,3463,4690,7013,159,35612,0,4253,419,144,0
2023-03-22 04:36:00,10116,3605,5567,10053,170,34190,0,5981,373,251,0
2023-03-22 04:40:00,4375,4072,4731,6280,172,33918,0,4206,363,142,0
2023-03-22 04:44:00,4341,3424,5188,6365,188,35400,0,4435,366,143,0
2023-03-22 04:48:00,4538,3487,5171,7306,183,33530,0,4283,397,145,0
2023-03-22 04:52:00,4815,3482,5070,10802,178,33561,0,4378,432,145,0
2023-03-22 04:56:00,4355,3505,5278,8366,190,34202,0,5454,368,157,0
2023-03-22 05:00:00,4362,3984,4102,6248,172,31469,0.270,3929,363,147,0.375
2023-03-22 05:04:00,4387,3480,4771,6428,166,35638,0,4168,379,143,0.368
2023-03-22 05:08:00,4327,3480,5093,6384,177,35182,0,4536,372,142,0
2023-03-22 05:12:00,4716,3502,5357,7871,184,35350,0,4732,422,145,0
2023-03-22 05:16:00,77430,3431,5704,9466,163,34737,0,5124,366,145,0
2023-03-22 05:20:00,4432,3981,4392,6429,177,34001,0,3685,363,145,0
2023-03-22 05:24:00,4585,3464,4059,7008,170,34245,0,3914,399,145,0
2023-03-22 05:28:00,4770,3522,4937,7845,182,31142,0,4512,430,144,0
2023-03-22 05:32:00,71563,3538,5313,6407,175,35510,0,5078,367,145,0
2023-03-22 05:36:00,10694,3605,5371,10217,185,34206,0,4577,365,144,0
2023-03-22 05:40:00,4364,4028,5117,6305,179,32175,0,4529,365,144,0
2023-03-22 05:44:00,4589,3513,4251,7064,187,34288,0,4341,392,143,0
2023-03-22 05:48:00,70567,3511,4945,8017,176,32757,0,4510,428,142,0
2023-03-22 05:52:00,4281,3512,4957,6335,175,31989,0,4397,369,142,0
2023-03-22 05:56:00,4394,3482,5039,8849,168,33176,0,4491,368,145,0
2023-03-22 06:00:00,4559,4041,5205,7009,177,30580,0,4524,392,149,0
2023-03-22 06:04:00,4420,3502,4914,6288,178,34249,0,4252,365,146,0
2023-03-22 06:08:00,4686,3477,4607,7416,181,33795,0,4460,422,143,0
2023-03-22 06:12:00,4341,3499,4642,6449,175,32998,0,5345,366,145,0.348
2023-03-22 06:16:00,4320,3517,4987,9433,181,33586,0,4325,367,143,0
2023-03-22 06:20:00,4556,4080,5193,7117,176,34909,0,4523,397,220,0
2023-03-22 06:24:00,4696,3515,5090,7725,173,31261,0,4368,434,145,0
2023-03-22 06:28:00,4358,3497,4897,6425,170,33795,0,4304,365,145,0
2023-03-22 06:32:00,4324,3472,4328,6397,181,34944,0,4292,371,142,0
2023-03-22 06:36:00,10591,3603,4372,10476,173,30271,0,3943,367,144,0
2023-03-22 06:40:00,4514,4067,5431,6961,174,34822,0,5020,373,248,0
2023-03-22 06:44:00,4825,3497,5041,7937,177,34639,0,4463,435,147,0
2023-03-22 06:48:00,4339,3486,5086,6478,180,34446,0,4403,366,145,0
2023-03-22 06:52:00,81100,3495,5318,6432,168,36310,0.502,4696,390,143,0
2023-03-22 06:56:00,4595,3503,4548,9720,177,35221,0,3882,402,145,0
2023-03-22 07:00:00,4315,4073,4867,6772,176,34985,0,4586,374,518,0.320
2023-03-22 07:04:00,4725,3519,5169,6976,166,33362,0,4631,396,145,0
2023-03-22 07:08:00,4413,3562,5083,6421,179,33636,0,4373,367,143,0
2023-03-22 07:12:00,4363,3526,4894,6426,182,34832,0,4481,365,144,0
2023-03-22 07:16:00,4601,3527,4791,9414,180,34094,0,3929,394,144,0.433
2023-03-22 07:20:00,4811,4033,4789,7864,189,33613,0,4791,432,596,0
2023-03-22 07:24:00,4347,3538,4787,6359,175,34200,0,4240,367,145,0
2023-03-22 07:28:00,4254,3477,5169,6425,174,33677,0,4110,364,145,0
2023-03-22 07:32:00,4368,3497,5020,7062,161,36562,0,4609,395,145,0
2023-03-22 07:36:00,10246,3637,5145,9700,180,33871,0,4538,365,146,0
2023-03-22 07:40:00,68606,3991,6637,7938,177,34028,0,6232,426,613,0
2023-03-22 07:44:00,4420,3483,3849,6340,180,30798,0,4054,367,144,0
2023-03-22 07:48:00,4383,3484,5117,6374,170,33253,0,4433,365,145,0
