"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop","tracee-system"
2023-03-21 20:28:00,4523,6870,994398,28235,549,68364,0,565242,13156,2017,0
2023-03-21 20:32:00,4710,6983,842395,31347,541,67203,0,556000,14269,2046,0
2023-03-21 20:36:00,11282,7082,1063509,35477,589,68740,0,644282,11992,2055,0
2023-03-21 20:40:00,4375,8116,998217,25234,506,66259,0,614837,12032,1993,0
2023-03-21 20:44:00,4387,7024,1040024,25300,530,67397,1.06,594013,12043,2019,0
2023-03-21 20:48:00,80436,6972,1052184,29030,489,69502,0,653160,12275,2014,0
2023-03-21 20:52:00,4861,6845,1985885,31170,510,71331,0,1461944,14362,7886,0
2023-03-21 20:56:00,4380,7029,891068,37873,536,69288,0,544054,12037,1979,0
2023-03-21 21:00:00,4343,8040,1027109,25179,556,66298,1.04,598205,11985,2038,0
2023-03-21 21:04:00,4503,6994,1400674,27998,521,69522,0,1010441,12992,9751,0.955
2023-03-21 21:08:00,4464,6934,1017643,27769,514,69321,0,671007,12238,1995,0
2023-03-21 21:12:00,67902,6904,1063868,25453,523,64254,0,671819,12713,2027,0
2023-03-21 21:16:00,4379,6917,854568,36043,559,73643,0,579504,12094,1997,0
2023-03-21 21:20:00,4227,7939,1002758,24934,524,66944,0,620072,11903,2019,0
2023-03-21 21:24:00,4553,6963,1762348,94665,527,63169,0,1268002,12917,9949,0
2023-03-21 21:28:00,4744,6952,1028451,31886,547,64801,0,604957,14552,1999,0
2023-03-21 21:32:00,4416,6936,992669,25416,522,65417,0,627883,11937,1996,0
2023-03-21 21:36:00,10452,7130,876348,37114,562,70702,0,618104,12465,2032,0
2023-03-21 21:40:00,4367,8111,817797,25915,546,73033,0,526406,12210,2030,0
2023-03-21 21:44:00,4299,7014,1800418,25418,543,66136,0,1278104,12241,5958,0
2023-03-21 21:48:00,4840,6936,1025489,30311,522,65599,1.23,656237,14019,1988,0
2023-03-21 21:52:00,4357,6903,1037574,25060,530,67386,1.21,601704,11936,2024,1.18
2023-03-21 21:56:00,4334,6973,1459261,42900,552,68836,0,1000598,11991,5097,0
2023-03-21 22:00:00,4568,8052,1006049,28132,515,65576,0,574252,12822,2033,0
2023-03-21 22:04:00,4549,6892,839887,30110,513,62597,0,530316,13517,1999,0
2023-03-21 22:08:00,4368,6863,1057291,25522,576,71310,0,617975,11920,1995,0
2023-03-21 22:12:00,4348,6886,1022147,25579,515,67608,0,650234,12489,2017,0
2023-03-21 22:16:00,4449,6937,1278346,33870,506,67635,0,831102,12079,3428,0
2023-03-21 22:20:00,4663,8136,1004172,27817,571,68102,0,638256,13089,1995,0
2023-03-21 22:24:00,4777,6907,978280,30691,536,64835,0,598566,14253,2025,0
2023-03-21 22:28:00,4388,7013,844917,25306,504,71819,0,504381,11872,2003,0
2023-03-21 22:32:00,4351,6877,997617,25148,502,68207,0,627320,12033,2059,0
2023-03-21 22:36:00,10848,7102,1131511,39859,519,72834,0,701270,12968,2811,0
2023-03-21 22:40:00,4349,7004,1024263,26457,526,69080,0,621234,12551,2023,0
2023-03-21 22:44:00,4610,6919,939870,27514,532,68482,1.26,608235,13394,2003,0
2023-03-21 22:48:00,4281,6934,829092,25703,559,67640,0,528833,12030,1999,0
2023-03-21 22:52:00,4390,6939,1016839,25045,516,67468,0,577467,11900,1996,0
2023-03-21 22:56:00,4476,6919,1040900,43933,531,72179,0,652310,13136,2087,0
2023-03-21 23:00:00,4856,8349,1013800,31044,569,72698,0.918,664406,13935,2002,0.869
2023-03-21 23:04:00,4302,6975,1033402,25016,554,71217,0,628254,11888,2022,0
2023-03-21 23:08:00,4258,6962,817043,25329,534,67400,0,639112,12043,2014,0
2023-03-21 23:12:00,4359,6993,898941,25441,549,72548,0,571243,12080,2012,0
2023-03-21 23:16:00,4484,6892,992985,38817,511,70416,0,635285,12451,2017,0
2023-03-21 23:20:00,4764,7990,1045240,31247,558,62956,0,621670,14008,2025,0
2023-03-21 23:24:00,4334,6861,989690,25153,523,65926,0,592702,12138,2009,0
2023-03-21 23:28:00,4330,6919,1026103,25674,571,64391,0,620673,12019,3155,0
2023-03-21 23:32:00,4629,6900,839954,28432,534,66043,0,531720,13096,2031,0
2023-03-21 23:36:00,10494,7096,907865,42097,504,69852,0,554644,13374,1993,0
2023-03-21 23:40:00,4680,8045,1031344,28186,538,66943,0,619807,12648,2047,0
2023-03-21 23:44:00,4268,7012,960586,25004,559,67752,0.987,604070,11975,2024,0
2023-03-21 23:48:00,4299,6931,1218934,25499,563,67214,0,796916,11971,7587,0
2023-03-21 23:52:00,4607,6970,1113227,28468,493,63075,2.26,643961,13042,2020,1.07
2023-03-21 23:56:00,4776,6990,964689,47071,528,72106,0,594539,14128,2039,0
2023-03-22 00:00:00,4354,8032,880440,24959,543,68714,0,522771,12068,1991,0
2023-03-22 00:04:00,4298,6920,986154,25351,514,64545,0,586864,12024,2007,0
