"Time","0(192.168.0.211:10250)","0(192.168.0.211:6443)","200(192.168.0.211:10250)","200(192.168.0.211:6443)","201(192.168.0.211:10250)","201(192.168.0.211:6443)","403(192.168.0.211:10250)","403(192.168.0.211:6443)","404(192.168.0.211:10250)","404(192.168.0.211:6443)","409(192.168.0.211:10250)","409(192.168.0.211:6443)","422(192.168.0.211:10250)","422(192.168.0.211:6443)","500(192.168.0.211:10250)","500(192.168.0.211:6443)","503(192.168.0.211:10250)","503(192.168.0.211:6443)","504(192.168.0.211:10250)","504(192.168.0.211:6443)"
2023-03-23 04:16:00,0,0,22.7,22.8,0.361,0.366,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 04:18:00,0,0,22.7,22.7,0.372,0.367,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 04:20:00,0,0,23.8,23.8,0.411,0.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 04:22:00,0,0,23.0,23.0,0.389,0.383,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 04:24:00,0,0,22.8,22.7,0.367,0.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 04:26:00,0,0,23.1,23.0,0.389,0.383,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 04:28:00,0,0,22.8,22.8,0.389,0.378,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 04:30:00,0,0,23.1,23.1,0.411,0.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 04:32:00,0,0,22.8,22.8,0.394,0.394,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 04:34:00,0,0,22.8,22.7,0.411,0.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 04:36:00,0,0,23.1,23.1,0.411,0.411,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 04:38:00,0,0,23.0,22.9,0.389,0.389,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 04:40:00,0,0,22.8,22.7,0.383,0.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 04:42:00,0,0,23.0,22.8,0.361,0.367,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 04:44:00,0,0,23.0,23.1,0.383,0.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 04:46:00,0,0,22.9,22.9,0.383,0.394,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 04:48:00,0,0,22.9,22.8,0.383,0.383,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
