"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (eno1)","Transmit Total (eno2)","Transmit Total (lxc065c53ebb186)","Transmit Total (lxc112201e91bdd)","Transmit Total (lxc31a18ef1c7a9)","Transmit Total (lxc4bc7dd70a645)","Transmit Total (lxc56ca4202df8d)","Transmit Total (lxc5a79d5ba43a7)","Transmit Total (lxc60183762415c)","Transmit Total (lxc671f68b87d4c)","Transmit Total (lxc6742cb9c73e8)","Transmit Total (lxc677514151648)","Transmit Total (lxc6878f18c3bad)","Transmit Total (lxc6a5ee68e74ae)","Transmit Total (lxc6df0a0a9ae16)","Transmit Total (lxc711d9d9ccaed)","Transmit Total (lxc77e316fd9553)","Transmit Total (lxc7b296e734ec5)","Transmit Total (lxc7dc8d2fe1b5f)","Transmit Total (lxc7de4e72c399e)","Transmit Total (lxc886931b76f29)","Transmit Total (lxc_health)","Transmit Total (lxcba5d8dc031d5)","Transmit Total (lxcbf44a8db0d00)","Transmit Total (lxcd1a0550bd660)","Transmit Total (lxcd980b65d7e59)","Transmit Total (lxcda5bb31ba605)","Transmit Total (lxcdea961bf232d)","Transmit Total (lxceb50a9da2ffb)","Transmit Total (lxceec6fd46dfaf)","Transmit Total (lxcf2945b926349)","Transmit Total (lxcfae62b1bb3cc)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (eno1)","Receive Total (eno2)","Receive Total (lxc065c53ebb186)","Receive Total (lxc112201e91bdd)","Receive Total (lxc31a18ef1c7a9)","Receive Total (lxc4bc7dd70a645)","Receive Total (lxc56ca4202df8d)","Receive Total (lxc5a79d5ba43a7)","Receive Total (lxc60183762415c)","Receive Total (lxc671f68b87d4c)","Receive Total (lxc6742cb9c73e8)","Receive Total (lxc677514151648)","Receive Total (lxc6878f18c3bad)","Receive Total (lxc6a5ee68e74ae)","Receive Total (lxc6df0a0a9ae16)","Receive Total (lxc711d9d9ccaed)","Receive Total (lxc77e316fd9553)","Receive Total (lxc7b296e734ec5)","Receive Total (lxc7dc8d2fe1b5f)","Receive Total (lxc7de4e72c399e)","Receive Total (lxc886931b76f29)","Receive Total (lxc_health)","Receive Total (lxcba5d8dc031d5)","Receive Total (lxcbf44a8db0d00)","Receive Total (lxcd1a0550bd660)","Receive Total (lxcd980b65d7e59)","Receive Total (lxcda5bb31ba605)","Receive Total (lxcdea961bf232d)","Receive Total (lxceb50a9da2ffb)","Receive Total (lxceec6fd46dfaf)","Receive Total (lxcf2945b926349)","Receive Total (lxcfae62b1bb3cc)"
2023-03-11 08:20:00,0,71.1,6658,35208,0,1889,0,67.5,0,38.5,2646,3.67,0,446,19,19,1899,116,0,89.8,466,31.5,0,1793,32.1,111,1926,142,0,453,38.5,7002,405,66.8,4444,71.1,0,2884,25442,0,177,0,42.1,0,19,2652,3.80,0,251,38.5,38.5,200,247,0,95,260,20.8,0,98.4,26.0,19,177,94.5,0,253,19,1034,580,41.4,1362
2023-03-11 08:22:00,0,69.6,7483,61533,0,1683,51.2,66.4,0,38.5,1072,3.67,0,447,19,365,1730,102,0,90.5,468,30.7,0,513,31.9,116,1735,143,0,453,687,8149,411,66.4,27619,69.6,0,24133,74817,0,178,30.6,41.4,0,19,1073,3.80,0,253,38.5,602,213,232,0,95,261,19.7,0,92.6,25.7,20.0,181,95.9,0,253,464,1153,582,41,1977
2023-03-11 08:24:00,0,70.4,9076,62686,0,1876,51.2,68.2,0,38.5,2658,3.90,0,449,19,365,1907,189,0,89.8,467,34.3,0,271,31.6,127,1897,143,0,454,687,8925,410,67.9,4439,70.4,0,25748,53629,0,193,30.6,42.6,0,19.4,2657,4.03,0,260,38.5,602,205,261,0,95,260,29.3,0,81.2,25.5,21.9,206,95.9,0,255,464,1132,582,41.8,1358
2023-03-11 08:26:00,0,69.3,5096,33595,0,1684,0,64.6,0,38.5,1081,3.90,0,444,19,19,1718,193,0,89.8,466,32.1,0,1375,31.6,127,1714,143,0,453,38.5,6596,406,64.2,4260,69.3,0,1344,22117,0,196,0,40.2,0,19.4,1075,4.03,0,255,38.5,38.5,196,265,0,95,265,26.6,0,105,25.5,26.8,192,96.3,0,259,19,1033,582,39.4,1352
2023-03-11 08:28:00,0,70,6650,35661,0,2791,0.600,65.7,0,38.5,3126,4.13,0,446,19,19,2520,105,0,91.6,466,326,0,2861,32.0,127,2540,143,0,452,38.5,11144,403,66.1,6536,70,0,2879,36059,0,205,0.600,40.6,0,19,2665,4.27,0,251,38.5,38.5,199,234,0,94.6,260,24.4,0,127,25.5,21.9,201,96.3,0,251,19,1267,582,41.4,1504
2023-03-11 08:30:00,0,71.8,6660,35590,0,2119,0.233,65.0,0.389,38.5,2786,4.37,0,447,19,19,2072,103,0,91.2,453,83.6,0,1586,32.0,127,2081,143,0,440,38.5,9299,405,64.2,6191,71.8,0,2893,30049,0,203,0.233,40.2,0,19,2656,4.50,0,253,38.5,38.5,221,233,0,94.6,252,21.9,0,107,25.5,21.9,186,95.9,0,246,19,1219,582,39.8,1504
2023-03-11 08:32:00,0,71.1,7481,60896,0,1700,49.0,66.4,0.389,38.5,1099,4.37,0,449,19,371,1723,102,0,90.9,454,31.5,0,72.1,31.6,127,1719,143,0,440,700,9163,406,66.1,4262,71.1,0,24201,50989,0,163,30.6,41.4,0,19,1082,4.50,0,255,38.5,614,193,232,0,95,253,20.6,0,70.6,25.5,21.9,165,95.9,0,246,468,1174,582,40.6,1371
2023-03-11 08:34:00,0,71.1,8806,62606,0,11455,49.0,67.2,0,38.5,7217,4.13,0,445,19,371,6798,195,0,90.1,463,4722,0.389,257,32.1,127,6810,143,0,453,700,26347,408,66.4,9245,71.1,0,25533,106656,0,186,30.6,42.1,0,19,2414,4.27,0,249,38.5,614,207,260,0,95,260,37.6,0,73.9,26.0,21.9,200,95.9,0,253,468,1280,582,41,1386
2023-03-11 08:36:00,0.389,70.7,5118,33876,0,2396,0,67.2,0,38.5,1445,4.13,0,434,19,19,2168,198,0.389,90.5,470,326,0,84.9,32.3,116,2122,143,0,455,38.9,10391,408,67.2,4608,70.7,0.389,1355,27238,0,182,0,42.1,0,19,1085,4.27,0,244,38.5,38.5,235,274,0,95.4,262,26.2,0,77.9,26.2,20.0,182,95.9,0,256,19,1229,582,42.1,1389
2023-03-11 08:38:00,0,70,6673,35626,0,1894,0.600,66.1,0,38.5,2671,3.90,0,435,19,19,1974,105,0,90.9,468,36.8,0,257,32.3,122,1908,143,0,454,38.5,11703,409,65.7,4454,70,0,2888,28647,0,201,0.600,41,0,19,2658,4.03,0,246,38.5,38.5,236,242,0,95,261,22.2,0,74.2,26.2,20.9,190,95.9,0,254,19,1315,582,40.6,1379
2023-03-11 08:40:00,0,70.4,6667,35290,0,1889,0.600,66.1,0,38.5,2667,3.90,0,447,19.0,19.0,1914,103,0,90.5,467,32.1,0,271,32.3,127,1914,143,0.389,454,38.5,7060,408,66.1,4449,70.4,0,2891,23947,0,195,0.600,40.6,0,19.0,2654,4.03,0,253,38.5,38.5,185,232,0,95.0,260,21.7,0,81.2,26.2,21.9,213,95.9,0.389,253,19.0,1065,582,40.6,1361
2023-03-11 08:42:00,0,70.7,7473,60720,0,1691,42.0,66.1,0,38.5,1089,3.90,0,446,19,346,1705,102,0,90.5,468,30.7,0,88.2,32.3,133,1717,143,0,453,669,6677,407,65.7,4257,70.7,0,24151,48387,0,175,28.1,40.6,0,19,1080,4.03,0,251,38.9,591,179,232,0,95,261,19.7,0,85.4,26.2,23.2,176,95.9,0,253,434,1060,582,40.3,1374
2023-03-11 08:44:00,0,70,9072,63266,0,1886,47.1,68.2,0,38.9,2664,4.37,0,446,19.4,387,1914,192,0,90.5,469,32.1,0,256,32.3,132,1913,143,0,453,741,7168,406,67.5,27861,70,0,25751,75997,0,173,30.6,42.6,0.389,19,2657,4.50,0.389,256,38.5,656,196,261,0.389,95,262,21.4,0,73.9,26.2,22.8,182,95.9,0,253,486,1096,582,41.5,2040
2023-03-11 08:46:00,0,69.6,5105,33577,0,1729,0,63.5,0,38.9,1076,4.76,0,447,19.4,19,1742,196,0,89.8,467,33.9,0,85.3,32.3,138,1753,143,0,452,38.5,6668,407,64.2,4319,69.6,0,1338,20927,0,148,0,39.1,0.389,19,1075,4.50,0.389,258,38.5,38.5,173,265,0.389,95,261,23.4,0.389,77.9,26.2,23.8,173,95.9,0,252,19.4,1053,583,39.4,1381
2023-03-11 08:48:00,0,70,6660,35245,0,1891,0.600,65.7,0,38.5,2653,4.76,0.389,449,19,19,1904,105,0,90.5,468,32.5,0,257,32.3,133,1907,143,0,453,38.5,7015,409,66.1,4441,70,0,2876,23912,0,168,0.600,40.6,0,19,2653,4.50,0,254,38.5,38.5,189,234,0,95,261,21.9,0.389,74.2,26.2,22.8,181,95.9,0,254,19.4,1048,583,40.6,1368
2023-03-11 08:50:00,0,70.7,6659,35265,0,1869,0.600,66.1,0,38.5,2651,3.90,0.389,445,19,19,1899,102,0,89.8,466,30.7,0,256,32.3,133,1897,142,0,455,38.5,6960,407,66.4,4434,70.7,0,2874,23609,0,158,0.600,41,0,19,2651,4.03,0,249,38.5,38.5,189,232,0,95,259,20.1,0,74.3,26.2,22.8,186,94.5,0,255,19,1073,580,41,1381
2023-03-11 08:52:00,0,70.4,6896,55584,0,1675,0.389,65.3,0,38.5,1074,3.90,0,446,19,19,1697,103,0,90.5,468,32.9,0,85.3,32.3,133,1711,143,0,456,38.5,6679,410,65.7,4237,70.4,0,19847,42901,0,170,0,40.3,0,19,1080,4.03,0,251,38.5,38.5,198,233,0,94.6,261,22.4,0,78.3,26.2,22.8,185,95.9,0,257,19,1086,582,40.3,1377
2023-03-11 08:54:00,0,70.7,9067,62504,0,1881,48.3,68.2,0,38.5,2653,3.67,0,447,19,389,1892,189,0,89.4,465,33.7,0,257,32.3,132,1897,143,0,453,752,7036,408,68.6,4429,70.7,0,25704,51538,0,174,30.6,43.3,0,19,2661,4.19,0,253,38.5,668,188,261,0,95,259,23.3,0,74.2,26.2,22.8,178,95.9,0,253,487,1078,582,43.0,1371
2023-03-11 08:56:00,0,71.1,5632,34140,0,1786,0,66.1,0,38.5,1598,3.90,0,447,19,19.4,1800,193,0,89.8,460,30.7,0,151,32.3,127,1812,143,0,446,38.5,6802,407,66.4,4377,71.1,0,1864,21853,0,158,0,41,0,19,1599,4.42,0,253,38.5,38.5,186,265,0,95,254,19.7,0,79.0,26.2,21.9,180,95.9,0,247,19,1051,582,41.8,1384
2023-03-11 08:58:00,0,71.1,6143,34795,0,1808,0.600,64.2,0,38.5,2127,4.13,0,443,19,19,1840,104,0,89.8,467,30.7,0,723,32.3,121,1835,143,0,451,38.5,6932,407,64.6,5991,71.1,0,2366,24979,0,169,0.600,39.4,0,19,2127,4.27,0,247,38.5,38.5,198,234,0,95,261,19.7,0,94.3,26.2,20.9,181,95.9,0,251,19,1053,582,39.8,1487
2023-03-11 09:00:00,0,70,6659,35349,0,1874,0.600,66.4,0,38.5,2652,4.13,0,444,19,19,1891,102,0,89.4,466,31.5,0,776,32.3,122,1898,143,0,454,38.5,6991,409,66.4,6049,70,0,2874,25890,0,163,0.600,41,0,19,2653,4.27,0,249,38.5,38.5,182,232,0,95,259,20.6,0,88.1,26.2,20.9,172,95.9,0,253,19,1053,582,41,1489
2023-03-11 09:02:00,0,70,6346,48733,0,1693,0,66.4,0,38.5,1072,4.13,0,437,19,19,1707,102,0,90.9,466,33.7,0,271,32.3,122,1717,143,0,454,38.5,6638,409,66.4,4240,70,0,14145,36203,0,153,0,41,0,19,1073,4.27,0,248,38.5,38.5,166,232,0,94.6,260,23.6,0,88.0,26.2,20.9,160,95.9,0,255,19,1054,582,41,1376
2023-03-11 09:04:00,0,70.7,9074,63197,0,1873,47.9,66.8,0,38.5,2652,4.37,0,436,19,363,1893,191,0,89.8,463,30.7,0,256,32.3,133,1908,143,0,453,691,7084,407,66.1,27771,70.7,0,25671,75700,0,168,30.6,41.4,0,19,2652,4.50,0,248,38.5,607,186,261,0,95,258,19.7,0,73.9,26.2,22.8,193,95.9,0,253,459,1076,582,40.6,2015
2023-03-11 09:06:00,0,70.7,5625,34352,0,1774,0,68.6,0,38.5,1599,4.37,0,445,19,19,1820,9817,0,90.1,467,32.1,0,391,32.3,133,1810,143,0,454,38.5,6828,406,68.2,4359,70.7,0,1853,32163,0,136,0,42.9,0,19,1608,4.50,0,249,38.5,38.5,204,340,0,95,260,21.6,0,83.3,26.2,22.8,186,95.9,0,260,19,1084,582,42.2,1383
2023-03-11 09:08:00,0,71.1,5093,33601,0,1698,0.600,65.7,0,38.5,1073,3.90,0,445,19,19,1722,105,0,89.8,465,32.9,0,1866,32.1,127,1713,143,0,454,38.5,6638,409,66.4,4244,71.1,0,1315,22481,0,148,0.600,41.4,0,19,1079,4.03,0,254,38.5,38.5,192,234,0,95,259,27.4,0,106,26.0,21.9,153,95.9,0,260,19,1039,582,41,1371
