"Time","cattle-monitoring-system","cattle-system","cilium-monitoring","default","kube-system","longhorn-system","sock-shop","tracee-system"
2023-03-11 14:32:00,14303,108766,33676,0,0,0,7431,0
2023-03-11 14:36:00,14051,116080,15524,0,0,0,8133,0
2023-03-11 14:40:00,13395,104753,15413,0,0,0,7751,0
2023-03-11 14:44:00,12603,79283,15453,0,0,0,7746,0
2023-03-11 14:48:00,15062,41679,15444,0,0,0,8116,0
2023-03-11 14:52:00,14567,115803,15246,0,0,0,7451,0
2023-03-11 14:56:00,15886,114483,15575,0,0,0,7782,0
2023-03-11 15:00:00,16426,109553,15500,0,0,0,7776,0
2023-03-11 15:04:00,116900,60498,51768,0,0,0,7581,0
2023-03-11 15:08:00,16847,57702,15488,0,0,0,8096,0
2023-03-11 15:12:00,17001,112776,15562,0,0,0,7641,0
2023-03-11 15:16:00,15812,113945,15254,0,0,0,7662,0
2023-03-11 15:20:00,14640,111053,15402,0,0,0,8075,0
2023-03-11 15:24:00,15870,62436,15664,0,0,0,7519,0
2023-03-11 15:28:00,14507,58602,15403,0,0,0,8267,0
2023-03-11 15:32:00,15733,111879,32692,0,0,0,7696,0
2023-03-11 15:36:00,17195,120582,15619,0,0,0,7767,0
2023-03-11 15:40:00,16458,109788,15316,0,0,0,8008,0
2023-03-11 15:44:00,16045,89997,33169,0,0,0,7615,0
2023-03-11 15:48:00,16907,33407,15391,0,0,0,8008,0
2023-03-11 15:52:00,16119,114331,15580,0,0,0,7762,0
2023-03-11 15:56:00,16507,113098,15485,0,0,0,7657,0
2023-03-11 16:00:00,17077,107719,15255,0,0,0,7912,0
2023-03-11 16:04:00,227604,62443,143313,0,0,0,7637,0
2023-03-11 16:08:00,15485,59210,15968,0,0,0,8008,0
2023-03-11 16:12:00,17934,106623,15064,0,0,0,8507,0
2023-03-11 16:16:00,14589,108182,15768,0,0,0,8658,0
2023-03-11 16:20:00,15907,106058,33257,0,0,0,8022,0
2023-03-11 16:24:00,12858,86547,15379,0,0,0,7613,0
2023-03-11 16:28:00,14116,30526,15652,0,0,0,7959,0
2023-03-11 16:32:00,15478,103364,32218,0,0,0,7518,0
2023-03-11 16:36:00,17288,113502,15409,0,0,0,7649,0
2023-03-11 16:40:00,15727,105815,15925,0,0,0,7874,0
2023-03-11 16:44:00,16873,66227,15038,0,0,0,7738,0
2023-03-11 16:48:00,15179,57808,15724,0,0,0,7903,0
2023-03-11 16:52:00,18009,113009,15641,0,0,0,7828,0
2023-03-11 16:56:00,14149,114054,15462,0,0,0,7698,0
2023-03-11 17:00:00,17051,109081,15272,0,0,0,7935,0
2023-03-11 17:04:00,135618,90199,50090,0,0,0,7659,0
2023-03-11 17:08:00,16847,31589,15517,0,0,0,8796,0
2023-03-11 17:12:00,16803,112619,15125,0,0,0,9120,0
2023-03-11 17:16:00,15723,116669,15577,0,0,0,7825,0
2023-03-11 17:20:00,17330,107809,15972,0,0,0,7859,0
2023-03-11 17:24:00,16981,63940,15193,0,0,0,7566,0
2023-03-11 17:28:00,16702,60816,15852,0,0,0,8042,0
2023-03-11 17:32:00,16888,137114,33013,0,0,0,7779,0
2023-03-11 17:36:00,16776,112776,15660,0,0,0,7742,0
2023-03-11 17:40:00,17063,108606,15527,0,0,0,8838,0
2023-03-11 17:44:00,15562,105631,33080,0,0,0,7870,0
2023-03-11 17:48:00,17665,14197,15402,0,0,0,7941,0
2023-03-11 17:52:00,16342,114109,15678,0,0,0,7822,0
2023-03-11 17:56:00,16929,117257,15357,0,0,0,7808,0
2023-03-11 18:00:00,16999,107190,15929,0,0,0,7872,0
2023-03-11 18:04:00,547193,108203,415594,0,0,0,7758,0
2023-03-11 18:08:00,16407,33558,15417,0,0,0,7668,0
2023-03-11 18:12:00,14142,112663,15728,0,0,0,8137,0
2023-03-11 18:16:00,15905,115791,15467,0,0,0,7709,0
2023-03-11 18:20:00,16013,105733,15619,0,0,0,7776,0
2023-03-11 18:24:00,15404,111448,15218,0,0,0,7746,0
2023-03-11 18:28:00,16525,41905,15627,0,0,0,7945,0
2023-03-11 18:32:00,16259,81558,33308,0,0,0,7892,0
2023-03-11 18:36:00,14877,114517,15593,0,0,0,7641,0
2023-03-11 18:40:00,15387,105728,15676,0,0,0,7806,0
2023-03-11 18:44:00,12862,104654,15075,0,0,0,7703,0
2023-03-11 18:48:00,14398,58872,15568,0,0,0,7869,0
2023-03-11 18:52:00,14115,86942,15649,0,0,0,7968,0
2023-03-11 18:56:00,14384,116742,15367,0,0,0,7667,0
2023-03-11 19:00:00,12557,109412,15607,0,0,0,7770,0
2023-03-11 19:04:00,137889,104925,51801,0,0,0,7977,0
2023-03-11 19:08:00,13127,42181,15685,0,0,0,7824,0
2023-03-11 19:12:00,14156,85731,15266,0,0,0,7851,0
2023-03-11 19:16:00,17256,113968,15675,0,0,0,8276,0
2023-03-11 19:20:00,16845,103750,15560,0,0,0,7851,0
2023-03-11 19:24:00,16196,96078,15373,0,0,0,7669,0
2023-03-11 19:28:00,16295,13707,15503,0,0,0,7705,0
2023-03-11 19:32:00,17028,86923,33699,0,0,0,7974,0
2023-03-11 19:36:00,12093,117091,15490,0,0,0,7726,0
2023-03-11 19:40:00,16631,103548,15255,0,0,0,7748,0
2023-03-11 19:44:00,14287,105770,33068,0,0,0,7849,0
2023-03-11 19:48:00,16506,14672,15428,0,0,0,7675,0
2023-03-11 19:52:00,16298,89616,15514,0,0,0,7800,0
2023-03-11 19:56:00,15810,113202,15548,0,0,0,7518,0
2023-03-11 20:00:00,18129,108259,15471,0,0,0,7646,0
2023-03-11 20:04:00,266249,103665,146725,0,0,0,7647,0
2023-03-11 20:08:00,16281,40555,15511,0,0,0,7873,0
2023-03-11 20:12:00,16619,87827,15551,0,0,0,7898,0
2023-03-11 20:16:00,13517,115890,15292,0,0,0,7676,0
2023-03-11 20:20:00,13866,108254,33371,0,0,0,7773,0
2023-03-11 20:24:00,14207,104167,15372,0,0,0,7800,0
2023-03-11 20:28:00,14397,60030,15757,0,0,0,7752,0
2023-03-11 20:32:00,14147,66748,32865,0,0,0,7875,0
2023-03-11 20:36:00,14528,111647,15023,0,0,0,7773,0
2023-03-11 20:40:00,14360,108483,15962,0,0,0,7708,0
2023-03-11 20:44:00,13960,101383,15280,0,0,0,7709,0
2023-03-11 20:48:00,15113,34253,15737,0,0,0,7798,0
2023-03-11 20:52:00,13185,111145,15173,0,0,0,7986,0
2023-03-11 20:56:00,14253,114237,15614,0,0,0,7688,0
2023-03-11 21:00:00,13318,104657,15580,0,0,0,7624,0
2023-03-11 21:04:00,156447,101260,49701,0,0,0,7957,0
2023-03-11 21:08:00,14031,34377,15552,0,0,0,7785,0
2023-03-11 21:12:00,17259,114172,15377,0,0,0,7950,0
2023-03-11 21:16:00,15964,110370,15468,0,0,0,7699,0
2023-03-11 21:20:00,17231,110030,15775,0,0,0,7928,0
2023-03-11 21:24:00,17055,104705,15238,0,0,0,7799,0
2023-03-11 21:28:00,16013,34217,15436,0,0,0,7948,0
2023-03-11 21:32:00,16814,111528,33137,0,0,0,7783,0
2023-03-11 21:36:00,16765,109677,15196,0,0,0,7925,0
2023-03-11 21:40:00,14438,116104,15912,0,0,0,7389,0
2023-03-11 21:44:00,14712,100472,32867,0,0,0,7809,0
2023-03-11 21:48:00,15958,40975,15295,0,0,0,7818,0
2023-03-11 21:52:00,14066,87302,15590,0,0,0,8679,0
2023-03-11 21:56:00,16632,117025,15505,0,0,0,8691,0
