"Time","cattle-monitoring-system","cattle-system","cilium-monitoring","default","falco","kube-system","longhorn-system","sock-shop"
2023-03-04 11:00:00,19193,109895,15487,0,0,0,0,7592
2023-03-04 11:04:00,86065,53788,51689,0,0,0,0,9362
2023-03-04 11:08:00,17703,60537,15688,0,0,0,0,7721
2023-03-04 11:12:00,22012,114247,15923,0,0,0,0,8224
2023-03-04 11:16:00,19477,114360,15609,0,0,0,0,8032
2023-03-04 11:20:00,16981,109857,15880,0,0,0,0,7515
2023-03-04 11:24:00,19138,54235,15918,0,0,0,0,8533
2023-03-04 11:28:00,19190,59761,15997,0,0,0,0,7695
2023-03-04 11:32:00,22234,116496,32883,0,0,0,0,8011
2023-03-04 11:36:00,14177,112881,16150,0,0,0,0,8045
2023-03-04 11:40:00,15755,111514,15852,0,0,0,0,7528
2023-03-04 11:44:00,18175,69293,33775,0,0,0,0,8456
2023-03-04 11:48:00,19523,44103,16092,0,0,0,0,7922
2023-03-04 11:52:00,22032,114240,15640,0,0,0,0,8111
2023-03-04 11:56:00,16912,113506,16057,0,0,0,0,7906
2023-03-04 12:00:00,19442,115793,15910,0,0,0,0,7790
2023-03-04 12:04:00,17107,53292,33786,0,0,0,0,8381
2023-03-04 12:08:00,17293,62197,15688,0,0,0,0,7659
2023-03-04 12:12:00,16389,114639,15926,0,0,0,0,7870
2023-03-04 12:16:00,18155,113352,15727,0,0,0,0,9962
2023-03-04 12:20:00,17023,116038,15859,0,0,0,0,7635
2023-03-04 12:24:00,17524,46749,34312,0,0,0,0,8133
2023-03-04 12:28:00,19254,64202,15645,0,0,0,0,7829
2023-03-04 12:32:00,22173,116552,15805,0,0,0,0,7716
2023-03-04 12:36:00,17433,113743,15874,0,0,0,0,8283
2023-03-04 12:40:00,18967,110079,16035,0,0,0,0,7583
2023-03-04 12:44:00,20107,53966,32964,0,0,0,0,8053
2023-03-04 12:48:00,17160,59042,15808,0,0,0,0,7728
2023-03-04 12:52:00,21561,119716,15839,0,0,0,0,7761
2023-03-04 12:56:00,20209,111808,15960,0,0,0,0,7975
2023-03-04 13:00:00,19698,113052,15873,0,0,0,0,7577
2023-03-04 13:04:00,162245,53313,109564,0,0,0,0,7995
2023-03-04 13:08:00,16472,59488,15511,0,0,0,0,7746
2023-03-04 13:12:00,228881,113310,16012,0,0,0,0,7840
2023-03-04 13:16:00,16710,113861,15815,0,0,0,0,8099
2023-03-04 13:20:00,16776,113052,15828,0,0,0,0,7565
2023-03-04 13:24:00,17758,24420,33020,0,0,0,0,7924
2023-03-04 13:28:00,19630,87745,16031,0,0,0,0,7742
2023-03-04 13:32:00,19369,115197,32808,0,0,0,0,7800
2023-03-04 13:36:00,15388,112268,16005,0,0,0,0,7928
2023-03-04 13:40:00,20008,110326,15681,0,0,0,0,7779
2023-03-04 13:44:00,20445,49566,15861,0,0,0,0,7771
2023-03-04 13:48:00,14168,63728,15605,0,0,0,0,7828
2023-03-04 13:52:00,16512,115988,16121,0,0,0,0,7721
2023-03-04 13:56:00,16587,110404,15872,0,0,0,0,8024
2023-03-04 14:00:00,17654,113251,15970,0,0,0,0,7612
2023-03-04 14:04:00,286116,46850,152260,0,0,0,0,8157
2023-03-04 14:08:00,21160,65166,16028,0,0,0,0,7650
2023-03-04 14:12:00,17323,113638,15962,0,0,0,0,7869
2023-03-04 14:16:00,14578,112908,33475,0,0,0,0,8087
2023-03-04 14:20:00,21148,113717,15804,0,0,0,0,7493
2023-03-04 14:24:00,19999,47983,16310,0,0,0,0,8136
2023-03-04 14:28:00,16485,64534,15932,0,0,0,0,7734
2023-03-04 14:32:00,21518,114375,32597,0,0,0,0,7827
2023-03-04 14:36:00,18767,118041,15749,0,0,0,0,8058
2023-03-04 14:40:00,19296,112644,15863,0,0,0,0,7724
