"Time","sum(irate({__name__=~""node_cpu_seconds_total|windows_cpu_time_total"",mode!=""idle""}[5m]))"
2023-03-11 08:00:00,2.11
2023-03-11 08:20:00,2.13
2023-03-11 08:40:00,2.06
2023-03-11 09:00:00,2.09
2023-03-11 09:20:00,2.15
2023-03-11 09:40:00,2.06
2023-03-11 10:00:00,2.05
2023-03-11 10:20:00,1.98
2023-03-11 10:40:00,2.14
2023-03-11 11:00:00,1.95
2023-03-11 11:20:00,1.96
2023-03-11 11:40:00,1.78
2023-03-11 12:00:00,2.02
2023-03-11 12:20:00,1.96
2023-03-11 12:40:00,2.15
2023-03-11 13:00:00,2.20
2023-03-11 13:20:00,1.91
2023-03-11 13:40:00,1.99
2023-03-11 14:00:00,1.72
2023-03-11 14:20:00,2.03
2023-03-11 14:40:00,1.84
2023-03-11 15:00:00,2.12
2023-03-11 15:20:00,1.97
2023-03-11 15:40:00,2.08
2023-03-11 16:00:00,2.07
2023-03-11 16:20:00,1.80
2023-03-11 16:40:00,2.04
2023-03-11 17:00:00,1.69
2023-03-11 17:20:00,2.03
2023-03-11 17:40:00,1.84
2023-03-11 18:00:00,2.09
2023-03-11 18:20:00,2.03
2023-03-11 18:40:00,2.22
2023-03-11 19:00:00,2.23
2023-03-11 19:20:00,1.98
2023-03-11 19:40:00,2.12
2023-03-11 20:00:00,1.75
2023-03-11 20:20:00,2.05
2023-03-11 20:40:00,1.92
2023-03-11 21:00:00,2.19
2023-03-11 21:20:00,2.11
2023-03-11 21:40:00,2.10
2023-03-11 22:00:00,2.06
2023-03-11 22:20:00,1.72
2023-03-11 22:40:00,1.99
2023-03-11 23:00:00,1.89
2023-03-11 23:20:00,2.16
2023-03-11 23:40:00,2.11
2023-03-12 00:00:00,1.97
2023-03-12 00:20:00,2.03
2023-03-12 00:40:00,1.74
2023-03-12 01:00:00,2.04
2023-03-12 01:20:00,1.73
2023-03-12 01:40:00,2.16
2023-03-12 02:00:00,2.17
2023-03-12 02:20:00,2.03
2023-03-12 02:40:00,2.04
2023-03-12 03:00:00,1.79
2023-03-12 03:20:00,2.03
2023-03-12 03:40:00,1.72
2023-03-12 04:00:00,2.05
2023-03-12 04:20:00,1.99
2023-03-12 04:40:00,2.18
2023-03-12 05:00:00,2.17
2023-03-12 05:20:00,1.86
2023-03-12 05:40:00,2.02
2023-03-12 06:00:00,1.80
2023-03-12 06:20:00,2.01
2023-03-12 06:40:00,1.92
2023-03-12 07:00:00,2.14
2023-03-12 07:20:00,2.15
2023-03-12 07:40:00,1.90
2023-03-12 08:00:00,2.00
2023-03-12 08:20:00,1.70
2023-03-12 08:40:00,2.03
2023-03-12 09:00:00,1.94
2023-03-12 09:20:00,2.12
2023-03-12 09:40:00,2.14
2023-03-12 10:00:00,1.98
2023-03-12 10:20:00,2.16
2023-03-12 10:40:00,1.88
2023-03-12 11:00:00,2.16
2023-03-12 11:20:00,1.83
2023-03-12 11:40:00,2.10
2023-03-12 12:00:00,1.91
2023-03-12 12:20:00,2.18
2023-03-12 12:40:00,2.21
2023-03-12 13:00:00,2.15
2023-03-12 13:20:00,2.06
2023-03-12 13:40:00,1.74
2023-03-12 14:00:00,1.99

