"Time","udp:99%","udp:90%","udp:50%"
2023-03-13 12:00:00,290,199,153
2023-03-13 12:04:00,282,194,142
2023-03-13 12:08:00,293,227,156
2023-03-13 12:12:00,295,248,162
2023-03-13 12:16:00,286,196,146
2023-03-13 12:20:00,290,199,153
2023-03-13 12:24:00,286,196,146
2023-03-13 12:28:00,294,241,158
2023-03-13 12:32:00,293,226,158
2023-03-13 12:36:00,284,195,145
2023-03-13 12:40:00,291,210,154
2023-03-13 12:44:00,295,250,163
2023-03-13 12:48:00,329,198,147
2023-03-13 12:52:00,291,215,157
2023-03-13 12:56:00,286,196,146
2023-03-13 13:00:00,293,234,156
2023-03-13 13:04:00,293,232,159
2023-03-13 13:08:00,287,197,146
2023-03-13 13:12:00,293,228,158
2023-03-13 13:16:00,288,198,145
2023-03-13 13:20:00,291,210,154
2023-03-13 13:24:00,293,232,159
2023-03-13 13:28:00,286,196,145
2023-03-13 13:32:00,294,237,159
2023-03-13 13:36:00,292,224,158
2023-03-13 13:40:00,348,197,146
2023-03-13 13:44:00,293,233,159
2023-03-13 13:48:00,335,204,147
2023-03-13 13:52:00,293,226,158
2023-03-13 13:56:00,293,232,159
2023-03-13 14:00:00,272,192,142
2023-03-13 14:04:00,295,252,163
2023-03-13 14:08:00,288,198,147
2023-03-13 14:12:00,293,228,158
2023-03-13 14:16:00,293,232,159
2023-03-13 14:20:00,282,194,141
2023-03-13 14:24:00,293,232,159
2023-03-13 14:28:00,293,230,157
2023-03-13 14:32:00,280,194,144
2023-03-13 14:36:00,295,248,162
2023-03-13 14:40:00,282,194,144
2023-03-13 14:44:00,293,233,159
2023-03-13 14:48:00,355,244,158
2023-03-13 14:52:00,279,193,141
2023-03-13 14:56:00,293,232,159
2023-03-13 15:00:00,279,193,143
2023-03-13 15:04:00,289,199,155
2023-03-13 15:08:00,294,244,159
2023-03-13 15:12:00,280,194,144
2023-03-13 15:16:00,293,233,159
2023-03-13 15:20:00,290,199,153
2023-03-13 15:24:00,286,196,143
2023-03-13 15:28:00,291,206,154
2023-03-13 15:32:00,280,194,144
2023-03-13 15:36:00,292,224,158
2023-03-13 15:40:00,293,234,156
2023-03-13 15:44:00,286,196,145
2023-03-13 15:48:00,357,241,158
2023-03-13 15:52:00,275,193,143
2023-03-13 15:56:00,295,248,162
2023-03-13 16:00:00,287,197,151
2023-03-13 16:04:00,284,195,145
2023-03-13 16:08:00,292,223,156
2023-03-13 16:12:00,294,237,159
2023-03-13 16:16:00,286,196,145
2023-03-13 16:20:00,292,220,155
2023-03-13 16:24:00,280,194,144
2023-03-13 16:28:00,294,237,157
2023-03-13 16:32:00,291,215,157
2023-03-13 16:36:00,284,195,145
2023-03-13 16:40:00,292,220,155
2023-03-13 16:44:00,284,195,143
2023-03-13 16:48:00,359,237,157
2023-03-13 16:52:00,291,215,157
2023-03-13 16:56:00,286,196,146
2023-03-13 17:00:00,293,234,156
2023-03-13 17:04:00,292,224,158
2023-03-13 17:08:00,286,196,145
2023-03-13 17:12:00,290,200,155
2023-03-13 17:16:00,288,198,144
2023-03-13 17:20:00,291,210,154
2023-03-13 17:24:00,293,232,159
2023-03-13 17:28:00,286,196,145
2023-03-13 17:32:00,294,237,159
2023-03-13 17:36:00,284,195,145
2023-03-13 17:40:00,282,195,150
2023-03-13 17:44:00,293,233,159
2023-03-13 17:48:00,333,211,148
2023-03-13 17:52:00,291,215,157
2023-03-13 17:56:00,293,232,159
2023-03-13 18:00:00,282,194,144
2023-03-13 18:04:00,295,248,162
2023-03-13 18:08:00,286,196,145
2023-03-13 18:12:00,292,215,157
2023-03-13 18:16:00,293,226,158
2023-03-13 18:20:00,285,195,142
2023-03-13 18:24:00,293,232,159
2023-03-13 18:28:00,284,195,145
2023-03-13 18:32:00,291,215,157
2023-03-13 18:36:00,295,248,162
2023-03-13 18:40:00,279,193,143
2023-03-13 18:44:00,293,232,159
2023-03-13 18:48:00,357,242,158
2023-03-13 18:52:00,286,196,143
2023-03-13 18:56:00,293,232,159
2023-03-13 19:00:00,279,193,143
2023-03-13 19:04:00,292,224,158
2023-03-13 19:08:00,294,244,159
2023-03-13 19:12:00,284,195,145
2023-03-13 19:16:00,293,226,158
2023-03-13 19:20:00,282,194,144
2023-03-13 19:24:00,294,243,161
2023-03-13 19:28:00,292,224,156
2023-03-13 19:32:00,284,195,145
2023-03-13 19:36:00,292,224,158
2023-03-13 19:40:00,293,234,156
2023-03-13 19:44:00,286,196,146
2023-03-13 19:48:00,357,242,158
2023-03-13 19:52:00,280,194,144
2023-03-13 19:56:00,295,248,162
2023-03-13 20:00:00,290,199,153
2023-03-13 20:04:00,286,196,146
2023-03-13 20:08:00,292,215,155
2023-03-13 20:12:00,286,196,143
2023-03-13 20:16:00,293,233,159
2023-03-13 20:20:00,290,199,153
2023-03-13 20:24:00,284,195,145
2023-03-13 20:28:00,292,220,154
2023-03-13 20:32:00,291,215,157
2023-03-13 20:36:00,284,195,145
