".+",".+"
2023-02-22 11:00:00,1.10 MB/s
2023-02-22 11:20:00,1.18 MB/s
2023-02-22 11:40:00,1.20 MB/s
2023-02-22 12:00:00,1.12 MB/s
2023-02-22 12:20:00,1.20 MB/s
2023-02-22 12:40:00,1.19 MB/s
2023-02-22 13:00:00,1.14 MB/s
2023-02-22 13:20:00,1.16 MB/s
2023-02-22 13:40:00,1.14 MB/s
2023-02-22 14:00:00,1.13 MB/s
2023-02-22 14:20:00,1.21 MB/s
2023-02-22 14:40:00,1.13 MB/s
2023-02-22 15:00:00,1.12 MB/s
2023-02-22 15:20:00,1.17 MB/s
2023-02-22 15:40:00,1.20 MB/s
2023-02-22 16:00:00,1.31 MB/s
2023-02-22 16:20:00,1.45 MB/s
2023-02-22 16:40:00,1.44 MB/s
2023-02-22 17:00:00,1.44 MB/s
2023-02-22 17:20:00,2.31 MB/s
2023-02-22 17:40:00,1.50 MB/s
2023-02-22 18:00:00,1.50 MB/s
2023-02-22 18:20:00,1.47 MB/s
2023-02-22 18:40:00,1.44 MB/s
2023-02-22 19:00:00,1.44 MB/s
2023-02-22 19:20:00,1.44 MB/s
2023-02-22 19:40:00,1.45 MB/s
2023-02-22 20:00:00,1.44 MB/s
2023-02-22 20:20:00,1.52 MB/s
2023-02-22 20:40:00,1.77 MB/s
2023-02-22 21:00:00,1.43 MB/s
2023-02-22 21:20:00,1.48 MB/s
2023-02-22 21:40:00,1.44 MB/s
2023-02-22 22:00:00,1.49 MB/s
2023-02-22 22:20:00,1.52 MB/s
2023-02-22 22:40:00,1.44 MB/s
2023-02-22 23:00:00,1.36 MB/s
2023-02-22 23:20:00,1.36 MB/s
2023-02-22 23:40:00,1.32 MB/s
2023-02-23 00:00:00,1.20 MB/s
2023-02-23 00:20:00,1.16 MB/s
2023-02-23 00:40:00,1.13 MB/s
2023-02-23 01:00:00,1.14 MB/s
2023-02-23 01:20:00,1.24 MB/s
2023-02-23 01:40:00,1.14 MB/s
2023-02-23 02:00:00,1.14 MB/s
2023-02-23 02:20:00,1.76 MB/s
2023-02-23 02:40:00,1.18 MB/s
2023-02-23 03:00:00,1.20 MB/s
2023-02-23 03:20:00,1.12 MB/s
2023-02-23 03:40:00,1.13 MB/s
2023-02-23 04:00:00,1.14 MB/s
2023-02-23 04:20:00,1.15 MB/s
2023-02-23 04:40:00,1.11 MB/s
2023-02-23 05:00:00,1.14 MB/s
2023-02-23 05:20:00,1.13 MB/s
2023-02-23 05:40:00,1.12 MB/s
2023-02-23 06:00:00,1.21 MB/s
2023-02-23 06:20:00,1.20 MB/s
2023-02-23 06:40:00,1.54 MB/s
2023-02-23 07:00:00,1.25 MB/s
2023-02-23 07:20:00,1.26 MB/s
2023-02-23 07:40:00,1.40 MB/s
2023-02-23 08:00:00,1.44 MB/s
2023-02-23 08:20:00,1.46 MB/s
2023-02-23 08:40:00,1.42 MB/s
2023-02-23 09:00:00,1.46 MB/s
2023-02-23 09:20:00,1.49 MB/s
2023-02-23 09:40:00,1.61 MB/s
2023-02-23 10:00:00,1.52 MB/s
2023-02-23 10:20:00,1.43 MB/s
2023-02-23 10:40:00,1.78 MB/s
2023-02-23 11:00:00,1.45 MB/s
2023-02-23 11:20:00,1.44 MB/s
2023-02-23 11:40:00,1.45 MB/s
2023-02-23 12:00:00,1.45 MB/s
2023-02-23 12:20:00,1.43 MB/s
2023-02-23 12:40:00,1.45 MB/s
2023-02-23 13:00:00,1.44 MB/s
2023-02-23 13:20:00,1.46 MB/s
2023-02-23 13:40:00,1.45 MB/s
2023-02-23 14:00:00,1.47 MB/s
2023-02-23 14:20:00,1.40 MB/s
2023-02-23 14:40:00,1.40 MB/s
2023-02-23 15:00:00,1.34 MB/s
2023-02-23 15:20:00,1.24 MB/s
2023-02-23 15:40:00,1.17 MB/s
2023-02-23 16:00:00,1.13 MB/s
2023-02-23 16:20:00,1.13 MB/s
2023-02-23 16:40:00,1.45 MB/s
2023-02-23 17:00:00,1.16 MB/s

