"Time","cattle-fleet-local-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-16 23:56:00,0,34316,227301,0,27099,0,0,0,15965
2023-03-17 00:00:00,0,35073,5878,0,32111,0,0,0,16238
2023-03-17 00:04:00,0,1479306,234862,0,966032,0,0,0,15554
2023-03-17 00:08:00,0,33409,230295,0,29601,0,0,0,16308
2023-03-17 00:12:00,0,37730,225810,0,28276,0,0,0,16065
2023-03-17 00:16:00,0,33159,217660,0,27939,0,0,0,16312
2023-03-17 00:20:00,0,34911,6043,0,64718,0,0,0,15879
2023-03-17 00:24:00,0,33281,227345,0,28483,0,0,0,15502
2023-03-17 00:28:00,0,34220,226454,0,28024,0,0,0,16428
2023-03-17 00:32:00,0,37680,230471,0,62812,0,0,0,16085
2023-03-17 00:36:00,0,35549,224788,0,30491,0,0,0,15608
2023-03-17 00:40:00,0,35081,5896,0,26435,0,0,0,16813
2023-03-17 00:44:00,0,31961,236375,0,29557,0,0,0,15690
2023-03-17 00:48:00,0,34761,223856,0,29250,0,0,0,15994
2023-03-17 00:52:00,0,35947,226762,0,26931,0,0,0,16258
2023-03-17 00:56:00,0,33888,222276,0,31704,0,0,0,15519
2023-03-17 01:00:00,0,34293,5934,0,28735,0,0,0,16724
2023-03-17 01:04:00,0,246329,224095,0,97225,0,0,0,15502
2023-03-17 01:08:00,0,35326,229399,0,27708,0,0,0,15682
2023-03-17 01:12:00,0,36825,229069,0,31232,0,0,0,16506
2023-03-17 01:16:00,0,35194,231437,0,28304,0,0,0,15991
2023-03-17 01:20:00,0,33601,5834,0,26419,0,0,0,16512
2023-03-17 01:24:00,0,37554,229231,0,29910,0,0,0,15638
2023-03-17 01:28:00,0,35381,234357,0,30573,0,0,0,15575
2023-03-17 01:32:00,0,37047,226796,0,63845,0,0,0,16993
2023-03-17 01:36:00,0,32894,225961,0,26846,0,0,0,15834
2023-03-17 01:40:00,0,35038,5828,0,32082,0,0,0,16237
