"Time","cattle-monitoring-system","cattle-system","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-11 09:28:00,16140,43175,15549,0,0,0,8039
2023-03-11 09:32:00,17368,112928,15753,0,0,0,8732
2023-03-11 09:36:00,18197,113282,15897,0,69.5,0,8222
2023-03-11 09:40:00,16705,115887,16083,0,0,0,7964
2023-03-11 09:44:00,17610,68571,32383,0,70.0,0,8742
2023-03-11 09:48:00,16705,44988,15817,0,0,0,7971
2023-03-11 09:52:00,17693,111019,32334,0,0,0,8049
2023-03-11 09:56:00,16355,118048,15504,0,0,0,8006
2023-03-11 10:00:00,16741,111079,15948,0,0,0,7915
2023-03-11 10:04:00,18118,68186,15816,0,0,0,8341
2023-03-11 10:08:00,17083,45784,15679,0,0,0,7746
2023-03-11 10:12:00,16326,115249,15552,0,0,0,7808
2023-03-11 10:16:00,18309,112063,15821,0,0,0,8143
2023-03-11 10:20:00,16733,114027,33111,0,0,0,7757
2023-03-11 10:24:00,17292,69422,15744,0,0,0,8460
2023-03-11 10:28:00,16275,45015,15448,0,0,0,7644
2023-03-11 10:32:00,18349,112504,16034,0,0,0,7860
2023-03-11 10:36:00,17104,114855,15618,0,0,0,8562
2023-03-11 10:40:00,16999,112885,32835,0,0,0,8025
2023-03-11 10:44:00,17200,70666,15786,0,0,0,8596
2023-03-11 10:48:00,17036,44438,15564,0,0,0,7760
2023-03-11 10:52:00,16985,114742,15854,0,0,0,7930
2023-03-11 10:56:00,16597,110135,15646,0,0,0,8193
2023-03-11 11:00:00,17536,118494,16029,0,0,0,7798
2023-03-11 11:04:00,135790,70346,50049,0,0,0,8303
2023-03-11 11:08:00,16843,44508,16026,0,0,0,7789
2023-03-11 11:12:00,17592,110168,15664,0,0,0,7969
2023-03-11 11:16:00,16403,113930,15466,0,0,0,8229
2023-03-11 11:20:00,18057,114550,16034,0,0,0,7953
2023-03-11 11:24:00,17560,70815,15924,0,0,0,8192
2023-03-11 11:28:00,16872,42276,15514,0,0,0,7949
2023-03-11 11:32:00,17770,115824,33415,0,0,0,7757
2023-03-11 11:36:00,16435,114761,15784,0,0,0,8075
2023-03-11 11:40:00,18124,114293,15921,0,0,0,7914
2023-03-11 11:44:00,191248,70320,34067,0,0,0,7946
2023-03-11 11:48:00,17978,44816,15488,0,0,0,7960
2023-03-11 11:52:00,16485,115012,16201,0,0,0,7719
2023-03-11 11:56:00,18232,114909,15683,0,0,0,7965
2023-03-11 12:00:00,17156,108062,15864,0,0,0,7887
2023-03-11 12:04:00,254856,71349,34036,0,0,0,7987
2023-03-11 12:08:00,16888,43236,140480,0,0,0,8002
2023-03-11 12:12:00,17516,111174,15768,0,0,0,7718
2023-03-11 12:16:00,16307,117297,15980,0,0,0,8183
2023-03-11 12:20:00,18037,113953,16061,0,0,0,7961
2023-03-11 12:24:00,17107,69558,33503,0,0,0,8000
2023-03-11 12:28:00,17585,44030,15901,0,0,0,8294
2023-03-11 12:32:00,17318,114015,15897,0,0,0,7700
2023-03-11 12:36:00,16146,111250,15911,0,0,0,8176
2023-03-11 12:40:00,17156,113625,15652,0,0,0,7876
2023-03-11 12:44:00,17913,72807,15773,0,0,0,7644
2023-03-11 12:48:00,17552,41942,15688,0,0,0,8506
2023-03-11 12:52:00,16910,114659,15685,0,0,0,7585
2023-03-11 12:56:00,17368,113503,15679,0,0,0,8091
2023-03-11 13:00:00,16167,115167,15933,0,0,0,7982
2023-03-11 13:04:00,115896,69335,51392,0,0,0,7676
2023-03-11 13:08:00,17508,42841,15375,0,0,0,8337
2023-03-11 13:12:00,16085,111289,15775,0,0,0,7761
2023-03-11 13:16:00,18006,115187,15974,0,0,0,8006
2023-03-11 13:20:00,17402,116565,15650,0,0,0,7966
2023-03-11 13:24:00,16799,68111,15876,0,0,0,7747
2023-03-11 13:28:00,18397,44797,15730,0,0,0,8382
2023-03-11 13:32:00,17153,112660,33424,0,0,0,7649
2023-03-11 13:36:00,18200,115007,15875,0,0,0,8026
2023-03-11 13:40:00,17696,113975,15741,0,0,0,7999
2023-03-11 13:44:00,17597,54347,33216,0,0,0,7631
2023-03-11 13:48:00,17239,58244,15663,0,0,0,8444
2023-03-11 13:52:00,18147,116039,15956,0,0,0,7742
2023-03-11 13:56:00,17989,114648,15614,0,0,0,8052
2023-03-11 14:00:00,17578,114010,15848,0,0,0,7913
2023-03-11 14:04:00,286532,68540,154194,0,0,0,7606
2023-03-11 14:08:00,18047,44530,15962,0,0,0,8374
2023-03-11 14:12:00,17402,113406,15744,0,0,0,7657
2023-03-11 14:16:00,17527,115362,33843,0,0,0,7861
2023-03-11 14:20:00,17012,111956,15689,0,0,0,8004
2023-03-11 14:24:00,17113,69081,15944,0,0,0,7689
