"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc045e0df77a65)","Transmit Total (lxc04ba3655f7bb)","Transmit Total (lxc058f11ae84e2)","Transmit Total (lxc101aa30b6d42)","Transmit Total (lxc1055eece523d)","Transmit Total (lxc17545d6a2c13)","Transmit Total (lxc1b3ec4421f95)","Transmit Total (lxc25dc796f779e)","Transmit Total (lxc2cf3504ea230)","Transmit Total (lxc2f20023e145d)","Transmit Total (lxc42de66ecdcc8)","Transmit Total (lxc53962ca4487f)","Transmit Total (lxc586756a19dbd)","Transmit Total (lxc6609bc973c6e)","Transmit Total (lxc8f825b75ba1b)","Transmit Total (lxc901c98c966b2)","Transmit Total (lxc970c5453f2c7)","Transmit Total (lxc9bf9c5e25fda)","Transmit Total (lxc9d9580e18417)","Transmit Total (lxc_health)","Transmit Total (lxca2b0b9903cdc)","Transmit Total (lxca3d1fbc08b7c)","Transmit Total (lxcaee2fab0754f)","Transmit Total (lxcb3f5b6163447)","Transmit Total (lxcbba06f29c914)","Transmit Total (lxccc10b9c35713)","Transmit Total (lxccd3f5d5c9dab)","Transmit Total (lxcd19ab656bbb2)","Transmit Total (lxcd4e1a68a8393)","Transmit Total (lxcf0be76b85bba)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc045e0df77a65)","Receive Total (lxc04ba3655f7bb)","Receive Total (lxc058f11ae84e2)","Receive Total (lxc101aa30b6d42)","Receive Total (lxc1055eece523d)","Receive Total (lxc17545d6a2c13)","Receive Total (lxc1b3ec4421f95)","Receive Total (lxc25dc796f779e)","Receive Total (lxc2cf3504ea230)","Receive Total (lxc2f20023e145d)","Receive Total (lxc42de66ecdcc8)","Receive Total (lxc53962ca4487f)","Receive Total (lxc586756a19dbd)","Receive Total (lxc6609bc973c6e)","Receive Total (lxc8f825b75ba1b)","Receive Total (lxc901c98c966b2)","Receive Total (lxc970c5453f2c7)","Receive Total (lxc9bf9c5e25fda)","Receive Total (lxc9d9580e18417)","Receive Total (lxc_health)","Receive Total (lxca2b0b9903cdc)","Receive Total (lxca3d1fbc08b7c)","Receive Total (lxcaee2fab0754f)","Receive Total (lxcb3f5b6163447)","Receive Total (lxcbba06f29c914)","Receive Total (lxccc10b9c35713)","Receive Total (lxccd3f5d5c9dab)","Receive Total (lxcd19ab656bbb2)","Receive Total (lxcd4e1a68a8393)","Receive Total (lxcf0be76b85bba)"
2023-03-20 13:20:00,0,11066,35596,176763,0,1717,130,162,33.6,126,1792,66.5,421,0,6696,82.3,5.71,146,87,0,17574,1739,124,31.6,71.0,1425,66.1,19,335,0,0,122,155,0,11066,0,18870,78107,0,150,30.7,93.6,23.1,30.3,2191,41.8,6281,0,1098,3705,6.91,132,66.2,0,17457,179,29.0,25.5,70.6,16335,41.5,38.5,397,0,0,29.0,595,0
2023-03-20 13:22:00,0,12235,50119,202305,0,1940,124,166,35.0,121,1997,65.8,984,0,7154,80.9,4.30,148,87.5,0,17590,1948,135,31.6,295,1596,65.8,19,347,0,0,128,13277,0,12235,0,21376,82244,0,155,29.0,100,25.7,29.0,2297,41.4,17908,0,1073,3740,4.67,132,67.3,0,17466,166,31.6,25.5,80.2,16353,41.1,38.5,429,0,0,30.3,14979,0
2023-03-20 13:24:00,0,11974,58965,180297,0,1786,130,160,30.7,127,1866,66.2,1728,0,6879,78.5,3.73,149,87.3,0,17571,1813,124,31.6,142,1522,66.6,342,374,0,0,117,21715,0,11974,0,22555,82961,0,146,30.3,96.9,20.8,30.3,2269,41,25522,0,1078,3593,3.73,131,67.7,0,17457,174,29.0,25.5,71.7,16362,42.5,586,473,0,0,27.7,24271,0
2023-03-20 13:26:00,0,12382,35969,158129,0,1795,129,160,32.9,120,1901,66.2,422,0,6870,78.6,4.90,147,87.2,0,17584,1820,124,31.6,143,1559,66.6,19,346,0,0,122,171,0,12382,0,20254,79721,0,149,30.3,102,24.2,29.0,2265,41,6284,0,1103,3609,5.29,132,66.2,0,17468,183,29.0,25.5,70.9,16369,43.2,38.5,430,0,0,29.0,591,0
2023-03-20 13:28:00,0,11994,36475,162930,0,1942,119,163,32.9,121,2023,66.1,423,0,7089,121,5.79,149,86.2,0,17595,1956,129,31.8,1885,1626,66.3,19,375,0,0,122,164,0,11994,0,19844,79829,0,162,27.7,97.0,23.5,29.0,2333,41.4,6283,0,1077,3718,6.14,135,66.2,0,17461,185,30.3,25.7,108,16360,42.8,38.5,475,0,0,29.4,599,0
2023-03-20 13:30:00,0,9913,35549,152373,0,1720,124,159,31.5,116,1787,66.1,422,0,6670,79.6,4.77,146,85.9,0.389,17590,1728,118,32.3,1660,1433,66.2,19,327,0,0,122,162,0,9913,0,17731,76669,0,154,33.9,90.4,21.0,27.7,2185,41,6280,0,1074,3588,5.19,133,66.2,0,17462,175,27.7,26.2,98.3,16356,42.1,38.5,392,0,0,29.0,597,0
2023-03-20 13:32:00,0,12747,36461,162850,0.389,1946,136,160,32.9,132,1998,66.7,421,0,7119,79.1,5.16,149,87.5,0,17585,1966,117,32.3,511,1614,66.3,19,352,0,0,121,151,0,12747,0,20566,80441,0,165,31.6,91.9,28.1,32.0,2287,42.1,6279,0,1079,3633,5.15,131,67.7,0,17472,189,27.7,26.2,90.0,16356,42.1,38.5,439,0,0,29.0,589,0
2023-03-20 13:34:00,0,11251,59784,185439,0,1948,130,160,31.5,121,1981,66.9,1728,0.389,7075,82,3.93,149,87.9,0,17599,1961,129,32.3,295,1605,66.2,370,382,0,0,122,21922,0,11251,0,21855,82849,0,173,30.3,91.9,25.9,29.0,2271,43.3,25763,0,1111,3710,4.32,134,68.0,0,17488,200,30.3,26.2,79.5,16356,41.4,652,487,0,0,29.0,24496,0
2023-03-20 13:36:00,0,11759,35656,182397,0,1712,130,164,32.1,132,1822,66.6,420,0,6642,81.0,4.07,148,87.4,0,17603,1737,124,32.3,70.6,1430,65.4,19,337,0,0,127,161,0,11759,0,19587,79039,0,154,30.3,102,22.3,31.6,2245,41.7,6288,0,1058,3693,4.43,134,67.3,0,17470,177,29.0,26.2,69.8,16362,40.3,38.5,412,0,0,30.3,601,0
2023-03-20 13:38:00,0,12097,36478,164981,0,1903,136,164,32.9,126,2025,66.4,418,0,7112,120,5.10,149,88.1,0,17596,1933,129,32.0,808,1599,65.5,19,394,0,0,133,679,0,12097,0,19934,80267,0,156,31.6,98.1,23.8,30.3,2317,42.1,6284,0,1072,3662,5.89,131,67.4,0,17465,193,35.2,26.0,93.0,16349,40.3,38.9,501,0.389,0.389,31.6,670,0
2023-03-20 13:40:00,0,10436,35574,154828,0,1721,124,160,33.7,120,1809,66.5,420,0,6700,82.7,4.67,147,89.0,0,17573,1735,141,32.0,68.4,1419,66.5,19,332,0,0,133,153,0,10436,0,18241,77326,0,190,29.0,91.8,24.1,33.9,2208,41.4,6284,0,1097,3719,5.06,131,67.6,0,17458,207,32.9,26.0,68,16358,42.1,38.9,396,0.389,0.389,31.6,591,0
2023-03-20 13:42:00,0,10724,36394,163491,0,1941,136,164,31.5,132,2013,66.8,421,0,7096,80.3,4.30,145,88.0,0,17577,1948,124,31.8,283,1608,66.9,19,349,0,0,122,155,0,10724,0,18560,78461,0,206,31.6,97.3,21.4,36.5,2305,42.1,6283,0,1128,3633,4.69,132,67.4,0,17463,216,29.0,25.7,72.0,16370,42.1,38.5,429,0,0,29.0,593,0
2023-03-20 13:44:00,0,10783,59795,183910,0,1932,135,161,31.9,126,1981,66.0,1725,0,7101,81.6,5.33,147,87.5,0,17595,1961,129,31.6,294,1627,66.9,370,397,0.389,0,133,21865,0,10783,0,21399,82495,0,187,31.6,98.4,21.7,30.3,2266,41,25707,0,1109,3703,6.13,135,66.6,0,17467,229,30.3,25.5,78.4,16463,42.1,664,510,0,0,31.6,24434,0
2023-03-20 13:46:00,0,12511,38756,169483,0,1714,124,157,34.1,126,1825,66.0,903,0,6690,81.2,3.93,146,87.2,0,17574,1782,128,31.6,3759,1443,66.3,370,407,0.389,0,122,2421,0,12511,0,21177,81051,0,189,29.0,88.6,29.1,30.3,2244,41.7,8420,0,1080,3709,4.36,133,66.6,0.389,17462,233,30.3,25.5,113,16395,40.6,664,533,0,0,29.0,3111,0.389
2023-03-20 13:48:00,0,13633,36557,172941,0,1936,130,163,31.5,132,2010,66.1,421,0,7139,119,3.50,149,87.3,0,17600,1952,124,31.8,2581,1592,66.4,19,376,0,0,128,153,0,13633,0,21475,81898,0,189,30.3,96.7,21.4,31.6,2319,41.7,6282,0,1131,3624,3.50,139,67.3,0.389,17463,218,29.0,25.7,104,16389,41,38.5,472,0,0,30.3,618,0.389
2023-03-20 13:50:00,0,11032,35607,155576,0,1721,130,164,31.5,126,1810,66.5,421,0,6718,77.8,5.80,145,87.3,0,17576,1743,117,32.3,79.0,1467,66.3,19,340,0,0,121,151,0,11032,0,18876,78049,0,192,30.3,98.4,21.6,30.3,2205,41,6285,0,1104,3624,11.7,141,66.6,0,17458,219,27.7,26.2,74.4,16394,41,38.5,419,0,0,29.0,596,0
