"Time","Cluster","172.16.66.87:9796","172.16.66.90:9796","172.16.66.91:9796"
2023-03-04 14:10:00,0.0219,0.0208,0.0337,0.0113
2023-03-04 14:12:00,0.0214,0.0205,0.0329,0.0107
2023-03-04 14:14:00,0.0176,0.0216,0.0190,0.0123
2023-03-04 14:16:00,0.0221,0.0204,0.0337,0.0123
2023-03-04 14:18:00,0.0220,0.0216,0.0330,0.0114
2023-03-04 14:20:00,0.0152,0.0175,0.0173,0.0107
2023-03-04 14:22:00,0.0204,0.0203,0.0320,0.00884
2023-03-04 14:24:00,0.0222,0.0242,0.0330,0.00948
2023-03-04 14:26:00,0.0167,0.0196,0.0181,0.0123
2023-03-04 14:28:00,0.0221,0.0218,0.0337,0.0107
2023-03-04 14:30:00,0.0218,0.0210,0.0335,0.0108
2023-03-04 14:32:00,0.0211,0.0216,0.0160,0.0256
2023-03-04 14:34:00,0.0222,0.0234,0.0340,0.00915
2023-03-04 14:36:00,0.0214,0.0206,0.0332,0.0105
2023-03-04 14:38:00,0.0174,0.0244,0.0171,0.0106
2023-03-04 14:40:00,0.0215,0.0208,0.0348,0.00899
2023-03-04 14:42:00,0.0235,0.0214,0.0385,0.0106
2023-03-04 14:44:00,0.0163,0.0205,0.0178,0.0106
2023-03-04 14:46:00,0.0202,0.0145,0.0356,0.0105
2023-03-04 14:48:00,0.0217,0.0214,0.0330,0.0107
2023-03-04 14:50:00,0.0175,0.0216,0.0169,0.0140
2023-03-04 14:52:00,0.0215,0.0230,0.0329,0.00865
2023-03-04 14:54:00,0.0226,0.0203,0.0353,0.0121
2023-03-04 14:56:00,0.0160,0.0196,0.0145,0.0139
2023-03-04 14:58:00,0.0200,0.0200,0.0338,0.00608
2023-03-04 15:00:00,0.0219,0.0206,0.0345,0.0106
2023-03-04 15:02:00,0.0138,0.0205,0.0104,0.0106
2023-03-04 15:04:00,0.0215,0.0204,0.0337,0.0105
2023-03-04 15:06:00,0.0191,0.0205,0.0261,0.0106
2023-03-04 15:08:00,0.0159,0.0216,0.0169,0.00929
2023-03-04 15:10:00,0.0199,0.0206,0.0349,0.00432
2023-03-04 15:12:00,0.0210,0.0205,0.0318,0.0108
2023-03-04 15:14:00,0.0175,0.0201,0.0216,0.0107
2023-03-04 15:16:00,0.0224,0.0209,0.0357,0.0106
2023-03-04 15:18:00,0.0208,0.0215,0.0302,0.0106
2023-03-04 15:20:00,0.0184,0.0210,0.0214,0.0127
2023-03-04 15:22:00,0.0217,0.0207,0.0338,0.0106
2023-03-04 15:24:00,0.0200,0.0211,0.0276,0.0112
2023-03-04 15:26:00,0.0179,0.0208,0.0221,0.0108
