"Time","Transmit Total","Receive Total"
2023-03-11 14:34:00,453470,342595
2023-03-11 14:36:00,610309,503876
2023-03-11 14:38:00,585671,477089
2023-03-11 14:40:00,487569,367121
2023-03-11 14:42:00,451417,338522
2023-03-11 14:44:00,453086,340834
2023-03-11 14:46:00,585562,468354
2023-03-11 14:48:00,607352,499204
2023-03-11 14:50:00,512690,375130
2023-03-11 14:52:00,465190,349807
2023-03-11 14:54:00,449900,349963
2023-03-11 14:56:00,554749,439231
2023-03-11 14:58:00,602708,487788
2023-03-11 15:00:00,468121,349508
2023-03-11 15:02:00,484351,360187
2023-03-11 15:04:00,439156,330793
2023-03-11 15:06:00,529906,415183
2023-03-11 15:08:00,585300,475797
2023-03-11 15:10:00,463261,349178
2023-03-11 15:12:00,474073,369337
2023-03-11 15:14:00,443179,333312
2023-03-11 15:16:00,577007,432958
2023-03-11 15:18:00,588473,479072
2023-03-11 15:20:00,479358,355780
2023-03-11 15:22:00,474922,350486
2023-03-11 15:24:00,441120,332758
2023-03-11 15:26:00,485829,376529
2023-03-11 15:28:00,592256,481800
2023-03-11 15:30:00,479165,369259
2023-03-11 15:32:00,464503,349692
2023-03-11 15:34:00,499574,360597
2023-03-11 15:36:00,515023,377581
2023-03-11 15:38:00,600680,488012
2023-03-11 15:40:00,447564,336283
2023-03-11 15:42:00,464453,350939
2023-03-11 15:44:00,446024,342058
2023-03-11 15:46:00,469771,353101
2023-03-11 15:48:00,622638,514390
2023-03-11 15:50:00,443108,331400
2023-03-11 15:52:00,480473,358320
2023-03-11 15:54:00,439083,330406
2023-03-11 15:56:00,511217,374280
2023-03-11 15:58:00,602812,490931
2023-03-11 16:00:00,454018,339245
2023-03-11 16:02:00,477274,369360
2023-03-11 16:04:00,463981,344797
2023-03-11 16:06:00,480355,369862
2023-03-11 16:08:00,599783,487480
2023-03-11 16:10:00,473515,352168
2023-03-11 16:12:00,464450,350393
2023-03-11 16:14:00,450822,339606
2023-03-11 16:16:00,461271,346736
2023-03-11 16:18:00,649922,516145
2023-03-11 16:20:00,513984,384723
2023-03-11 16:22:00,462148,347275
2023-03-11 16:24:00,472891,363780
2023-03-11 16:26:00,444717,332748
2023-03-11 16:28:00,616574,496032
2023-03-11 16:30:00,506834,391628
2023-03-11 16:32:00,468733,353416
2023-03-11 16:34:00,460039,348856
2023-03-11 16:36:00,445021,333146
2023-03-11 16:38:00,607447,500707
2023-03-11 16:40:00,570165,435768
2023-03-11 16:42:00,482791,372239
2023-03-11 16:44:00,460308,347975
2023-03-11 16:46:00,465022,342541
2023-03-11 16:48:00,602321,489892
2023-03-11 16:50:00,551821,438430
2023-03-11 16:52:00,461940,349632
2023-03-11 16:54:00,456256,345030
2023-03-11 16:56:00,450879,344730
2023-03-11 16:58:00,600732,489188
2023-03-11 17:00:00,616012,498384
2023-03-11 17:02:00,471377,347195
2023-03-11 17:04:00,479328,361841
2023-03-11 17:06:00,489489,355309
2023-03-11 17:08:00,603560,488817
2023-03-11 17:10:00,596599,480497
2023-03-11 17:12:00,448045,337627
2023-03-11 17:14:00,462581,349138
2023-03-11 17:16:00,450612,337176
2023-03-11 17:18:00,611498,508898
2023-03-11 17:20:00,610483,494478
2023-03-11 17:22:00,461622,350157
2023-03-11 17:24:00,455735,344081
2023-03-11 17:26:00,463607,343186
2023-03-11 17:28:00,599471,487712
2023-03-11 17:30:00,890170,694474
2023-03-11 17:32:00,447165,336997
2023-03-11 17:34:00,548206,399488
2023-03-11 17:36:00,498098,370021
2023-03-11 17:38:00,615217,494463
2023-03-11 17:40:00,651513,529475
2023-03-11 17:42:00,436801,329188
2023-03-11 17:44:00,486660,361369
2023-03-11 17:46:00,455690,340746
2023-03-11 17:48:00,563462,452850
2023-03-11 17:50:00,612830,496559
2023-03-11 17:52:00,440914,333112
2023-03-11 17:54:00,473112,364471
2023-03-11 17:56:00,457721,343267
2023-03-11 17:58:00,596376,460896
2023-03-11 18:00:00,613872,494247
2023-03-11 18:02:00,442956,332870
2023-03-11 18:04:00,468094,352914
2023-03-11 18:06:00,463525,347997
2023-03-11 18:08:00,521435,409795
2023-03-11 18:10:00,637752,511922
2023-03-11 18:12:00,471011,363205
2023-03-11 18:14:00,466209,350075
2023-03-11 18:16:00,486398,360215
2023-03-11 18:18:00,464893,357024
2023-03-11 18:20:00,610100,494256
2023-03-11 18:22:00,439916,332346
2023-03-11 18:24:00,466773,351997
2023-03-11 18:26:00,516276,384935
2023-03-11 18:28:00,448715,340615
2023-03-11 18:30:00,631847,510667
2023-03-11 18:32:00,443093,332319
2023-03-11 18:34:00,472301,350291
2023-03-11 18:36:00,464099,348945
