"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc045e0df77a65)","Transmit Total (lxc04ba3655f7bb)","Transmit Total (lxc058f11ae84e2)","Transmit Total (lxc101aa30b6d42)","Transmit Total (lxc1055eece523d)","Transmit Total (lxc17545d6a2c13)","Transmit Total (lxc1b3ec4421f95)","Transmit Total (lxc25dc796f779e)","Transmit Total (lxc2cf3504ea230)","Transmit Total (lxc2f20023e145d)","Transmit Total (lxc42de66ecdcc8)","Transmit Total (lxc53962ca4487f)","Transmit Total (lxc586756a19dbd)","Transmit Total (lxc6609bc973c6e)","Transmit Total (lxc8f825b75ba1b)","Transmit Total (lxc901c98c966b2)","Transmit Total (lxc970c5453f2c7)","Transmit Total (lxc9bf9c5e25fda)","Transmit Total (lxc9d9580e18417)","Transmit Total (lxc_health)","Transmit Total (lxca3d1fbc08b7c)","Transmit Total (lxcaee2fab0754f)","Transmit Total (lxcb3f5b6163447)","Transmit Total (lxcbba06f29c914)","Transmit Total (lxccc10b9c35713)","Transmit Total (lxccd3f5d5c9dab)","Transmit Total (lxcd19ab656bbb2)","Transmit Total (lxcd4e1a68a8393)","Transmit Total (lxcf0be76b85bba)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc045e0df77a65)","Receive Total (lxc04ba3655f7bb)","Receive Total (lxc058f11ae84e2)","Receive Total (lxc101aa30b6d42)","Receive Total (lxc1055eece523d)","Receive Total (lxc17545d6a2c13)","Receive Total (lxc1b3ec4421f95)","Receive Total (lxc25dc796f779e)","Receive Total (lxc2cf3504ea230)","Receive Total (lxc2f20023e145d)","Receive Total (lxc42de66ecdcc8)","Receive Total (lxc53962ca4487f)","Receive Total (lxc586756a19dbd)","Receive Total (lxc6609bc973c6e)","Receive Total (lxc8f825b75ba1b)","Receive Total (lxc901c98c966b2)","Receive Total (lxc970c5453f2c7)","Receive Total (lxc9bf9c5e25fda)","Receive Total (lxc9d9580e18417)","Receive Total (lxc_health)","Receive Total (lxca3d1fbc08b7c)","Receive Total (lxcaee2fab0754f)","Receive Total (lxcb3f5b6163447)","Receive Total (lxcbba06f29c914)","Receive Total (lxccc10b9c35713)","Receive Total (lxccd3f5d5c9dab)","Receive Total (lxcd19ab656bbb2)","Receive Total (lxcd4e1a68a8393)","Receive Total (lxcf0be76b85bba)"
2023-03-15 10:00:00,0,10033,35442,152394,0,1720,130,163,30.7,132,1798,65.7,422,0,6678,82.3,3.70,143,87.6,0,17575,1740,129,31.8,1420,66.5,19,336,0,0,122,151,0,10033,0,17828,75054,0,171,30.3,101,20.4,31.6,2200,41.4,6284,0,1031,3681,3.62,134,66.2,0,17444,195,30.3,25.7,16262,42.8,38.5,400,0,0,29.0,578,0
2023-03-15 10:02:00,0,12985,59640,210042,0,1958,130,157,74.1,132,2003,66.0,1781,0,7121,81.3,4.67,145,87.3,0,17567,1968,135,31.8,1602,65.8,302,396,0,0.389,133,22039,0,12985,0,23536,83712,0,170,30.3,94.0,96.4,31.6,2296,41.4,25908,0,1060,3687,5.09,133,67.3,0,17436,186,31.6,25.7,16255,41.7,439,506,0,0,31.6,24606,0
2023-03-15 10:04:00,0,13224,49953,196068,0,1965,124,166,55.2,121,1970,65.7,1386,0,7110,81.0,4.07,146,87.3,0,17565,1978,128,31.6,1624,66.4,302,390,0,0,132,12783,0,13224,0,22844,82728,0,191,29.0,99.4,59.5,29.0,2198,41.4,17672,0,1088,3686,4.46,133,68.4,0,17438,212,30.3,25.5,16284,41.7,439,495,0,0,31.6,14449,0
2023-03-15 10:06:00,0,15403,36124,173205,0,2721,107,166,32.9,109,1894,66.1,422,0,6761,81.3,2.90,147,88.1,0,17556,1739,118,31.6,1423,66.4,19,340,0,0,117,159,0,15403,0,23176,83106,0,267,25.0,99.0,23.2,26.3,2591,41.7,6282,0,1079,3710,2.90,133,66.9,0,17441,226,27.7,25.5,16275,41.7,38.5,413,0,0.389,27.7,588,0
2023-03-15 10:08:00,0,20181,37089,254918,0,3472,119,546,1517,121,2238,66.2,421,0,21552,120,6.30,149,87.7,0,17540,2207,112,32.0,1797,66.0,19,368,0,0,110,155,0,20181,0,27926,94942,0,311,27.7,106,111,29.0,3409,41,6281,0.389,2383,3678,7.09,136,67.0,0,17435,225,26.3,26.0,16296,41,38.5,452,0,0.389,26.3,580,0
2023-03-15 10:10:00,0,10167,35446,152623,0,1734,124,166,34.9,120,1788,65.7,422,0,6757,80.7,4.40,145,87.5,0,17556,1745,124,32.3,1425,66.3,19,333,0,0,122,154,0,10167,0,17953,75671,0,200,29.0,96.0,22.9,29.0,2192,40.6,6282,0.389,1143,3589,4.79,132,67.3,0,17446,213,29.0,26.2,16277,41.7,38.5,400,0,0,29.0,573,0
2023-03-15 10:12:00,0,11801,59323,186210,0,1947,119,157,32.9,116,1992,66.1,1723,0,7148,80,3.97,147,87.2,0,17555,1983,124,32.0,1612,66.3,292,378,0,0,128,21763,0,11801,0,22287,82112,0,194,27.7,100,23.6,27.7,2271,41.4,25597,0,1132,3676,3.97,131,66.6,0,17437,230,29.0,26.0,16296,41,490,481,0,0,30.3,24309,0
2023-03-15 10:14:00,0,12394,59293,182609,0,1956,124,170,31.5,121,1982,66.6,1727,0,7140,78.5,5.13,145,87.0,0,17557,1982,118,31.6,1605,66.6,292,369,0,0,117,21759,0,12394,0,22862,82676,0,202,33.9,99.4,21.6,29.0,2199,41,25596,0,1134,3699,5.58,133,67.3,0,17434,221,27.7,25.5,16285,41.4,490,464,0,0,27.7,24308,0
2023-03-15 10:16:00,0.389,13159,35514,155806,0,1732,119,165,31.5,121,1840,65.9,423,0,6731,80.6,5.20,148,85.7,0,17542,1740,118,31.6,1429,66.0,19.0,337,0,0,117,159,0,13159,0.389,20945,78685,0,189,32.6,96.5,22.3,29.3,2329,40.3,6283,0,1132,3772,6.01,133,65.8,0,17429,202,27.6,25.5,16267,41.0,38.5,410,0,0,27.6,583,0
2023-03-15 10:18:00,0.389,13025,36329,160658,0,1933,130,160,32.1,132,2011,66.2,422,0,7136,123,4.40,148,86.2,0,17554,1958,129,31.6,1615,65.7,19,362,0,0,122,153,0,13025,0.389,20822,79191,0,149,30.3,92.2,23.0,32.0,2321,42.5,6282,0,1096,3716,4.77,132,65.8,0,17433,173,30.3,25.5,16280,41.7,38.5,449,0,0,29.0,571,0
2023-03-15 10:20:00,0,10022,35434,152438,0,1716,136,164,31.5,132,1785,66.8,420,0,6670,80.6,3.97,148,87.7,0,17569,1758,135,31.6,1440,66.4,19,331,0,0,133,153,0,10022,0,17834,75161,0.389,150,31.6,109,21.5,31.6,2186,43.2,6280,0,1074,3634,3.97,131,67.3,0,17451,194,31.6,25.5,16261,42.5,38.5,400,0,0,31.6,573,0
2023-03-15 10:22:00,0,11348,50436,178359,0,1950,124,164,31.5,121,2007,67.0,1000,0,7182,81.6,6.37,148,87.7,0,17539,1969,129,31.8,1632,66.0,19,334,0.389,0,128,13738,0,11348,0,20515,79624,0,154,29.0,97.1,26.3,29.0,2305,42.8,18345,0,1090,3693,7.55,132,66.9,0,17430,177,30.3,25.7,16257,41.8,38.5,401,0,0,30.3,15492,0
2023-03-15 10:24:00,0,10678,59303,206496,0,1941,124,163,32.9,126,1986,66.7,1729,0,7155,81.6,3.27,147,87.5,0,17546,1956,118,32.3,1665,66.3,342,381,0,0,122,21691,0,10678,0,21255,81340,0,177,29.0,100,28.4,35.2,2211,42.1,25531,0,1099,3671,3.27,132,66.2,0,17430,182,28.0,26.2,16266,41.4,586,479,0,0,29.0,24244,0
2023-03-15 10:26:00,0,11920,35505,155874,0,1719,119,162,31.5,116,1838,66.8,425,0,6729,79.0,3.27,145,87.7,0,17559,1738,123,32.3,1481,66.6,19,328,0,0,127,157,0,11920,0,19753,77436,0,185,27.7,94,21.4,27.7,2327,41.4,6284,0,1106,3570,3.27,132,66.6,0,17432,209,33.9,26.2,16277,43.2,38.5,394,0,0,30.3,581,0
2023-03-15 10:28:00,0,14332,36361,160747,0,1930,124,166,32.1,126,2014,66.0,422,0,7122,118,4.67,146,87.4,0,17547,1959,118,32.3,1615,66.6,19,355,0,0,122,178,0,14332,0,22123,80817,0,184,29.0,100.0,27.6,30.3,2326,40.6,6282,0,1086,3663,5.03,131,66.9,0,17430,222,27.7,26.2,16282,41.7,38.5,438,0,0,29.0,592,0
2023-03-15 10:30:00,0,11959,35717,153986,0,1805,136,164,33.5,121,1862,66.0,422,0,6793,80.7,5.10,145,87.7,0,17547,1822,124,32.3,1502,66.2,19.0,331,0,0,127,178,0,11959,0,19732,77702,0,197,31.6,98.3,29.1,29.0,2201,41.0,6281,0,1071,3624,5.92,132,67.3,0,17432,215,29.0,26.2,16289,40.7,38.5,399,0,0,35.6,587,0.389
2023-03-15 10:32:00,0,10629,35969,169011,0,1882,129,157,54.0,126,1947,66.6,419,0.389,6994,78.5,5.10,147,87.8,0,17535,1897,124,32.0,1570,66.3,19,333,0,0,122,171,0,10629,0,18417,76590,0,195,30.3,88.5,61.7,30.3,2302,42.2,6283,0,1108,3563,5.92,140,66.9,0,17423,217,29.0,26.0,16287,41,38.5,404,0,0,29.4,574,0.389
2023-03-15 10:34:00,0,10893,59542,182841,0,1944,130,160,57.3,132,1966,66.2,1725,0.389,7097,80.3,4.30,146,87.7,0,17541,1976,124,31.6,1623,65.8,369,377,0,0,122,21880,0,10893,0,21467,80974,0,168,30.3,91.7,63.6,31.6,2192,41,25724,0,1078,3630,4.67,133,66.2,0,17420,210,29.0,25.5,16263,40.7,652,487,0,0,29.0,24440,0
2023-03-15 10:36:00,0,13162,35556,157524,0,1689,130,166,34.7,127,1825,67.5,421,0,6640,82.0,4.97,145,87.6,0.389,17546,1719,129,31.6,1411,65.9,19,337,0,0,133,161,0.389,13162,0,20946,78556,0,150,30.3,104,24.0,30.3,2307,42.1,6287,0,1040,3729,5.86,134,66.2,0,17436,189,30.3,25.5,16258,41.1,38.5,414,0,0,31.6,590,0
2023-03-15 10:38:00,0,14733,36384,164802,0,1932,119,181,32.9,116,2036,66.4,421,0,7176,118,4.40,145,87.4,0.389,17553,1939,124,31.6,1623,66.2,19,360,0,0,122,153,0.389,14733,0,22533,81349,0,192,27.7,114,23.5,27.7,2335,42.1,6286,0,1051,3601,4.92,135,66.9,0,17437,195,29.0,25.5,16280,41.7,38.5,446,0,0,29.0,579,0
2023-03-15 10:40:00,0,10358,35695,153578,0,1779,119,160,30.7,121,1873,65.8,420,0,6764,80.7,4.40,146,87.4,0,17542,1793,112,31.6,1461,66.8,19,339,0,0,111,153,0,10358,0,18138,75642,0,178,27.7,92.5,21.2,29.0,2207,41.7,6286,0,1067,3611,10.2,133,66.9,0,17431,191,26.3,25.5,16248,42.1,38.5,413,0,0,26.3,579,0
2023-03-15 10:42:00,0,11201,35761,157527,0,1791,130,163,30.7,132,1885,65.8,419,0,6802,79.3,3.50,147,87.5,0,17555,1801,124,31.6,1467,65.8,19,332,0,0,122,167,0,11201,0,18970,76783,0,187,30.3,100.0,19.7,31.6,2297,41.4,6285,0,1067,3633,3.50,133,66.6,0,17439,205,29.0,25.5,16267,41.7,38.5,408,0,0,29.0,581,0
2023-03-15 10:44:00,0,10530,59499,182945,0,1953,141,161,61.3,132,1970,66.1,1722,0,7065,80.2,4.30,144,87.3,0,17551,1963,140,31.6,1627,66.3,372,371,0,0,133,21833,0,10530,0,21100,80626,0,180,32.9,98.2,68.5,31.6,2187,41,25662,0,1077,3656,10.2,133,66.6,0.389,17431,195,32.9,25.5,16274,41.5,664,472,0.389,0,31.6,24381,0
2023-03-15 10:46:00,0,11124,37357,158280,0.389,1723,130,164,33.0,126,1827,65.8,857,0,6682,80.8,6.96,146,87.0,0,17547,1784,135,31.6,1475,65.8,372,396,0,0,133,1309,0,11124,0,19676,77803,0,195,30.3,97.1,22.0,30.3,2329,42.1,7420,0,1098,3702,13.4,132,67.7,0,17428,231,31.6,25.5,16281,41.0,664,523,0,0,31.6,1845,0
2023-03-15 10:48:00,0,11462,36293,161718,0,1947,136,163,30.7,132,2017,66.1,421,0,7724,121,3.27,146,87.6,0,17563,1982,124,31.6,1653,66.3,19.0,357,0,0,121,161,0,11462,0,19305,77925,0,193,31.0,96.2,20.1,31.6,2337,41.7,6286,0,1139,3742,3.27,135,67.3,0,17440,236,29.0,25.5,16285,42.6,38.5,440,0,0,29.0,585,0
2023-03-15 10:50:00,0,10391,36188,180262,0,1944,129,163,32.9,126,1979,67.2,421,0,7164,81.3,4.07,149,86.9,0,17539,1963,135,31.6,1623,66.4,19,333,0,0,128,161,0,10391,0,18179,76929,0,192,30.3,94.6,22.4,30.3,2206,43.7,6284,0,1104,3658,4.44,133,67.3,0,17423,218,31.6,25.5,16288,42.6,38.5,397,0,0,30.3,582,0
2023-03-15 10:52:00,0,10443,35475,158191,0,1706,136,160,31.5,132,1824,66.6,421,0,6758,81.6,5.10,148,85.7,0,17547,1719,135,31.6,1443,66.1,19,339,0,0,128,157,0,10443,0,18245,76058,0,177,31.6,91.2,21.0,31.6,2297,42.5,6283,0,1095,3703,5.90,133,68.0,0,17430,205,31.6,25.5,16284,42.1,38.5,410,0,0,30.3,579,0
2023-03-15 10:54:00,0,11850,59636,183217,0,1947,136,163,31.5,126,1965,66.3,1724,0,7106,80.7,6.27,149,86,0,17548,1960,140,31.6,1590,66.3,370,380,0,0,133,21901,0,11850,0,22394,82085,0,205,31.6,100,21.7,30.3,2198,42.5,25746,0,1106,3670,6.38,133,66.6,0,17436,228,32.9,25.5,16294,42.1,664,480,0,0,31.6,24466,0
2023-03-15 10:56:00,0,12851,54075,176337,0,1730,130,163,31.5,126,1846,66.3,1531,0,6681,80.6,5.91,147,88.0,0,17540,1748,130,31.6,1421,67.4,370,380,0,0,134,17291,0,12851,0,22929,81800,0,199,30.3,95.4,20.8,30.3,2324,41,21647,0,1067,3670,5.95,132,66.9,0,17429,224,30.3,25.5,16298,42.2,664,481,0,0,31.6,19400,0
2023-03-15 10:58:00,0,13659,36350,160892,0,1953,124,160,32.9,121,2023,65.8,421,0,7191,118,4.40,145,87.8,0,17567,1970,129,31.6,1615,66.3,19,362,0,0,127,158,0,13659,0,21464,80166,0,199,29.0,93.5,22.7,29.0,2333,41.4,6281,0,1109,3685,4.83,135,67.3,0,17441,221,30.3,25.5,16295,41.7,38.5,447,0,0,30.3,579,0
2023-03-15 11:00:00,0,11414,36229,156731,0,1946,129,160,32.1,120,1975,65.8,423,0,7153,78.6,6.19,147,87.8,0,17546,1966,124,32.0,1644,66.3,19,337,0,0.389,117,151,0,11414,0,19217,77631,0,191,30.7,92.3,22.7,29.0,2207,41.4,6281,0,1147,3594,6.71,133,66.6,0,17432,225,29.0,25.5,16305,41.7,38.9,399,0,0,27.7,573,0
2023-03-15 11:02:00,0,11055,35469,156255,0,1724,141,167,32.9,137,1819,65.8,422,0,6744,79.0,5.12,146,87.9,0,17539,1751,135,32.0,1468,66.6,19,333,0,0.389,128,155,0,11055,0,18850,76752,0,189,33.3,106,22.7,32.9,2311,40.3,6283,0,1148,3570,5.84,135,66.2,0,17425,223,31.6,25.5,16291,42.1,38.9,401,0,0,30.3,583,0
2023-03-15 11:04:00,0,11771,59335,182489,0,1960,136,164,32.9,132,1971,65.4,1718,0,7087,79.3,2.30,148,88.1,0,17543,1971,140,31.6,1596,66.1,281,374,0,0,133,21837,0,11771,0,22222,81987,0,209,36.6,102,23.0,31.6,2199,41,25673,0,1124,3610,2.30,133,66.6,0,17439,223,32.9,25.5,16297,40.6,419,470,0,0.389,31.6,24420,0
2023-03-15 11:06:00,0,12294,58628,183070,0,1718,124,158,32.1,121,1833,66.0,1720,0,6700,78.9,4.67,147,87.9,0,17571,1739,135,31.6,1437,66.2,281,383,0,0,133,21831,0,12294,0,22787,81999,0,193,29.0,90.3,22.9,29.0,2320,40.7,25675,0,1132,3586,5.09,133,66.6,0,17440,209,31.6,25.5,16291,41.7,419,483,0,0.389,31.6,24407,0
