"Time","all nodes","min/node","avg/node","max/node"
2023-03-16 18:00:00,334,108,111,114
2023-03-16 18:02:00,347,114,116,118
2023-03-16 18:04:00,337,109,112,114
2023-03-16 18:06:00,343,113,114,116
2023-03-16 18:08:00,337,110,112,117
2023-03-16 18:10:00,341,109,114,117
2023-03-16 18:12:00,346,114,115,117
2023-03-16 18:14:00,340,109,113,117
2023-03-16 18:16:00,342,109,114,117
2023-03-16 18:18:00,333,110,111,112
2023-03-16 18:20:00,337,109,112,114
2023-03-16 18:22:00,339,108,113,117
2023-03-16 18:24:00,344,114,115,115
2023-03-16 18:26:00,335,109,112,114
2023-03-16 18:28:00,334,109,111,113
2023-03-16 18:30:00,346,114,115,118
2023-03-16 18:32:00,341,112,114,115
2023-03-16 18:34:00,340,109,113,117
2023-03-16 18:36:00,340,109,113,117
2023-03-16 18:38:00,335,109,112,114
2023-03-16 18:40:00,334,109,111,114
2023-03-16 18:42:00,343,113,114,116
2023-03-16 18:44:00,344,114,115,116
2023-03-16 18:46:00,335,109,112,114
2023-03-16 18:48:00,339,111,113,117
2023-03-16 18:50:00,336,110,112,114
2023-03-16 18:52:00,342,111,114,117
2023-03-16 18:54:00,337,109,112,114
2023-03-16 18:56:00,340,112,113,114
2023-03-16 18:58:00,337,109,112,114
2023-03-16 19:00:00,337,109,112,114
2023-03-16 19:02:00,344,114,115,116
2023-03-16 19:04:00,334,109,111,114
2023-03-16 19:06:00,333,107,111,117
2023-03-16 19:08:00,337,109,112,114
2023-03-16 19:10:00,343,112,114,117
2023-03-16 19:12:00,340,109,113,117
2023-03-16 19:14:00,337,109,112,114
2023-03-16 19:16:00,332,109,111,114
2023-03-16 19:18:00,347,114,116,117
2023-03-16 19:20:00,337,109,112,114
2023-03-16 19:22:00,337,109,112,114
2023-03-16 19:24:00,341,110,114,117
2023-03-16 19:26:00,344,114,115,116
2023-03-16 19:28:00,340,109,113,117
2023-03-16 19:30:00,343,111,114,117
2023-03-16 19:32:00,337,109,112,114
2023-03-16 19:34:00,338,111,113,116
2023-03-16 19:36:00,342,109,114,119
2023-03-16 19:38:00,337,109,112,114
2023-03-16 19:40:00,335,109,112,114
2023-03-16 19:42:00,339,109,113,117
2023-03-16 19:44:00,341,110,114,117
2023-03-16 19:46:00,340,109,113,117
2023-03-16 19:48:00,344,114,115,116
2023-03-16 19:50:00,341,109,114,117
2023-03-16 19:52:00,335,109,112,114
2023-03-16 19:54:00,338,109,113,115
2023-03-16 19:56:00,346,114,115,117
2023-03-16 19:58:00,347,114,116,117
2023-03-16 20:00:00,335,109,112,114
2023-03-16 20:02:00,335,109,112,114
2023-03-16 20:04:00,343,112,114,116
2023-03-16 20:06:00,345,114,115,117
2023-03-16 20:08:00,345,114,115,117
2023-03-16 20:10:00,341,112,114,115
2023-03-16 20:12:00,342,109,114,117
2023-03-16 20:14:00,338,111,113,114
2023-03-16 20:16:00,344,114,115,116
2023-03-16 20:18:00,341,109,114,118
2023-03-16 20:20:00,342,111,114,117
2023-03-16 20:22:00,341,110,114,117
2023-03-16 20:24:00,340,109,113,117
2023-03-16 20:26:00,347,114,116,119
2023-03-16 20:28:00,335,109,112,114
2023-03-16 20:30:00,341,113,114,114
2023-03-16 20:32:00,335,109,112,114
2023-03-16 20:34:00,341,109,114,117
2023-03-16 20:36:00,339,111,113,114
2023-03-16 20:38:00,349,116,116,117
2023-03-16 20:40:00,333,109,111,114
2023-03-16 20:42:00,342,109,114,119
2023-03-16 20:44:00,335,109,112,114
2023-03-16 20:46:00,342,109,114,117
2023-03-16 20:48:00,343,113,114,116
2023-03-16 20:50:00,337,109,112,114
2023-03-16 20:52:00,345,114,115,117
2023-03-16 20:54:00,337,109,112,115
2023-03-16 20:56:00,341,109,114,117
2023-03-16 20:58:00,344,114,115,116
2023-03-16 21:00:00,338,112,113,114
2023-03-16 21:02:00,337,109,112,114
2023-03-16 21:04:00,344,114,115,116
2023-03-16 21:06:00,337,109,112,114
2023-03-16 21:08:00,337,109,112,114
2023-03-16 21:10:00,339,112,113,114
2023-03-16 21:12:00,337,109,112,114
2023-03-16 21:14:00,335,109,112,114
2023-03-16 21:16:00,334,109,111,114
2023-03-16 21:18:00,347,114,116,117
2023-03-16 21:20:00,346,114,115,117
2023-03-16 21:22:00,341,107,114,118
2023-03-16 21:24:00,337,109,112,114
2023-03-16 21:26:00,337,109,112,114
2023-03-16 21:28:00,337,109,112,114
2023-03-16 21:30:00,338,112,113,114
2023-03-16 21:32:00,344,114,115,116
2023-03-16 21:34:00,347,114,116,117
2023-03-16 21:36:00,342,111,114,117
2023-03-16 21:38:00,337,109,112,114
2023-03-16 21:40:00,340,112,113,114
2023-03-16 21:42:00,344,114,115,116
2023-03-16 21:44:00,335,109,112,114
2023-03-16 21:46:00,342,112,114,116
2023-03-16 21:48:00,344,114,115,116
2023-03-16 21:50:00,338,110,113,114
2023-03-16 21:52:00,340,111,113,115
2023-03-16 21:54:00,337,111,112,114
2023-03-16 21:56:00,340,112,113,114
2023-03-16 21:58:00,337,111,112,114
2023-03-16 22:00:00,340,109,113,117
2023-03-16 22:02:00,337,109,112,114
2023-03-16 22:04:00,346,113,115,117
2023-03-16 22:06:00,349,114,116,119
2023-03-16 22:08:00,333,109,111,114
2023-03-16 22:10:00,344,111,115,117
2023-03-16 22:12:00,342,109,114,117
2023-03-16 22:14:00,339,112,113,114
2023-03-16 22:16:00,347,115,116,116
2023-03-16 22:18:00,336,108,112,114
2023-03-16 22:20:00,340,109,113,117
2023-03-16 22:22:00,344,112,115,116
2023-03-16 22:24:00,340,112,113,114
2023-03-16 22:26:00,339,108,113,117
2023-03-16 22:28:00,342,112,114,116
2023-03-16 22:30:00,346,113,115,117
2023-03-16 22:32:00,344,114,115,116
2023-03-16 22:34:00,343,113,114,116
2023-03-16 22:36:00,343,114,114,115
2023-03-16 22:38:00,342,112,114,116
2023-03-16 22:40:00,339,112,113,114
2023-03-16 22:42:00,340,109,113,117
2023-03-16 22:44:00,341,110,114,117
2023-03-16 22:46:00,339,112,113,114
2023-03-16 22:48:00,337,109,112,114
2023-03-16 22:50:00,338,109,113,115
2023-03-16 22:52:00,342,111,114,117
2023-03-16 22:54:00,341,113,114,114
2023-03-16 22:56:00,335,109,112,114
2023-03-16 22:58:00,343,112,114,117
2023-03-16 23:00:00,342,109,114,119
2023-03-16 23:02:00,337,109,112,114
2023-03-16 23:04:00,339,109,113,117
2023-03-16 23:06:00,336,110,112,114
