"Time","min","avg","max","deleted","deleted max"
2023-03-16 18:00:00,20,26.3,34,1216,1614
2023-03-16 18:02:00,20,26.3,34,1216,1614
2023-03-16 18:04:00,20,26.3,34,1216,1614
2023-03-16 18:06:00,20,26.3,34,1216,1614
2023-03-16 18:08:00,20,26.3,34,1216,1614
2023-03-16 18:10:00,20,26.3,34,1216,1614
2023-03-16 18:12:00,20,26.3,34,1216,1614
2023-03-16 18:14:00,20,26.3,34,1216,1614
2023-03-16 18:16:00,20,26.3,34,1216,1614
2023-03-16 18:18:00,20,26.3,34,1216,1614
2023-03-16 18:20:00,20,28.7,34,1112,1614
2023-03-16 18:22:00,20,33.3,48,850,1026
2023-03-16 18:24:00,20,33.3,48,850,1026
2023-03-16 18:26:00,20,33.3,48,850,1026
2023-03-16 18:28:00,20,33.3,48,850,1026
2023-03-16 18:30:00,20,33.3,48,850,1026
2023-03-16 18:32:00,20,33.3,48,850,1026
2023-03-16 18:34:00,20,33.3,48,850,1026
2023-03-16 18:36:00,20,33.3,48,850,1026
2023-03-16 18:38:00,20,33.3,48,850,1026
2023-03-16 18:40:00,20,33.3,48,850,1026
2023-03-16 18:42:00,20,33.3,48,850,1026
2023-03-16 18:44:00,20,33.3,48,850,1026
2023-03-16 18:46:00,20,33.3,48,850,1026
2023-03-16 18:48:00,20,33.3,48,850,1026
2023-03-16 18:50:00,20,33.3,48,850,1026
2023-03-16 18:52:00,20,33.3,48,850,1026
2023-03-16 18:54:00,20,33.3,48,850,1026
2023-03-16 18:56:00,20,33.3,48,850,1026
2023-03-16 18:58:00,20,35.3,48,903,1187
2023-03-16 19:00:00,20,35.3,48,903,1187
2023-03-16 19:02:00,20,35.3,48,903,1187
2023-03-16 19:04:00,20,35.3,48,903,1187
2023-03-16 19:06:00,20,35.3,48,903,1187
2023-03-16 19:08:00,20,35.3,48,903,1187
2023-03-16 19:10:00,20,35.3,48,903,1187
2023-03-16 19:12:00,20,35.3,48,903,1187
2023-03-16 19:14:00,20,35.3,48,903,1187
2023-03-16 19:16:00,20,35.3,48,903,1187
2023-03-16 19:18:00,20,28.7,38,898,1187
2023-03-16 19:20:00,20,28.7,38,898,1187
2023-03-16 19:22:00,20,28.7,38,898,1187
2023-03-16 19:24:00,20,28.7,38,898,1187
2023-03-16 19:26:00,20,28.7,38,898,1187
2023-03-16 19:28:00,20,28.7,38,898,1187
2023-03-16 19:30:00,20,28.7,38,898,1187
2023-03-16 19:32:00,20,28.7,38,898,1187
2023-03-16 19:34:00,20,28.7,38,898,1187
2023-03-16 19:36:00,20,34.3,55,864,1085
2023-03-16 19:38:00,20,34.3,55,864,1085
2023-03-16 19:40:00,20,34.3,55,864,1085
2023-03-16 19:42:00,20,34.3,55,864,1085
2023-03-16 19:44:00,20,34.3,55,864,1085
2023-03-16 19:46:00,20,34.3,55,864,1085
2023-03-16 19:48:00,20,34.3,55,864,1085
2023-03-16 19:50:00,20,34.3,55,864,1085
2023-03-16 19:52:00,20,34.3,55,864,1085
2023-03-16 19:54:00,20,34.3,55,864,1085
2023-03-16 19:56:00,20,34.3,55,864,1085
2023-03-16 19:58:00,20,34.3,55,864,1085
2023-03-16 20:00:00,20,34.3,55,864,1085
2023-03-16 20:02:00,20,34.3,55,864,1085
2023-03-16 20:04:00,20,34.3,55,864,1085
2023-03-16 20:06:00,20,34.3,55,864,1085
2023-03-16 20:08:00,20,34.3,55,864,1085
2023-03-16 20:10:00,20,34.3,55,864,1085
2023-03-16 20:12:00,20,34.3,55,864,1085
2023-03-16 20:14:00,20,27.3,34,888,1156
2023-03-16 20:16:00,20,27.3,34,895,1156
2023-03-16 20:18:00,20,27.3,34,895,1156
2023-03-16 20:20:00,20,27.3,34,895,1156
2023-03-16 20:22:00,20,27.3,34,895,1156
2023-03-16 20:24:00,20,27.3,34,895,1156
2023-03-16 20:26:00,20,27.3,34,895,1156
2023-03-16 20:28:00,20,27.3,34,895,1156
2023-03-16 20:30:00,20,27.3,34,895,1156
2023-03-16 20:32:00,20,27.3,34,895,1156
2023-03-16 20:34:00,20,27.3,34,895,1156
2023-03-16 20:36:00,20,27.3,34,895,1156
2023-03-16 20:38:00,20,27.3,34,895,1156
2023-03-16 20:40:00,20,27.3,34,895,1156
2023-03-16 20:42:00,20,27.3,34,895,1156
2023-03-16 20:44:00,22,28,34,889,1156
2023-03-16 20:46:00,22,28,34,889,1156
2023-03-16 20:48:00,22,28,34,889,1156
2023-03-16 20:50:00,22,28,34,889,1156
2023-03-16 20:52:00,22,25.7,28,900,1188
2023-03-16 20:54:00,22,25.7,28,900,1188
2023-03-16 20:56:00,22,25.7,28,900,1188
2023-03-16 20:58:00,22,25.7,28,900,1188
2023-03-16 21:00:00,22,25.7,28,900,1188
2023-03-16 21:02:00,22,25.7,28,900,1188
2023-03-16 21:04:00,22,25.7,28,900,1188
