"Time","Transmit Total","Receive Total"
2023-03-11 14:04:00,433898,324983
2023-03-11 14:06:00,571080,464439
2023-03-11 14:08:00,547998,435831
2023-03-11 14:10:00,434458,325972
2023-03-11 14:12:00,446755,341274
2023-03-11 14:14:00,488631,355963
2023-03-11 14:16:00,650378,520740
2023-03-11 14:18:00,549362,442683
2023-03-11 14:20:00,459276,350773
2023-03-11 14:22:00,418374,316213
2023-03-11 14:24:00,449005,340053
2023-03-11 14:26:00,579495,470620
2023-03-11 14:28:00,557594,454294
2023-03-11 14:30:00,462551,341860
2023-03-11 14:32:00,443717,332383
2023-03-11 14:34:00,435650,326576
2023-03-11 14:36:00,563833,454617
2023-03-11 14:38:00,610783,484341
2023-03-11 14:40:00,487279,356020
2023-03-11 14:42:00,436645,335065
2023-03-11 14:44:00,443289,333305
2023-03-11 14:46:00,583817,472572
2023-03-11 14:48:00,564969,460894
2023-03-11 14:50:00,464626,354559
2023-03-11 14:52:00,421586,321385
2023-03-11 14:54:00,444231,335620
2023-03-11 14:56:00,541025,430997
2023-03-11 14:58:00,567277,462673
2023-03-11 15:00:00,446639,333900
2023-03-11 15:02:00,430796,328396
2023-03-11 15:04:00,430322,321543
2023-03-11 15:06:00,573558,440757
2023-03-11 15:08:00,608513,481498
2023-03-11 15:10:00,439254,329213
2023-03-11 15:12:00,472131,361334
2023-03-11 15:14:00,428848,320326
2023-03-11 15:16:00,533074,420925
2023-03-11 15:18:00,559261,454497
2023-03-11 15:20:00,444581,335255
2023-03-11 15:22:00,427915,325075
2023-03-11 15:24:00,428767,322245
2023-03-11 15:26:00,479175,369760
2023-03-11 15:28:00,560609,457416
2023-03-11 15:30:00,438818,326765
2023-03-11 15:32:00,429564,325537
2023-03-11 15:34:00,490758,362296
2023-03-11 15:36:00,520067,387933
2023-03-11 15:38:00,587607,483869
2023-03-11 15:40:00,432494,322759
2023-03-11 15:42:00,455826,353663
2023-03-11 15:44:00,427350,319146
2023-03-11 15:46:00,466477,354524
2023-03-11 15:48:00,568007,465037
2023-03-11 15:50:00,454925,335854
2023-03-11 15:52:00,428253,325370
2023-03-11 15:54:00,427377,320657
2023-03-11 15:56:00,440547,331753
2023-03-11 15:58:00,566146,463141
2023-03-11 16:00:00,478299,345808
2023-03-11 16:02:00,483302,358529
2023-03-11 16:04:00,442689,335810
2023-03-11 16:06:00,432779,323051
2023-03-11 16:08:00,594525,489087
2023-03-11 16:10:00,439795,332983
2023-03-11 16:12:00,457312,355300
2023-03-11 16:14:00,420111,312629
2023-03-11 16:16:00,443869,332629
2023-03-11 16:18:00,570732,464859
2023-03-11 16:20:00,454250,347947
2023-03-11 16:22:00,437092,332250
2023-03-11 16:24:00,420895,314768
