"Time","Read","Write"
2023-03-11 08:30:00,0,666260
2023-03-11 08:32:00,0,541673
2023-03-11 08:34:00,0,535699
2023-03-11 08:36:00,0,526359
2023-03-11 08:38:00,0,446396
2023-03-11 08:40:00,0,529567
2023-03-11 08:42:00,0,463361
2023-03-11 08:44:00,0,507553
2023-03-11 08:46:00,0,537180
2023-03-11 08:48:00,0,498324
2023-03-11 08:50:00,0,611897
2023-03-11 08:52:00,0,555415
2023-03-11 08:54:00,71171,562139
2023-03-11 08:56:00,0,542356
2023-03-11 08:58:00,0,482668
2023-03-11 09:00:00,0,539420
2023-03-11 09:02:00,0,603045
2023-03-11 09:04:00,0,539534
2023-03-11 09:06:00,0,533732
2023-03-11 09:08:00,0,417161
2023-03-11 09:10:00,0,532737
2023-03-11 09:12:00,0,464850
2023-03-11 09:14:00,0,510280
2023-03-11 09:16:00,18955,536931
2023-03-11 09:18:00,18955,442976
2023-03-11 09:20:00,0,538442
2023-03-11 09:22:00,0,462903
2023-03-11 09:24:00,0,520830
2023-03-11 09:26:00,0,523014
2023-03-11 09:28:00,0,424317
2023-03-11 09:30:00,0,532676
2023-03-11 09:32:00,0,483466
2023-03-11 09:34:00,0,517315
2023-03-11 09:36:00,0,524971
2023-03-11 09:38:00,0,420022
2023-03-11 09:40:00,0,532335
2023-03-11 09:42:00,0,481143
2023-03-11 09:44:00,0,521183
2023-03-11 09:46:00,0,526311
2023-03-11 09:48:00,0,414492
2023-03-11 09:50:00,0,534255
2023-03-11 09:52:00,0,453791
2023-03-11 09:54:00,0,515573
2023-03-11 09:56:00,0,529180
2023-03-11 09:58:00,0,418543
2023-03-11 10:00:00,0,539170
2023-03-11 10:02:00,0,455491
2023-03-11 10:04:00,0,516219
2023-03-11 10:06:00,0,531356
2023-03-11 10:08:00,0,430359
2023-03-11 10:10:00,0,528639
2023-03-11 10:12:00,0,463303
2023-03-11 10:14:00,0,516100
2023-03-11 10:16:00,0,566033
2023-03-11 10:18:00,70793,477935
2023-03-11 10:20:00,70793,570582
2023-03-11 10:22:00,0,449968
2023-03-11 10:24:00,0,525709
2023-03-11 10:26:00,0,531702
2023-03-11 10:28:00,0,544834
2023-03-11 10:30:00,0,545440
2023-03-11 10:32:00,0,487095
2023-03-11 10:34:00,0,514730
2023-03-11 10:36:00,0,528848
2023-03-11 10:38:00,0,413338
2023-03-11 10:40:00,0,539876
2023-03-11 10:42:00,0,458297
