"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc00b02f3908fd)","Transmit Total (lxc0e2771075e46)","Transmit Total (lxc1e2a40cae5f0)","Transmit Total (lxc1eee36049311)","Transmit Total (lxc1f8ee7cb496e)","Transmit Total (lxc20efeaa95647)","Transmit Total (lxc3a8168be8fb2)","Transmit Total (lxc4c9782567f15)","Transmit Total (lxc4e6897478d09)","Transmit Total (lxc51cdd8ff1bad)","Transmit Total (lxc75a8ec1f1cf4)","Transmit Total (lxc798052b5689f)","Transmit Total (lxc878bb64d0384)","Transmit Total (lxc8ab2ea2d4458)","Transmit Total (lxc9b65d3feae75)","Transmit Total (lxc9f89014ebd36)","Transmit Total (lxc_health)","Transmit Total (lxca09c7476b2bb)","Transmit Total (lxca7dd72a275da)","Transmit Total (lxcacf2089d5184)","Transmit Total (lxcbd375acf295f)","Transmit Total (lxcc9469532d43c)","Transmit Total (lxcd07ed415f195)","Transmit Total (lxce2678e98ee06)","Transmit Total (lxce7062d29f75b)","Transmit Total (lxce7c28d678a8f)","Transmit Total (lxcfc36a1177bf4)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc00b02f3908fd)","Receive Total (lxc0e2771075e46)","Receive Total (lxc1e2a40cae5f0)","Receive Total (lxc1eee36049311)","Receive Total (lxc1f8ee7cb496e)","Receive Total (lxc20efeaa95647)","Receive Total (lxc3a8168be8fb2)","Receive Total (lxc4c9782567f15)","Receive Total (lxc4e6897478d09)","Receive Total (lxc51cdd8ff1bad)","Receive Total (lxc75a8ec1f1cf4)","Receive Total (lxc798052b5689f)","Receive Total (lxc878bb64d0384)","Receive Total (lxc8ab2ea2d4458)","Receive Total (lxc9b65d3feae75)","Receive Total (lxc9f89014ebd36)","Receive Total (lxc_health)","Receive Total (lxca09c7476b2bb)","Receive Total (lxca7dd72a275da)","Receive Total (lxcacf2089d5184)","Receive Total (lxcbd375acf295f)","Receive Total (lxcc9469532d43c)","Receive Total (lxcd07ed415f195)","Receive Total (lxce2678e98ee06)","Receive Total (lxce7062d29f75b)","Receive Total (lxce7c28d678a8f)","Receive Total (lxcfc36a1177bf4)"
2023-03-16 18:00:00,0.389,84.4,12187,44333,270,0,11611,4350,4459,0,1882,127,0,128,307,33.6,468,64242,3.43,0,31.8,65.7,65.7,0,107,0,127,27743,304,2585,223,84.4,0.389,28165,122840,270,0.389,3405,1457,1443,0,219,21.9,0,21.9,377,22.5,261,2369,3.57,0,25.7,40.3,42.1,0,235,0.389,27.1,8988,441,1281,222
2023-03-16 18:02:00,0,81.1,13520,45703,285,0,14572,4698,4383,0.389,1908,128,0,129,308,94.8,468,64200,3.90,0,32.3,65.7,65.6,0,119,45.0,126,19715,502,2585,221,81.1,0,20469,118244,278,0,3253,1485,1426,0,265,21.9,0,26.9,376,131,261,2369,4.03,0,26.2,40.3,41.7,0,245,36.2,27.1,10026,589,1280,218
2023-03-16 18:04:00,0,82.2,14486,47050,284,0,15110,4705,4434,0,1938,128,0,129,309,70.6,466,64249,4.13,0,32.3,65.7,66.8,0,105,45.0,126,27478,503,2584,222,82.2,0,28204,127047,278,0,3516,1493,1431,0.389,243,21.9,0,26.9,377,88.0,266,2365,4.27,0,26.2,41.0,41.8,0,231,36.3,21.9,11037,589,1279,217
2023-03-16 18:06:00,0,81.1,17012,49965,270,0,13206,4335,27139,0,1880,133,0,135,308,31.5,467,64213,4.13,0,32.0,65.7,66.1,0,105,0,132,18062,304,2583,222,81.1,0,18495,137890,270,0,3413,1446,1961,0,218,22.8,0,22.8,376,20.6,260,2367,4.27,0,26.0,40.3,41.5,0,231,0,22.8,13822,442,1282,217
2023-03-16 18:08:00,0,81.8,16081,49129,270,0,16445,4772,29170,0,1804,133,0,135,309,32.5,469,64192,4.13,0,31.6,65.7,65.7,0,190,0.600,126,24694,304,2587,221,81.8,0,25142,150841,270,0,3295,1532,2083,0,213,27.8,0,22.8,376,21.6,262,2367,4.27,0,25.5,40.3,40.6,0,262,0.600,21.9,12881,441,1282,219
2023-03-16 18:10:00,0,84.8,13400,45603,269,0,11773,4338,4432,0,1885,128,0,129,308,34.3,455,64297,4.13,0,31.6,66.4,65.5,0,106,0,121,16784,305,2587,225,84.8,0,17260,111371,269,0,3413,1458,1428,0,225,26.8,0,21.9,376,24.2,254,2379,4.27,0,25.5,41,41.4,0,235,0,20.9,10177,441,1282,225
2023-03-16 18:12:00,0,82.2,13459,45705,270,0,14554,4716,4398,0,1812,128,0,129,304,32.1,469,64186,4.13,0,32.0,66.3,65.6,0,102,38.0,120,19730,506,2583,225,82.2,0,20403,118062,270,0,3294,1521,1442,0,216,21.9,0,21.9,378,21.6,262,2368,4.27,0,26.0,41.4,40.3,0,233,35.0,20.9,10080,586,1278,222
2023-03-16 18:14:00,0,88.4,15441,48165,269,0,15105,4714,4462,0,1892,128,0,129,306,30.7,469,64289,4.13,0,32.3,65.7,65.3,0,104,38.0,116,27118,507,2583,218,88.4,0,27772,126480,269,0,3549,1528,1440,0,234,21.9,0,21.9,377,19.7,262,2391,4.66,0,26.2,40.3,39.9,0,231,35.0,20.0,12074,585,1279,211
2023-03-16 18:16:00,0,82.6,15719,48334,270,0,12024,4356,4541,0,1964,111,0,112,305,32.3,470,64317,3.90,0.389,32.3,66.0,65.7,0,104,0,132,17830,308,2583,221,82.6,0,18265,113159,270,0,3563,1483,1457,0,235,19.4,0,19,378,21.5,262,2377,4.42,0,26.2,40.6,41.4,0,231,0,22.8,12518,437,1279,216
2023-03-16 18:18:00,0,79.6,15273,47701,270,0,14705,4761,4412,0,1826,127,0,128,304,32.3,469,64209,3.43,0.389,31.8,66.1,65.7,0,184,0.600,127,28853,309,2587,229,79.6,0,29293,127832,270,0,3332,1538,1443,0,215,22.2,0,21.9,379,21.4,262,2359,3.57,0,25.7,40.6,41,0,261,0.600,21.9,12072,437,1282,230
2023-03-16 18:20:00,0,85.1,12948,45122,269,0,11666,4349,4464,0,1881,128,0,129,305,32.1,468,64282,3.43,0,31.8,65.8,65.8,0,108,0,121,19255,304,2587,223,85.1,0,19709,113797,269,0,3425,1479,1440,0,218,21.9,0,22.2,379,21.6,261,2383,3.57,0,25.7,40.3,40.6,0,235,0,20.9,9737,442,1282,218
2023-03-16 18:22:00,0,76.0,13485,45733,270,0,16299,4795,4425,0,1826,122,0,124,308,32.9,470,64227,4.37,0,32.3,65.7,65.8,0,105,0,126,19742,305,2583,218,76.0,0,20177,119758,270,0,3318,1552,1445,0,224,20.9,0,21.3,377,22.5,262,2393,4.50,0,26.2,40.3,40.6,0,231,0,21.9,10289,440,1277,211
2023-03-16 18:24:00,0,79.6,13051,45553,269,0,15179,4789,4494,0,1881,128,0,129,307,30.7,471,64284,4.83,0,32.3,65.7,65.7,0.389,103,38.9,126,28324,505,2584,225,79.6,0,28967,128007,269,0,3521,1540,1448,0,219,21.9,0,21.9,377,19.7,263,2379,4.97,0,26.2,40.3,41.7,0,232,35.3,21.9,9690,587,1278,221
2023-03-16 18:26:00,0,79.6,14040,46474,270,0,12022,4353,4546,0,1954,122,0,124,304,32.1,470,64336,4.37,0,32.3,65.7,65.3,0,104,0.389,116,19740,306,2583,222,79.6,0,20169,115128,270,0,3560,1469,1451,0,227,20.9,0,20.9,379,26.6,262,2374,4.50,0,26.2,40.3,41.4,0,231,0,20.0,10838,440,1279,216
2023-03-16 18:28:00,0,81.5,14381,47439,270,0,14830,4731,27167,0,1833,117,0.389,118,306,34.3,469,64227,3.43,0,32.3,65.8,65.3,0,187,0.600,116,27964,307,2585,222,81.5,0,28414,150320,270,0,3438,1515,2017,0,229,20.0,0,20.0,378,29.3,262,2375,3.57,0,26.2,40.3,40.6,0,263,0.600,20.0,11183,440,1281,221
2023-03-16 18:30:00,0,73.0,14078,46918,269,0,11674,4355,27236,0,1899,117,0,118,308,30.7,468,64269,3.43,0,32.3,65.7,65.7,0,107,0.600,132,18414,305,2585,220,73.0,0,18866,136406,269,0,3401,1473,2017,0,238,20.0,0,20.0,377,19.7,261,2378,3.57,0,26.2,40.3,41,0,235,0.600,22.8,10878,441,1281,215
2023-03-16 18:32:00,0,75.6,13967,46151,269,0,14582,4721,4408,0,1858,133,0,135,307,30.7,469,64254,3.90,0,32.3,65.7,66.1,0,103,0,126,19759,306,2614,222,75.6,0,20201,117953,269,0,3238,1517,1439,0,244,22.8,0,22.8,379,19.7,261,2382,4.03,0,26.2,40.7,41.4,0,232,0,21.9,10772,440,1295,216
2023-03-16 18:34:00,0,81.8,13674,46185,269,0,15082,4705,4461,0,1926,128,0,129,306,31.5,468,64269,4.13,0,32.3,65.7,66.1,0,102,38.2,126,27550,509,2584,226,81.8,0,28203,126962,268,0,3499,1508,1435,0,249,21.9,0,21.9,378,20.5,261,2363,4.27,0.389,26.2,40.3,41.8,0,233,35.3,21.9,10314,586,1279,223
2023-03-16 18:36:00,0,78.2,15954,48589,269,0,13638,4342,4523,0,1942,121,0,123,303,33.7,469,64322,4.37,0,32.3,66.1,65.8,0,104,0,121,19798,307,2587,222,78.2,0,20218,116982,269,0,3607,1451,1424,0,211,20.9,0,20.9,380,28.8,262,2384,4.50,0,26.2,40.3,41.4,0,231,0,21.3,12764,440,1288,221
2023-03-16 18:38:00,0,82.6,14746,47321,270,0,16360,4793,6503,0,1821,122,0,124,308,32.9,468,64224,4.83,0,32.3,66.4,66.1,0,186,0.600,126,27160,307,2588,222,82.6,0,27586,129946,270,0,3348,1522,1561,0,227,20.9,0,20.9,377,28.3,261,2390,4.97,0,26.2,41,41.7,0,261,0.600,22.2,11555,438,1290,221
2023-03-16 18:40:00,0,77.4,13171,45363,269,0,11652,4366,4464,0,1892,121,0,123,305,30.7,469,64274,4.83,0,32.3,65.8,66.1,0,107,0.600,132,17602,303,2584,223,77.4,0,18046,112048,269,0,3402,1439,1450,0,218,20.9,0,20.9,380,20.1,262,2382,4.97,0,26.2,40.6,40.6,0,235,0.600,22.8,9973,441,1279,217
2023-03-16 18:42:00,0,74.9,14453,46579,270,0,14519,4722,4394,0,1815,128,0,129,304,33.5,467,64217,4.37,0,32.7,65.5,65.7,0,104,0,137,19636,304,2585,222,74.9,0,20082,117650,270,0,3223,1496,1443,0,221,21.9,0,21.9,379,23.3,260,2375,4.50,0,26.2,39.9,40.3,0,231,0,23.8,11243,441,1281,223
2023-03-16 18:44:00,0,78.2,14239,46619,270,0,15023,4694,4446,0,1866,133,0,135,305,30.7,468,64251,4.52,0,32.6,65.7,67.0,0,103,38.2,126,16921,505,2587,222,78.2,0,17599,115732,270,0,3476,1495,1433,0,205,22.8,0,22.8,379,19.7,261,2384,4.27,0,26.2,40.3,41.7,0,232,35.3,21.8,10857,586,1284,216
2023-03-16 18:46:00,0,80,14209,46531,269,0,11498,4326,4452,0,1925,128,0,129,306,31.5,466,64286,4.52,0,32.3,65.7,67.0,0,117,37.6,121,19748,506,2584,223,80,0,20411,114625,269,0,3327,1450,1437,0,241,21.9,0,21.9,379,20.6,260,2374,4.27,0,26.2,40.3,42.5,0,246,34.7,20.9,10842,585,1279,219
2023-03-16 18:48:00,0,77.8,14052,46421,270,0,14551,4686,4379,0,1806,123,0,124,303,30.7,469,64214,4.13,0,32.3,66.1,66.0,0,9918,0,126,27035,307,2584,224,77.8,0,27483,135745,270,0,3302,1495,1439,0,214,20.9,0,20.9,380,19.7,261,2370,4.27,0,26.2,40.6,41,0.389,330,0,21.9,10855,439,1279,218
