"Time","Read","Write"
2023-03-16 23:00:00,774,718620
2023-03-16 23:02:00,0,1431233
2023-03-16 23:04:00,0,1242681
2023-03-16 23:06:00,0,876225
2023-03-16 23:08:00,0,1074745
2023-03-16 23:10:00,0,733821
2023-03-16 23:12:00,0,1079979
2023-03-16 23:14:00,0,894748
2023-03-16 23:16:00,0,889769
2023-03-16 23:18:00,0,1041658
2023-03-16 23:20:00,0,760627
2023-03-16 23:22:00,0,1094815
2023-03-16 23:24:00,0,865345
2023-03-16 23:26:00,0,867760
2023-03-16 23:28:00,0,1073789
2023-03-16 23:30:00,0,724901
2023-03-16 23:32:00,0,1115978
2023-03-16 23:34:00,0,936805
2023-03-16 23:36:00,0,883507
2023-03-16 23:38:00,0,1078249
2023-03-16 23:40:00,0,724400
2023-03-16 23:42:00,0,1119528
2023-03-16 23:44:00,0,937119
2023-03-16 23:46:00,0,868716
2023-03-16 23:48:00,0,1067372
2023-03-16 23:50:00,0,723657
2023-03-16 23:52:00,91.0,1057832
2023-03-16 23:54:00,0,910040
2023-03-16 23:56:00,0,883644
2023-03-16 23:58:00,0,1062366
2023-03-17 00:00:00,0,709958
2023-03-17 00:02:00,4597,4214875
2023-03-17 00:04:00,0,902562
2023-03-17 00:06:00,0,864620
2023-03-17 00:08:00,0,1047211
2023-03-17 00:10:00,0,735869
2023-03-17 00:12:00,0,1050624
2023-03-17 00:14:00,0,896887
2023-03-17 00:16:00,0,916366
2023-03-17 00:18:00,0,1111472
2023-03-17 00:20:00,0,689038
2023-03-17 00:22:00,0,1057860
2023-03-17 00:24:00,0,898662
2023-03-17 00:26:00,0,865894
2023-03-17 00:28:00,0,1067918
2023-03-17 00:30:00,0,742332
2023-03-17 00:32:00,0,1134820
2023-03-17 00:34:00,0,905349
2023-03-17 00:36:00,0,893884
2023-03-17 00:38:00,0,1081754
2023-03-17 00:40:00,0,691041
2023-03-17 00:42:00,0,1064407
2023-03-17 00:44:00,0,887012
2023-03-17 00:46:00,0,946404
2023-03-17 00:48:00,0,1101824
2023-03-17 00:50:00,0,709746
2023-03-17 00:52:00,0,1065552
2023-03-17 00:54:00,0,882187
2023-03-17 00:56:00,0,883780
2023-03-17 00:58:00,0,1062002
2023-03-17 01:00:00,0,715216
2023-03-17 01:02:00,0,1434146
2023-03-17 01:04:00,0,1267393
2023-03-17 01:06:00,0,882506
2023-03-17 01:08:00,1411,1058133
2023-03-17 01:10:00,1411,722079
2023-03-17 01:12:00,0,1028415
2023-03-17 01:14:00,0,854335
2023-03-17 01:16:00,0,921251
2023-03-17 01:18:00,0,1071559
2023-03-17 01:20:00,0,735232
2023-03-17 01:22:00,0,1038564
2023-03-17 01:24:00,0,863255
2023-03-17 01:26:00,0,918323
2023-03-17 01:28:00,0,1088580
2023-03-17 01:30:00,0,692588
2023-03-17 01:32:00,0,1117343
2023-03-17 01:34:00,0,948785
2023-03-17 01:36:00,0,877136
2023-03-17 01:38:00,0,1053901
2023-03-17 01:40:00,0,723217
2023-03-17 01:42:00,0,1098047
2023-03-17 01:44:00,0,922829
2023-03-17 01:46:00,0,908265
2023-03-17 01:48:00,0,1085076
2023-03-17 01:50:00,0,714543
2023-03-17 01:52:00,0,1092039
2023-03-17 01:54:00,0,882187
2023-03-17 01:56:00,0,875452
2023-03-17 01:58:00,0,1082527
2023-03-17 02:00:00,0,709109
2023-03-17 02:02:00,0,2128555
2023-03-17 02:04:00,0,891381
2023-03-17 02:06:00,0,989230
2023-03-17 02:08:00,0,1186020
2023-03-17 02:10:00,0,735505
2023-03-17 02:12:00,0,1034058
2023-03-17 02:14:00,0,857020
2023-03-17 02:16:00,0,990843
2023-03-17 02:18:00,0,1163355
2023-03-17 02:20:00,0,757168
2023-03-17 02:22:00,0,1051352
2023-03-17 02:24:00,0,823342
2023-03-17 02:26:00,0,939494
2023-03-17 02:28:00,0,1079569
2023-03-17 02:30:00,0,730135
2023-03-17 02:32:00,0,1108560
2023-03-17 02:34:00,0,848191
2023-03-17 02:36:00,0,948725
2023-03-17 02:38:00,0,1072333
2023-03-17 02:40:00,0,701008
2023-03-17 02:42:00,0,1065461
2023-03-17 02:44:00,0,826209
2023-03-17 02:46:00,0,965200
2023-03-17 02:48:00,0,1062275
2023-03-17 02:50:00,0,710776
2023-03-17 02:52:00,0,1069602
2023-03-17 02:54:00,0,823524
2023-03-17 02:56:00,0,932614
2023-03-17 02:58:00,0,1099184
2023-03-17 03:00:00,0,755315
2023-03-17 03:02:00,0,1415350
2023-03-17 03:04:00,0,1199081
2023-03-17 03:06:00,0,966747
2023-03-17 03:08:00,0,1075382
2023-03-17 03:10:00,0,725902
2023-03-17 03:12:00,0,1055039
2023-03-17 03:14:00,0,828848
2023-03-17 03:16:00,0,1007070
2023-03-17 03:18:00,0,1061501
2023-03-17 03:20:00,0,685898
2023-03-17 03:22:00,0,1062775
2023-03-17 03:24:00,0,819109
2023-03-17 03:26:00,0,977533
2023-03-17 03:28:00,0,1076429
2023-03-17 03:30:00,0,713476
2023-03-17 03:32:00,0,1097610
2023-03-17 03:34:00,0,871993
2023-03-17 03:36:00,0,964198
2023-03-17 03:38:00,0,1072014
2023-03-17 03:40:00,0,772824
2023-03-17 03:42:00,592,1081617
2023-03-17 03:44:00,592,908174
2023-03-17 03:46:00,0,1005750
2023-03-17 03:48:00,0,1071104
2023-03-17 03:50:00,0,707834
2023-03-17 03:52:00,0,1061729
2023-03-17 03:54:00,0,840772
2023-03-17 03:56:00,0,975667
2023-03-17 03:58:00,0,1087397
2023-03-17 04:00:00,0,720623
2023-03-17 04:02:00,0,2034210
2023-03-17 04:04:00,0,799039
2023-03-17 04:06:00,0,952548
2023-03-17 04:08:00,0,1062866
2023-03-17 04:10:00,0,696229
2023-03-17 04:12:00,0,1054766
2023-03-17 04:14:00,0,821840
2023-03-17 04:16:00,0,978125
2023-03-17 04:18:00,0,1116114
2023-03-17 04:20:00,0,705786
2023-03-17 04:22:00,0,1045709
2023-03-17 04:24:00,0,810598
2023-03-17 04:26:00,0,943946
2023-03-17 04:28:00,0,1054538
2023-03-17 04:30:00,0,697412
2023-03-17 04:32:00,0,1120165
2023-03-17 04:34:00,0,3280441
2023-03-17 04:36:00,0,2195183
2023-03-17 04:38:00,0,1040612
2023-03-17 04:40:00,0,721169
2023-03-17 04:42:00,0,1055075
2023-03-17 04:44:00,0,811509
2023-03-17 04:46:00,0,978762
2023-03-17 04:48:00,0,1055403
2023-03-17 04:50:00,0,732410
2023-03-17 04:52:00,0,1076292
2023-03-17 04:54:00,0,805370
2023-03-17 04:56:00,0,972481
2023-03-17 04:58:00,0,1073198
2023-03-17 05:00:00,410,745426
2023-03-17 05:02:00,410,1472330
2023-03-17 05:04:00,0,1201266
2023-03-17 05:06:00,0,975410
2023-03-17 05:08:00,0,1069602
2023-03-17 05:10:00,0,720395
2023-03-17 05:12:00,0,1067645
2023-03-17 05:14:00,0,815722
2023-03-17 05:16:00,592,3377971
2023-03-17 05:18:00,592,3507769
2023-03-17 05:20:00,0,709154
2023-03-17 05:22:00,0,1063959
2023-03-17 05:24:00,0,821385
2023-03-17 05:26:00,0,968977
2023-03-17 05:28:00,0,1063003
2023-03-17 05:30:00,0,736188
2023-03-17 05:32:00,0,1118982
2023-03-17 05:34:00,0,864666
2023-03-17 05:36:00,0,968704
2023-03-17 05:38:00,7100,1153115
2023-03-17 05:40:00,7100,752936
2023-03-17 05:42:00,0,1094690
2023-03-17 05:44:00,0,879457
2023-03-17 05:46:00,0,966292
2023-03-17 05:48:00,0,1075928
2023-03-17 05:50:00,0,716891
2023-03-17 05:52:00,0,1080161
2023-03-17 05:54:00,0,829804
2023-03-17 05:56:00,637,949362
2023-03-17 05:58:00,0,1076156
2023-03-17 06:00:00,0,719531
2023-03-17 06:02:00,0,4190277
2023-03-17 06:04:00,0,832946
2023-03-17 06:06:00,0,1018357
2023-03-17 06:08:00,0,1082937
2023-03-17 06:10:00,0,693726
2023-03-17 06:12:00,45.5,1093678
2023-03-17 06:14:00,45.5,786978
2023-03-17 06:16:00,0,982887
2023-03-17 06:18:00,0,1129176
2023-03-17 06:20:00,0,704057
2023-03-17 06:22:00,0,1064459
2023-03-17 06:24:00,0,829413
2023-03-17 06:26:00,0,962788
2023-03-17 06:28:00,0,1087625
2023-03-17 06:30:00,0,704375
2023-03-17 06:32:00,0,1114931
2023-03-17 06:34:00,0,883098
2023-03-17 06:36:00,0,964929
2023-03-17 06:38:00,0,1070057
2023-03-17 06:40:00,0,746200
2023-03-17 06:42:00,0,1113065
2023-03-17 06:44:00,0,817380
2023-03-17 06:46:00,0,955551
2023-03-17 06:48:00,0,1053218
2023-03-17 06:50:00,0,712750
2023-03-17 06:52:00,0,1087306
2023-03-17 06:54:00,0,845414
2023-03-17 06:56:00,0,943218
2023-03-17 06:58:00,0,1067208
2023-03-17 07:00:00,0,720714
2023-03-17 07:02:00,45.5,1428093
2023-03-17 07:04:00,45.5,1182379
2023-03-17 07:06:00,0,968506
2023-03-17 07:08:00,0,1094042
2023-03-17 07:10:00,0,722489
2023-03-17 07:12:00,0,1050715
2023-03-17 07:14:00,0,798447
2023-03-17 07:16:00,0,932066
2023-03-17 07:18:00,0,1057451
2023-03-17 07:20:00,0,722625
2023-03-17 07:22:00,0,1053355
2023-03-17 07:24:00,0,789481
2023-03-17 07:26:00,0,939531
2023-03-17 07:28:00,0,1081845
2023-03-17 07:30:00,0,719303
2023-03-17 07:32:00,0,1106648
2023-03-17 07:34:00,0,878091
2023-03-17 07:36:00,0,935663
2023-03-17 07:38:00,0,1065233
2023-03-17 07:40:00,0,744607
2023-03-17 07:42:00,0,1105966
2023-03-17 07:44:00,0,845596
2023-03-17 07:46:00,0,968476
2023-03-17 07:48:00,0,1048576
2023-03-17 07:50:00,0,727541
2023-03-17 07:52:00,0,1065265
2023-03-17 07:54:00,0,791893
2023-03-17 07:56:00,0,965791
2023-03-17 07:58:00,0,1097956
2023-03-17 08:00:00,0,735824
2023-03-17 08:02:00,0,2028157
2023-03-17 08:04:00,0,795534
2023-03-17 08:06:00,0,995965
2023-03-17 08:08:00,0,1053673
2023-03-17 08:10:00,0,697321
2023-03-17 08:12:00,0,1072151
2023-03-17 08:14:00,0,808869
2023-03-17 08:16:00,0,946128
2023-03-17 08:18:00,0,1126946
2023-03-17 08:20:00,0,727313
2023-03-17 08:22:00,0,1091265
2023-03-17 08:24:00,0,812175
2023-03-17 08:26:00,0,927562
2023-03-17 08:28:00,0,1095043
2023-03-17 08:30:00,0,718256
2023-03-17 08:32:00,0,1094679
2023-03-17 08:34:00,0,865439
2023-03-17 08:36:00,0,985225
2023-03-17 08:38:00,0,1120893
2023-03-17 08:40:00,0,722079
