"Time","Transmit Total","Receive Total"
2023-03-04 16:34:00,430269,313497
2023-03-04 16:36:00,540108,419657
2023-03-04 16:38:00,528937,404300
2023-03-04 16:40:00,436673,317983
2023-03-04 16:42:00,439503,318659
2023-03-04 16:44:00,435781,319050
2023-03-04 16:46:00,536927,419287
2023-03-04 16:48:00,577990,437763
2023-03-04 16:50:00,486035,346207
2023-03-04 16:52:00,442980,321454
2023-03-04 16:54:00,440792,321607
2023-03-04 16:56:00,525456,408525
2023-03-04 16:58:00,535370,421066
2023-03-04 17:00:00,432532,316575
2023-03-04 17:02:00,433361,315175
2023-03-04 17:04:00,488943,347188
2023-03-04 17:06:00,517757,402792
2023-03-04 17:08:00,542703,424107
2023-03-04 17:10:00,444259,323879
2023-03-04 17:12:00,436518,317553
2023-03-04 17:14:00,432041,316292
2023-03-04 17:16:00,492985,385799
2023-03-04 17:18:00,538319,423448
2023-03-04 17:20:00,493208,350312
2023-03-04 17:22:00,457129,314428
2023-03-04 17:24:00,454168,329074
2023-03-04 17:26:00,479891,376694
2023-03-04 17:28:00,538299,422322
2023-03-04 17:30:00,447562,328438
2023-03-04 17:32:00,438794,318972
2023-03-04 17:34:00,432531,315973
2023-03-04 17:36:00,474682,371584
2023-03-04 17:38:00,541569,423452
2023-03-04 17:40:00,498020,355251
2023-03-04 17:42:00,476639,340062
2023-03-04 17:44:00,429235,317717
2023-03-04 17:46:00,448421,345026
2023-03-04 17:48:00,532841,418375
2023-03-04 17:50:00,450244,329433
2023-03-04 17:52:00,436648,315404
2023-03-04 17:54:00,438377,319771
2023-03-04 17:56:00,451537,341785
2023-03-04 17:58:00,586096,446043
2023-03-04 18:00:00,445704,324901
2023-03-04 18:02:00,432212,312532
2023-03-04 18:04:00,429262,313793
2023-03-04 18:06:00,452985,336365
2023-03-04 18:08:00,552645,429194
2023-03-04 18:10:00,464071,337126
2023-03-04 18:12:00,429838,312485
2023-03-04 18:14:00,434820,317367
2023-03-04 18:16:00,446864,327279
2023-03-04 18:18:00,533862,417470
2023-03-04 18:20:00,448689,328583
2023-03-04 18:22:00,482830,341243
2023-03-04 18:24:00,481926,342381
2023-03-04 18:26:00,445203,328300
2023-03-04 18:28:00,528525,414004
2023-03-04 18:30:00,456539,334560
2023-03-04 18:32:00,432837,315601
2023-03-04 18:34:00,436069,318132
2023-03-04 18:36:00,451929,328419
2023-03-04 18:38:00,530397,416798
2023-03-04 18:40:00,517547,368685
2023-03-04 18:42:00,485294,342144
2023-03-04 18:44:00,425360,311742
2023-03-04 18:46:00,461892,332355
2023-03-04 18:48:00,531544,416942
2023-03-04 18:50:00,487084,355737
2023-03-04 18:52:00,440700,318519
2023-03-04 18:54:00,426915,312258
2023-03-04 18:56:00,441463,320258
2023-03-04 18:58:00,529653,415825
2023-03-04 19:00:00,496319,362453
2023-03-04 19:02:00,442610,321342
2023-03-04 19:04:00,424468,308315
2023-03-04 19:06:00,445699,323728
2023-03-04 19:08:00,578818,442712
2023-03-04 19:10:00,562149,405078
2023-03-04 19:12:00,442943,322166
2023-03-04 19:14:00,425327,310997
2023-03-04 19:16:00,448636,323730
2023-03-04 19:18:00,541987,423075
2023-03-04 19:20:00,532886,396645
2023-03-04 19:22:00,459080,337033
2023-03-04 19:24:00,443142,319968
2023-03-04 19:26:00,433630,316053
2023-03-04 19:28:00,530201,414903
2023-03-04 19:30:00,525121,397688
2023-03-04 19:32:00,444815,323160
2023-03-04 19:34:00,451006,335233
2023-03-04 19:36:00,491594,346501
2023-03-04 19:38:00,532869,417127
2023-03-04 19:40:00,535021,410381
2023-03-04 19:42:00,440274,320931
2023-03-04 19:44:00,422110,307602
2023-03-04 19:46:00,438190,319524
2023-03-04 19:48:00,533876,417378
2023-03-04 19:50:00,539494,419231
2023-03-04 19:52:00,445969,324211
2023-03-04 19:54:00,424377,310836
2023-03-04 19:56:00,487038,345006
2023-03-04 19:58:00,571937,436132
2023-03-04 20:00:00,566998,435991
2023-03-04 20:02:00,441476,321198
2023-03-04 20:04:00,545572,432198
2023-03-04 20:06:00,816188,580543
2023-03-04 20:08:00,598110,455382
2023-03-04 20:10:00,541419,424695
2023-03-04 20:12:00,444987,323489
2023-03-04 20:14:00,452380,331671
2023-03-04 20:16:00,435088,317661
2023-03-04 20:18:00,492523,392152
2023-03-04 20:20:00,592974,449774
2023-03-04 20:22:00,441659,317759
2023-03-04 20:24:00,437091,318932
