"Time","10250/TCP","3000/TCP","443/TCP","53/UDP","6443/TCP","80/TCP","8079/TCP","8080/TCP","8081/TCP","8181/TCP","8443/TCP","8500/TCP","9093/TCP","9443/TCP"
2023-03-11 09:30:00,3.20,,1.82,,6.54,9.24,3.22,2.56,,2.42,,5.18,1.94,1.68
2023-03-11 09:32:00,3.46,,1.52,,6.66,9.80,3.30,2.50,,2.42,,5.18,1.88,1.68
2023-03-11 09:34:00,3.40,,1.72,,6.52,9.14,3.34,2.52,,2.36,,5.18,1.94,1.68
2023-03-11 09:36:00,3.30,,1.52,,6.68,9.06,3.18,2.60,,2.34,,5.14,1.94,1.66
2023-03-11 09:38:00,3.38,,,,6.82,9.12,3.30,2.52,1.58,2.46,,5.20,1.94,1.68
2023-03-11 09:40:00,3.42,,1.78,,6.80,9.36,3.30,2.52,,2.40,,5.18,1.88,1.68
2023-03-11 09:42:00,3.48,,,2.16,6.96,16.3,3.40,2.50,,2.42,20.7,5.20,1.98,
2023-03-11 09:44:00,3.44,,1.72,,6.90,9.16,3.24,2.52,,2.40,,5.18,1.94,1.68
2023-03-11 09:46:00,3.50,,1.52,,6.82,9.28,3.26,2.52,,2.30,,5.20,1.88,1.70
2023-03-11 09:48:00,3.38,,1.52,,6.84,9.24,3.28,2.52,,2.48,,5.20,2.02,1.68
2023-03-11 09:50:00,3.32,,1.78,,6.56,9.30,3.24,2.54,,2.42,,5.18,1.96,1.68
2023-03-11 09:52:00,3.48,,,2.28,6.72,16.5,3.24,2.48,,2.42,48.4,5.16,1.90,
2023-03-11 09:54:00,3.34,,1.72,,6.76,9.14,3.30,2.50,,2.36,,5.18,1.94,1.68
2023-03-11 09:56:00,3.52,,1.52,,6.90,9.14,3.26,2.56,,2.48,,5.20,1.98,1.68
2023-03-11 09:58:00,3.32,,1.52,,6.80,9.08,3.16,2.58,,2.42,,5.12,1.94,1.68
2023-03-11 10:00:00,3.40,,1.82,,6.80,8.92,3.10,2.54,,2.40,,5.18,1.98,1.68
2023-03-11 10:02:00,3.42,,,2.16,6.86,16.3,3.32,2.50,,2.28,73.6,5.16,1.98,
2023-03-11 10:04:00,3.24,,1.72,,6.70,9.14,3.28,2.54,,2.32,,5.18,1.96,1.68
2023-03-11 10:06:00,3.38,,1.52,,6.92,8.94,3.08,2.58,,2.32,,5.20,1.94,1.68
2023-03-11 10:08:00,3.12,,1.52,,6.72,9.04,3.04,2.46,,2.36,,5.16,1.96,1.68
2023-03-11 10:10:00,3.44,,1.78,,6.60,9.10,3.24,2.52,,2.34,,5.14,1.90,1.68
2023-03-11 10:12:00,3.32,,,2.28,6.90,16.2,3.28,2.56,,2.38,98.4,5.20,1.94,
2023-03-11 10:14:00,3.24,,1.72,,6.66,8.80,3.16,2.56,,2.38,,5.14,1.88,1.66
2023-03-11 10:16:00,3.66,,,,6.84,9.12,3.30,2.48,1.54,2.42,,5.16,1.96,1.70
2023-03-11 10:18:00,3.46,,,,6.68,9.22,3.32,2.50,1.52,2.44,,5.20,2,1.68
2023-03-11 10:20:00,3.44,,1.78,,6.58,9.38,3.30,2.54,,2.46,,5.20,1.98,1.74
2023-03-11 10:22:00,3.54,,,2.10,6.68,16.4,3.70,2.56,,2.38,101,5.20,1.98,
2023-03-11 10:24:00,3.36,,1.72,,6.64,9.34,3.32,2.52,,2.36,,5.20,1.94,1.78
2023-03-11 10:26:00,3.64,,,,6.86,9.38,3.24,2.58,1.58,2.40,,5.20,2,1.78
2023-03-11 10:28:00,3.40,1.52,,,6.94,9.28,3.28,2.44,,2.42,,5.20,2,1.68
2023-03-11 10:30:00,3.40,,1.80,,6.58,9.10,3.24,2.54,,2.40,,5.20,1.90,1.68
2023-03-11 10:32:00,3.48,,,,6.74,9.28,3.54,2.48,,2.40,88.5,5.22,1.90,1.68
2023-03-11 10:34:00,3.40,,1.72,,6.64,9.08,3.26,2.50,,2.40,,5.18,1.96,1.66
2023-03-11 10:36:00,3.54,,,,6.76,9.32,3.22,2.44,1.56,2.30,,5.16,1.96,1.68
2023-03-11 10:38:00,3.24,,1.52,,6.54,8.96,3.14,2.44,,2.36,,5.16,1.90,1.68
2023-03-11 10:40:00,3.48,,1.78,,6.64,8.92,3.16,2.52,,2.38,,5.18,1.92,1.66
2023-03-11 10:42:00,3.48,,,,6.82,9.22,3.46,2.50,,2.40,67.8,5.14,1.92,1.66
2023-03-11 10:44:00,3.32,,1.90,1.94,6.60,9.16,3.30,2.48,,2.36,,5.18,1.96,
2023-03-11 10:46:00,3.46,,1.70,,6.78,9.14,3.24,2.50,,2.34,,5.20,1.90,1.70
2023-03-11 10:48:00,3.24,,1.52,,6.64,9.06,3.16,2.50,,2.28,,5.18,2,1.62
2023-03-11 10:50:00,3.36,,1.80,,6.66,9.04,3.26,2.48,,2.36,,5.14,1.82,1.64
2023-03-11 10:52:00,3.46,,,,6.80,8.98,3.46,2.44,,2.30,41.4,5.12,2,1.70
2023-03-11 10:54:00,3.32,,1.72,,6.56,8.96,3.28,2.52,,2.20,,5.18,1.96,1.68
2023-03-11 10:56:00,3.44,,,,6.86,9.10,3.16,2.46,1.54,2.44,,5.16,2.02,1.70
2023-03-11 10:58:00,3.16,1.52,,,6.66,8.78,3.02,2.50,,2.48,,5.18,1.86,1.70
