"Time","avg","min","max"
2023-03-20 13:00:00,90.4,90.4,90.4
2023-03-20 13:02:00,89.6,89.6,89.6
2023-03-20 13:04:00,91.0,91.0,91.0
2023-03-20 13:06:00,95.2,95.2,95.2
2023-03-20 13:08:00,90.6,90.6,90.6
2023-03-20 13:10:00,90.8,90.8,90.8
2023-03-20 13:12:00,103,103,103
2023-03-20 13:14:00,90.4,90.4,90.4
2023-03-20 13:16:00,94.1,94.1,94.1
2023-03-20 13:18:00,89.2,89.2,89.2
2023-03-20 13:20:00,88.5,88.5,88.5
2023-03-20 13:22:00,184,184,184
2023-03-20 13:24:00,90.4,90.4,90.4
2023-03-20 13:26:00,94.5,94.5,94.5
2023-03-20 13:28:00,88.9,88.9,88.9
2023-03-20 13:30:00,88.9,88.9,88.9
2023-03-20 13:32:00,209,209,209
2023-03-20 13:34:00,90.8,90.8,90.8
2023-03-20 13:36:00,97.1,97.1,97.1
2023-03-20 13:38:00,91.0,91.0,91.0
2023-03-20 13:40:00,89.3,89.3,89.3
2023-03-20 13:42:00,132,132,132
2023-03-20 13:44:00,90.4,90.4,90.4
2023-03-20 13:46:00,95.8,95.8,95.8
2023-03-20 13:48:00,88.9,88.9,88.9
2023-03-20 13:50:00,88.8,88.8,88.8
2023-03-20 13:52:00,92.4,92.4,92.4
2023-03-20 13:54:00,260,260,260
2023-03-20 13:56:00,102,102,102
2023-03-20 13:58:00,88.5,88.5,88.5
2023-03-20 14:00:00,88.5,88.5,88.5
2023-03-20 14:02:00,91.0,91.0,91.0
2023-03-20 14:04:00,88.6,88.6,88.6
2023-03-20 14:06:00,184,184,184
2023-03-20 14:08:00,89.5,89.5,89.5
2023-03-20 14:10:00,88.3,88.3,88.3
2023-03-20 14:12:00,90.4,90.4,90.4
2023-03-20 14:14:00,88.3,88.3,88.3
2023-03-20 14:16:00,228,228,228
2023-03-20 14:18:00,90.5,90.5,90.5
2023-03-20 14:20:00,87.1,87.1,87.1
2023-03-20 14:22:00,91.0,91.0,91.0
2023-03-20 14:24:00,87.8,87.8,87.8
2023-03-20 14:26:00,141,141,141
2023-03-20 14:28:00,88.3,88.3,88.3
2023-03-20 14:30:00,88.6,88.6,88.6
2023-03-20 14:32:00,91.0,91.0,91.0
2023-03-20 14:34:00,89.9,89.9,89.9
2023-03-20 14:36:00,95.2,95.2,95.2
2023-03-20 14:38:00,89.8,89.8,89.8
2023-03-20 14:40:00,89.1,89.1,89.1
2023-03-20 14:42:00,91.4,91.4,91.4
2023-03-20 14:44:00,88.6,88.6,88.6
2023-03-20 14:46:00,94.1,94.1,94.1
2023-03-20 14:48:00,104,104,104
2023-03-20 14:50:00,91.2,91.2,91.2
2023-03-20 14:52:00,90.7,90.7,90.7
2023-03-20 14:54:00,87.8,87.8,87.8
2023-03-20 14:56:00,95.6,95.6,95.6
2023-03-20 14:58:00,188,188,188
2023-03-20 15:00:00,90.1,90.1,90.1
2023-03-20 15:02:00,91.4,91.4,91.4
2023-03-20 15:04:00,88.9,88.9,88.9
2023-03-20 15:06:00,95.1,95.1,95.1
2023-03-20 15:08:00,205,205,205
2023-03-20 15:10:00,89.0,89.0,89.0
2023-03-20 15:12:00,90.4,90.4,90.4
2023-03-20 15:14:00,89.5,89.5,89.5
2023-03-20 15:16:00,92.8,92.8,92.8
2023-03-20 15:18:00,121,121,121
2023-03-20 15:20:00,88.2,88.2,88.2
2023-03-20 15:22:00,89.4,89.4,89.4
2023-03-20 15:24:00,89.6,89.6,89.6
2023-03-20 15:26:00,95.1,95.1,95.1
2023-03-20 15:28:00,89.5,89.5,89.5
2023-03-20 15:30:00,89.0,89.0,89.0
2023-03-20 15:32:00,90.2,90.2,90.2
2023-03-20 15:34:00,90.0,90.0,90.0
2023-03-20 15:36:00,94.0,94.0,94.0
2023-03-20 15:38:00,89.7,89.7,89.7
2023-03-20 15:40:00,118,118,118
2023-03-20 15:42:00,89.7,89.7,89.7
2023-03-20 15:44:00,90.8,90.8,90.8
2023-03-20 15:46:00,93.6,93.6,93.6
2023-03-20 15:48:00,88.5,88.5,88.5
2023-03-20 15:50:00,204,204,204
2023-03-20 15:52:00,89.5,89.5,89.5
2023-03-20 15:54:00,90.5,90.5,90.5
2023-03-20 15:56:00,94.1,94.1,94.1
2023-03-20 15:58:00,89.4,89.4,89.4
2023-03-20 16:00:00,189,189,189
2023-03-20 16:02:00,90.1,90.1,90.1
2023-03-20 16:04:00,91.0,91.0,91.0
2023-03-20 16:06:00,94.7,94.7,94.7
2023-03-20 16:08:00,89.3,89.3,89.3
2023-03-20 16:10:00,109,109,109
2023-03-20 16:12:00,89.2,89.2,89.2
2023-03-20 16:14:00,91.7,91.7,91.7
2023-03-20 16:16:00,94.4,94.4,94.4
2023-03-20 16:18:00,88.9,88.9,88.9
2023-03-20 16:20:00,89.0,89.0,89.0
2023-03-20 16:22:00,91.7,91.7,91.7
2023-03-20 16:24:00,90.1,90.1,90.1
2023-03-20 16:26:00,92.7,92.7,92.7
2023-03-20 16:28:00,90.4,90.4,90.4
2023-03-20 16:30:00,88.3,88.3,88.3
2023-03-20 16:32:00,138,138,138
2023-03-20 16:34:00,89.3,89.3,89.3
2023-03-20 16:36:00,94.1,94.1,94.1
2023-03-20 16:38:00,89.0,89.0,89.0
2023-03-20 16:40:00,89.8,89.8,89.8
2023-03-20 16:42:00,194,194,194
2023-03-20 16:44:00,112,112,112
2023-03-20 16:46:00,94.5,94.5,94.5
2023-03-20 16:48:00,89.4,89.4,89.4
2023-03-20 16:50:00,89.9,89.9,89.9
2023-03-20 16:52:00,91.3,91.3,91.3
2023-03-20 16:54:00,220,220,220
2023-03-20 16:56:00,93.9,93.9,93.9
2023-03-20 16:58:00,89.5,89.5,89.5
2023-03-20 17:00:00,89.1,89.1,89.1
2023-03-20 17:02:00,90.3,90.3,90.3
2023-03-20 17:04:00,135,135,135
2023-03-20 17:06:00,94.3,94.3,94.3
2023-03-20 17:08:00,89.9,89.9,89.9
2023-03-20 17:10:00,89.3,89.3,89.3
2023-03-20 17:12:00,88.8,88.8,88.8
2023-03-20 17:14:00,87.2,87.2,87.2
2023-03-20 17:16:00,92.5,92.5,92.5
2023-03-20 17:18:00,89.4,89.4,89.4
2023-03-20 17:20:00,89.5,89.5,89.5
2023-03-20 17:22:00,91.0,91.0,91.0
2023-03-20 17:24:00,89.7,89.7,89.7
2023-03-20 17:26:00,114,114,114
2023-03-20 17:28:00,89.0,89.0,89.0
2023-03-20 17:30:00,89.4,89.4,89.4
2023-03-20 17:32:00,91.5,91.5,91.5
2023-03-20 17:34:00,88.8,88.8,88.8
2023-03-20 17:36:00,199,199,199
2023-03-20 17:38:00,89.5,89.5,89.5
2023-03-20 17:40:00,90.2,90.2,90.2
2023-03-20 17:42:00,91.2,91.2,91.2
2023-03-20 17:44:00,89.9,89.9,89.9
2023-03-20 17:46:00,212,212,212
2023-03-20 17:48:00,88.5,88.5,88.5
2023-03-20 17:50:00,88.5,88.5,88.5
2023-03-20 17:52:00,90.0,90.0,90.0
2023-03-20 17:54:00,88.6,88.6,88.6
2023-03-20 17:56:00,128,128,128
2023-03-20 17:58:00,89.2,89.2,89.2
2023-03-20 18:00:00,89.1,89.1,89.1
2023-03-20 18:02:00,90.3,90.3,90.3
2023-03-20 18:04:00,89.4,89.4,89.4
2023-03-20 18:06:00,95.0,95.0,95.0
2023-03-20 18:08:00,89.3,89.3,89.3
2023-03-20 18:10:00,88.9,88.9,88.9
2023-03-20 18:12:00,90.3,90.3,90.3
2023-03-20 18:14:00,90.8,90.8,90.8
2023-03-20 18:16:00,94.1,94.1,94.1
2023-03-20 18:18:00,124,124,124
2023-03-20 18:20:00,89.1,89.1,89.1
2023-03-20 18:22:00,90.9,90.9,90.9
2023-03-20 18:24:00,89.3,89.3,89.3
2023-03-20 18:26:00,93.3,93.3,93.3
2023-03-20 18:28:00,206,206,206
2023-03-20 18:30:00,89.3,89.3,89.3
2023-03-20 18:32:00,91.1,91.1,91.1
2023-03-20 18:34:00,89.1,89.1,89.1
2023-03-20 18:36:00,93.3,93.3,93.3
2023-03-20 18:38:00,191,191,191
2023-03-20 18:40:00,89.0,89.0,89.0
2023-03-20 18:42:00,90.7,90.7,90.7
2023-03-20 18:44:00,90.0,90.0,90.0
2023-03-20 18:46:00,92.9,92.9,92.9
2023-03-20 18:48:00,108,108,108
2023-03-20 18:50:00,89.6,89.6,89.6
2023-03-20 18:52:00,90.7,90.7,90.7
2023-03-20 18:54:00,88.6,88.6,88.6
2023-03-20 18:56:00,93.0,93.0,93.0
2023-03-20 18:58:00,90.2,90.2,90.2
2023-03-20 19:00:00,89.0,89.0,89.0
2023-03-20 19:02:00,91.9,91.9,91.9
