"Time","Drop","PolicyVerdict","Trace"
2023-03-20 13:00:00,0.0400,1.26,89.1
2023-03-20 13:02:00,0.0400,1.10,88.5
2023-03-20 13:04:00,0,1.26,89.7
2023-03-20 13:06:00,0.0400,1.62,93.6
2023-03-20 13:08:00,0.0400,1.26,89.3
2023-03-20 13:10:00,0.0400,1.26,89.5
2023-03-20 13:12:00,0.100,1.10,101
2023-03-20 13:14:00,0.0200,1.26,89.1
2023-03-20 13:16:00,0,1.48,92.7
2023-03-20 13:18:00,0,1.26,87.9
2023-03-20 13:20:00,0,1.10,87.4
2023-03-20 13:22:00,0.0200,1.10,183
2023-03-20 13:24:00,0,1.26,89.1
2023-03-20 13:26:00,0.0400,1.44,93
2023-03-20 13:28:00,0,1.26,87.6
2023-03-20 13:30:00,0.0800,1.26,87.5
2023-03-20 13:32:00,0.0200,1.24,208
2023-03-20 13:34:00,0.0600,1.28,89.5
2023-03-20 13:36:00,0.0200,1.46,95.6
2023-03-20 13:38:00,0.0400,1.26,89.7
2023-03-20 13:40:00,0,1.26,88.1
2023-03-20 13:42:00,0,1.26,131
2023-03-20 13:44:00,0,1.26,89.1
2023-03-20 13:46:00,0.0400,1.46,94.3
2023-03-20 13:48:00,0,1.10,87.8
2023-03-20 13:50:00,0.0400,1.10,87.7
2023-03-20 13:52:00,0.0200,1.26,91.1
2023-03-20 13:54:00,0.0400,1.26,259
2023-03-20 13:56:00,0.0400,1.46,101
2023-03-20 13:58:00,0.0400,1.10,87.4
2023-03-20 14:00:00,0.0200,1.10,87.4
2023-03-20 14:02:00,0.0200,1.26,89.8
2023-03-20 14:04:00,0,1.10,87.5
2023-03-20 14:06:00,0,1.78,182
2023-03-20 14:08:00,0,1.26,88.3
2023-03-20 14:10:00,0,1.10,87.2
2023-03-20 14:12:00,0.0200,1.10,89.3
2023-03-20 14:14:00,0.0400,1.12,87.1
2023-03-20 14:16:00,0.120,1.66,227
2023-03-20 14:18:00,0,1.30,89.2
2023-03-20 14:20:00,0.0200,1.10,86.0
2023-03-20 14:22:00,0.0200,1.26,89.8
2023-03-20 14:24:00,0.0200,1.10,86.7
2023-03-20 14:26:00,0,1.66,139
2023-03-20 14:28:00,0,1.10,87.2
2023-03-20 14:30:00,0,1.10,87.5
2023-03-20 14:32:00,0,1.26,89.8
2023-03-20 14:34:00,0.0400,1.10,88.8
2023-03-20 14:36:00,0.0200,1.66,93.6
2023-03-20 14:38:00,0,1.10,88.7
2023-03-20 14:40:00,0.0400,1.24,87.8
2023-03-20 14:42:00,0.0400,1.26,90.1
2023-03-20 14:44:00,0.0400,1.10,87.4
2023-03-20 14:46:00,0.0400,1.50,92.6
2023-03-20 14:48:00,0.0200,1.12,103
2023-03-20 14:50:00,0,1.26,90.0
2023-03-20 14:52:00,0,1.26,89.4
2023-03-20 14:54:00,0,1.14,86.7
2023-03-20 14:56:00,0,1.66,94.0
2023-03-20 14:58:00,0,1.10,187
2023-03-20 15:00:00,0,1.26,88.9
2023-03-20 15:02:00,0.0200,1.26,90.2
2023-03-20 15:04:00,0.0600,1.10,87.7
2023-03-20 15:06:00,0.0600,1.50,93.6
2023-03-20 15:08:00,0.0400,1.10,204
2023-03-20 15:10:00,0.0200,1.26,87.8
2023-03-20 15:12:00,0.0400,1.26,89.1
2023-03-20 15:14:00,0,1.26,88.2
2023-03-20 15:16:00,0,1.66,91.1
2023-03-20 15:18:00,0,1.10,120
2023-03-20 15:20:00,0.0400,1.10,87.1
2023-03-20 15:22:00,0.0600,1.10,88.3
2023-03-20 15:24:00,0.0200,1.26,88.3
2023-03-20 15:26:00,0.0200,1.66,93.5
2023-03-20 15:28:00,0.0400,1.10,88.4
2023-03-20 15:30:00,0.0800,1.10,87.8
2023-03-20 15:32:00,0,1.10,89.1
2023-03-20 15:34:00,0.0600,1.26,88.7
2023-03-20 15:36:00,0.0200,1.66,92.3
2023-03-20 15:38:00,0,1.24,88.5
2023-03-20 15:40:00,0,1.10,117
2023-03-20 15:42:00,0,1.10,88.6
2023-03-20 15:44:00,0.0400,1.10,89.7
2023-03-20 15:46:00,0,1.52,92.1
2023-03-20 15:48:00,0.0200,1.10,87.4
2023-03-20 15:50:00,0.0400,1.30,202
2023-03-20 15:52:00,0.0600,1.10,88.3
2023-03-20 15:54:00,0.0400,1.26,89.2
2023-03-20 15:56:00,0.0200,1.48,92.6
2023-03-20 15:58:00,0.0200,1.26,88.1
2023-03-20 16:00:00,0.0200,1.26,188
2023-03-20 16:02:00,0,1.10,89.0
2023-03-20 16:04:00,0,1.26,89.8
2023-03-20 16:06:00,0,1.50,93.2
2023-03-20 16:08:00,0.0200,1.10,88.1
2023-03-20 16:10:00,0.0200,1.26,107
2023-03-20 16:12:00,0.0400,1.24,87.9
2023-03-20 16:14:00,0.0400,1.26,90.4
2023-03-20 16:16:00,0.0600,1.50,92.8
2023-03-20 16:18:00,0.0400,1.26,87.6
2023-03-20 16:20:00,0.0800,1.10,87.9
2023-03-20 16:22:00,0.0200,1.26,90.5
2023-03-20 16:24:00,0.0400,1.26,88.8
2023-03-20 16:26:00,0,1.48,91.2
2023-03-20 16:28:00,0,1.26,89.1
2023-03-20 16:30:00,0,1.10,87.2
2023-03-20 16:32:00,0,1.26,137
2023-03-20 16:34:00,0.0400,1.28,88.0
2023-03-20 16:36:00,0.0200,1.50,92.6
2023-03-20 16:38:00,0,1.26,87.8
2023-03-20 16:40:00,0.0400,1.10,88.6
2023-03-20 16:42:00,0.0400,1.26,193
2023-03-20 16:44:00,0.0600,1.26,111
2023-03-20 16:46:00,0.0400,1.64,92.9
2023-03-20 16:48:00,0,1.26,88.1
2023-03-20 16:50:00,0,1.10,88.8
2023-03-20 16:52:00,0,1.24,90.0
2023-03-20 16:54:00,0,1.12,219
2023-03-20 16:56:00,0.0400,1.50,92.3
2023-03-20 16:58:00,0.0400,1.26,88.2
2023-03-20 17:00:00,0.0400,1.10,87.9
2023-03-20 17:02:00,0,1.10,89.2
2023-03-20 17:04:00,0.0600,1.10,134
2023-03-20 17:06:00,0,1.66,92.7
2023-03-20 17:08:00,0.0200,1.26,88.6
2023-03-20 17:10:00,0.100,1.10,88.1
2023-03-20 17:12:00,0,1.10,87.7
2023-03-20 17:14:00,0,1.10,86.1
2023-03-20 17:16:00,0,1.50,91.0
2023-03-20 17:18:00,0,1.26,88.1
2023-03-20 17:20:00,0.0200,1.24,88.2
2023-03-20 17:22:00,0.0600,1.10,89.9
2023-03-20 17:24:00,0.0600,1.10,88.5
2023-03-20 17:26:00,0.0200,1.66,112
2023-03-20 17:28:00,0,1.12,87.8
2023-03-20 17:30:00,0.0400,1.26,88.1
2023-03-20 17:32:00,0.120,1.26,90.2
2023-03-20 17:34:00,0.0600,1.10,87.6
2023-03-20 17:36:00,0,1.68,197
2023-03-20 17:38:00,0,1.10,88.4
2023-03-20 17:40:00,0,1.10,89.1
2023-03-20 17:42:00,0.0200,1.30,89.9
2023-03-20 17:44:00,0,1.24,88.6
2023-03-20 17:46:00,0.0400,1.66,210
2023-03-20 17:48:00,0,1.10,87.4
2023-03-20 17:50:00,0.0200,1.10,87.4
2023-03-20 17:52:00,0.0600,1.26,88.7
2023-03-20 17:54:00,0.0200,1.24,87.3
2023-03-20 17:56:00,0,1.66,127
2023-03-20 17:58:00,0,1.10,88.1
2023-03-20 18:00:00,0,1.26,87.8
2023-03-20 18:02:00,0,1.12,89.1
2023-03-20 18:04:00,0,1.26,88.1
2023-03-20 18:06:00,0.0400,1.66,93.3
2023-03-20 18:08:00,0,1.12,88.2
2023-03-20 18:10:00,0.0600,1.26,87.6
2023-03-20 18:12:00,0.0200,1.10,89.2
2023-03-20 18:14:00,0.0400,1.26,89.5
2023-03-20 18:16:00,0.0600,1.50,92.5
2023-03-20 18:18:00,0.0200,1.24,123
2023-03-20 18:20:00,0.100,1.10,87.9
2023-03-20 18:22:00,0.0200,1.10,89.7
2023-03-20 18:24:00,0,1.26,88.0
2023-03-20 18:26:00,0,1.48,91.8
2023-03-20 18:28:00,0,1.24,204
2023-03-20 18:30:00,0,1.26,88.0
2023-03-20 18:32:00,0.0600,1.10,90.0
2023-03-20 18:34:00,0.0600,1.26,87.8
2023-03-20 18:36:00,0,1.50,91.8
2023-03-20 18:38:00,0.0600,1.26,190
2023-03-20 18:40:00,0.0400,1.10,87.8
2023-03-20 18:42:00,0.0600,1.10,89.6
2023-03-20 18:44:00,0.0200,1.26,88.7
2023-03-20 18:46:00,0,1.50,91.4
2023-03-20 18:48:00,0,1.26,107
2023-03-20 18:50:00,0,1.26,88.3
2023-03-20 18:52:00,0,1.24,89.5
2023-03-20 18:54:00,0,1.10,87.5
2023-03-20 18:56:00,0.0200,1.50,91.5
2023-03-20 18:58:00,0,1.26,88.9
2023-03-20 19:00:00,0.0200,1.26,87.8
2023-03-20 19:02:00,0.0400,1.26,90.6
2023-03-20 19:04:00,0.0200,1.26,88.3
2023-03-20 19:06:00,0.0200,1.48,91.4
2023-03-20 19:08:00,0,1.28,88.5
2023-03-20 19:10:00,0.0400,1.10,130
2023-03-20 19:12:00,0,1.26,89.8
2023-03-20 19:14:00,0,1.26,87.9
2023-03-20 19:16:00,0,1.50,93.1
2023-03-20 19:18:00,0,1.26,90.9
2023-03-20 19:20:00,0,1.10,212
2023-03-20 19:22:00,0.0400,1.26,90.3
2023-03-20 19:24:00,0.0200,1.26,88.2
2023-03-20 19:26:00,0.0400,1.64,91.6
2023-03-20 19:28:00,0.0400,1.26,89.6
2023-03-20 19:30:00,0.100,1.10,171
2023-03-20 19:32:00,0,1.26,89
2023-03-20 19:34:00,0,1.10,88.4
2023-03-20 19:36:00,0,1.66,93.5
2023-03-20 19:38:00,0,1.26,89.1
2023-03-20 19:40:00,0,1.10,92.9
2023-03-20 19:42:00,0,1.26,89.7
2023-03-20 19:44:00,0,1.12,89.7
