"Time","10250/TCP","443/TCP","53/UDP","6443/TCP","80/TCP","8079/TCP","8080/TCP","8181/TCP","8443/TCP","8500/TCP","8765/TCP","9093/TCP","9443/TCP"
2023-03-20 14:50:00,3.42,,,6.20,9.14,3.24,2.54,2.08,,5.18,1.62,1.84,1.68
2023-03-20 14:52:00,3.46,1.62,,6.22,8.86,3.34,2.48,2.06,,5.20,,1.66,1.68
2023-03-20 14:54:00,3.28,,,6.42,8.94,3.24,2.52,2.06,,5.26,1.58,1.64,1.68
2023-03-20 14:56:00,3.64,1.88,2.32,6.48,9.30,3.26,2.56,2.06,,5.16,,1.78,
2023-03-20 14:58:00,3.26,,,6.44,16.1,3.20,2.56,2.08,68.2,5.22,,1.82,1.68
2023-03-20 15:00:00,3.24,,,6.18,8.96,3.22,2.56,2.10,,5.20,1.64,1.72,1.68
2023-03-20 15:02:00,3.42,1.62,,6.24,8.94,3.32,2.52,2.02,,5.22,,1.68,1.68
2023-03-20 15:04:00,3.32,,,6.16,9.18,3.28,2.60,2.14,,5.26,1.68,1.70,1.68
2023-03-20 15:06:00,3.70,1.88,1.84,6.42,9.04,3.22,2.56,2.10,,5.14,,1.72,
2023-03-20 15:08:00,3.00,,,6.46,10.9,3.34,2.54,2.16,94.7,5.24,,1.74,1.66
2023-03-20 15:10:00,3.30,,,5.96,8.98,3.30,2.54,2.18,,5.20,1.60,1.78,1.68
2023-03-20 15:12:00,3.30,1.62,,6.22,8.58,3.18,2.56,2.02,,5.18,,1.78,1.66
2023-03-20 15:14:00,3.40,,,6.20,8.84,3.22,2.48,2.10,,5.30,1.62,1.86,1.68
2023-03-20 15:16:00,3.38,1.88,2.18,6.40,8.78,3.06,2.50,1.96,,5.08,,,1.68
2023-03-20 15:18:00,3.34,,,6.38,9.00,3.22,2.50,2.06,28.4,5.20,,1.60,1.70
2023-03-20 15:20:00,3.18,,,6.12,9.06,3.26,2.54,1.98,,5.18,1.62,1.68,1.68
2023-03-20 15:22:00,3.34,1.62,,6.22,8.64,3.24,2.48,2.08,,5.18,,1.64,1.66
2023-03-20 15:24:00,3.40,1.52,,6.12,8.70,3.20,2.50,2.06,,5.18,,1.68,1.68
2023-03-20 15:26:00,3.60,2.02,2.64,6.34,9.02,3.22,2.56,2.14,,5.18,,,1.68
2023-03-20 15:28:00,3.40,1.58,,6.10,9.16,3.24,2.52,2.06,,5.10,,1.70,1.68
2023-03-20 15:30:00,3.36,,,6.16,9.08,3.40,2.52,2.04,,5.22,1.64,1.66,1.68
2023-03-20 15:32:00,3.50,,,6.32,8.94,3.22,2.56,2.10,,5.20,1.64,1.72,1.68
2023-03-20 15:34:00,3.36,,,6.12,8.86,3.30,2.48,2.06,,5.20,1.66,1.72,1.68
2023-03-20 15:36:00,3.50,1.88,2.12,6.44,8.90,3.24,2.54,2.10,,5.12,,,1.68
2023-03-20 15:38:00,3.40,1.58,,6.28,8.98,3.22,2.54,1.98,,5.18,,1.68,1.68
2023-03-20 15:40:00,3.42,,,6.10,15.8,3.28,2.52,2.10,11.4,5.22,,1.72,1.68
2023-03-20 15:42:00,3.38,1.62,,6.26,8.94,3.24,2.54,2.06,,5.14,,1.72,1.78
2023-03-20 15:44:00,3.38,,,6.52,8.86,3.32,2.52,2.08,,5.12,1.62,1.60,1.68
2023-03-20 15:46:00,3.56,2.06,1.80,6.64,8.90,3.20,2.50,2.06,,5.14,,,1.68
2023-03-20 15:48:00,3.36,,,6.20,8.84,3.32,2.50,2.10,,5.08,1.62,1.78,1.68
2023-03-20 15:50:00,3.36,,,6.44,15.6,3.32,2.52,2.06,82.4,5.22,1.70,1.72,
2023-03-20 15:52:00,3.38,1.62,,6.30,9.06,3.30,2.52,2.08,,5.12,,1.70,1.66
2023-03-20 15:54:00,3.26,,,6.40,8.84,3.04,2.52,2.02,,5.26,1.54,1.78,1.70
2023-03-20 15:56:00,3.40,1.88,1.78,6.40,8.94,3.20,2.50,2.08,,5.18,,1.76,
2023-03-20 15:58:00,3.40,,,6.30,8.98,3.30,2.50,2.14,,5.10,1.60,1.70,1.68
