"Time","idle","iowait","irq","nice","softirq","steal","system","user"
2023-03-23 05:00:00,0.910,0.000792,0,0,0.00104,0.00258,0.0107,0.0700
2023-03-23 05:02:00,0.915,0.000708,0,0,0.00100,0.00308,0.0116,0.0612
2023-03-23 05:04:00,0.920,0.000875,0,0,0.000875,0.00333,0.0107,0.0592
2023-03-23 05:06:00,0.903,0.000875,0,0,0.000958,0.00371,0.0119,0.0741
2023-03-23 05:08:00,0.929,0.000875,0,0,0.000583,0.00579,0.00983,0.0525
2023-03-23 05:10:00,0.918,0.000708,0,0,0.00150,0.00300,0.00933,0.0619
2023-03-23 05:12:00,0.902,0.000958,0,0,0.00113,0.00317,0.0117,0.0758
2023-03-23 05:14:00,0.916,0.000875,0,0,0.000500,0.00296,0.0110,0.0613
2023-03-23 05:16:00,0.915,0.000708,0,0,0.00133,0.00337,0.0107,0.0634
2023-03-23 05:18:00,0.914,0.000792,0,0,0.00108,0.00646,0.0108,0.0633
2023-03-23 05:20:00,0.920,0.000708,0,0,0.00108,0.00638,0.00988,0.0592
2023-03-23 05:22:00,0.926,0.000750,0,0,0.00204,0.00600,0.0102,0.0516
2023-03-23 05:24:00,0.908,0.000708,0,0,0.00150,0.00708,0.0103,0.0703
2023-03-23 05:26:00,0.915,0.000833,0,0,0.00108,0.00700,0.0107,0.0599
2023-03-23 05:28:00,0.923,0.000708,0,0,0.00112,0.00604,0.01000,0.0559
2023-03-23 05:30:00,0.905,0.000792,0,0,0.00158,0.00792,0.0110,0.0712
2023-03-23 05:32:00,0.931,0.000833,0,0,0.00125,0.00546,0.00917,0.0464
2023-03-23 05:34:00,0.920,0.000792,0,0,0.00108,0.00679,0.00963,0.0598
2023-03-23 05:36:00,0.908,0.000749,0,0,0.00125,0.00487,0.0105,0.0709
2023-03-23 05:38:00,0.920,0.000875,0,0,0.00121,0.00567,0.00938,0.0576
2023-03-23 05:40:00,0.918,0.000833,0,0,0.00100,0.00587,0.0105,0.0593
2023-03-23 05:42:00,0.909,0.000792,0,0,0.000708,0.00792,0.00946,0.0732
2023-03-23 05:44:00,0.918,0.000792,0,0,0.000958,0.00708,0.00979,0.0607
2023-03-23 05:46:00,0.927,0.000792,0,0,0.000708,0.00546,0.0102,0.0518
2023-03-23 05:48:00,0.906,0.000875,0,0,0.00125,0.00671,0.00987,0.0738
2023-03-23 05:50:00,0.919,0.000833,0,0,0.000750,0.00421,0.0102,0.0613
2023-03-23 05:52:00,0.919,0.000792,0,0,0.000500,0.00567,0.0102,0.0623
2023-03-23 05:54:00,0.904,0.000917,0,0,0.000708,0.00600,0.0106,0.0767
2023-03-23 05:56:00,0.922,0.000918,0,0,0.000626,0.00622,0.0101,0.0592
2023-03-23 05:58:00,0.916,0.000708,0,0,0.00108,0.00637,0.01000,0.0650
2023-03-23 06:00:00,0.914,0.000708,0,0,0.00129,0.00504,0.00892,0.0658
2023-03-23 06:02:00,0.914,0.000792,0,0,0.00125,0.00662,0.0109,0.0655
2023-03-23 06:04:00,0.912,0.000708,0,0,0.00100,0.00729,0.0112,0.0651
2023-03-23 06:06:00,0.905,0.000792,0,0,0.00137,0.00604,0.0104,0.0752
2023-03-23 06:08:00,0.913,0.000917,0,0,0.00171,0.00779,0.0112,0.0655
2023-03-23 06:10:00,0.924,0.000750,0,0,0.000958,0.00646,0.00983,0.0540
2023-03-23 06:12:00,0.901,0.000708,0,0,0.00121,0.00767,0.0107,0.0780
2023-03-23 06:14:00,0.921,0.000708,0,0,0.000958,0.00642,0.0108,0.0555
2023-03-23 06:16:00,0.916,0.000750,0,0,0.00104,0.00679,0.00996,0.0615
2023-03-23 06:18:00,0.900,0.000792,0,0,0.00200,0.00879,0.0105,0.0782
2023-03-23 06:20:00,0.911,0.000833,0,0,0.00121,0.00700,0.0118,0.0650
2023-03-23 06:22:00,0.914,0.000792,0,0,0.000750,0.00625,0.00938,0.0652
2023-03-23 06:24:00,0.910,0.000667,0,0,0.00117,0.00754,0.0104,0.0693
2023-03-23 06:26:00,0.912,0.000875,0,0,0.00108,0.00729,0.0101,0.0648
2023-03-23 06:28:00,0.919,0.000708,0,0,0.00154,0.00804,0.0102,0.0583
2023-03-23 06:30:00,0.899,0.000792,0,0,0.00108,0.00738,0.0103,0.0814
2023-03-23 06:32:00,0.912,0.000750,0,0,0.000958,0.00646,0.0102,0.0659
2023-03-23 06:34:00,0.913,0.001000,0,0,0.000917,0.00708,0.0105,0.0670
2023-03-23 06:36:00,0.899,0.000875,0,0,0.00121,0.00729,0.0111,0.0790
2023-03-23 06:38:00,0.920,0.000708,0,0,0.00146,0.00842,0.00967,0.0568
2023-03-23 06:40:00,0.912,0.000875,0,0,0.00112,0.00829,0.0100,0.0673
2023-03-23 06:42:00,0.910,0.000792,0,0,0.000917,0.00617,0.00975,0.0685
2023-03-23 06:44:00,0.910,0.000667,0,0,0.000792,0.00750,0.0101,0.0692
