"Time","sum({__name__=~""node_memory_MemTotal_bytes|windows_cs_physical_memory_bytes""}) - sum({__name__=~""node_memory_MemAvailable_bytes|windows_os_physical_memory_free_bytes""})"
2023-03-11 09:00:00,19316318208
2023-03-11 09:20:00,19141787648
2023-03-11 09:40:00,19361042432
2023-03-11 10:00:00,19227181056
2023-03-11 10:20:00,19351855104
2023-03-11 10:40:00,19314806784
2023-03-11 11:00:00,19382317056
2023-03-11 11:20:00,19330535424
2023-03-11 11:40:00,19299201024
2023-03-11 12:00:00,19224027136
2023-03-11 12:20:00,19435352064
2023-03-11 12:40:00,19458228224
2023-03-11 13:00:00,19411251200
2023-03-11 13:20:00,19295428608
2023-03-11 13:40:00,19236118528
2023-03-11 14:00:00,19477577728
2023-03-11 14:20:00,19449032704
2023-03-11 14:40:00,19265114112
2023-03-11 15:00:00,19498446848
2023-03-11 15:20:00,19187703808
2023-03-11 15:40:00,19264450560
2023-03-11 16:00:00,19253645312
2023-03-11 16:20:00,19301179392
2023-03-11 16:40:00,19399487488
2023-03-11 17:00:00,19388997632
2023-03-11 17:20:00,19244462080
2023-03-11 17:40:00,19624062976
2023-03-11 18:00:00,19424370688
2023-03-11 18:20:00,19296280576
2023-03-11 18:40:00,19335991296
2023-03-11 19:00:00,19517734912
2023-03-11 19:20:00,19499692032
2023-03-11 19:40:00,19475808256
2023-03-11 20:00:00,19702730752
2023-03-11 20:20:00,19385143296
2023-03-11 20:40:00,19325677568
2023-03-11 21:00:00,19458056192
2023-03-11 21:20:00,19514822656
2023-03-11 21:40:00,19535618048
2023-03-11 22:00:00,19373268992
2023-03-11 22:20:00,19440431104
2023-03-11 22:40:00,19441553408
2023-03-11 23:00:00,19628662784
2023-03-11 23:20:00,19561480192
2023-03-11 23:40:00,19368026112
2023-03-12 00:00:00,19515609088
2023-03-12 00:20:00,19467436032
2023-03-12 00:40:00,19435184128
2023-03-12 01:00:00,19438874624
2023-03-12 01:20:00,19337424896
2023-03-12 01:40:00,19483930624
2023-03-12 02:00:00,19306475520
2023-03-12 02:20:00,19474849792
2023-03-12 02:40:00,19289808896
2023-03-12 03:00:00,19567869952
2023-03-12 03:20:00,19336560640
2023-03-12 03:40:00,19498074112
2023-03-12 04:00:00,19550306304
2023-03-12 04:20:00,19461922816
2023-03-12 04:40:00,19572707328
2023-03-12 05:00:00,19497488384
2023-03-12 05:20:00,19362951168
2023-03-12 05:40:00,19525046272
2023-03-12 06:00:00,19744813056
2023-03-12 06:20:00,19493920768
2023-03-12 06:40:00,19389489152
2023-03-12 07:00:00,19449610240
2023-03-12 07:20:00,19387011072
2023-03-12 07:40:00,19162607616
2023-03-12 08:00:00,19480162304
2023-03-12 08:20:00,19380277248
2023-03-12 08:40:00,19602538496
2023-03-12 09:00:00,19570745344
2023-03-12 09:20:00,19342540800
2023-03-12 09:40:00,19537195008
2023-03-12 10:00:00,19454873600
2023-03-12 10:20:00,19494387712
2023-03-12 10:40:00,19392839680
2023-03-12 11:00:00,19508330496
2023-03-12 11:20:00,19392233472
2023-03-12 11:40:00,19255795712
2023-03-12 12:00:00,19554779136
2023-03-12 12:20:00,19305168896
2023-03-12 12:40:00,19700731904
2023-03-12 13:00:00,19514937344
2023-03-12 13:20:00,19501125632
2023-03-12 13:40:00,19478036480
2023-03-12 14:00:00,19501662208
2023-03-12 14:20:00,19577188352
2023-03-12 14:40:00,19422564352
2023-03-12 15:00:00,19671945216

