"Time","Cluster","172.16.66.122:9796","172.16.66.123:9796","172.16.66.124:9796"
2023-03-11 09:00:00,6.46,7.17,5.93,6.28
2023-03-11 09:02:00,6.43,7.26,5.74,6.28
2023-03-11 09:04:00,6.47,7.21,5.90,6.29
2023-03-11 09:06:00,6.48,7.23,5.91,6.28
2023-03-11 09:08:00,6.55,7.36,5.95,6.35
2023-03-11 09:10:00,6.58,7.43,5.96,6.36
2023-03-11 09:12:00,6.52,7.41,5.83,6.31
2023-03-11 09:14:00,6.48,7.14,6.00,6.31
2023-03-11 09:16:00,6.50,7.17,6.01,6.31
2023-03-11 09:18:00,6.44,7.17,5.88,6.28
2023-03-11 09:20:00,6.40,7.09,5.84,6.28
2023-03-11 09:22:00,6.47,7.21,5.92,6.27
2023-03-11 09:24:00,6.43,7.12,5.91,6.28
2023-03-11 09:26:00,6.46,7.11,5.97,6.28
2023-03-11 09:28:00,6.44,7.18,5.88,6.27
2023-03-11 09:30:00,6.49,7.23,5.95,6.29
2023-03-11 09:32:00,6.47,7.21,5.92,6.28
2023-03-11 09:34:00,6.46,7.14,5.97,6.28
2023-03-11 09:36:00,6.44,7.10,5.92,6.31
2023-03-11 09:38:00,6.55,7.21,6.14,6.29
2023-03-11 09:40:00,6.47,7.20,5.95,6.27
2023-03-11 09:42:00,6.44,7.24,5.81,6.28
2023-03-11 09:44:00,6.48,7.21,5.96,6.29
2023-03-11 09:46:00,6.47,7.19,5.90,6.33
2023-03-11 09:48:00,6.39,7.08,5.84,6.27
2023-03-11 09:50:00,6.44,7.06,5.97,6.28
2023-03-11 09:52:00,6.53,7.19,6.11,6.28
2023-03-11 09:54:00,6.42,7.07,5.93,6.27
2023-03-11 09:56:00,6.46,7.11,5.96,6.30
2023-03-11 09:58:00,6.47,7.18,5.98,6.25
2023-03-11 10:00:00,6.43,7.15,5.83,6.31
2023-03-11 10:02:00,6.49,7.22,5.99,6.25
2023-03-11 10:04:00,6.46,7.15,5.97,6.27
2023-03-11 10:06:00,6.49,7.11,6.07,6.28
2023-03-11 10:08:00,6.44,7.09,5.97,6.26
2023-03-11 10:10:00,6.52,7.14,6.09,6.32
2023-03-11 10:12:00,6.48,7.20,5.99,6.24
2023-03-11 10:14:00,6.48,7.14,6.03,6.26
2023-03-11 10:16:00,6.45,7.11,5.92,6.31
2023-03-11 10:18:00,6.47,7.18,5.97,6.25
2023-03-11 10:20:00,6.47,7.19,5.90,6.32
2023-03-11 10:22:00,6.43,7.16,5.88,6.25
2023-03-11 10:24:00,6.48,7.09,6.08,6.28
2023-03-11 10:26:00,6.46,7.12,5.95,6.31
2023-03-11 10:28:00,6.44,7.17,5.88,6.26
2023-03-11 10:30:00,6.50,7.29,5.90,6.33
2023-03-11 10:32:00,6.42,7.03,5.95,6.27
2023-03-11 10:34:00,6.42,7.12,5.86,6.28
2023-03-11 10:36:00,6.43,7.12,5.86,6.32
2023-03-11 10:38:00,6.52,7.22,6.07,6.26
2023-03-11 10:40:00,6.46,7.22,5.85,6.31
2023-03-11 10:42:00,6.48,7.22,5.95,6.26
2023-03-11 10:44:00,6.42,7.09,5.90,6.27
2023-03-11 10:46:00,6.44,7.11,5.89,6.33
2023-03-11 10:48:00,6.50,7.13,6.10,6.26
2023-03-11 10:50:00,6.52,7.19,6.05,6.33
2023-03-11 10:52:00,6.52,7.28,5.97,6.31
2023-03-11 10:54:00,6.45,7.11,5.98,6.27
2023-03-11 10:56:00,6.47,7.12,5.96,6.32
2023-03-11 10:58:00,6.41,7.10,5.87,6.26
2023-03-11 11:00:00,6.48,7.17,5.96,6.32
2023-03-11 11:02:00,6.44,7.19,5.81,6.33
2023-03-11 11:04:00,6.44,7.22,5.86,6.24
2023-03-11 11:06:00,6.43,7.11,5.90,6.29
2023-03-11 11:08:00,6.47,7.31,5.82,6.29
2023-03-11 11:10:00,6.48,7.22,5.89,6.31
2023-03-11 11:12:00,6.54,7.29,6.00,6.32
2023-03-11 11:14:00,6.45,7.21,5.88,6.27
2023-03-11 11:16:00,6.42,7.14,5.84,6.29
2023-03-11 11:18:00,6.48,7.23,5.90,6.30
2023-03-11 11:20:00,6.46,7.21,5.88,6.31
2023-03-11 11:22:00,6.46,7.17,5.88,6.32
2023-03-11 11:24:00,6.44,7.13,5.92,6.27
2023-03-11 11:26:00,6.45,7.16,5.87,6.30
2023-03-11 11:28:00,6.44,7.11,5.91,6.30
2023-03-11 11:30:00,6.50,7.18,6.00,6.32
2023-03-11 11:32:00,6.50,7.28,5.89,6.34
2023-03-11 11:34:00,6.34,6.91,5.84,6.25
2023-03-11 11:36:00,6.47,7.10,6.01,6.29
2023-03-11 11:38:00,6.43,7.18,5.80,6.30
2023-03-11 11:40:00,6.45,7.20,5.89,6.28
2023-03-11 11:42:00,6.44,7.22,5.78,6.32
2023-03-11 11:44:00,6.46,7.26,5.85,6.28
2023-03-11 11:46:00,6.44,7.12,5.90,6.30
2023-03-11 11:48:00,6.40,6.97,5.92,6.30
2023-03-11 11:50:00,6.48,7.16,6.01,6.29
2023-03-11 11:52:00,6.46,7.32,5.77,6.30
2023-03-11 11:54:00,6.45,7.16,5.89,6.30
2023-03-11 11:56:00,6.43,7.17,5.81,6.30
2023-03-11 11:58:00,6.44,7.15,5.86,6.30
2023-03-11 12:00:00,6.43,7.17,5.83,6.29
2023-03-11 12:02:00,6.54,7.31,6.00,6.32
2023-03-11 12:04:00,6.48,7.17,5.95,6.31
2023-03-11 12:06:00,6.48,7.22,5.92,6.30
2023-03-11 12:08:00,6.46,7.14,5.93,6.31
2023-03-11 12:10:00,6.44,7.13,5.92,6.29
2023-03-11 12:12:00,6.50,7.29,5.92,6.29
2023-03-11 12:14:00,6.42,7.12,5.84,6.29
2023-03-11 12:16:00,6.45,7.14,5.91,6.30
2023-03-11 12:18:00,6.47,7.22,5.86,6.32
2023-03-11 12:20:00,6.50,7.14,6.08,6.28
2023-03-11 12:22:00,6.46,7.15,5.94,6.30
2023-03-11 12:24:00,6.48,7.19,5.95,6.31
2023-03-11 12:26:00,6.46,7.20,5.88,6.31
2023-03-11 12:28:00,6.46,7.25,5.83,6.30
2023-03-11 12:30:00,6.49,7.28,5.90,6.30
2023-03-11 12:32:00,6.48,7.30,5.82,6.30
2023-03-11 12:34:00,6.46,7.15,5.92,6.31
2023-03-11 12:36:00,6.43,7.18,5.80,6.32
2023-03-11 12:38:00,6.47,7.18,5.92,6.30
2023-03-11 12:40:00,6.51,7.18,6.05,6.30
