"Time","avg","min","max"
2023-03-23 03:00:00,89.8,89.8,89.8
2023-03-23 03:02:00,90.3,90.3,90.3
2023-03-23 03:04:00,90.8,90.8,90.8
2023-03-23 03:06:00,96.3,96.3,96.3
2023-03-23 03:08:00,91.3,91.3,91.3
2023-03-23 03:10:00,88.6,88.6,88.6
2023-03-23 03:12:00,89.9,89.9,89.9
2023-03-23 03:14:00,90.0,90.0,90.0
2023-03-23 03:16:00,94.7,94.7,94.7
2023-03-23 03:18:00,90.9,90.9,90.9
2023-03-23 03:20:00,90.0,90.0,90.0
2023-03-23 03:22:00,102,102,102
2023-03-23 03:24:00,89.5,89.5,89.5
2023-03-23 03:26:00,95.2,95.2,95.2
2023-03-23 03:28:00,90.5,90.5,90.5
2023-03-23 03:30:00,90.6,90.6,90.6
2023-03-23 03:32:00,151,151,151
2023-03-23 03:34:00,89.6,89.6,89.6
2023-03-23 03:36:00,95.1,95.1,95.1
2023-03-23 03:38:00,91.5,91.5,91.5
2023-03-23 03:40:00,90.3,90.3,90.3
2023-03-23 03:42:00,203,203,203
2023-03-23 03:44:00,90.4,90.4,90.4
2023-03-23 03:46:00,93.9,93.9,93.9
2023-03-23 03:48:00,91.4,91.4,91.4
2023-03-23 03:50:00,90.6,90.6,90.6
2023-03-23 03:52:00,223,223,223
2023-03-23 03:54:00,91.0,91.0,91.0
2023-03-23 03:56:00,94.1,94.1,94.1
2023-03-23 03:58:00,89.5,89.5,89.5
2023-03-23 04:00:00,91.5,91.5,91.5
2023-03-23 04:02:00,176,176,176
2023-03-23 04:04:00,91.7,91.7,91.7
2023-03-23 04:06:00,96.6,96.6,96.6
2023-03-23 04:08:00,90.9,90.9,90.9
2023-03-23 04:10:00,90.0,90.0,90.0
2023-03-23 04:12:00,126,126,126
2023-03-23 04:14:00,269,269,269
2023-03-23 04:16:00,94.5,94.5,94.5
2023-03-23 04:18:00,92.8,92.8,92.8
2023-03-23 04:20:00,90.9,90.9,90.9
2023-03-23 04:22:00,90.0,90.0,90.0
2023-03-23 04:24:00,91.6,91.6,91.6
2023-03-23 04:26:00,94.7,94.7,94.7
2023-03-23 04:28:00,92.2,92.2,92.2
2023-03-23 04:30:00,91.4,91.4,91.4
2023-03-23 04:32:00,90.6,90.6,90.6
2023-03-23 04:34:00,91.6,91.6,91.6
2023-03-23 04:36:00,107,107,107
2023-03-23 04:38:00,92.3,92.3,92.3
2023-03-23 04:40:00,89.2,89.2,89.2
2023-03-23 04:42:00,90.6,90.6,90.6
2023-03-23 04:44:00,91.0,91.0,91.0
2023-03-23 04:46:00,150,150,150
2023-03-23 04:48:00,90.6,90.6,90.6
2023-03-23 04:50:00,89.1,89.1,89.1
2023-03-23 04:52:00,90.3,90.3,90.3
2023-03-23 04:54:00,91.1,91.1,91.1
2023-03-23 04:56:00,197,197,197
2023-03-23 04:58:00,91.6,91.6,91.6
2023-03-23 05:00:00,90.4,90.4,90.4
2023-03-23 05:02:00,91.5,91.5,91.5
2023-03-23 05:04:00,89.9,89.9,89.9
2023-03-23 05:06:00,227,227,227
2023-03-23 05:08:00,90.8,90.8,90.8
2023-03-23 05:10:00,89.8,89.8,89.8
2023-03-23 05:12:00,90.7,90.7,90.7
2023-03-23 05:14:00,91.4,91.4,91.4
2023-03-23 05:16:00,212,212,212
2023-03-23 05:18:00,91.1,91.1,91.1
2023-03-23 05:20:00,91.8,91.8,91.8
2023-03-23 05:22:00,90.8,90.8,90.8
2023-03-23 05:24:00,89.9,89.9,89.9
2023-03-23 05:26:00,167,167,167
2023-03-23 05:28:00,90.4,90.4,90.4
2023-03-23 05:30:00,92.4,92.4,92.4
2023-03-23 05:32:00,91.1,91.1,91.1
2023-03-23 05:34:00,91.4,91.4,91.4
2023-03-23 05:36:00,122,122,122
2023-03-23 05:38:00,90.0,90.0,90.0
2023-03-23 05:40:00,90.7,90.7,90.7
2023-03-23 05:42:00,90.9,90.9,90.9
2023-03-23 05:44:00,90.5,90.5,90.5
2023-03-23 05:46:00,96.5,96.5,96.5
2023-03-23 05:48:00,91.3,91.3,91.3
2023-03-23 05:50:00,89.8,89.8,89.8
2023-03-23 05:52:00,89.8,89.8,89.8
2023-03-23 05:54:00,90.0,90.0,90.0
2023-03-23 05:56:00,94.3,94.3,94.3
2023-03-23 05:58:00,89.5,89.5,89.5
2023-03-23 06:00:00,89.7,89.7,89.7
2023-03-23 06:02:00,89.2,89.2,89.2
2023-03-23 06:04:00,89.3,89.3,89.3
2023-03-23 06:06:00,94.1,94.1,94.1
2023-03-23 06:08:00,91.3,91.3,91.3
2023-03-23 06:10:00,91.4,91.4,91.4
2023-03-23 06:12:00,91.3,91.3,91.3
2023-03-23 06:14:00,90.7,90.7,90.7
2023-03-23 06:16:00,95.1,95.1,95.1
2023-03-23 06:18:00,127,127,127
2023-03-23 06:20:00,90.3,90.3,90.3
2023-03-23 06:22:00,91.8,91.8,91.8
2023-03-23 06:24:00,90.4,90.4,90.4
2023-03-23 06:26:00,94.7,94.7,94.7
2023-03-23 06:28:00,171,171,171
2023-03-23 06:30:00,89.7,89.7,89.7
2023-03-23 06:32:00,90.4,90.4,90.4
