"Time","10250/TCP","3000/TCP","443/TCP","53/UDP","6443/TCP","80/TCP","8079/TCP","8080/TCP","8081/TCP","8181/TCP","8443/TCP","8500/TCP","9093/TCP","9443/TCP"
2023-03-23 03:00:00,3.30,,1.52,,6.94,8.92,3.22,2.50,,2.08,,5.22,1.72,1.68
2023-03-23 03:02:00,3.36,,1.52,,6.84,8.98,3.32,2.50,,2.08,,5.14,1.66,1.80
2023-03-23 03:04:00,3.34,,1.52,,6.86,9,3.12,2.58,,2.14,,5.20,1.64,1.68
2023-03-23 03:06:00,3.48,,1.88,1.82,7.12,8.98,3.24,2.54,,2.08,,5.18,1.72,
2023-03-23 03:08:00,3.42,,1.68,,6.72,9.10,3.12,2.54,,2.14,,5.22,1.68,1.68
2023-03-23 03:10:00,3.40,,1.52,,6.76,8.76,3.08,2.48,,2.06,,5.12,1.72,1.68
2023-03-23 03:12:00,3.40,,1.60,,6.76,8.70,3.08,2.50,,2.02,,5.22,1.64,1.68
2023-03-23 03:14:00,3.26,,1.52,,6.56,8.70,3.06,2.54,,2.12,,5.14,1.76,1.68
2023-03-23 03:16:00,3.56,,1.88,1.80,7.02,9,3.18,2.48,,2.06,,5.20,1.72,
2023-03-23 03:18:00,3.22,,1.68,,6.82,8.92,3.02,2.58,,2.08,,5.16,1.74,1.66
2023-03-23 03:20:00,3.36,,1.54,,6.86,9.34,3.10,2.50,,2.10,,5.20,1.62,1.68
2023-03-23 03:22:00,3.16,,,,6.86,12.4,3.10,2.56,,2.22,2.66,5.22,1.76,1.66
2023-03-23 03:24:00,3.38,,1.52,,6.64,9.26,3.26,2.52,,2.04,,5.14,1.72,1.66
2023-03-23 03:26:00,3.50,,1.88,1.92,6.96,9.16,2.98,2.54,,2.06,,5.18,,1.68
2023-03-23 03:28:00,3.32,,1.68,,6.56,8.84,3.12,2.54,,2.06,,5.18,1.80,1.70
2023-03-23 03:30:00,3.26,,1.52,,6.86,9.18,3.04,2.50,,2.06,,5.20,1.60,1.68
2023-03-23 03:32:00,3.34,,,,6.88,15.9,3,2.52,,2.06,37.4,5.18,1.74,1.68
2023-03-23 03:34:00,3.32,,1.52,,6.64,9.16,3.10,2.48,,1.96,,5.16,1.66,1.68
2023-03-23 03:36:00,3.52,,1.88,1.84,7.06,8.96,3.24,2.54,,2.06,,5.10,,1.78
2023-03-23 03:38:00,3.36,,1.68,,6.78,8.78,3.30,2.54,,2.10,,5.22,1.80,1.68
2023-03-23 03:40:00,3.38,,1.52,,6.70,9.12,3.14,2.48,,2.14,,5.16,1.70,1.68
2023-03-23 03:42:00,3.42,,,,6.96,16.0,3.26,2.50,,2.16,79.9,5.18,1.72,1.68
2023-03-23 03:44:00,3.42,,1.54,,6.80,8.76,3.24,2.52,,2.12,,5.14,1.60,1.68
2023-03-23 03:46:00,3.54,,2.08,,7.02,8.78,3.28,2.50,,1.96,,5.20,1.68,1.66
2023-03-23 03:48:00,3.32,,1.68,,6.86,9.34,3.18,2.52,,2.06,,5.20,1.76,1.68
2023-03-23 03:50:00,3.34,,1.52,,6.76,9.42,3.28,2.50,,2.08,,5.14,1.74,1.68
2023-03-23 03:52:00,3.28,,,,6.98,16.4,3.38,2.52,,2.04,99.6,5.20,1.76,1.68
2023-03-23 03:54:00,3.24,,1.52,,6.80,9.36,3.20,2.52,,2,,5.16,1.74,1.80
2023-03-23 03:56:00,3.56,,1.88,,6.96,9.14,3.12,2.56,,2.06,,5.20,1.72,1.68
2023-03-23 03:58:00,3.10,,1.68,,6.52,8.86,3.12,2.52,,2.06,,5.20,1.74,1.68
2023-03-23 04:00:00,3.36,,1.52,,6.68,9.22,3.22,2.56,,2,,5.20,1.70,1.68
2023-03-23 04:02:00,3.36,,,,6.84,8.84,3.32,2.52,,2.08,74.4,5.20,1.78,1.68
2023-03-23 04:04:00,3.42,,1.52,,6.94,8.86,3.26,2.50,,2.02,,5.22,1.74,1.66
2023-03-23 04:06:00,3.58,,1.88,1.70,7.08,9.30,3.12,2.50,,2.02,,5.20,1.76,
2023-03-23 04:08:00,3.26,,1.68,,6.64,9.06,3.26,2.54,,2.12,,5.14,1.72,1.68
2023-03-23 04:10:00,3.34,,1.52,,6.86,8.90,3.04,2.50,,2.08,,5.14,1.72,1.68
2023-03-23 04:12:00,3.32,,,,6.80,8.86,3.28,2.52,,2.04,32.8,5.16,1.82,1.68
2023-03-23 04:14:00,3.30,,,,6.90,12.1,3.46,2.54,,2,145,5.22,1.64,1.68
2023-03-23 04:16:00,3.60,,1.88,,7.02,9.18,3.18,2.54,,2.04,,5.24,1.70,1.68
2023-03-23 04:18:00,3.40,,1.68,,6.88,9.36,3.18,2.60,,2.10,,5.18,1.78,1.68
2023-03-23 04:20:00,3.34,,1.52,,6.74,9.24,3.18,2.50,,2.10,,5.20,1.66,1.68
2023-03-23 04:22:00,3.34,,1.52,,6.86,9.22,3.18,2.52,,2.06,,5.22,1.84,1.70
2023-03-23 04:24:00,3.42,,1.52,,6.74,9.36,3.18,2.58,,2.16,,5.16,1.72,1.70
2023-03-23 04:26:00,3.52,,1.88,,6.76,9.28,3.36,2.54,,1.94,,5.22,1.84,1.68
2023-03-23 04:28:00,3.40,,1.68,,6.72,9.24,3.24,2.56,,2.08,,5.22,1.72,1.68
2023-03-23 04:30:00,3.28,,1.52,,6.82,9.34,3.18,2.52,,2.06,,5.18,1.82,1.68
2023-03-23 04:32:00,3.44,,1.52,,6.80,9.02,3.08,2.58,,2.10,,5.24,1.70,1.68
2023-03-23 04:34:00,3.28,,1.52,,6.68,9.18,3.28,2.50,,2,,5.24,1.52,1.70
2023-03-23 04:36:00,3.32,,1.88,2.38,6.88,12.8,3.18,2.54,,2.08,3.26,5.22,,
2023-03-23 04:38:00,3.26,,1.68,,6.82,9.10,3.18,2.50,,2.02,,5.22,1.68,1.68
2023-03-23 04:40:00,3.32,1.54,,,6.86,8.82,2.92,2.48,,2,,5.18,1.78,1.66
2023-03-23 04:42:00,3.50,,1.52,,6.92,8.96,3.14,2.60,,1.98,,5.20,1.64,1.68
2023-03-23 04:44:00,3.30,,1.54,,6.74,8.96,3.18,2.50,,2.06,,5.20,1.68,1.70
2023-03-23 04:46:00,3.50,,2.08,2.48,6.96,16,3.18,2.52,,1.92,33.4,5.16,,
2023-03-23 04:48:00,3.12,,1.68,,6.76,9,3.22,2.56,,2.06,,5.22,1.70,1.70
2023-03-23 04:50:00,3.28,,1.52,,6.56,8.86,3.20,2.52,,2.04,,5.14,1.70,1.68
2023-03-23 04:52:00,3.34,,1.52,,6.76,8.56,3.28,2.54,,2.04,,5.14,1.68,1.68
2023-03-23 04:54:00,3.40,,1.52,,6.80,8.88,3.32,2.54,,2.12,,5.20,1.80,1.68
2023-03-23 04:56:00,3.50,,1.88,2.78,6.92,15.6,3.20,2.54,,2.06,72.3,5.20,,
2023-03-23 04:58:00,3.30,,1.68,,6.70,9,3.16,2.52,,2.10,,5.20,1.68,1.70
2023-03-23 05:00:00,3.34,,1.52,,6.74,8.82,3.14,2.52,,1.98,,5.20,1.70,1.70
2023-03-23 05:02:00,3.34,,,,6.70,9.24,3.24,2.50,1.54,2.06,,5.22,1.70,1.74
2023-03-23 05:04:00,3.36,,1.52,,6.58,9.12,3.12,2.50,,2.06,,5.16,1.72,1.68
2023-03-23 05:06:00,3.58,,1.88,2.78,7.04,15.9,3.44,2.60,,2.04,98.9,5.22,,
2023-03-23 05:08:00,2.96,,1.68,,6.82,8.70,3.32,2.48,,2.06,,5.24,1.78,1.70
2023-03-23 05:10:00,3.38,,1.52,,6.86,8.76,3.20,2.54,,2.08,,5.16,1.72,1.70
2023-03-23 05:12:00,3.46,,1.60,,6.88,8.88,3.20,2.56,,2.04,,5.22,1.74,1.68
2023-03-23 05:14:00,3.40,,1.52,,6.72,9.42,3.34,2.52,,2.08,,5.22,1.70,1.68
2023-03-23 05:16:00,3.50,,1.88,1.84,7.12,12.5,3.26,2.50,,2.08,94.7,5.24,,
2023-03-23 05:18:00,3.40,,1.68,,6.86,9.24,3.04,2.58,,2.02,,5.24,1.58,1.68
2023-03-23 05:20:00,3.38,,1.52,,6.84,9.24,3.10,2.60,,2.04,,5.14,1.68,1.70
2023-03-23 05:22:00,3.38,,1.52,,6.88,9.36,3.10,2.54,,2.04,,5.20,1.76,1.68
2023-03-23 05:24:00,3.32,,1.52,,6.80,9.28,3.12,2.54,,1.98,,5.18,1.78,1.68
