"Time","avg","min","max"
2023-03-04 16:24:00,106,106,106
2023-03-04 16:26:00,128,128,128
2023-03-04 16:28:00,106,106,106
2023-03-04 16:30:00,105,105,105
2023-03-04 16:32:00,102,102,102
2023-03-04 16:34:00,104,104,104
2023-03-04 16:36:00,149,149,149
2023-03-04 16:38:00,104,104,104
2023-03-04 16:40:00,102,102,102
2023-03-04 16:42:00,106,106,106
2023-03-04 16:44:00,107,107,107
2023-03-04 16:46:00,169,169,169
2023-03-04 16:48:00,105,105,105
2023-03-04 16:50:00,104,104,104
2023-03-04 16:52:00,103,103,103
2023-03-04 16:54:00,106,106,106
2023-03-04 16:56:00,192,192,192
2023-03-04 16:58:00,104,104,104
2023-03-04 17:00:00,102,102,102
2023-03-04 17:02:00,102,102,102
2023-03-04 17:04:00,105,105,105
2023-03-04 17:06:00,217,217,217
2023-03-04 17:08:00,104,104,104
2023-03-04 17:10:00,101,101,101
2023-03-04 17:12:00,104,104,104
2023-03-04 17:14:00,104,104,104
2023-03-04 17:16:00,230,230,230
2023-03-04 17:18:00,103,103,103
2023-03-04 17:20:00,101,101,101
2023-03-04 17:22:00,99.8,99.8,99.8
2023-03-04 17:24:00,104,104,104
2023-03-04 17:26:00,229,229,229
2023-03-04 17:28:00,103,103,103
2023-03-04 17:30:00,102,102,102
2023-03-04 17:32:00,102,102,102
2023-03-04 17:34:00,103,103,103
2023-03-04 17:36:00,210,210,210
2023-03-04 17:38:00,104,104,104
2023-03-04 17:40:00,102,102,102
2023-03-04 17:42:00,99.6,99.6,99.6
2023-03-04 17:44:00,102,102,102
2023-03-04 17:46:00,187,187,187
2023-03-04 17:48:00,105,105,105
2023-03-04 17:50:00,100,100,100
2023-03-04 17:52:00,99.7,99.7,99.7
2023-03-04 17:54:00,103,103,103
2023-03-04 17:56:00,165,165,165
2023-03-04 17:58:00,102,102,102
2023-03-04 18:00:00,102,102,102
2023-03-04 18:02:00,99.1,99.1,99.1
2023-03-04 18:04:00,104,104,104
2023-03-04 18:06:00,140,140,140
2023-03-04 18:08:00,104,104,104
2023-03-04 18:10:00,99.0,99.0,99.0
2023-03-04 18:12:00,101,101,101
2023-03-04 18:14:00,101,101,101
2023-03-04 18:16:00,119,119,119
2023-03-04 18:18:00,103,103,103
2023-03-04 18:20:00,102,102,102
2023-03-04 18:22:00,98.9,98.9,98.9
2023-03-04 18:24:00,101,101,101
2023-03-04 18:26:00,101,101,101
2023-03-04 18:28:00,99.4,99.4,99.4
2023-03-04 18:30:00,100.0,100.0,100.0
2023-03-04 18:32:00,99.0,99.0,99.0
2023-03-04 18:34:00,100,100,100
2023-03-04 18:36:00,100,100,100
2023-03-04 18:38:00,101,101,101
2023-03-04 18:40:00,99.8,99.8,99.8
2023-03-04 18:42:00,96.7,96.7,96.7
2023-03-04 18:44:00,102,102,102
2023-03-04 18:46:00,97.2,97.2,97.2
2023-03-04 18:48:00,100,100,100
2023-03-04 18:50:00,97.8,97.8,97.8
2023-03-04 18:52:00,98.5,98.5,98.5
2023-03-04 18:54:00,101,101,101
2023-03-04 18:56:00,98.5,98.5,98.5
2023-03-04 18:58:00,99,99,99
2023-03-04 19:00:00,97.8,97.8,97.8
2023-03-04 19:02:00,97.6,97.6,97.6
2023-03-04 19:04:00,101,101,101
2023-03-04 19:06:00,96.3,96.3,96.3
2023-03-04 19:08:00,101,101,101
2023-03-04 19:10:00,96.3,96.3,96.3
2023-03-04 19:12:00,99.8,99.8,99.8
2023-03-04 19:14:00,99.2,99.2,99.2
2023-03-04 19:16:00,94.7,94.7,94.7
2023-03-04 19:18:00,109,109,109
2023-03-04 19:20:00,98.2,98.2,98.2
2023-03-04 19:22:00,96.0,96.0,96.0
2023-03-04 19:24:00,100,100,100
2023-03-04 19:26:00,99.6,99.6,99.6
2023-03-04 19:28:00,132,132,132
2023-03-04 19:30:00,102,102,102
2023-03-04 19:32:00,104,104,104
2023-03-04 19:34:00,105,105,105
2023-03-04 19:36:00,102,102,102
2023-03-04 19:38:00,156,156,156
2023-03-04 19:40:00,104,104,104
2023-03-04 19:42:00,102,102,102
2023-03-04 19:44:00,104,104,104
2023-03-04 19:46:00,100,100,100
2023-03-04 19:48:00,189,189,189
2023-03-04 19:50:00,104,104,104
2023-03-04 19:52:00,100,100,100
2023-03-04 19:54:00,104,104,104
2023-03-04 19:56:00,103,103,103
2023-03-04 19:58:00,210,210,210
2023-03-04 20:00:00,102,102,102
2023-03-04 20:02:00,101,101,101
2023-03-04 20:04:00,110,110,110
2023-03-04 20:06:00,100,100,100
2023-03-04 20:08:00,232,232,232
2023-03-04 20:10:00,99.2,99.2,99.2
2023-03-04 20:12:00,107,107,107
2023-03-04 20:14:00,105,105,105
2023-03-04 20:16:00,100,100,100
2023-03-04 20:18:00,232,232,232
2023-03-04 20:20:00,99.3,99.3,99.3
2023-03-04 20:22:00,98.8,98.8,98.8
2023-03-04 20:24:00,104,104,104
2023-03-04 20:26:00,101,101,101
2023-03-04 20:28:00,221,221,221
2023-03-04 20:30:00,99.3,99.3,99.3
2023-03-04 20:32:00,100,100,100
2023-03-04 20:34:00,103,103,103
2023-03-04 20:36:00,100,100,100
2023-03-04 20:38:00,198,198,198
2023-03-04 20:40:00,99.4,99.4,99.4
2023-03-04 20:42:00,100,100,100
2023-03-04 20:44:00,105,105,105
2023-03-04 20:46:00,97.1,97.1,97.1
2023-03-04 20:48:00,178,178,178
2023-03-04 20:50:00,100,100,100
2023-03-04 20:52:00,99.5,99.5,99.5
2023-03-04 20:54:00,105,105,105
2023-03-04 20:56:00,98.4,98.4,98.4
2023-03-04 20:58:00,154,154,154
2023-03-04 21:00:00,101,101,101
2023-03-04 21:02:00,101,101,101
2023-03-04 21:04:00,104,104,104
2023-03-04 21:06:00,98.1,98.1,98.1
2023-03-04 21:08:00,135,135,135
2023-03-04 21:10:00,97.0,97.0,97.0
2023-03-04 21:12:00,102,102,102
2023-03-04 21:14:00,103,103,103
2023-03-04 21:16:00,97.6,97.6,97.6
2023-03-04 21:18:00,115,115,115
2023-03-04 21:20:00,99.0,99.0,99.0
2023-03-04 21:22:00,101,101,101
2023-03-04 21:24:00,103,103,103
