"Time","cilium-hks2q","cilium-lnk87","cilium-operator-d7fc69fd7-f2msg","cilium-xsrc2","coredns-7b5bbc6644-tpp2m","hubble-relay-6565cf56c6-52kkq","hubble-ui-64bd8dcbf5-7x4nn","kubearmor-8v62p","kubearmor-8v7lc","kubearmor-annotation-manager-85857fc8d7-j2v79","kubearmor-host-policy-manager-7b9c9db44-vsgj9","kubearmor-policy-manager-8569dd9d6f-s8wgx","kubearmor-relay-64c6fff875-9cxdt","kubearmor-wcph8","local-path-provisioner-687d6d7765-dblqm","metrics-server-667586758d-9bmlb","svclb-traefik-72825b3b-d5nvs","svclb-traefik-72825b3b-j6q8w","svclb-traefik-72825b3b-lqlx5","traefik-64b96ccbcd-64qtj"
2023-03-23 03:00:00,1059,783,1085,1097,3.54,1.34,0.00333,,,,,,,,0.0667,9.50,0,0.00333,0,1.73
2023-03-23 03:02:00,1059,783,1085,1097,3.54,1.34,0.00333,,,,,,,,0.0667,9.50,0,0.00333,0,1.73
2023-03-23 03:04:00,1059,783,1085,1097,3.54,1.34,0.00333,,,,,,,,0.0667,9.50,0,0.00333,0,1.73
2023-03-23 03:06:00,296,192,416,396,3.90,1.32,0,196,288,4.14,0.933,3.73,83.1,414,0.0600,8.93,0,0,0,15.4
2023-03-23 03:08:00,296,192,416,396,3.90,1.32,0,196,288,4.14,0.933,3.73,83.1,414,0.0600,8.93,0,0,0,15.4
2023-03-23 03:10:00,294,156,372,395,3.58,1.34,0,157,303,4.46,0.913,3.61,81.8,372,0.0567,9.58,0,0,0,1.56
2023-03-23 03:12:00,294,156,372,395,3.58,1.34,0,157,303,4.46,0.913,3.61,81.8,372,0.0567,9.58,0,0,0,1.56
2023-03-23 03:14:00,294,156,372,395,3.58,1.34,0,157,303,4.46,0.913,3.61,81.8,372,0.0567,9.58,0,0,0,1.56
2023-03-23 03:16:00,299,196,426,399,3.90,1.33,0,191,295,4.31,0.890,3.87,82.3,425,0.0633,9.07,0,0,0,15.4
2023-03-23 03:18:00,299,196,426,399,3.90,1.33,0,191,295,4.31,0.890,3.87,82.3,425,0.0633,9.07,0,0,0,15.4
2023-03-23 03:20:00,297,156,366,382,3.67,1.33,0,156,296,4.27,0.917,3.75,77.5,377,0.0600,8.95,0,0,0,1.44
2023-03-23 03:22:00,297,156,366,382,3.67,1.33,0,156,296,4.27,0.917,3.75,77.5,377,0.0600,8.95,0,0,0,1.44
2023-03-23 03:24:00,297,156,366,382,3.67,1.33,0,156,296,4.27,0.917,3.75,77.5,377,0.0600,8.95,0,0,0,1.44
2023-03-23 03:26:00,310,196,425,426,3.77,1.33,0,199,311,4.21,0.833,3.60,84.6,414,0.0533,9.25,0,0,0,15.4
2023-03-23 03:28:00,310,196,425,426,3.77,1.33,0,199,311,4.21,0.833,3.60,84.6,414,0.0533,9.25,0,0,0,15.4
2023-03-23 03:30:00,307,154,374,376,3.62,1.33,0,150,295,4.34,0.927,3.84,79.8,381,0.0700,9.36,0,0,0.00333,1.52
2023-03-23 03:32:00,307,154,374,376,3.62,1.33,0,150,295,4.34,0.927,3.84,79.8,381,0.0700,9.36,0,0,0.00333,1.52
2023-03-23 03:34:00,307,154,374,376,3.62,1.33,0,150,295,4.34,0.927,3.84,79.8,381,0.0700,9.36,0,0,0.00333,1.52
2023-03-23 03:36:00,292,198,423,427,3.73,1.34,0,198,303,4.29,0.827,3.74,82.4,424,0.0733,8.84,0,0,0,15.4
2023-03-23 03:38:00,292,198,423,427,3.73,1.34,0,198,303,4.29,0.827,3.74,82.4,424,0.0733,8.84,0,0,0,15.4
2023-03-23 03:40:00,316,160,386,366,3.81,1.33,0,161,319,4.22,0.907,3.76,79.5,371,0.0733,9.48,0,0,0,1.54
2023-03-23 03:42:00,316,160,386,366,3.81,1.33,0,161,319,4.22,0.907,3.76,79.5,371,0.0733,9.48,0,0,0,1.54
2023-03-23 03:44:00,316,160,386,366,3.81,1.33,0,161,319,4.22,0.907,3.76,79.5,371,0.0733,9.48,0,0,0,1.54
2023-03-23 03:46:00,299,192,406,426,3.76,1.29,0,193,293,4.44,0.897,3.83,83.7,419,0.0633,9.25,0.00333,0,0,15.4
2023-03-23 03:48:00,299,192,406,426,3.76,1.29,0,193,293,4.44,0.897,3.83,83.7,419,0.0633,9.25,0.00333,0,0,15.4
2023-03-23 03:50:00,305,158,372,366,3.68,1.36,0,161,305,4.17,0.903,3.71,82.1,372,0.0733,8.92,0,0,0,1.55
2023-03-23 03:52:00,305,158,372,366,3.68,1.36,0,161,305,4.17,0.903,3.71,82.1,372,0.0733,8.92,0,0,0,1.55
2023-03-23 03:54:00,305,158,372,366,3.68,1.36,0,161,305,4.17,0.903,3.71,82.1,372,0.0733,8.92,0,0,0,1.55
2023-03-23 03:56:00,293,204,427,424,3.83,1.33,0,200,294,4.35,0.840,3.68,80.6,416,0.0667,9.49,0,0.00333,0,15.5
2023-03-23 03:58:00,293,204,427,424,3.83,1.33,0,200,294,4.35,0.840,3.68,80.6,416,0.0667,9.49,0,0.00333,0,15.5
2023-03-23 04:00:00,299,162,365,363,3.64,1.33,0,159,305,4.34,0.880,3.71,82.0,383,0.0800,8.86,0,0,0,1.41
2023-03-23 04:02:00,299,162,365,363,3.64,1.33,0,159,305,4.34,0.880,3.71,82.0,383,0.0800,8.86,0,0,0,1.41
2023-03-23 04:04:00,299,162,365,363,3.64,1.33,0,159,305,4.34,0.880,3.71,82.0,383,0.0800,8.86,0,0,0,1.41
2023-03-23 04:06:00,314,192,417,428,3.85,1.38,0.00333,198,316,4.37,0.890,3.77,82.0,419,0.0667,9.28,0,0,0,15.4
2023-03-23 04:08:00,314,192,417,428,3.85,1.38,0.00333,198,316,4.37,0.890,3.77,82.0,419,0.0667,9.28,0,0,0,15.4
2023-03-23 04:10:00,300,160,380,376,3.57,1.25,0,151,288,4.18,0.893,3.74,80.8,375,0.0700,9.35,0,0,0,1.47
2023-03-23 04:12:00,300,160,380,376,3.57,1.25,0,151,288,4.18,0.893,3.74,80.8,375,0.0700,9.35,0,0,0,1.47
2023-03-23 04:14:00,300,160,380,376,3.57,1.25,0,151,288,4.18,0.893,3.74,80.8,375,0.0700,9.35,0,0,0,1.47
2023-03-23 04:16:00,303,353,591,594,4.34,1.37,0,354,308,4.41,0.887,3.70,92.1,584,0.0600,9.10,0,0,0,69.7
2023-03-23 04:18:00,303,353,591,594,4.34,1.37,0,354,308,4.41,0.887,3.70,92.1,584,0.0600,9.10,0,0,0,69.7
2023-03-23 04:20:00,300,146,371,368,3.59,1.33,0,154,304,4.11,0.880,3.93,80.5,373,0.0600,9.13,0,0,0,1.62
2023-03-23 04:22:00,300,146,371,368,3.59,1.33,0,154,304,4.11,0.880,3.93,80.5,373,0.0600,9.13,0,0,0,1.62
2023-03-23 04:24:00,300,146,371,368,3.59,1.33,0,154,304,4.11,0.880,3.93,80.5,373,0.0600,9.13,0,0,0,1.62
2023-03-23 04:26:00,286,201,409,414,3.79,1.32,0,182,280,4.31,0.890,3.71,79.7,417,0.0567,9.32,0,0,0,15.5
2023-03-23 04:28:00,286,201,409,414,3.79,1.32,0,182,280,4.31,0.890,3.71,79.7,417,0.0567,9.32,0,0,0,15.5
2023-03-23 04:30:00,319,151,365,362,3.59,1.31,0,162,325,4.44,0.877,3.62,81.0,365,0.0600,8.86,0,0,0,1.50
2023-03-23 04:32:00,319,151,365,362,3.59,1.31,0,162,325,4.44,0.877,3.62,81.0,365,0.0600,8.86,0,0,0,1.50
2023-03-23 04:34:00,319,151,365,362,3.59,1.31,0,162,325,4.44,0.877,3.62,81.0,365,0.0600,8.86,0,0,0,1.50
2023-03-23 04:36:00,284,171,383,406,3.75,1.31,0,191,281,4.10,0.963,3.73,80.0,391,0.0533,9.05,0,0,0.00333,11.4
2023-03-23 04:38:00,284,171,383,406,3.75,1.31,0,191,281,4.10,0.963,3.73,80.0,391,0.0533,9.05,0,0,0.00333,11.4
2023-03-23 04:40:00,296,175,400,370,3.94,1.41,0,161,292,4.50,0.863,3.87,82.8,385,0.0700,9.24,0,0,0,5.53
2023-03-23 04:42:00,296,175,400,370,3.94,1.41,0,161,292,4.50,0.863,3.87,82.8,385,0.0700,9.24,0,0,0,5.53
2023-03-23 04:44:00,296,175,400,370,3.94,1.41,0,161,292,4.50,0.863,3.87,82.8,385,0.0700,9.24,0,0,0,5.53
2023-03-23 04:46:00,309,159,393,370,3.56,1.29,0,161,319,4.20,0.860,3.66,80.3,383,0.0633,9.41,0,0,0,6.17
2023-03-23 04:48:00,309,159,393,370,3.56,1.29,0,161,319,4.20,0.860,3.66,80.3,383,0.0633,9.41,0,0,0,6.17
2023-03-23 04:50:00,304,195,395,425,3.83,1.36,0,193,293,4.38,0.930,3.87,82.2,413,0.0800,9.21,0.00333,0,0,10.6
2023-03-23 04:52:00,304,195,395,425,3.83,1.36,0,193,293,4.38,0.930,3.87,82.2,413,0.0800,9.21,0.00333,0,0,10.6
2023-03-23 04:54:00,304,195,395,425,3.83,1.36,0,193,293,4.38,0.930,3.87,82.2,413,0.0800,9.21,0.00333,0,0,10.6
2023-03-23 04:56:00,293,151,372,372,3.58,1.25,0,150,297,4.29,0.853,3.72,81.3,365,0.0700,8.98,0,0,0,1.50
2023-03-23 04:58:00,293,151,372,372,3.58,1.25,0,150,297,4.29,0.853,3.72,81.3,365,0.0700,8.98,0,0,0,1.50
2023-03-23 05:00:00,301,200,431,417,3.90,1.36,0.00333,201,300,4.18,0.913,3.77,83.1,425,0.0867,9.26,0,0.00333,0,15.3
2023-03-23 05:02:00,301,200,431,417,3.90,1.36,0.00333,201,300,4.18,0.913,3.77,83.1,425,0.0867,9.26,0,0.00333,0,15.3
2023-03-23 05:04:00,301,200,431,417,3.90,1.36,0.00333,201,300,4.18,0.913,3.77,83.1,425,0.0867,9.26,0,0.00333,0,15.3
2023-03-23 05:06:00,299,152,362,382,3.40,1.31,0,152,300,4.43,0.943,3.61,79.0,378,0.0667,9.19,0,0,0,1.53
2023-03-23 05:08:00,299,152,362,382,3.40,1.31,0,152,300,4.43,0.943,3.61,79.0,378,0.0667,9.19,0,0,0,1.53
2023-03-23 05:10:00,297,203,433,418,3.86,1.38,0,199,298,4.29,0.830,3.86,82.9,420,0.0667,8.88,0,0,0,15.8
2023-03-23 05:12:00,297,203,433,418,3.86,1.38,0,199,298,4.29,0.830,3.86,82.9,420,0.0667,8.88,0,0,0,15.8
2023-03-23 05:14:00,297,203,433,418,3.86,1.38,0,199,298,4.29,0.830,3.86,82.9,420,0.0667,8.88,0,0,0,15.8
