"Time","cilium-hks2q","cilium-lnk87","cilium-operator-d7fc69fd7-f2msg","cilium-xsrc2","coredns-7b5bbc6644-tpp2m","hubble-relay-6565cf56c6-52kkq","hubble-ui-64bd8dcbf5-7x4nn","kubearmor-8v62p","kubearmor-8v7lc","kubearmor-annotation-manager-85857fc8d7-j2v79","kubearmor-host-policy-manager-7b9c9db44-vsgj9","kubearmor-policy-manager-8569dd9d6f-s8wgx","kubearmor-relay-64c6fff875-9cxdt","kubearmor-wcph8","local-path-provisioner-687d6d7765-dblqm","metrics-server-667586758d-9bmlb","svclb-traefik-72825b3b-d5nvs","svclb-traefik-72825b3b-j6q8w","svclb-traefik-72825b3b-lqlx5","traefik-64b96ccbcd-64qtj"
2023-03-23 03:00:00,1332654,1068680,1379326,1386977,386,87.8,0.233,,,,,,,,4.80,2349,0,0.233,0,346
2023-03-23 03:02:00,1332654,1068680,1379326,1386977,386,87.8,0.233,,,,,,,,4.80,2349,0,0.233,0,346
2023-03-23 03:04:00,1332654,1068680,1379326,1386977,386,87.8,0.233,,,,,,,,4.80,2349,0,0.233,0,346
2023-03-23 03:06:00,179956,162480,226434,216731,373,86.3,0,162988,176200,1173,360,1156,146388,226104,4.36,1873,0,0,0,13237
2023-03-23 03:08:00,179956,162480,226434,216731,373,86.3,0,162988,176200,1173,360,1156,146388,226104,4.36,1873,0,0,0,13237
2023-03-23 03:10:00,183044,133592,196292,206228,345,87.7,0,136183,185954,1258,350,1125,148001,195661,3.74,2026,0,0,0,165
2023-03-23 03:12:00,183044,133592,196292,206228,345,87.7,0,136183,185954,1258,350,1125,148001,195661,3.74,2026,0,0,0,165
2023-03-23 03:14:00,183044,133592,196292,206228,345,87.7,0,136183,185954,1258,350,1125,148001,195661,3.74,2026,0,0,0,165
2023-03-23 03:16:00,182087,163627,231532,220038,376,87.4,0,160436,181547,1217,351,1197,145052,231299,5.08,1930,0,0,0,13189
2023-03-23 03:18:00,182087,163627,231532,220038,376,87.4,0,160436,181547,1217,351,1197,145052,231299,5.08,1930,0,0,0,13189
2023-03-23 03:20:00,178004,132155,187995,193824,353,87.4,0,132054,176673,1214,353,1164,139871,191271,4.92,1921,0,0,0,164
2023-03-23 03:22:00,178004,132155,187995,193824,353,87.4,0,132054,176673,1214,353,1164,139871,191271,4.92,1921,0,0,0,164
2023-03-23 03:24:00,178004,132155,187995,193824,353,87.4,0,132054,176673,1214,353,1164,139871,191271,4.92,1921,0,0,0,164
2023-03-23 03:26:00,193149,163416,226948,226656,362,87.5,0,166361,194073,1193,323,1118,149485,222481,3.60,1950,0,0,0,13165
2023-03-23 03:28:00,193149,163416,226948,226656,362,87.5,0,166361,194073,1193,323,1118,149485,222481,3.60,1950,0,0,0,13165
2023-03-23 03:30:00,184064,132101,194278,195167,349,87.4,0,128891,178756,1231,351,1195,144880,197240,4.86,1965,0,0,0.233,180
2023-03-23 03:32:00,184064,132101,194278,195167,349,87.4,0,128891,178756,1231,351,1195,144880,197240,4.86,1965,0,0,0.233,180
2023-03-23 03:34:00,184064,132101,194278,195167,349,87.4,0,128891,178756,1231,351,1195,144880,197240,4.86,1965,0,0,0.233,180
2023-03-23 03:36:00,179740,164498,230421,235044,359,87.9,0,164617,185325,1210,320,1163,145774,231283,5.40,1877,0,0,0,13216
2023-03-23 03:38:00,179740,164498,230421,235044,359,87.9,0,164617,185325,1210,320,1163,145774,231283,5.40,1877,0,0,0,13216
2023-03-23 03:40:00,198722,133998,203752,190877,366,87.6,0,134201,199494,1192,352,1165,142362,195704,5,2025,0,0,0,172
2023-03-23 03:42:00,198722,133998,203752,190877,366,87.6,0,134201,199494,1192,352,1165,142362,195704,5,2025,0,0,0,172
2023-03-23 03:44:00,198722,133998,203752,190877,366,87.6,0,134201,199494,1192,352,1165,142362,195704,5,2025,0,0,0,172
2023-03-23 03:46:00,187989,162833,226548,237159,363,84.3,0,163270,184921,1258,349,1189,148188,233547,4.42,1959,0.233,0,0,13151
2023-03-23 03:48:00,187989,162833,226548,237159,363,84.3,0,163270,184921,1258,349,1189,148188,233547,4.42,1959,0.233,0,0,13151
2023-03-23 03:50:00,184677,132114,194399,191107,354,89.1,0,132667,184603,1182,343,1156,148731,194166,5.56,1923,0,0,0,173
2023-03-23 03:52:00,184677,132114,194399,191107,354,89.1,0,132667,184603,1182,343,1156,148731,194166,5.56,1923,0,0,0,173
2023-03-23 03:54:00,184677,132114,194399,191107,354,89.1,0,132667,184603,1182,343,1156,148731,194166,5.56,1923,0,0,0,173
2023-03-23 03:56:00,180244,169264,237624,237000,368,87.4,0,168176,180477,1232,323,1147,140901,231097,4.25,1983,0,0.233,0,13188
2023-03-23 03:58:00,180244,169264,237624,237000,368,87.4,0,168176,180477,1232,323,1147,140901,231097,4.25,1983,0,0.233,0,13188
2023-03-23 04:00:00,182483,137388,189273,188979,350,87.4,0,134326,185315,1225,339,1155,149284,199707,5.92,1919,0,0,0,148
2023-03-23 04:02:00,182483,137388,189273,188979,350,87.4,0,134326,185315,1225,339,1155,149284,199707,5.92,1919,0,0,0,148
2023-03-23 04:04:00,182483,137388,189273,188979,350,87.4,0,134326,185315,1225,339,1155,149284,199707,5.92,1919,0,0,0,148
2023-03-23 04:06:00,197949,160766,229799,233191,371,90.5,0.233,167054,198861,1235,345,1172,144511,229125,4.64,1960,0,0,0,13242
2023-03-23 04:08:00,197949,160766,229799,233191,371,90.5,0.233,167054,198861,1235,345,1172,144511,229125,4.64,1960,0,0,0,13242
2023-03-23 04:10:00,182842,136056,200474,200266,345,82.1,0,128938,177474,1189,345,1164,146520,198880,4.86,1969,0,0,0,175
2023-03-23 04:12:00,182842,136056,200474,200266,345,82.1,0,128938,177474,1189,345,1164,146520,198880,4.86,1969,0,0,0,175
2023-03-23 04:14:00,182842,136056,200474,200266,345,82.1,0,128938,177474,1189,345,1164,146520,198880,4.86,1969,0,0,0,175
2023-03-23 04:16:00,182410,284621,346585,347514,417,89.5,0,285151,184334,1249,342,1149,150434,344493,3.88,1941,0,0,0,65176
2023-03-23 04:18:00,182410,284621,346585,347514,417,89.5,0,285151,184334,1249,342,1149,150434,344493,3.88,1941,0,0,0,65176
2023-03-23 04:20:00,187272,123898,196745,195903,346,87.3,0,131364,189422,1166,335,1219,145420,197177,5.27,1947,0,0,0,180
2023-03-23 04:22:00,187272,123898,196745,195903,346,87.3,0,131364,189422,1166,335,1219,145420,197177,5.27,1947,0,0,0,180
2023-03-23 04:24:00,187272,123898,196745,195903,346,87.3,0,131364,189422,1166,335,1219,145420,197177,5.27,1947,0,0,0,180
2023-03-23 04:26:00,170375,168694,228763,230292,364,86.7,0,153322,167104,1223,339,1156,142607,230863,4.14,1966,0,0,0,13226
2023-03-23 04:28:00,170375,168694,228763,230292,364,86.7,0,153322,167104,1223,339,1156,142607,230863,4.14,1966,0,0,0,13226
2023-03-23 04:30:00,209266,128726,196409,194198,346,86,0,137569,211684,1251,338,1125,146124,196725,4.44,1914,0,0,0,166
2023-03-23 04:32:00,209266,128726,196409,194198,346,86,0,137569,211684,1251,338,1125,146124,196725,4.44,1914,0,0,0,166
2023-03-23 04:34:00,209266,128726,196409,194198,346,86,0,137569,211684,1251,338,1125,146124,196725,4.44,1914,0,0,0,166
2023-03-23 04:36:00,167244,145609,210426,227248,358,85.7,0,164371,166732,1165,371,1163,145748,216302,3.60,1886,0,0,0.233,9757
2023-03-23 04:38:00,167244,145609,210426,227248,358,85.7,0,164371,166732,1165,371,1163,145748,216302,3.60,1886,0,0,0.233,9757
2023-03-23 04:40:00,182470,148450,218853,199671,379,92.2,0,132423,179954,1273,331,1203,147730,210627,5.34,2004,0,0,0,3629
2023-03-23 04:42:00,182470,148450,218853,199671,379,92.2,0,132423,179954,1273,331,1203,147730,210627,5.34,2004,0,0,0,3629
2023-03-23 04:44:00,182470,148450,218853,199671,379,92.2,0,132423,179954,1273,331,1203,147730,210627,5.34,2004,0,0,0,3629
2023-03-23 04:46:00,196259,137789,216899,202941,345,84.4,0,139465,201850,1197,337,1140,148206,210848,4.50,1976,0,0,0,4659
2023-03-23 04:48:00,196259,137789,216899,202941,345,84.4,0,139465,201850,1197,337,1140,148206,210848,4.50,1976,0,0,0,4659
2023-03-23 04:50:00,184437,163113,209986,227049,372,89.0,0,161224,179153,1241,357,1203,146031,220165,5.77,1953,0.233,0,0,8677
2023-03-23 04:52:00,184437,163113,209986,227049,372,89.0,0,161224,179153,1241,357,1203,146031,220165,5.77,1953,0.233,0,0,8677
2023-03-23 04:54:00,184437,163113,209986,227049,372,89.0,0,161224,179153,1241,357,1203,146031,220165,5.77,1953,0.233,0,0,8677
2023-03-23 04:56:00,181867,132101,202260,202913,344,82.1,0,131959,183486,1222,336,1156,147923,198365,3.82,1922,0,0,0,166
2023-03-23 04:58:00,181867,132101,202260,202913,344,82.1,0,131959,183486,1222,336,1156,147923,198365,3.82,1922,0,0,0,166
2023-03-23 05:00:00,179645,163521,232319,225350,377,88.9,0.233,163635,179562,1184,358,1172,147315,229435,6.21,1957,0,0.233,0,13218
2023-03-23 05:02:00,179645,163521,232319,225350,377,88.9,0.233,163635,179562,1184,358,1172,147315,229435,6.21,1957,0,0.233,0,13218
2023-03-23 05:04:00,179645,163521,232319,225350,377,88.9,0.233,163635,179562,1184,358,1172,147315,229435,6.21,1957,0,0.233,0,13218
2023-03-23 05:06:00,184723,131963,193859,203946,328,85.6,0,131725,185661,1257,367,1124,145360,201092,4.08,1946,0,0,0,172
2023-03-23 05:08:00,184723,131963,193859,203946,328,85.6,0,131725,185661,1257,367,1124,145360,201092,4.08,1946,0,0,0,172
2023-03-23 05:10:00,182200,168153,231495,223270,373,90.3,0,165086,181701,1222,323,1202,146961,225479,4.72,1877,0,0,0,13290
2023-03-23 05:12:00,182200,168153,231495,223270,373,90.3,0,165086,181701,1222,323,1202,146961,225479,4.72,1877,0,0,0,13290
2023-03-23 05:14:00,182200,168153,231495,223270,373,90.3,0,165086,181701,1222,323,1202,146961,225479,4.72,1877,0,0,0,13290
