"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (eno1)","Transmit Total (eno2)","Transmit Total (lxc02dbfd66bd6f)","Transmit Total (lxc0d143d0ba99e)","Transmit Total (lxc153109530daf)","Transmit Total (lxc3c1648ed71ce)","Transmit Total (lxc488524f8bfce)","Transmit Total (lxc6cba22569534)","Transmit Total (lxc6ebc350f0651)","Transmit Total (lxc74c7d809bd89)","Transmit Total (lxc760130ded1c3)","Transmit Total (lxc7e1190a2332a)","Transmit Total (lxc8ba1b419a272)","Transmit Total (lxc900840d1a2cf)","Transmit Total (lxc9a50aa63162c)","Transmit Total (lxc_health)","Transmit Total (lxca327a483a30e)","Transmit Total (lxcaaf68940a9c4)","Transmit Total (lxcaafd481abc96)","Transmit Total (lxcb3f105cadf2a)","Transmit Total (lxcbe0bb1263ddc)","Transmit Total (lxcc47e28ed5b21)","Transmit Total (lxcce714a0dc6d5)","Transmit Total (lxcd586d4ac8e9c)","Transmit Total (lxce4564b379957)","Transmit Total (lxce5886ad7efc3)","Transmit Total (lxcf01903596246)","Transmit Total (lxcf103eca4e84a)","Transmit Total (lxcf42f630ba735)","Transmit Total (lxcf63f552f00e3)","Transmit Total (lxcfaaebd4c3a78)","Transmit Total (lxcfeb8344ea4ca)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (eno1)","Receive Total (eno2)","Receive Total (lxc02dbfd66bd6f)","Receive Total (lxc0d143d0ba99e)","Receive Total (lxc153109530daf)","Receive Total (lxc3c1648ed71ce)","Receive Total (lxc488524f8bfce)","Receive Total (lxc6cba22569534)","Receive Total (lxc6ebc350f0651)","Receive Total (lxc74c7d809bd89)","Receive Total (lxc760130ded1c3)","Receive Total (lxc7e1190a2332a)","Receive Total (lxc8ba1b419a272)","Receive Total (lxc900840d1a2cf)","Receive Total (lxc9a50aa63162c)","Receive Total (lxc_health)","Receive Total (lxca327a483a30e)","Receive Total (lxcaaf68940a9c4)","Receive Total (lxcaafd481abc96)","Receive Total (lxcb3f105cadf2a)","Receive Total (lxcbe0bb1263ddc)","Receive Total (lxcc47e28ed5b21)","Receive Total (lxcce714a0dc6d5)","Receive Total (lxcd586d4ac8e9c)","Receive Total (lxce4564b379957)","Receive Total (lxce5886ad7efc3)","Receive Total (lxcf01903596246)","Receive Total (lxcf103eca4e84a)","Receive Total (lxcf42f630ba735)","Receive Total (lxcf63f552f00e3)","Receive Total (lxcfaaebd4c3a78)","Receive Total (lxcfeb8344ea4ca)"
2023-03-11 09:14:00,0,66.3,35517,68701,0,0,0,1831,453,124,4356,65.7,31.5,142,0,4587,103,66.4,31.6,6823,299,26172,0,0.389,19,0,0.389,121,2126,1742,446,253,0,38.5,701,66.3,0,29825,53836,0,0,0,170,253,20.9,1374,42.1,21.7,94.9,0,1441,233,42.5,25.5,1028,385,10283,0,0,38.5,0,0,29.0,2125,25799,249,116,0,19,460
2023-03-11 09:16:00,0,66.0,14449,45629,0,0,0,1767,454,124,4332,66.1,31.5,143,0,4669,103,65.8,31.8,6749,298,16566,0,0,19,0,0,121,1599,419,447,253,0,38.5,38.5,66.0,0,18058,40559,0,0,0,188,255,20.9,1384,42.5,21.0,95.9,0,1462,232,42.2,25.7,1019,385,9352,0,0,38.5,0,0,29.0,1601,6287,250,117,0,19,19
2023-03-11 09:18:00,0,66.0,15551,47446,0,0,0,1884,453,135,26955,65.8,32.1,143,0,4263,102,66.5,32.3,6971,299,19232,0,0,19,0,0,132,2656,423,449,253,0,38.5,38.5,66.0,0,21767,68183,0,0,0,203,253,22.8,1995,41.4,23.1,96.3,0,1385,231,42.2,26.2,1050,385,9415,0,0,38.5,0,0,31.6,2662,6287,252,110,0,19,19
2023-03-11 09:20:00,0,66.0,14862,46111,0,0,0,1828,453,135,4377,65.3,31.5,143,0,4607,211,66.1,32.3,6887,299,18246,0,0,19,0,0,132,2136,417,446,257,0,38.5,38.5,66.0,0,20292,43407,0,0,0,193,259,22.8,1366,41.4,21.2,95.9,0,1450,281,41.4,26.2,1036,385,9229,0,0,38.5,0,0,31.6,2138,6290,249,120,0,19,19
2023-03-11 09:22:00,0,66.3,25389,57310,0,0,0,1773,454,130,4286,66.0,32.9,143,0,4255,120,66.1,32.3,6695,299,18355,0,0,19,0,0,126,1601,920,447,244,0,38.5,38.5,66.3,0,20304,42471,0,0,0,188,261,21.9,1359,42.1,22.4,96.3,0,1386,250,41.4,26.2,1021,385,10434,0,0,38.5,0,0.389,30.3,1599,16196,250,102,0,19,19
2023-03-11 09:24:00,0,66.0,34978,68078,0,0,0,1823,451,124,4353,66.5,32.9,143,0,4584,102,66.4,32.3,6891,298,17667,0,0,19,0,0,121,2123,1749,447,250,0,38.5,700,66.0,0,21365,44999,0,0,0,177,251,20.9,1374,43.6,28.6,96.3,0,1432,233,42.5,26.2,1062,385,9888,0,0,38.5,0,0,29.0,2125,25641,250,108,0,19,454
2023-03-11 09:26:00,0,66.0,13769,44931,0,0,0,1777,453,123,4302,66.5,31.5,143,0,4589,102,66.4,32.3,6782,300,18160,0,0,19,0,0,120,1601,421,447,253,0,38.5,38.5,66.0,0,19659,42391,0,0,0,187,253,20.9,1370,41.7,26.4,95.9,0,1431,232,42.8,26.2,1061,385,8675,0,0,38.5,0,0,29.0,1603,6290,250,120,0,19,19
2023-03-11 09:28:00,0,66.7,14953,46211,0,0,0,1908,454,130,4466,66.1,30.7,143,0,4304,102,66.4,32.3,7000,299,16152,0,0,19,0,0,126,2651,422,447,256,0,38.5,38.5,66.7,0,18710,41779,0,0,0,185,255,26.8,1390,41.4,20.8,96.3,0,1395,232,42.8,26.2,1046,385,8800,0,0,38.5,0,0,30.3,2654,6281,250,122,0,19,19
2023-03-11 09:30:00,0,66.3,14222,45569,0,0,0,1819,439,123,5979,66.4,32.9,143,0,4661,192,66.7,32.7,6903,299,17515,0,0,19,0,0,120,2126,424,435,250,0,38.5,38.5,66.3,0,19567,44327,0,0,0,173,250,25.8,1496,43.2,29.3,96.3,0,1465,265,43.2,26.2,1050,385,8589,0,0,38.5,0,0,33.9,2132,6283,249,109,0,19,19
2023-03-11 09:32:00,0,66.7,21223,53088,0,0,0,1774,439,124,5927,66.4,30.7,143,0,4339,106,66.7,32.3,6793,301,23684,0,0,19.0,0,0,126,1602,692,434,248,0,38.5,38.5,66.7,0,25396,49866,0,0,0,179,245,20.9,1496,42.1,21.5,96.0,0,1416,236,42.9,26.2,1054,385,10625,0,0,38.5,0,0,35.3,1600,11833,242,107,0,19.0,19.0
2023-03-11 09:34:00,0,66.0,36232,69450,0,0,0,1893,456,135,4415,66.1,33.5,143,0,4588,9706,66.4,32.3,6989,298,18277,0,0,19,0,0,132,2396,1734,446,252,0,38.5,683,66.0,0,22201,56031,0,0,0,191,257,22.8,1370,42.5,24.8,96.3,0,1437,293,42.8,26.2,1037,385,10864,0,0,38.5,0,0,31.6,2392,25658,249,116,0,19,456
2023-03-11 09:36:00,0,67.1,14624,45808,0,0,0,1712,453,130,4237,66.1,34.3,143,0,4580,103,66.4,32.3,6568,298,26854,0,0,19,0,0,126,1077,421,447,252,0,38.5,38.5,67.1,0,27799,50560,0,0,0,192,253,21.9,1373,42.5,25.4,95.9,0,1428,232,43.2,26.2,1022,385,10069,0,0,38.5,0,0,30.3,1069,6286,250,111,0,19,19
2023-03-11 09:38:00,0,67.1,14883,45992,0,0,0,1885,451,124,4414,66.1,30.7,143,0,4261,103,66.4,32.3,6959,298,17319,0,0,19,0,0,126,2654,421,447,254,0,38.5,38.5,67.1,0,19861,42690,0,0,0,186,251,20.9,1367,42.5,20.1,96.3,0,1390,232,43.6,26.2,1038,385,8732,0,0,38.5,0,0,30.3,2654,6289,250,118,0,19,19
2023-03-11 09:40:00,0.389,66.3,14757,46611,0,0,0,1828,453,130,26888,65.3,32.9,143,0,4581,194,66.4,32.3,6902,298,25564,0,0,19.4,0,0,126,2130,421,447,253,0,38.5,38.5,66.3,0.389,27587,74559,0,0,0,190,253,21.9,1992,41,23.2,96.3,0,1425,265,43.2,26.2,1020,385,9144,0,0,38.5,0,0,30.3,2133,6287,249,117,0.389,19,19
2023-03-11 09:42:00,0.389,66.3,15432,47232,0,0,0,1773,456,124,26837,65.3,34.4,143,0,4260,106,65.7,31.8,6764,300,17489,0,0,19.4,0,0,121,1605,479,449,257,0,38.5,38.5,66.3,0.389,19032,64512,0,0,0,177,257,20.9,1984,42.1,24.4,95.9,0,1385,235,43.6,25.7,1064,385,9286,0,0,38.5,0,0,29.0,1607,7348,252,117,0.389,19,19
2023-03-11 09:44:00,0,66.3,36325,69593,0,0,0,1892,451,118,4419,65.7,32.2,142,0,4591,103,65.7,31.6,7022,299,21160,0,0,19,0,0,115,2650,1739,449,257,0,38.5,704,66.3,0,25353,49402,0,0,0,188,251,20.0,1382,42.5,21.6,94.9,0,1440,232,42.5,25.5,1076,385,10691,0,0,38.5,0,0,27.7,2652,25656,252,120,0,19,467
2023-03-11 09:46:00,0,66.3,13973,45109,0,0.389,0,1689,453,113,4276,66.4,30.7,143,0,4677,103,66.4,31.6,6700,297,18279,0,0,19,0,0,115,1074,420,446,253,0,38.5,38.5,66.3,0,19253,41601,0,0,0,186,253,19,1398,42.8,20.8,95.9,0,1472,232,43.2,25.5,1028,385,9399,0,0,38.5,0,0,27.7,1075,6288,249,110,0,19,19
2023-03-11 09:48:00,0,66.3,15545,46699,0,0,0,1880,454,118,4419,66.1,32.1,143,0,4253,103,66.1,31.6,6982,299,18422,0,0,19,0,0,115,2659,421,447,255,0,38.5,38.5,66.3,0,20957,43887,0,0,0,186,254,20.0,1369,43.6,21.4,96.3,0,1375,231,42.1,25.5,1015,385,9408,0.389,0,38.5,0,0,27.7,2659,6287,250,120,0,19,19
2023-03-11 09:50:00,0,66.7,14704,45992,0,0,0,1875,454,119,4358,65.7,32.3,143,0,4587,195,66.4,31.6,6925,300,17669,0,0,19,0,0,115,2125,422,449,254,0.389,38.5,38.5,66.7,0,19721,42778,0,0,0,211,254,20.0,1369,41.7,21.9,96.3,0,1433,265,41.7,25.5,1096,385,9078,0,0,38.5,0,0,27.7,2123,6283,252,119,0,19,19
2023-03-11 09:52:00,0,66.7,14492,45678,0,0,0,1837,453,118,4300,66.4,32.3,143,0,4266,106,66.4,32.0,6732,299,18124,0,0,19,0.389,0,115,1595,422,448,253,0,38.5,38.9,66.7,0,19621,41697,0,0,0,230,253,20.0,1380,43.2,21.4,95.9,0,1393,236,41.7,26.0,1060,385,9392,0,0,38.5,0.389,0,27.7,1595,6281,250,113,0,19,19
2023-03-11 09:54:00,0,66.7,35949,69072,0,0,0,1886,454,135,4420,66.4,31.5,143,0,4584,102,66.8,32.3,6959,299,16388,0,0,19,0,0,132,2656,1735,446,250,0,38.5,744,66.7,0,20640,44264,0,0.389,0,181,253,22.8,1386,43.6,21.6,96.3,0,1432,232,43.6,26.2,1028,385,10161,0,0,38.5,0,0,31.6,2659,25780,249,109,0,19,479
2023-03-11 09:56:00,0,66.7,13298,44347,0,0,0,1708,454,124,4236,66.1,32.1,143,0,4584,102,66.4,32.0,6602,300,17659,0.389,0,19,0,0,121,1082,423,447,249,0,38.5,38.5,66.7,0,18635,40798,0,0,0,204,255,20.9,1365,43.6,22.3,96.3,0,1431,232,43.2,26.0,1059,386,8722,0,0,38.5,0,0,29.0,1076,6287,250,112,0,19,19
2023-03-11 09:58:00,0,66.7,14645,45805,0,0,0,1844,452,130,4359,65.7,31.5,143,0,4261,103,66.4,31.6,6810,299,17563,0,0,19,0,0,127,2134,425,449,253,0,38.9,38.5,66.7,0,19583,42205,0,0,0,202,252,21.9,1376,41.4,21.7,95.9,0,1386,232,43.2,25.5,1033,385,9029,0,0,38.5,0,0,30.3,2133,6284,252,112,0,19,19
2023-03-11 10:00:00,0,66.7,15032,46488,0,0,0,1826,455,136,5982,65.7,30.7,143,0.389,4662,194,66.4,31.6,6956,300,18468,0,0,19,0,0,132,2123,424,447,256,0,38.9,38.5,66.7,0,20498,45380,0,0,0,185,256,22.8,1485,42.1,20.8,96.7,0,1469,266,42.5,25.5,1085,385,9406,0,0,38.5,0,0,31.6,2121,6289,250,115,0,19,19.4
2023-03-11 10:02:00,0,66.7,15549,46939,0,0,0,1755,454,136,5931,65.7,33.5,143,0.389,4350,106,66.1,32.0,6825,300,23579,0,0,19.0,0,0,131,1602,423,446,253,0,38.5,38.5,66.7,0,25051,49392,0,0,0,185,254,22.8,1481,42.5,23.7,96.4,0,1423,235,41.8,26.0,1027,385,10463,0,0,38.5,0,0,32.0,1603,6292,249,118,0,19.0,19.4
2023-03-11 10:04:00,0,66.3,36195,69966,0,0,0,1890,453,130,26939,65.3,31.5,143,0,4575,103,66.1,32.3,7027,301,17700,0,0,19,0,0,121,2654,1749,449,249,0,38.5,757,66.3,0,21971,69126,0,0,0.389,192,253,22.2,1979,42.5,21.7,96.3,0,1418,232,42.5,26.2,1048,385,10471,0,0,38.9,0,0,29.4,2658,25724,253,107,0,19,477
2023-03-11 10:06:00,0,66.3,14441,46331,0,0,0.389,1849,456,135,26931,65.3,31.5,143,0,4634,103,66.4,32.3,6964,300,26174,0,0,19,0,0,126,2124,422,447,249,0,38.5,38.5,66.3,0,28176,75265,0,0,0.389,180,262,23.2,2010,41,21.3,96.3,0.389,1447,232,43.6,26.2,1069,385,8830,0,0.389,38.9,0,0,30.3,2127,6290,250,106,0,19.4,19
2023-03-11 10:08:00,0,66.7,14296,45435,0,0,0.389,1763,453,130,4295,66.4,30.7,143,0,4264,117,66.8,32.3,6725,298,16783,0,0,19,0,0,132,1598,422,446,257,0,38.5,38.5,66.7,0,18262,40344,0,0,0,191,258,21.9,1378,42.1,20.8,95.9,0.389,1396,246,43.6,26.2,1021,385,9207,0,0.389,38.5,0,0,31.6,1602,6291,249,121,0,19.4,19
2023-03-11 10:10:00,0,66.7,15198,46520,0,0,0,1830,452,130,4349,66.0,32.9,143,0,4581,195,67.1,32.3,6912,299,19350,0,0,19.0,0,0,126,2130,423,448,250,0,38.5,38.5,66.7,0,21379,44634,0,0,0,207,252,21.8,1373,42.8,28.5,96.3,0,1431,264,43.2,26.2,1050,385,9577,0,0,38.5,0,0,30.3,2133,6288,251,109,0,19.0,19.0
