"Time","0(172.16.66.34:10250)","0(172.16.66.34:6443)","200(172.16.66.34:10250)","200(172.16.66.34:6443)","201(172.16.66.34:10250)","201(172.16.66.34:6443)","403(172.16.66.34:10250)","403(172.16.66.34:6443)","404(172.16.66.34:10250)","404(172.16.66.34:6443)","409(172.16.66.34:10250)","409(172.16.66.34:6443)","422(172.16.66.34:10250)","422(172.16.66.34:6443)","500(172.16.66.34:10250)","500(172.16.66.34:6443)"
2023-03-11 08:00:00,0,0,20.2,20.1,0.378,0.356,0,0,0.0111,0,0,0,0,0,0,0
2023-03-11 08:02:00,0,0,19.5,19.7,0.344,0.378,0,0,0,0.0111,0,0,0,0,0,0
2023-03-11 08:04:00,0,0,20.3,20.4,0.344,0.361,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 08:06:00,0,0,19.6,19.7,0.328,0.350,0,0,0,0,0,0,0,0,0,0
2023-03-11 08:08:00,0,0,20.3,20.1,0.361,0.361,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 08:10:00,0,0,20.2,19.8,0.383,0.389,0,0,0.0111,0,0,0,0,0,0,0
2023-03-11 08:12:00,0,0,19.4,19.7,0.400,0.372,0,0,0,0.0111,0,0,0,0,0,0
2023-03-11 08:14:00,0,0,20.1,20.1,0.367,0.361,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 08:16:00,0,0,19.6,19.6,0.378,0.411,0,0,0,0,0,0,0,0,0,0
2023-03-11 08:18:00,0,0,20.0,19.9,0.411,0.406,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 08:20:00,0,0,19.9,19.7,0.467,0.461,0,0,0.0111,0,0,0,0,0,0,0
2023-03-11 08:22:00,0,0,19.5,19.7,0.456,0.445,0,0,0,0.0111,0,0,0,0,0,0
2023-03-11 08:24:00,0,0,19.9,19.9,0.456,0.550,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 08:26:00,0,0,19.4,19.3,0.561,0.544,0,0,0,0,0,0,0,0,0,0
2023-03-11 08:28:00,0,0,21.3,21.2,0.378,0.406,0,0,0.0611,0.0603,0,0,0,0,0,0
2023-03-11 08:30:00,0,0,21.2,20.5,0.400,0.372,0,0,0.0611,0.0111,0,0,0,0,0,0
2023-03-11 08:32:00,0,0,19.4,19.5,0.339,0.333,0,0,0,0.0111,0,0,0,0,0,0
2023-03-11 08:34:00,0,0,20.6,20.5,0.389,0.378,0,0,0.0389,0.0389,0,0,0,0,0,0
2023-03-11 08:36:00,0,0,20.5,20.1,0.367,0.344,0,0,0.0111,0,0,0,0,0,0,0
2023-03-11 08:38:00,0,0,20.4,19.9,0.344,0.339,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 08:40:00,0,0,19.9,19.9,0.372,0.356,0,0,0.0111,0,0,0,0,0,0,0
2023-03-11 08:42:00,0,0,19.7,19.9,0.339,0.322,0,0,0,0.0111,0,0,0,0,0,0
2023-03-11 08:44:00,0,0,20.0,20.0,0.372,0.372,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 08:46:00,0,0,19.7,19.6,0.383,0.367,0,0,0,0,0,0,0,0,0,0
2023-03-11 08:48:00,0,0,19.7,19.9,0.328,0.344,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 08:50:00,0,0,20.0,20.1,0.356,0.372,0,0,0.0111,0,0,0,0,0,0,0
2023-03-11 08:52:00,0,0,19.8,19.8,0.344,0.339,0,0,0,0.0111,0,0,0,0,0,0
2023-03-11 08:54:00,0,0,20.1,20.1,0.322,0.356,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 08:56:00,0,0,19.8,19.6,0.372,0.361,0,0,0,0,0,0,0,0,0,0
2023-03-11 08:58:00,0,0,19.9,19.9,0.367,0.356,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 09:00:00,0,0,20.2,20.0,0.439,0.394,0,0,0.0111,0,0,0,0,0,0,0
2023-03-11 09:02:00,0,0,19.5,19.6,0.406,0.361,0,0,0,0.0111,0,0,0,0,0,0
2023-03-11 09:04:00,0,0,20.1,20.1,0.372,0.411,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 09:06:00,0,0,19.8,19.8,0.422,0.450,0,0,0,0,0,0,0,0,0,0
2023-03-11 09:08:00,0,0,19.9,19.9,0.413,0.450,0,0,0.0112,0.0111,0,0,0,0,0,0
2023-03-11 09:10:00,0,0,20.0,19.8,0.450,0.472,0,0,0.0111,0,0,0,0,0,0,0
2023-03-11 09:12:00,0,0,19.5,19.9,0.450,0.461,0,0,0,0.0111,0,0,0,0,0,0
2023-03-11 09:14:00,0,0,20.1,20.1,0.528,0.522,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 09:16:00,0,0,19.6,19.6,0.506,0.433,0,0,0,0,0,0,0,0,0,0
2023-03-11 09:18:00,0,0,19.6,19.6,0.350,0.328,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 09:20:00,0,0,19.8,19.9,0.328,0.356,0,0,0.0111,0,0,0,0,0,0,0
2023-03-11 09:22:00,0,0,20.0,19.7,0.389,0.383,0,0,0,0.0111,0,0,0,0,0,0
2023-03-11 09:24:00,0,0,19.8,19.8,0.344,0.339,0,0,0.0111,0.0111,0,0,0,0,0,0
