"Time","Read (dm-0)","Read (vda)","Read (vdb)","Write (dm-0)","Write (vda)","Write (vdb)"
2023-03-13 15:52:00,0,0,0,104220,104220,0
2023-03-13 15:54:00,0,0,0,54454,54454,0
2023-03-13 15:56:00,0,0,0,89771,89771,0
2023-03-13 15:58:00,0,0,0,109181,109181,0
2023-03-13 16:00:00,0,0,0,46148,46148,0
2023-03-13 16:02:00,0,0,0,281805,281805,0
2023-03-13 16:04:00,0,0,0,55250,55250,0
2023-03-13 16:06:00,0,0,0,94959,94959,0
2023-03-13 16:08:00,0,0,0,108498,108498,0
2023-03-13 16:10:00,0,0,0,40732,40732,0
2023-03-13 16:12:00,0,0,0,102810,102810,0
2023-03-13 16:14:00,0,0,0,52019,52019,0
2023-03-13 16:16:00,0,0,0,93707,93707,0
2023-03-13 16:18:00,22.8,22.8,0,129775,129775,0
2023-03-13 16:20:00,22.8,22.8,0,41734,41734,0
2023-03-13 16:22:00,0,0,0,101444,101444,0
2023-03-13 16:24:00,0,0,0,50813,50813,0
2023-03-13 16:26:00,0,0,0,97963,97963,0
2023-03-13 16:28:00,0,0,0,107201,107201,0
2023-03-13 16:30:00,0,0,0,39845,39845,0
2023-03-13 16:32:00,0,0,0,130480,130480,0
2023-03-13 16:34:00,0,0,0,77574,77574,0
2023-03-13 16:36:00,0,0,0,91090,91090,0
2023-03-13 16:38:00,0,0,0,106409,106409,0
2023-03-13 16:40:00,0,0,0,42303,42303,0
2023-03-13 16:42:00,0,0,0,103014,103014,0
2023-03-13 16:44:00,0,0,0,55569,55569,0
2023-03-13 16:46:00,0,0,0,92001,92001,0
2023-03-13 16:48:00,0,0,0,107406,107406,0
2023-03-13 16:50:00,0,0,0,40596,40596,0
2023-03-13 16:52:00,0,0,0,105381,105381,0
2023-03-13 16:54:00,0,0,0,52838,52838,0
2023-03-13 16:56:00,114,114,0,97098,97098,0
2023-03-13 16:58:00,114,114,0,110273,110273,0
2023-03-13 17:00:00,0,0,0,42530,42530,0
2023-03-13 17:02:00,0,0,0,154101,154101,0
2023-03-13 17:04:00,0,0,0,99647,99647,0
2023-03-13 17:06:00,0,0,0,95278,95278,0
2023-03-13 17:08:00,0,0,0,112754,112754,0
2023-03-13 17:10:00,0,0,0,45830,45830,0
2023-03-13 17:12:00,0,0,0,102989,102989,0
2023-03-13 17:14:00,0,0,0,55433,55433,0
2023-03-13 17:16:00,0,0,0,94686,94686,0
2023-03-13 17:18:00,0,0,0,106337,106337,0
2023-03-13 17:20:00,0,0,0,42849,42849,0
2023-03-13 17:22:00,0,0,0,104994,104994,0
2023-03-13 17:24:00,0,0,0,49789,49789,0
2023-03-13 17:26:00,0,0,0,92638,92638,0
2023-03-13 17:28:00,0,0,0,105859,105859,0
2023-03-13 17:30:00,0,0,0,40846,40846,0
2023-03-13 17:32:00,0,0,0,128569,128569,0
2023-03-13 17:34:00,0,0,0,74320,74320,0
2023-03-13 17:36:00,0,0,0,98122,98122,0
2023-03-13 17:38:00,0,0,0,109227,109227,0
2023-03-13 17:40:00,0,0,0,41326,41326,0
2023-03-13 17:42:00,0,0,0,131914,131914,0
2023-03-13 17:44:00,0,0,0,76982,76982,0
2023-03-13 17:46:00,0,0,0,96324,96324,0
2023-03-13 17:48:00,0,0,0,106109,106109,0
2023-03-13 17:50:00,0,0,0,43258,43258,0
2023-03-13 17:52:00,0,0,0,108749,108749,0
2023-03-13 17:54:00,0,0,0,54135,54135,0
2023-03-13 17:56:00,45.5,45.5,0,95460,95460,0
2023-03-13 17:58:00,0,0,0,107157,107157,0
2023-03-13 18:00:00,0,0,0,41552,41552,0
2023-03-13 18:02:00,8146,8146,0,1646069,1646069,0
2023-03-13 18:04:00,0,0,0,54704,54704,0
2023-03-13 18:06:00,0,0,0,104016,104016,0
2023-03-13 18:08:00,0,0,0,118033,118033,0
2023-03-13 18:10:00,0,0,0,42348,42348,0
2023-03-13 18:12:00,0,0,0,102946,102946,0
2023-03-13 18:14:00,22.8,22.8,0,63260,63260,0
2023-03-13 18:16:00,22.8,22.8,0,90749,90749,0
2023-03-13 18:18:00,0,0,0,130753,130753,0
2023-03-13 18:20:00,0,0,0,46217,46217,0
2023-03-13 18:22:00,0,0,0,100830,100830,0
2023-03-13 18:24:00,0,0,0,59938,59938,0
2023-03-13 18:26:00,0,0,0,85356,85356,0
2023-03-13 18:28:00,0,0,0,104471,104471,0
2023-03-13 18:30:00,0,0,0,41665,41665,0
2023-03-13 18:32:00,0,0,0,125429,125429,0
2023-03-13 18:34:00,0,0,0,86357,86357,0
2023-03-13 18:36:00,0,0,0,81351,81351,0
2023-03-13 18:38:00,91.0,91.0,0,104971,104971,0
2023-03-13 18:40:00,0,0,0,41847,41847,0
2023-03-13 18:42:00,0,0,0,101103,101103,0
2023-03-13 18:44:00,0,0,0,60780,60780,0
2023-03-13 18:46:00,0,0,0,83314,83314,0
2023-03-13 18:48:00,0,0,0,109887,109887,0
2023-03-13 18:50:00,0,0,0,43031,43031,0
2023-03-13 18:52:00,0,0,0,102969,102969,0
2023-03-13 18:54:00,0,0,0,68403,68403,0
2023-03-13 18:56:00,0,0,0,82603,82603,0
2023-03-13 18:58:00,0,0,0,102628,102628,0
2023-03-13 19:00:00,0,0,0,45238,45238,0
2023-03-13 19:02:00,0,0,0,156991,156991,0
2023-03-13 19:04:00,0,0,0,87996,87996,0
2023-03-13 19:06:00,0,0,0,69973,69973,0
2023-03-13 19:08:00,0,0,0,103993,103993,0
2023-03-13 19:10:00,0,0,0,41688,41688,0
2023-03-13 19:12:00,0,0,0,102446,102446,0
2023-03-13 19:14:00,0,0,0,62418,62418,0
2023-03-13 19:16:00,0,0,0,81192,81192,0
2023-03-13 19:18:00,22.8,22.8,0,106815,106815,0
2023-03-13 19:20:00,0,0,0,40209,40209,0
2023-03-13 19:22:00,0,0,0,103287,103287,0
2023-03-13 19:24:00,0,0,0,73114,73114,0
2023-03-13 19:26:00,0,0,0,73796,73796,0
2023-03-13 19:28:00,0,0,0,104698,104698,0
2023-03-13 19:30:00,0,0,0,40914,40914,0
2023-03-13 19:32:00,0,0,0,127408,127408,0
2023-03-13 19:34:00,0,0,0,95437,95437,0
2023-03-13 19:36:00,0,0,0,81283,81283,0
2023-03-13 19:38:00,0,0,0,102514,102514,0
2023-03-13 19:40:00,0,0,0,46535,46535,0
2023-03-13 19:42:00,0,0,0,130344,130344,0
2023-03-13 19:44:00,0,0,0,90499,90499,0
2023-03-13 19:46:00,0,0,0,69518,69518,0
2023-03-13 19:48:00,0,0,0,101831,101831,0
2023-03-13 19:50:00,0,0,0,37023,37023,0
2023-03-13 19:52:00,0,0,0,99328,99328,0
2023-03-13 19:54:00,0,0,0,75230,75230,0
2023-03-13 19:56:00,16156,16156,0,107383,107383,0
2023-03-13 19:58:00,0,0,0,103151,103151,0
2023-03-13 20:00:00,0,0,0,43645,43645,0
2023-03-13 20:02:00,114,114,0,284953,284953,0
2023-03-13 20:04:00,0,0,0,61486,61486,0
2023-03-13 20:06:00,0,0,0,82944,82944,0
2023-03-13 20:08:00,22.8,22.8,0,110683,110683,0
2023-03-13 20:10:00,0,0,0,38184,38184,0
2023-03-13 20:12:00,0,0,0,104539,104539,0
2023-03-13 20:14:00,0,0,0,66128,66128,0
2023-03-13 20:16:00,0,0,0,81897,81897,0
2023-03-13 20:18:00,0,0,0,133507,133507,0
2023-03-13 20:20:00,0,0,0,44555,44555,0
2023-03-13 20:22:00,0,0,0,103447,103447,0
2023-03-13 20:24:00,0,0,0,74934,74934,0
2023-03-13 20:26:00,0,0,0,73887,73887,0
2023-03-13 20:28:00,0,0,0,107338,107338,0
2023-03-13 20:30:00,0,0,0,39094,39094,0
2023-03-13 20:32:00,0,0,0,129616,129616,0
2023-03-13 20:34:00,0,0,0,97459,97459,0
2023-03-13 20:36:00,0,0,0,76254,76254,0
2023-03-13 20:38:00,0,0,0,110865,110865,0
2023-03-13 20:40:00,0,0,0,44669,44669,0
2023-03-13 20:42:00,0,0,0,102423,102423,0
2023-03-13 20:44:00,0,0,0,71953,81397,0
2023-03-13 20:46:00,0,0,0,86897,86897,0
2023-03-13 20:48:00,0,0,0,105904,105904,0
2023-03-13 20:50:00,0,0,0,42394,42394,0
2023-03-13 20:52:00,0,0,0,101353,101353,0
2023-03-13 20:54:00,0,0,0,72067,72067,0
2023-03-13 20:56:00,0,0,0,75025,75025,0
2023-03-13 20:58:00,0,0,0,105791,105791,0
2023-03-13 21:00:00,0,0,0,40437,40437,0
2023-03-13 21:02:00,0,0,0,149458,149458,0
2023-03-13 21:04:00,0,0,0,119831,119831,0
2023-03-13 21:06:00,0,0,0,60598,60598,0
2023-03-13 21:08:00,0,0,0,104789,104789,0
2023-03-13 21:10:00,0,0,0,42371,42371,0
2023-03-13 21:12:00,0,0,0,102468,102468,0
2023-03-13 21:14:00,0,0,0,66686,66686,0
2023-03-13 21:16:00,0,0,0,76117,76117,0
2023-03-13 21:18:00,0,0,0,109727,109727,0
2023-03-13 21:20:00,0,0,0,41074,41074,0
2023-03-13 21:22:00,0,0,0,98304,98304,0
2023-03-13 21:24:00,0,0,0,69086,69086,0
2023-03-13 21:26:00,0,0,0,70702,70702,0
2023-03-13 21:28:00,0,0,0,222640,222640,0
2023-03-13 21:30:00,0,0,0,41825,41825,0
2023-03-13 21:32:00,0,0,0,130094,130094,0
2023-03-13 21:34:00,0,0,0,96370,96370,0
2023-03-13 21:36:00,0,0,0,73205,73205,0
2023-03-13 21:38:00,0,0,0,106633,106633,0
2023-03-13 21:40:00,0,0,0,42818,42818,0
2023-03-13 21:42:00,0,0,0,129570,129570,0
2023-03-13 21:44:00,0,0,0,98281,98281,0
2023-03-13 21:46:00,0,0,0,69177,69177,0
2023-03-13 21:48:00,0,0,0,105904,105904,0
2023-03-13 21:50:00,0,0,0,38775,38775,0
2023-03-13 21:52:00,0,0,0,100033,100033,0
2023-03-13 21:54:00,0,0,0,81806,81806,0
2023-03-13 21:56:00,0,0,0,76368,76368,0
2023-03-13 21:58:00,0,0,0,111753,111753,0
2023-03-13 22:00:00,0,0,0,43600,43600,0
2023-03-13 22:02:00,0,0,0,297097,297097,0
2023-03-13 22:04:00,0,0,0,75435,75435,0
2023-03-13 22:06:00,0,0,0,72818,72818,0
2023-03-13 22:08:00,0,0,0,106337,106337,0
2023-03-13 22:10:00,0,0,0,39686,39686,0
2023-03-13 22:12:00,0,0,0,102332,102332,0
2023-03-13 22:14:00,0,0,0,70155,70155,0
2023-03-13 22:16:00,0,0,0,71817,71817,0
2023-03-13 22:18:00,0,0,0,131254,131254,0
2023-03-13 22:20:00,0,0,0,38389,38389,0
2023-03-13 22:22:00,364,364,0,104696,104696,0
2023-03-13 22:24:00,0,0,0,70570,70570,0
2023-03-13 22:26:00,0,0,0,68130,68130,0
2023-03-13 22:28:00,0,0,0,103424,103424,0
2023-03-13 22:30:00,0,0,0,39458,39458,0
2023-03-13 22:32:00,0,0,0,122539,122539,0
2023-03-13 22:34:00,0,0,0,97030,97030,0
2023-03-13 22:36:00,0,0,0,74957,74957,0
2023-03-13 22:38:00,0,0,0,104357,104357,0
2023-03-13 22:40:00,0,0,0,46945,46945,0
2023-03-13 22:42:00,0,0,0,107315,107315,0
2023-03-13 22:44:00,0,0,0,72841,72841,0
2023-03-13 22:46:00,0,0,0,69450,69450,0
2023-03-13 22:48:00,0,0,0,106382,106382,0
2023-03-13 22:50:00,0,0,0,37160,37160,0
2023-03-13 22:52:00,0,0,0,100989,100989,0
2023-03-13 22:54:00,0,0,0,73091,73091,0
2023-03-13 22:56:00,0,0,0,75344,75344,0
2023-03-13 22:58:00,0,0,0,103902,103902,0
2023-03-13 23:00:00,0,0,0,39003,39003,0
2023-03-13 23:02:00,0,0,0,153122,153122,0
2023-03-13 23:04:00,0,0,0,96051,96051,0
2023-03-13 23:06:00,182,182,0,73432,73432,0
2023-03-13 23:08:00,0,0,0,106177,106177,0
2023-03-13 23:10:00,0,0,0,45170,45170,0
2023-03-13 23:12:00,0,0,0,103219,103219,0
2023-03-13 23:14:00,0,0,0,73114,73114,0
2023-03-13 23:16:00,0,0,0,75071,75071,0
2023-03-13 23:18:00,0,0,0,106155,106155,0
2023-03-13 23:20:00,0,0,0,42530,42530,0
2023-03-13 23:22:00,0,0,0,103515,103515,0
2023-03-13 23:24:00,45.5,45.5,0,79804,79804,0
2023-03-13 23:26:00,0,0,0,72431,72431,0
2023-03-13 23:28:00,0,0,0,111684,111684,0
2023-03-13 23:30:00,0,0,0,42439,42439,0
2023-03-13 23:32:00,0,0,0,130298,130298,0
2023-03-13 23:34:00,0,0,0,95960,95960,0
2023-03-13 23:36:00,0,0,0,65445,65445,0
2023-03-13 23:38:00,0,0,0,103902,103902,0
2023-03-13 23:40:00,0,0,0,44692,44692,0
2023-03-13 23:42:00,0,0,0,127818,127818,0
2023-03-13 23:44:00,0,0,0,93616,93616,0
2023-03-13 23:46:00,0,0,0,68631,68631,0
2023-03-13 23:48:00,0,0,0,103424,103424,0
2023-03-13 23:50:00,0,0,0,38639,38639,0
2023-03-13 23:52:00,0,0,0,102582,102582,0
2023-03-13 23:54:00,0,0,0,75275,75275,0
2023-03-13 23:56:00,0,0,0,63078,63078,0
2023-03-13 23:58:00,0,0,0,103037,103037,0
2023-03-14 00:00:00,0,0,0,36045,36045,0
2023-03-14 00:02:00,8897,8897,0,750820,750820,0
2023-03-14 00:04:00,22.8,22.8,0,109363,109363,0
2023-03-14 00:06:00,22.8,22.8,0,72112,72112,0
2023-03-14 00:08:00,0,0,0,108022,108022,0
2023-03-14 00:10:00,0,0,0,35066,35066,0
2023-03-14 00:12:00,0,0,0,102741,102741,0
2023-03-14 00:14:00,0,0,0,86630,86630,0
2023-03-14 00:16:00,4324,4324,0,82694,82694,0
2023-03-14 00:18:00,0,0,0,105563,105563,0
2023-03-14 00:20:00,0,0,0,37433,37433,0
2023-03-14 00:22:00,0,0,0,101012,101012,0
2023-03-14 00:24:00,0,0,0,82830,82830,0
2023-03-14 00:26:00,0,0,0,61372,61372,0
2023-03-14 00:28:00,0,0,0,104858,104858,0
2023-03-14 00:30:00,0,0,0,42530,42530,0
2023-03-14 00:32:00,0,0,0,125178,125178,0
2023-03-14 00:34:00,0,0,0,105358,105358,0
2023-03-14 00:36:00,0,0,0,64808,64808,0
2023-03-14 00:38:00,0,0,0,107725,107725,0
2023-03-14 00:40:00,0,0,0,40474,40474,0
2023-03-14 00:42:00,0,0,0,105313,105313,0
2023-03-14 00:44:00,0,0,0,82079,82079,0
2023-03-14 00:46:00,0,0,0,59142,59142,0
2023-03-14 00:48:00,0,0,0,101968,101968,0
2023-03-14 00:50:00,0,0,0,41392,41392,0
2023-03-14 00:52:00,0,0,0,104994,104994,0
2023-03-14 00:54:00,15019,15019,0,1295565,1295565,0
2023-03-14 00:56:00,15019,15019,0,1273151,1273151,0
2023-03-14 00:58:00,0,0,0,111047,111047,0
2023-03-14 01:00:00,0,0,0,47423,47423,0
2023-03-14 01:02:00,0,0,0,153602,153602,0
2023-03-14 01:04:00,0,0,0,130913,130913,0
2023-03-14 01:06:00,0,0,0,64216,64216,0
2023-03-14 01:08:00,0,0,0,106678,106678,0
2023-03-14 01:10:00,0,0,0,47627,47627,0
2023-03-14 01:12:00,0,0,0,103356,103356,0
2023-03-14 01:14:00,0,0,0,80697,80697,0
2023-03-14 01:16:00,0,0,0,63784,63784,0
2023-03-14 01:18:00,0,0,0,106837,106837,0
2023-03-14 01:20:00,0,0,0,40869,40869,0
2023-03-14 01:22:00,0,0,0,103401,103401,0
2023-03-14 01:24:00,0,0,0,87086,87086,0
2023-03-14 01:26:00,0,0,0,66742,66742,0
2023-03-14 01:28:00,0,0,0,104494,104494,0
2023-03-14 01:30:00,0,0,0,36636,36636,0
2023-03-14 01:32:00,0,0,0,125178,125178,0
2023-03-14 01:34:00,0,0,0,105518,105518,0
2023-03-14 01:36:00,0,0,0,60735,60735,0
2023-03-14 01:38:00,0,0,0,105426,105426,0
2023-03-14 01:40:00,0,0,0,40801,40801,0
2023-03-14 01:42:00,0,0,0,126794,126794,0
2023-03-14 01:44:00,0,0,0,106974,106974,0
2023-03-14 01:46:00,0,0,0,63532,63532,0
2023-03-14 01:48:00,0,0,0,110729,110729,0
2023-03-14 01:50:00,22.8,22.8,0,42985,42985,0
2023-03-14 01:52:00,0,0,0,104107,104107,0
2023-03-14 01:54:00,0,0,0,82580,82580,0
2023-03-14 01:56:00,0,0,0,67743,67743,0
2023-03-14 01:58:00,0,0,0,109545,109545,0
2023-03-14 02:00:00,0,0,0,42758,42758,0
2023-03-14 02:02:00,0,0,0,293569,293569,0
2023-03-14 02:04:00,0,0,0,84218,84218,0
2023-03-14 02:06:00,0,0,0,60393,60393,0
2023-03-14 02:08:00,0,0,0,105927,105927,0
2023-03-14 02:10:00,0,0,0,42098,42098,0
2023-03-14 02:12:00,0,0,0,102286,102286,0
2023-03-14 02:14:00,0,0,0,81897,81897,0
2023-03-14 02:16:00,0,0,0,62487,62487,0
2023-03-14 02:18:00,0,0,0,129115,129115,0
2023-03-14 02:20:00,0,0,0,47036,47036,0
2023-03-14 02:22:00,0,0,0,105563,105563,0
2023-03-14 02:24:00,0,0,0,79918,79918,0
2023-03-14 02:26:00,0,0,0,63511,63511,0
2023-03-14 02:28:00,0,0,0,109864,109864,0
2023-03-14 02:30:00,0,0,0,39799,39799,0
2023-03-14 02:32:00,0,0,0,121879,121879,0
2023-03-14 02:34:00,0,0,0,108817,108817,0
2023-03-14 02:36:00,0,0,0,64512,64512,0
2023-03-14 02:38:00,0,0,0,106519,106519,0
2023-03-14 02:40:00,0,0,0,42621,42621,0
2023-03-14 02:42:00,0,0,0,102514,102514,0
2023-03-14 02:44:00,0,0,0,84240,84240,0
2023-03-14 02:46:00,0,0,0,62396,62396,0
2023-03-14 02:48:00,0,0,0,104858,104858,0
2023-03-14 02:50:00,0,0,0,41938,41938,0
2023-03-14 02:52:00,0,0,0,100944,100944,0
2023-03-14 02:54:00,0,0,0,82487,82487,0
2023-03-14 02:56:00,0,0,0,63488,63488,0
2023-03-14 02:58:00,0,0,0,110774,110774,0
2023-03-14 03:00:00,0,0,0,43850,43850,0
2023-03-14 03:02:00,0,0,0,150141,150141,0
2023-03-14 03:04:00,0,0,0,128910,128910,0
2023-03-14 03:06:00,0,0,0,64580,64580,0
2023-03-14 03:08:00,0,0,0,108544,108544,0
2023-03-14 03:10:00,728,728,0,43463,43463,0
2023-03-14 03:12:00,0,0,0,108316,108316,0
2023-03-14 03:14:00,0,0,0,81419,81419,0
2023-03-14 03:16:00,0,0,0,65308,65308,0
2023-03-14 03:18:00,0,0,0,105426,105426,0
2023-03-14 03:20:00,0,0,0,40937,40937,0
2023-03-14 03:22:00,0,0,0,102241,102241,0
2023-03-14 03:24:00,0,0,0,80668,80668,0
2023-03-14 03:26:00,0,0,0,65172,65172,0
2023-03-14 03:28:00,0,0,0,111343,111343,0
2023-03-14 03:30:00,0,0,0,43842,43842,0
2023-03-14 03:32:00,0,0,0,130071,130071,0
2023-03-14 03:34:00,0,0,0,124132,124132,0
2023-03-14 03:36:00,137,137,0,76959,76959,0
2023-03-14 03:38:00,137,137,0,108521,108521,0
2023-03-14 03:40:00,0,0,0,43759,43759,0
2023-03-14 03:42:00,0,0,0,124609,124609,0
2023-03-14 03:44:00,0,0,0,102832,102832,0
2023-03-14 03:46:00,0,0,0,61713,61713,0
2023-03-14 03:48:00,0,0,0,103196,103196,0
2023-03-14 03:50:00,0,0,0,41256,41256,0
2023-03-14 03:52:00,0,0,0,102218,102218,0
2023-03-14 03:54:00,45.5,45.5,0,79508,79508,0
2023-03-14 03:56:00,45.5,45.5,0,66355,66355,0
2023-03-14 03:58:00,0,0,0,109591,109591,0
2023-03-14 04:00:00,0,0,0,41142,41142,0
2023-03-14 04:02:00,0,0,0,284498,284498,0
2023-03-14 04:04:00,0,0,0,83968,83968,0
2023-03-14 04:06:00,0,0,0,72476,72476,0
2023-03-14 04:08:00,0,0,0,112686,112686,0
2023-03-14 04:10:00,0,0,0,49539,49539,0
2023-03-14 04:12:00,0,0,0,102946,102946,0
2023-03-14 04:14:00,0,0,0,70838,70838,0
2023-03-14 04:16:00,0,0,0,73819,73819,0
2023-03-14 04:18:00,0,0,0,128455,128455,0
2023-03-14 04:20:00,0,0,0,41734,41734,0
2023-03-14 04:22:00,0,0,0,103856,103856,0
2023-03-14 04:24:00,0,0,0,75935,75935,0
2023-03-14 04:26:00,0,0,0,79462,79462,0
2023-03-14 04:28:00,0,0,0,108908,108908,0
2023-03-14 04:30:00,0,0,0,43645,43645,0
2023-03-14 04:32:00,728,728,0,130935,130935,0
2023-03-14 04:34:00,728,728,0,93798,93798,0
2023-03-14 04:36:00,0,0,0,76201,76201,0
2023-03-14 04:38:00,0,0,0,110091,110091,0
2023-03-14 04:40:00,0,0,0,39413,39413,0
2023-03-14 04:42:00,0,0,0,102673,102673,0
2023-03-14 04:44:00,0,0,0,69313,69313,0
2023-03-14 04:46:00,0,0,0,73682,73682,0
2023-03-14 04:48:00,0,0,0,106587,106587,0
2023-03-14 04:50:00,0,0,0,44760,44760,0
2023-03-14 04:52:00,0,0,0,101330,101330,0
2023-03-14 04:54:00,0,0,0,74320,74320,0
2023-03-14 04:56:00,0,0,0,77938,77938,0
2023-03-14 04:58:00,0,0,0,110956,110956,0
2023-03-14 05:00:00,68.3,68.3,0,45443,45443,0
