"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc00b02f3908fd)","Transmit Total (lxc0e2771075e46)","Transmit Total (lxc1e2a40cae5f0)","Transmit Total (lxc1eee36049311)","Transmit Total (lxc1f8ee7cb496e)","Transmit Total (lxc20efeaa95647)","Transmit Total (lxc29fde128c3be)","Transmit Total (lxc3a8168be8fb2)","Transmit Total (lxc4c9782567f15)","Transmit Total (lxc4e6897478d09)","Transmit Total (lxc51cdd8ff1bad)","Transmit Total (lxc75a8ec1f1cf4)","Transmit Total (lxc798052b5689f)","Transmit Total (lxc878bb64d0384)","Transmit Total (lxc8ab2ea2d4458)","Transmit Total (lxc9b65d3feae75)","Transmit Total (lxc9f89014ebd36)","Transmit Total (lxc_health)","Transmit Total (lxca09c7476b2bb)","Transmit Total (lxca7dd72a275da)","Transmit Total (lxcacf2089d5184)","Transmit Total (lxcbd375acf295f)","Transmit Total (lxcc9469532d43c)","Transmit Total (lxcd07ed415f195)","Transmit Total (lxce2678e98ee06)","Transmit Total (lxce7062d29f75b)","Transmit Total (lxce7c28d678a8f)","Transmit Total (lxcfc36a1177bf4)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc00b02f3908fd)","Receive Total (lxc0e2771075e46)","Receive Total (lxc1e2a40cae5f0)","Receive Total (lxc1eee36049311)","Receive Total (lxc1f8ee7cb496e)","Receive Total (lxc20efeaa95647)","Receive Total (lxc29fde128c3be)","Receive Total (lxc3a8168be8fb2)","Receive Total (lxc4c9782567f15)","Receive Total (lxc4e6897478d09)","Receive Total (lxc51cdd8ff1bad)","Receive Total (lxc75a8ec1f1cf4)","Receive Total (lxc798052b5689f)","Receive Total (lxc878bb64d0384)","Receive Total (lxc8ab2ea2d4458)","Receive Total (lxc9b65d3feae75)","Receive Total (lxc9f89014ebd36)","Receive Total (lxc_health)","Receive Total (lxca09c7476b2bb)","Receive Total (lxca7dd72a275da)","Receive Total (lxcacf2089d5184)","Receive Total (lxcbd375acf295f)","Receive Total (lxcc9469532d43c)","Receive Total (lxcd07ed415f195)","Receive Total (lxce2678e98ee06)","Receive Total (lxce7062d29f75b)","Receive Total (lxce7c28d678a8f)","Receive Total (lxcfc36a1177bf4)"
2023-03-13 12:20:00,0,74.9,16887,50507,269,0,11229,4367,4424,0,666,1813,122,0,124,303,32.1,468,67236,4.13,0,32.3,66.1,65.4,0,105,0.600,120,20309,304,2614,221,74.9,0,20739,118350,269,0,3225,1428,1414,0,94.1,168,20.9,0,20.9,381,21.6,261,2499,4.27,0.389,26.2,41,41.4,0,235,0.600,20.9,13488,440,1295,214
2023-03-13 12:22:00,0,81.1,15092,49042,269,0,16671,4779,4482,0,1727,1887,122,0,124,307,32.9,468,67312,4.52,0,32.3,66.9,66.1,0,117,0.389,110,29032,305,2585,225,81.1,0,29453,134903,270,0,3458,1513,1411,0,104,190,20.9,0,20.9,378,22.5,261,2508,4.27,0,26.2,41.5,42.1,0,246,0,19,11710,439,1281,225
2023-03-13 12:24:00,0,79.6,14041,48158,269,0,12210,4797,4565,0,1900,1963,122,0,124,308,30.7,468,67358,4.13,0,32.3,66.9,65.7,0,118,38.0,121,20167,505,2582,228,79.6,0,20836,121652,269,0,3634,1507,1442,0,105,213,20.9,0,20.9,377,19.7,261,2505,4.27,0,26.2,41.1,40.6,0.389,245,35.0,20.9,10482,584,1277,229
2023-03-13 12:26:00,0,76.7,15376,48981,269,0,14040,4390,4359,0,1682,1758,128,0,129,303,33.6,466,67190,4.13,0,32.3,65.7,65.7,0,104,38.0,121,28751,501,2613,220,76.7,0,29395,131326,269,0,3097,1441,1432,0,99.7,212,21.9,0,21.9,381,22.4,260,2509,4.27,0,26.2,40.3,41.0,0,231,35.0,20.9,11832,587,1294,215
2023-03-13 12:28:00,0,81.1,15335,49933,270,0,15513,4714,28160,0,288,1957,122,0,124,305,32.2,467,67392,4.13,0,32.3,65.7,65.7,0,187,0,126,18999,303,2586,219,81.1,0,19478,146186,270,0,3699,1467,1895,0,75.7,182,20.9,0,20.9,380,20.6,260,2515,4.27,0,26.2,40.3,41.7,0,261,0,21.9,11924,441,1282,213
2023-03-13 12:30:00,0,82.9,13131,46911,269,0,11179,4354,28029,0,149,1821,133,0,135,309,32.1,470,67251,4.13,0,32.3,66.1,66.5,0,106,0.600,132,20160,306,2585,225,82.9,0,20617,141887,269,0,3189,1423,1882,0,76.6,181,22.8,0,22.8,375,21.6,262,2482,4.27,0,26.2,41,41.8,0,235,0.600,22.8,9720,440,1280,225
2023-03-13 12:32:00,0,82.6,14453,48316,270,0,15089,4764,4519,0,221,1905,127,0,123,307,32.1,467,67312,4.13,0,32.3,66.1,66.1,0,103,0,121,23021,305,2613,225,82.6,0,23456,125225,270,0,3540,1485,1423,0,72.8,189,21.9,0,20.9,377,21.6,261,2503,4.27,0,26.2,41,41,0,231,0,20.9,11062,441,1293,225
2023-03-13 12:34:00,0,81.1,14681,48657,270,0,12087,4691,4525,0,291,1951,122,0,118,307,31.5,468,67414,4.13,0,32.0,66.1,66.1,0,103,0.367,137,20209,303,2584,221,81.1,0,20645,119493,270,0,3623,1454,1407,0,82.8,206,20.9,0,20.0,378,20.5,261,2517,4.27,0,26.0,41,42.1,0,231,0.367,23.8,11298,441,1279,215
2023-03-13 12:36:00,0,75.2,15770,49275,269,0,15577,4317,4307,0,82.3,1733,133,0,135,309,32.5,469,67197,4.13,0,32.0,66.1,67.0,0,104,38.0,137,27179,506,2585,223,75.2,0,27831,129481,269,0,3080,1405,1410,0,82.9,185,22.8,0,22.8,376,21.6,262,2501,4.27,0,25.5,41,41.9,0,230,35.0,23.8,12217,585,1281,219
2023-03-13 12:38:00,0,81.8,15913,50261,270,0,17338,4827,6667,0,288,1971,133,0,135,306,33.9,468,67341,4.13,0,32.0,66.1,66.1,0,191,0,126,17505,305,2613,226,81.8,0,17975,124540,270,0,3762,1502,1520,0,75.0,192,22.8,0,22.8,378,23.4,261,2486,4.27,0,25.5,41,40.7,0,262,0,21.9,12507,439,1293,221
