"Time","10250/TCP","3000/TCP","443/TCP","53/UDP","6443/TCP","80/TCP","8079/TCP","8080/TCP","8181/TCP","8443/TCP","8500/TCP","9093/TCP","9443/TCP"
2023-03-21 20:30:00,3.36,,1.52,,6.04,9.16,3.26,2.52,2.06,,5.18,1.80,1.66
2023-03-21 20:32:00,3.30,,1.52,,6.10,9.32,3.28,2.50,2,,5.20,1.74,1.64
2023-03-21 20:34:00,3.36,1.56,,,6.14,9.14,3.34,2.50,2.08,,5.20,1.74,1.68
2023-03-21 20:36:00,3.58,,1.90,1.92,6.26,8.98,3.32,2.52,2.16,,5.18,1.80,
2023-03-21 20:38:00,3.42,,1.68,,6.08,8.66,3.32,2.60,2.04,,5.18,1.82,1.70
2023-03-21 20:40:00,3.36,,1.52,,6.06,8.76,3.26,2.52,2.12,,5.20,1.76,1.68
2023-03-21 20:42:00,3.44,,1.52,,6.38,9.08,3.38,2.56,2.06,,5.22,1.72,1.70
2023-03-21 20:44:00,3.40,,1.58,,6.46,8.96,3.30,2.58,2.06,,5.22,1.78,1.66
2023-03-21 20:46:00,3.54,,2.06,,6.50,8.54,3.30,2.56,2.10,,5.18,1.72,1.68
2023-03-21 20:48:00,3.44,,1.68,,6.30,8.98,3.34,2.52,2.08,,5.16,1.82,1.68
2023-03-21 20:50:00,3.36,,1.52,,6.22,8.72,3.38,2.56,2.14,,5.18,1.72,1.66
2023-03-21 20:52:00,3.34,,,,6.30,11.7,3.50,2.56,2.24,140,5.16,1.80,1.70
2023-03-21 20:54:00,3.36,,,,6.12,13.8,3.20,2.54,2.06,5.42,5.22,1.72,1.68
2023-03-21 20:56:00,3.42,,1.88,,6.42,9.04,3.34,2.58,2.10,,5.26,1.78,1.66
2023-03-21 20:58:00,3.44,,1.68,,6.06,9.34,3.20,2.52,2.04,,5.18,1.76,1.68
2023-03-21 21:00:00,3.26,,1.52,,6.12,9.30,3.08,2.56,2.10,,5.22,1.76,1.66
2023-03-21 21:02:00,3.48,,1.52,,6.34,9.24,3.20,2.58,2.06,,5.24,1.68,1.70
2023-03-21 21:04:00,3.32,,,,6.18,16.1,3.28,2.58,2.04,16.6,5.20,1.66,1.68
2023-03-21 21:06:00,3.46,,1.88,1.82,6.52,9.22,3.18,2.50,2.04,,5.22,1.78,
2023-03-21 21:08:00,3.32,,1.68,,6.18,8.90,3.20,2.52,2.10,,5.16,1.76,1.68
2023-03-21 21:10:00,3.30,,1.52,,6.20,9.18,3.20,2.56,1.86,,5.20,1.70,1.68
2023-03-21 21:12:00,3.44,,1.60,,6.20,9.20,3.26,2.60,1.98,,5.22,1.70,1.70
2023-03-21 21:14:00,3.32,,,,6.14,15.8,3.32,2.52,2.10,33.6,5.16,1.80,1.70
2023-03-21 21:16:00,3.46,,1.88,,6.24,8.92,3.30,2.56,2.02,,5.24,1.66,1.68
2023-03-21 21:18:00,3.30,,1.72,,6.12,9.24,3.38,2.60,2.18,,5.22,1.78,1.66
2023-03-21 21:20:00,3.34,,1.52,,6.16,9.14,3.22,2.54,2.10,,5.20,1.66,1.68
2023-03-21 21:22:00,3.44,,1.52,,6.22,8.60,3.34,2.56,2,,5.10,1.78,1.66
2023-03-21 21:24:00,3.32,,,,6.24,16.4,3.36,2.58,2.12,49.0,5.22,1.78,1.68
2023-03-21 21:26:00,3.60,,1.88,,6.18,9.08,3.30,2.54,2.14,,5.16,1.78,1.76
2023-03-21 21:28:00,3.44,,1.68,,6.12,8.82,3.32,2.58,2.20,,5.18,1.84,1.68
2023-03-21 21:30:00,3.40,,1.52,,6.02,8.92,3.34,2.54,2.20,,5.16,1.68,1.68
2023-03-21 21:32:00,3.32,1.52,,,6.08,8.88,3.28,2.54,2.14,,5.16,1.74,1.68
2023-03-21 21:34:00,3.32,,,,6.22,15.8,3.42,2.54,2.24,64.3,5.16,1.64,1.68
2023-03-21 21:36:00,3.22,,1.88,,6.14,8.70,3.20,2.62,2.04,,5.22,1.72,1.74
2023-03-21 21:38:00,3.30,,1.68,,6.18,8.76,3.20,2.70,2.12,,5.06,1.68,1.68
2023-03-21 21:40:00,3.28,,1.52,,6.08,8.62,3.18,2.62,2.12,,5.20,1.62,1.66
2023-03-21 21:42:00,3.38,,1.52,,6.30,8.98,3.20,2.52,2.10,,5.16,1.80,1.66
2023-03-21 21:44:00,3.24,,,,6,8.62,3.38,2.62,2.18,143,5.18,1.70,1.68
2023-03-21 21:46:00,3.44,,2.06,2.18,6.26,17.8,3.38,2.52,2.18,128,5.18,,
2023-03-21 21:48:00,3.40,,1.68,,6.14,8.32,3.24,2.46,2.06,,5.08,1.66,1.68
2023-03-21 21:50:00,3.30,1.54,,,5.96,8.80,3.32,2.54,2.04,,5.16,1.64,1.66
2023-03-21 21:52:00,3.48,,1.52,,6.26,9.34,3.32,2.56,2.08,,5.22,1.80,1.68
2023-03-21 21:54:00,3.40,,1.52,,6.10,9.52,3.32,2.60,2.12,,5.24,1.80,1.68
2023-03-21 21:56:00,3.62,,1.88,1.82,6.36,11.5,3.26,2.54,2.10,93.5,5.18,,
2023-03-21 21:58:00,3.40,,1.68,,6.26,9.44,3.30,2.52,2.14,,5.22,1.76,1.68
2023-03-21 22:00:00,3.36,,1.52,,5.94,9.48,3.24,2.58,2.12,,5.22,1.74,1.68
2023-03-21 22:02:00,3.42,,1.52,,6.28,9.10,3.30,2.60,2.12,,5.22,1.80,1.74
2023-03-21 22:04:00,3.10,,1.52,,6.18,9.14,3.28,2.54,2.14,,5.14,1.78,1.68
2023-03-21 22:06:00,3.42,,1.88,,6.18,8.96,3.50,2.48,2.12,78.6,5.16,1.76,
2023-03-21 22:08:00,3.32,,1.68,,6,9.28,3.28,2.54,2.06,,5.22,1.70,1.68
2023-03-21 22:10:00,3.36,,1.52,,6.04,9.20,3.24,2.54,2.04,,5.20,1.82,1.68
2023-03-21 22:12:00,3.40,,1.60,,6.22,8.90,3.26,2.54,2.20,,5.20,1.78,1.74
2023-03-21 22:14:00,3.36,,1.52,,6.04,9,3.12,2.50,2.12,,5.22,1.80,1.68
2023-03-21 22:16:00,3.50,,1.88,,6.34,9.08,3.40,2.52,2.14,62.9,5.24,1.80,
2023-03-21 22:18:00,3.42,,1.68,,6.20,9.22,3.22,2.62,2,,5.24,1.74,1.68
2023-03-21 22:20:00,3.36,,1.52,,6.08,9.28,3.34,2.56,2.06,,5.22,1.80,1.66
2023-03-21 22:22:00,3.20,,1.52,,6.10,9.20,3.12,2.48,2.16,,5.10,1.66,1.68
2023-03-21 22:24:00,3.30,,1.52,,6.06,9.06,3.14,2.50,2.08,,5.14,1.76,1.68
2023-03-21 22:26:00,3.46,,1.88,,6.20,8.94,3.26,2.58,2.18,48.0,5.22,1.72,
2023-03-21 22:28:00,3.18,,1.68,,6,9.20,3.42,2.50,2.06,,5.20,1.72,1.68
2023-03-21 22:30:00,3.44,1.56,,,6.02,9.06,3.28,2.48,2.12,,5.14,1.76,1.70
2023-03-21 22:32:00,3.42,,1.52,,6.28,9.14,3.30,2.54,2.06,,5.16,1.74,1.68
2023-03-21 22:34:00,3.36,,1.52,,5.96,9.02,3.24,2.54,2.18,,5.12,1.80,1.66
2023-03-21 22:36:00,3.46,,1.88,,6.18,8.78,3.32,2.58,2.08,32.8,5.16,,1.68
2023-03-21 22:38:00,3.34,,1.68,,6,9.02,3.32,2.52,2.12,,5.16,1.82,1.66
2023-03-21 22:40:00,3.42,,1.52,,6.04,9.02,3.32,2.60,2.12,,5.22,1.72,1.68
