"Time","to-endpoint","to-overlay","to-stack"
2023-03-22 00:44:00,48.3,9.92,27.4
2023-03-22 00:46:00,50.5,11.5,28.2
2023-03-22 00:48:00,99.8,126,27.6
2023-03-22 00:50:00,113,124,27.2
2023-03-22 00:52:00,48.2,11.8,27.3
2023-03-22 00:54:00,47.3,10.1,27.0
2023-03-22 00:56:00,50.0,11.8,27.8
2023-03-22 00:58:00,48.4,9.58,27.4
2023-03-22 01:00:00,81.2,91.5,27.1
2023-03-22 01:02:00,48.5,11.8,27.4
2023-03-22 01:04:00,48.0,11.3,27.4
2023-03-22 01:06:00,50.0,12.2,27.9
2023-03-22 01:08:00,48.1,10.1,27.3
2023-03-22 01:10:00,73.8,80.4,27.0
2023-03-22 01:12:00,48.5,12.1,27.3
2023-03-22 01:14:00,47.2,10.1,27
2023-03-22 01:16:00,49.7,11.5,27.6
2023-03-22 01:18:00,48.2,9.98,27.4
2023-03-22 01:20:00,68.6,69.4,27.0
2023-03-22 01:22:00,48.1,10.3,27.2
2023-03-22 01:24:00,47.7,10.7,27
2023-03-22 01:26:00,49.6,12.1,27.5
2023-03-22 01:28:00,47.9,9.90,27.4
2023-03-22 01:30:00,62.4,58.0,26.9
2023-03-22 01:32:00,47.9,10.8,27.0
2023-03-22 01:34:00,47.0,10.9,27
2023-03-22 01:36:00,49.7,11.4,27.8
2023-03-22 01:38:00,48.0,10.2,27.4
2023-03-22 01:40:00,58.3,45.5,27.4
2023-03-22 01:42:00,48.0,10.2,27.3
2023-03-22 01:44:00,48.6,12.4,27.6
2023-03-22 01:46:00,50.3,11.8,28.0
2023-03-22 01:48:00,48.6,11.0,27.5
2023-03-22 01:50:00,52.9,35.6,27.3
2023-03-22 01:52:00,103,129,27.1
2023-03-22 01:54:00,48.7,9.74,27.5
2023-03-22 01:56:00,49.6,12,27.5
2023-03-22 01:58:00,48.1,10.5,27.3
2023-03-22 02:00:00,47.8,10.7,27.0
2023-03-22 02:02:00,47.2,10.3,26.9
2023-03-22 02:04:00,47.6,11.4,27.2
2023-03-22 02:06:00,49.7,15.5,28
2023-03-22 02:08:00,48.7,11.0,27.7
2023-03-22 02:10:00,48.4,14.1,27.3
2023-03-22 02:12:00,48.5,9.94,27.5
2023-03-22 02:14:00,48.3,10.6,27.1
2023-03-22 02:16:00,49.5,12.2,27.6
2023-03-22 02:18:00,48.9,11.0,27.6
2023-03-22 02:20:00,48,10.7,27.3
2023-03-22 02:22:00,48.5,9.80,27.3
2023-03-22 02:24:00,48.4,11.5,27.4
2023-03-22 02:26:00,49.5,12.3,27.7
2023-03-22 02:28:00,48.3,9.56,27.4
2023-03-22 02:30:00,47.6,11.7,27.1
2023-03-22 02:32:00,48.2,10.3,27.1
2023-03-22 02:34:00,48.2,11.4,27.2
2023-03-22 02:36:00,49.4,12.2,27.6
2023-03-22 02:38:00,48.4,10.7,27.3
2023-03-22 02:40:00,47.8,9.68,27.2
2023-03-22 02:42:00,48.3,10.1,27.3
2023-03-22 02:44:00,53.0,14.5,27.2
2023-03-22 02:46:00,49.6,12.0,27.9
2023-03-22 02:48:00,48.7,10.6,27.5
2023-03-22 02:50:00,48.2,9.80,27.4
2023-03-22 02:52:00,48.2,10.6,27.3
2023-03-22 02:54:00,58.6,16.5,27.1
2023-03-22 02:56:00,50,11.8,27.7
2023-03-22 02:58:00,48.5,11.5,27.3
2023-03-22 03:00:00,47.8,10.2,27.2
2023-03-22 03:02:00,48.2,10.9,27.2
2023-03-22 03:04:00,65.0,23.3,27.2
2023-03-22 03:06:00,49.8,12.4,27.8
2023-03-22 03:08:00,48.3,11.1,27.4
2023-03-22 03:10:00,47.4,11.2,27.1
2023-03-22 03:12:00,47.6,10.2,27.0
2023-03-22 03:14:00,69.2,34.0,26.8
2023-03-22 03:16:00,49.0,12.4,27
2023-03-22 03:18:00,48.5,10.1,27.5
