"Time","cattle-monitoring-system","cattle-system","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-11 11:36:00,16924,115121,15805,0,0,0,8197
2023-03-11 11:40:00,13995,110508,15488,0,0,0,7838
2023-03-11 11:44:00,12974,115831,32517,0,0,0,7709
2023-03-11 11:48:00,15631,2068,15825,0,0,0,8117
2023-03-11 11:52:00,14696,110041,15423,0,0,0,7572
2023-03-11 11:56:00,13522,104177,15348,0,0,0,8274
2023-03-11 12:00:00,14514,113627,15977,0,0,0,7599
2023-03-11 12:04:00,235377,113414,149293,0,0,0,8254
2023-03-11 12:08:00,15872,2102,15515,0,0,0,7932
2023-03-11 12:12:00,16684,111777,15994,0,0,0,7712
2023-03-11 12:16:00,15094,113495,33218,0,0,0,7934
2023-03-11 12:20:00,14162,110957,15477,0,0,0,7986
2023-03-11 12:24:00,15497,106537,15950,0,0,0,7847
2023-03-11 12:28:00,16490,31963,15372,0,0,0,8014
2023-03-11 12:32:00,17719,89617,33316,0,0,0,7737
2023-03-11 12:36:00,16489,114421,15724,0,0,0,7933
2023-03-11 12:40:00,17349,112702,15785,0,0,0,7956
2023-03-11 12:44:00,16840,104392,15593,0,0,0,7609
2023-03-11 12:48:00,17064,32717,15716,0,0,0,8339
2023-03-11 12:52:00,16304,92633,15467,0,0,0,7596
2023-03-11 12:56:00,16951,101142,15960,0,0,0,7893
2023-03-11 13:00:00,16870,116711,15670,0,0,0,7854
2023-03-11 13:04:00,121583,111830,49739,0,0,0,7649
2023-03-11 13:08:00,16820,40703,16131,0,0,0,8460
2023-03-11 13:12:00,16354,93995,15546,0,0,0,7827
2023-03-11 13:16:00,16663,110811,15364,0,0,0,7813
2023-03-11 13:20:00,17283,114390,15821,0,0,0,7857
2023-03-11 13:24:00,16455,114983,15615,0,0,0,7905
2023-03-11 13:28:00,16860,23716,15662,0,0,0,8150
2023-03-11 13:32:00,16812,89979,32212,0,0,0,7596
2023-03-11 13:36:00,16026,115312,15658,0,0,0,7924
2023-03-11 13:40:00,17141,112767,15718,0,0,0,8019
2023-03-11 13:44:00,14637,105047,33723,0,0,0,7842
2023-03-11 13:48:00,16939,10556,15806,0,0,0,8098
2023-03-11 13:52:00,16595,113372,15546,0,0,0,7755
2023-03-11 13:56:00,16334,109902,15853,0,0,0,7878
2023-03-11 14:00:00,16602,117835,15440,0,0,0,8141
2023-03-11 14:04:00,258814,102702,151441,0,0,0,7573
2023-03-11 14:08:00,17452,31890,15730,0,0,0,8145
2023-03-11 14:12:00,15599,90344,15391,0,0,0,7731
2023-03-11 14:16:00,15820,114385,33585,0,0,0,8320
2023-03-11 14:20:00,16625,112638,15461,0,0,0,7863
2023-03-11 14:24:00,16378,112094,15949,0,0,0,7874
2023-03-11 14:28:00,13885,24320,15812,0,0,0,8162
2023-03-11 14:32:00,14491,92342,32964,0,0,0,7685
2023-03-11 14:36:00,15386,120817,15869,0,0,0,7878
2023-03-11 14:40:00,17115,124292,15649,0,0,0,7850
2023-03-11 14:44:00,16884,106225,15475,0,0,0,7915
2023-03-11 14:48:00,16600,31454,15748,0,0,0,8239
2023-03-11 14:52:00,16474,91820,15596,0,0,0,7513
2023-03-11 14:56:00,17022,113686,15740,0,0,0,7888
2023-03-11 15:00:00,16557,115603,15658,0,0,0,8174
2023-03-11 15:04:00,122904,104354,50595,0,0,0,7921
2023-03-11 15:08:00,16695,31899,15963,0,0,0,7981
2023-03-11 15:12:00,16703,89330,15547,0,0,0,7727
2023-03-11 15:16:00,16454,114463,15684,0,0,0,7856
2023-03-11 15:20:00,17164,121153,15308,0,0,0,8054
2023-03-11 15:24:00,16785,107144,15836,0,0,0,7758
2023-03-11 15:28:00,16741,31460,15572,0,0,0,8314
2023-03-11 15:32:00,16457,90651,32601,0,0,0,7744
2023-03-11 15:36:00,16705,112903,15573,0,0,0,7519
2023-03-11 15:40:00,16519,113750,15607,0,0,0,8153
2023-03-11 15:44:00,16169,114746,33058,0,0,0,7980
2023-03-11 15:48:00,17340,23335,15923,0,0,0,8080
2023-03-11 15:52:00,15972,88312,15619,0,0,0,7683
2023-03-11 15:56:00,16909,114672,15538,0,0,0,7667
2023-03-11 16:00:00,15640,115410,15435,0,0,0,8189
2023-03-11 16:04:00,231047,111634,145775,0,0,0,7919
2023-03-11 16:08:00,16829,2116,15781,0,0,0,8163
2023-03-11 16:12:00,17581,108719,15269,0,0,0,7554
2023-03-11 16:16:00,16519,114959,33828,0,0,0,7916
2023-03-11 16:20:00,17416,111818,15755,0,0,0,7901
2023-03-11 16:24:00,17272,114978,15633,0,0,0,7893
2023-03-11 16:28:00,17235,22984,15652,0,0,0,7994
2023-03-11 16:32:00,13812,91212,34193,0,0,0,7926
2023-03-11 16:36:00,14634,113656,15643,0,0,0,7649
2023-03-11 16:40:00,13636,130283,15747,0,0,0,8127
2023-03-11 16:44:00,15402,86941,15436,0,0,0,7865
2023-03-11 16:48:00,13749,25838,15721,0,0,0,7993
2023-03-11 16:52:00,12682,96067,15542,0,0,0,7872
2023-03-11 16:56:00,14380,112953,15524,0,0,0,7563
2023-03-11 17:00:00,14949,115419,16030,0,0,0,8381
2023-03-11 17:04:00,117536,65973,50464,0,0,0,7624
2023-03-11 17:08:00,14622,17064,15727,0,0,0,8193
2023-03-11 17:12:00,13836,97408,15680,0,0,0,7698
