"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (eno1)","Transmit Total (eno2)","Transmit Total (lxc05ccf7670ce1)","Transmit Total (lxc0e7fd83429f8)","Transmit Total (lxc2f196552a250)","Transmit Total (lxc351507ccd6de)","Transmit Total (lxc35a229aa328a)","Transmit Total (lxc44cc3d42073d)","Transmit Total (lxc64e81a3910f4)","Transmit Total (lxc69dc6236bed5)","Transmit Total (lxc807ae06edaa7)","Transmit Total (lxc8b0393b43750)","Transmit Total (lxc947f9c305662)","Transmit Total (lxc9854d7c0de90)","Transmit Total (lxc9d85bc894392)","Transmit Total (lxc9e1d6b31c79c)","Transmit Total (lxc_health)","Transmit Total (lxca4e4e80fd248)","Transmit Total (lxcb43abd09557c)","Transmit Total (lxcb9f2e6c9b4a1)","Transmit Total (lxcc89cc2f546a7)","Transmit Total (lxcc91b3dc073da)","Transmit Total (lxccdce074c39ef)","Transmit Total (lxce6f41a775b41)","Transmit Total (lxcf877b9881be3)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (eno1)","Receive Total (eno2)","Receive Total (lxc05ccf7670ce1)","Receive Total (lxc0e7fd83429f8)","Receive Total (lxc2f196552a250)","Receive Total (lxc351507ccd6de)","Receive Total (lxc35a229aa328a)","Receive Total (lxc44cc3d42073d)","Receive Total (lxc64e81a3910f4)","Receive Total (lxc69dc6236bed5)","Receive Total (lxc807ae06edaa7)","Receive Total (lxc8b0393b43750)","Receive Total (lxc947f9c305662)","Receive Total (lxc9854d7c0de90)","Receive Total (lxc9d85bc894392)","Receive Total (lxc9e1d6b31c79c)","Receive Total (lxc_health)","Receive Total (lxca4e4e80fd248)","Receive Total (lxcb43abd09557c)","Receive Total (lxcb9f2e6c9b4a1)","Receive Total (lxcc89cc2f546a7)","Receive Total (lxcc91b3dc073da)","Receive Total (lxccdce074c39ef)","Receive Total (lxce6f41a775b41)","Receive Total (lxcf877b9881be3)"
2023-02-22 11:20:00,0.389,69.4,12509,31880,0,0.233,32.9,0,449,1520,66.1,1073,464,1683,143,454,37377,66.2,0.389,32.3,6981,127,17831,2553,4.66,1720,0,237,69.4,0.389,16342,42997,0,0.233,22.5,0,260,16113,41.8,1074,259,168,95.9,255,18050,41,0,26.2,1048,30.3,9561,1271,4.52,172,0,109
2023-02-22 11:22:00,0,69.4,16476,61197,0,50.1,123,0,450,1756,66.4,2483,468,2052,142,452,37424,66.4,0,32.3,7752,116,25013,2640,4.27,1995,0,14829,69.4,0,40431,89214,0,30.6,25.2,0,255,16120,41.8,2391,262,154,94.5,252,25286,41,0,26.2,1060,27.7,9952,1271,4.52,195,0,463
2023-02-22 11:24:00,0,69.4,16094,60310,0,50.1,33.1,0,446,1453,66.4,1085,469,1708,142,453,37287,66.4,0,32.3,6612,122,17301,2555,4.27,1723,0,243,69.4,0,39225,69192,0,30.6,21.3,0,251,15990,40.6,1080,262,149,94.5,253,17403,41.4,0,26.2,1036,29.0,10823,1267,4.13,176,0,105
2023-02-22 11:26:00,0,70.1,15363,34951,0,0.389,30.7,0,432,1646,66.4,2655,455,1864,143,443,37427,66.4,0,32.3,6974,116,26599,2555,4.27,1867,0,247,70.1,0,18000,44134,0,0,19.7,0.389,242,16050,41,2648,253,152,95.9,249,26759,41.4,0,26.2,1064,27.7,10904,1267,4.13,174,0,109
2023-02-22 11:28:00,0,69,14076,33632,0,0.600,31.5,0,437,1670,66.1,2655,456,1898,143,442,37312,66.8,0,32.3,7123,133,17171,2584,4.27,1907,0,252,69,0,17903,44253,0,0.600,25.9,0,248,16054,40.6,2651,254,166,95.9,248,17382,41.4,0.389,26.2,1074,31.6,9542,1280,4.13,194,0,124
2023-02-22 11:30:00,0,69.0,12582,31922,0,0.600,32.9,0.389,447,1516,65.7,1081,469,1700,143,451,37349,66.4,0,32.3,6599,133,20653,2549,4.26,1709,0,239,69.0,0,16350,41176,0,0.988,22.1,0,252,16079,41.0,1076,261,152,95.9,251,20835,41.0,0,26.2,1047,32.0,9655,1267,4.13,179,0,105
2023-02-22 11:32:00,0,68.6,16346,60674,0,32.6,31.9,0,446,1699,66.1,2656,468,1866,143,454,37355,66.8,0,32.3,6998,121,16674,2549,4.27,1876,0,245,68.6,0,40668,71546,0,20.4,20.1,0,250,16106,41,2660,261,180,96.3,255,16960,41.4,0,26.2,1042,29.0,9515,1268,4.13,194,0,115
2023-02-22 11:34:00,0,68.6,16370,60637,0,51.2,32.5,0,446,1475,66.1,1068,467,1698,143,453,37282,66.8,0,32.3,6556,116,16441,2549,4.27,1713,0,248,68.6,0,39177,68777,0,30.6,21.5,0,251,16013,40.6,1067,260,169,96.3,253,16583,41,0,26.2,1018,27.7,11095,1263,4.13,188,0,119
2023-02-22 11:36:00,0,68.6,15033,34838,0,0,32.1,0,447,1572,66.1,2649,468,1855,143,453,37242,66.4,0,32.3,9274,115,17151,2551,4.27,1875,0,243,68.6,0,17940,46823,0,0,21.6,0,258,16001,41.4,2652,260,161,95.9,253,17253,41,0,26.2,1178,27.7,10509,1264,4.13,176,0,119
2023-02-22 11:38:00,0,69,13225,32866,0,0.600,32.1,0,447,1578,66.1,2650,467,1857,143,454,37241,66.4,0,32.3,8420,127,16681,2554,4.27,1881,0,243,69,0,17887,46164,0,0.600,26.8,0,258,16008,41,2655,265,174,95.9,255,16837,41.4,0,26.2,1133,35.2,8677,1268,4.13,197,0,117
