"Time","Read (sda)","Write (sda)"
2023-02-22 16:52:00,0,88997
2023-02-22 16:54:00,0,43531
2023-02-22 16:56:00,91.0,90044
2023-02-22 16:58:00,0,87996
2023-02-22 17:00:00,0,42416
2023-02-22 17:02:00,0,226418
2023-02-22 17:04:00,0,136624
2023-02-22 17:06:00,0,83103
2023-02-22 17:08:00,0,80532
2023-02-22 17:10:00,0,40073
2023-02-22 17:12:00,0,88951
2023-02-22 17:14:00,0,43395
2023-02-22 17:16:00,0,91045
2023-02-22 17:18:00,0,122561
2023-02-22 17:20:00,0,40664
2023-02-22 17:22:00,0,85675
2023-02-22 17:24:00,0,42052
2023-02-22 17:26:00,0,87541
2023-02-22 17:28:00,0,87745
2023-02-22 17:30:00,0,41461
2023-02-22 17:32:00,0,88451
2023-02-22 17:34:00,0,43327
2023-02-22 17:36:00,0,88110
2023-02-22 17:38:00,0,88178
2023-02-22 17:40:00,0,42303
2023-02-22 17:42:00,0,88496
2023-02-22 17:44:00,0,43349
2023-02-22 17:46:00,0,88360
2023-02-22 17:48:00,0,87222
2023-02-22 17:50:00,0,42849
2023-02-22 17:52:00,0,88314
2023-02-22 17:54:00,0,43122
2023-02-22 17:56:00,0,88974
2023-02-22 17:58:00,0,88974
2023-02-22 18:00:00,0,42189
2023-02-22 18:02:00,0,701622
2023-02-22 18:04:00,0,45420
2023-02-22 18:06:00,424687,550912
2023-02-22 18:08:00,424687,552937
2023-02-22 18:10:00,0,44897
2023-02-22 18:12:00,0,124905
2023-02-22 18:14:00,0,51723
2023-02-22 18:16:00,0,86949
2023-02-22 18:18:00,0,89202
2023-02-22 18:20:00,0,42758
2023-02-22 18:22:00,0,86903
2023-02-22 18:24:00,0,42075
2023-02-22 18:26:00,0,86403
2023-02-22 18:28:00,0,86403
2023-02-22 18:30:00,0,40826
2023-02-22 18:32:00,0,86881
2023-02-22 18:34:00,0,41938
2023-02-22 18:36:00,0,87427
2023-02-22 18:38:00,0,88223
2023-02-22 18:40:00,0,39799
2023-02-22 18:42:00,0,87404
2023-02-22 18:44:00,0,40232
2023-02-22 18:46:00,0,81761
2023-02-22 18:48:00,0,85285
2023-02-22 18:50:00,0,41392
2023-02-22 18:52:00,0,87359
2023-02-22 18:54:00,0,41529
2023-02-22 18:56:00,0,87677
2023-02-22 18:58:00,0,87973
2023-02-22 19:00:00,0,41370
2023-02-22 19:02:00,0,226782
2023-02-22 19:04:00,0,135009
2023-02-22 19:06:00,0,87586
2023-02-22 19:08:00,0,86972
2023-02-22 19:10:00,0,39959
2023-02-22 19:12:00,0,88360
2023-02-22 19:14:00,0,38229
2023-02-22 19:16:00,0,85106
2023-02-22 19:18:00,0,86903
2023-02-22 19:20:00,0,39799
2023-02-22 19:22:00,0,81351
2023-02-22 19:24:00,0,39686
2023-02-22 19:26:00,0,80400
2023-02-22 19:28:00,0,83854
2023-02-22 19:30:00,0,41734
2023-02-22 19:32:00,0,86744
2023-02-22 19:34:00,0,41028
2023-02-22 19:36:00,0,87040
2023-02-22 19:38:00,0,86562
2023-02-22 19:40:00,0,41097
2023-02-22 19:42:00,0,87950
2023-02-22 19:44:00,0,43190
2023-02-22 19:46:00,0,87723
2023-02-22 19:48:00,0,88087
2023-02-22 19:50:00,0,41802
2023-02-22 19:52:00,0,86494
2023-02-22 19:54:00,0,41074
2023-02-22 19:56:00,0,87951
2023-02-22 19:58:00,0,85242
2023-02-22 20:00:00,0,36796
2023-02-22 20:02:00,0,403547
2023-02-22 20:04:00,0,38775
2023-02-22 20:06:00,1775,85038
2023-02-22 20:08:00,1775,86949
2023-02-22 20:10:00,0,41643
2023-02-22 20:12:00,0,85561
2023-02-22 20:14:00,0,38270
2023-02-22 20:16:00,0,86926
2023-02-22 20:18:00,0,88474
2023-02-22 20:20:00,0,42189
2023-02-22 20:22:00,0,86744
2023-02-22 20:24:00,0,40983
2023-02-22 20:26:00,0,86518
2023-02-22 20:28:00,0,84673
2023-02-22 20:30:00,0,42371
2023-02-22 20:32:00,0,87586
2023-02-22 20:34:00,0,40914
2023-02-22 20:36:00,0,87290
2023-02-22 20:38:00,0,87154
2023-02-22 20:40:00,0,41097
2023-02-22 20:42:00,0,97690
2023-02-22 20:44:00,0,41028
2023-02-22 20:46:00,0,86744
2023-02-22 20:48:00,0,85743
2023-02-22 20:50:00,0,41802
2023-02-22 20:52:00,0,86244
2023-02-22 20:54:00,0,40550
2023-02-22 20:56:00,0,87155
2023-02-22 20:58:00,0,86016
2023-02-22 21:00:00,0,41574
2023-02-22 21:02:00,0,226304
2023-02-22 21:04:00,0,135145
2023-02-22 21:06:00,0,87632
2023-02-22 21:08:00,0,86972
2023-02-22 21:10:00,0,43850
2023-02-22 21:12:00,0,88383
2023-02-22 21:14:00,0,41686
2023-02-22 21:16:00,0,87427
2023-02-22 21:18:00,0,89156
2023-02-22 21:20:00,0,42576
2023-02-22 21:22:00,0,82853
2023-02-22 21:24:00,0,36682
2023-02-22 21:26:00,0,85017
2023-02-22 21:28:00,0,84400
2023-02-22 21:30:00,0,43986
2023-02-22 21:32:00,0,87359
2023-02-22 21:34:00,0,38320
2023-02-22 21:36:00,0,85857
2023-02-22 21:38:00,0,86949
2023-02-22 21:40:00,0,41347
2023-02-22 21:42:00,0,87882
2023-02-22 21:44:00,0,41893
2023-02-22 21:46:00,0,87359
2023-02-22 21:48:00,0,87177
2023-02-22 21:50:00,0,41370
2023-02-22 21:52:00,0,87222
2023-02-22 21:54:00,0,40732
2023-02-22 21:56:00,0,88429
2023-02-22 21:58:00,0,86380
2023-02-22 22:00:00,0,40960
2023-02-22 22:02:00,0,376286
2023-02-22 22:04:00,0,41734
2023-02-22 22:06:00,0,87950
2023-02-22 22:08:00,0,83035
2023-02-22 22:10:00,0,38684
2023-02-22 22:12:00,0,89998
2023-02-22 22:14:00,0,43553
2023-02-22 22:16:00,17067,107224
2023-02-22 22:18:00,0,89020
2023-02-22 22:20:00,0,43827
2023-02-22 22:22:00,0,89156
2023-02-22 22:24:00,0,43918
2023-02-22 22:26:00,0,89156
2023-02-22 22:28:00,0,88565
2023-02-22 22:30:00,0,45056
2023-02-22 22:32:00,0,90158
2023-02-22 22:34:00,0,43440
2023-02-22 22:36:00,0,88906
2023-02-22 22:38:00,0,88223
2023-02-22 22:40:00,0,43827
2023-02-22 22:42:00,0,89225
2023-02-22 22:44:00,0,42347
2023-02-22 22:46:00,0,88269
2023-02-22 22:48:00,0,88337
2023-02-22 22:50:00,0,42439
2023-02-22 22:52:00,0,87768
2023-02-22 22:54:00,0,41984
2023-02-22 22:56:00,0,88860
2023-02-22 22:58:00,0,87745
2023-02-22 23:00:00,0,42439
2023-02-22 23:02:00,0,228784
2023-02-22 23:04:00,0,136602
2023-02-22 23:06:00,0,89088
2023-02-22 23:08:00,0,88405
2023-02-22 23:10:00,0,43736
2023-02-22 23:12:00,0,88269
2023-02-22 23:14:00,0,43940
2023-02-22 23:16:00,0,88860
2023-02-22 23:18:00,0,91022
2023-02-22 23:20:00,0,45261
2023-02-22 23:22:00,0,88656
2023-02-22 23:24:00,0,43691
2023-02-22 23:26:00,0,87971
2023-02-22 23:28:00,0,88269
2023-02-22 23:30:00,0,43327
2023-02-22 23:32:00,0,87495
2023-02-22 23:34:00,0,36750
2023-02-22 23:36:00,0,83217
2023-02-22 23:38:00,0,82125
2023-02-22 23:40:00,0,38480
2023-02-22 23:42:00,0,87245
2023-02-22 23:44:00,0,44100
2023-02-22 23:46:00,0,89930
2023-02-22 23:48:00,0,87063
2023-02-22 23:50:00,0,42644
2023-02-22 23:52:00,0,88132
2023-02-22 23:54:00,0,41802
2023-02-22 23:56:00,0,87357
2023-02-22 23:58:00,0,86016
2023-02-23 00:00:00,0,36591
2023-02-23 00:02:00,4073,1674012
2023-02-23 00:04:00,0,44487
2023-02-23 00:06:00,0,87814
2023-02-23 00:08:00,0,86084
2023-02-23 00:10:00,0,37842
2023-02-23 00:12:00,0,84036
2023-02-23 00:14:00,0,35286
2023-02-23 00:16:00,0,80919
2023-02-23 00:18:00,0,87017
2023-02-23 00:20:00,0,38866
2023-02-23 00:22:00,0,85038
2023-02-23 00:24:00,0,37820
2023-02-23 00:26:00,0,86814
2023-02-23 00:28:00,0,82898
2023-02-23 00:30:00,0,37274
2023-02-23 00:32:00,0,82148
2023-02-23 00:34:00,0,37524
2023-02-23 00:36:00,0,82830
2023-02-23 00:38:00,0,85811
2023-02-23 00:40:00,0,37114
2023-02-23 00:42:00,0,83513
2023-02-23 00:44:00,0,37888
2023-02-23 00:46:00,0,82443
2023-02-23 00:48:00,0,83331
2023-02-23 00:50:00,0,35977
2023-02-23 00:52:00,0,83948
2023-02-23 00:54:00,0,37183
2023-02-23 00:56:00,0,85402
2023-02-23 00:58:00,0,84469
2023-02-23 01:00:00,0,37501
2023-02-23 01:02:00,0,225007
2023-02-23 01:04:00,0,181180
2023-02-23 01:06:00,0,88018
2023-02-23 01:08:00,0,87563
2023-02-23 01:10:00,0,42189
2023-02-23 01:12:00,0,89111
2023-02-23 01:14:00,0,43713
2023-02-23 01:16:00,0,88496
2023-02-23 01:18:00,0,88815
2023-02-23 01:20:00,0,42462
2023-02-23 01:22:00,0,89498
2023-02-23 01:24:00,0,40573
2023-02-23 01:26:00,0,86471
2023-02-23 01:28:00,0,87791
2023-02-23 01:30:00,0,42075
2023-02-23 01:32:00,0,87427
2023-02-23 01:34:00,0,43258
2023-02-23 01:36:00,0,89225
2023-02-23 01:38:00,0,90021
2023-02-23 01:40:00,0,42007
2023-02-23 01:42:00,0,89361
2023-02-23 01:44:00,0,43053
2023-02-23 01:46:00,0,89225
2023-02-23 01:48:00,0,88883
2023-02-23 01:50:00,0,42280
2023-02-23 01:52:00,0,88110
2023-02-23 01:54:00,0,45056
2023-02-23 01:56:00,0,88860
2023-02-23 01:58:00,0,88997
2023-02-23 02:00:00,0,42348
2023-02-23 02:02:00,0,375717
2023-02-23 02:04:00,0,42667
2023-02-23 02:06:00,0,90340
2023-02-23 02:08:00,0,88815
2023-02-23 02:10:00,0,41618
2023-02-23 02:12:00,0,86403
2023-02-23 02:14:00,0,41938
2023-02-23 02:16:00,12584,504081
2023-02-23 02:18:00,24758,514571
2023-02-23 02:20:00,0,42940
2023-02-23 02:22:00,0,86175
2023-02-23 02:24:00,0,40437
2023-02-23 02:26:00,0,87154
2023-02-23 02:28:00,0,86471
2023-02-23 02:30:00,0,39458
2023-02-23 02:32:00,0,85811
2023-02-23 02:34:00,0,41802
2023-02-23 02:36:00,0,87586
2023-02-23 02:38:00,0,85811
2023-02-23 02:40:00,0,40480
2023-02-23 02:42:00,0,87086
2023-02-23 02:44:00,0,41370
2023-02-23 02:46:00,0,87472
2023-02-23 02:48:00,0,86062
2023-02-23 02:50:00,0,41574
2023-02-23 02:52:00,0,87063
2023-02-23 02:54:00,0,41802
2023-02-23 02:56:00,0,87838
2023-02-23 02:58:00,0,87222
2023-02-23 03:00:00,0,40459
2023-02-23 03:02:00,0,225872
2023-02-23 03:04:00,0,134986
2023-02-23 03:06:00,0,87017
2023-02-23 03:08:00,0,86721
2023-02-23 03:10:00,0,41074
2023-02-23 03:12:00,0,87086
2023-02-23 03:14:00,0,40844
2023-02-23 03:16:00,0,87154
2023-02-23 03:18:00,0,88747
2023-02-23 03:20:00,0,42598
2023-02-23 03:22:00,0,85584
2023-02-23 03:24:00,0,41119
2023-02-23 03:26:00,0,86244
2023-02-23 03:28:00,0,86289
2023-02-23 03:30:00,0,41415
2023-02-23 03:32:00,0,87336
2023-02-23 03:34:00,0,41779
2023-02-23 03:36:00,0,86858
2023-02-23 03:38:00,0,87040
2023-02-23 03:40:00,0,41891
2023-02-23 03:42:00,0,87222
2023-02-23 03:44:00,0,41210
2023-02-23 03:46:00,0,87859
2023-02-23 03:48:00,0,86790
2023-02-23 03:50:00,0,41119
2023-02-23 03:52:00,0,86473
2023-02-23 03:54:00,0,41347
2023-02-23 03:56:00,0,87791
2023-02-23 03:58:00,0,86812
2023-02-23 04:00:00,0,41893
2023-02-23 04:02:00,0,406414
2023-02-23 04:04:00,0,42166
2023-02-23 04:06:00,0,89634
2023-02-23 04:08:00,0,87950
2023-02-23 04:10:00,0,41117
2023-02-23 04:12:00,0,85038
2023-02-23 04:14:00,0,40164
2023-02-23 04:16:00,0,103470
2023-02-23 04:18:00,0,104676
2023-02-23 04:20:00,0,41074
2023-02-23 04:22:00,0,85449
2023-02-23 04:24:00,0,40846
2023-02-23 04:26:00,0,87177
2023-02-23 04:28:00,0,88269
2023-02-23 04:30:00,0,43850
2023-02-23 04:32:00,0,87108
2023-02-23 04:34:00,0,41415
2023-02-23 04:36:00,0,86947
2023-02-23 04:38:00,0,87245
2023-02-23 04:40:00,0,42143
2023-02-23 04:42:00,0,86153
2023-02-23 04:44:00,0,41894
2023-02-23 04:46:00,0,87836
2023-02-23 04:48:00,0,86767
2023-02-23 04:50:00,0,40459
2023-02-23 04:52:00,0,86312
2023-02-23 04:54:00,0,41006
2023-02-23 04:56:00,0,86881
2023-02-23 04:58:00,0,87154
2023-02-23 05:00:00,0,39959
2023-02-23 05:02:00,0,225758
2023-02-23 05:04:00,0,135828
2023-02-23 05:06:00,0,86881
2023-02-23 05:08:00,0,84582
2023-02-23 05:10:00,0,38229
2023-02-23 05:12:00,0,86335
2023-02-23 05:14:00,0,36295
2023-02-23 05:16:00,0,83467
2023-02-23 05:18:00,0,93298
2023-02-23 05:20:00,0,41324
2023-02-23 05:22:00,0,84218
2023-02-23 05:24:00,0,38798
2023-02-23 05:26:00,0,85174
2023-02-23 05:28:00,0,85015
2023-02-23 05:30:00,0,37069
2023-02-23 05:32:00,0,85538
2023-02-23 05:34:00,0,35135
2023-02-23 05:36:00,0,83399
2023-02-23 05:38:00,0,83331
2023-02-23 05:40:00,0,35776
2023-02-23 05:42:00,0,84491
2023-02-23 05:44:00,0,40004
2023-02-23 05:46:00,0,81738
2023-02-23 05:48:00,0,87541
2023-02-23 05:50:00,0,37433
2023-02-23 05:52:00,0,83285
2023-02-23 05:54:00,0,37934
2023-02-23 05:56:00,0,84105
2023-02-23 05:58:00,0,82053
2023-02-23 06:00:00,0,38866
2023-02-23 06:02:00,0,917982
2023-02-23 06:04:00,0,37456
2023-02-23 06:06:00,0,82625
2023-02-23 06:08:00,0,84810
2023-02-23 06:10:00,0,36800
2023-02-23 06:12:00,0,80464
2023-02-23 06:14:00,0,36614
2023-02-23 06:16:00,0,79735
2023-02-23 06:18:00,0,83308
2023-02-23 06:20:00,0,35977
2023-02-23 06:22:00,0,80942
2023-02-23 06:24:00,0,40437
2023-02-23 06:26:00,137,84218
2023-02-23 06:28:00,137,86585
2023-02-23 06:30:00,0,35021
2023-02-23 06:32:00,0,84764
2023-02-23 06:34:00,0,36910
2023-02-23 06:36:00,0,82990
2023-02-23 06:38:00,0,82443
2023-02-23 06:40:00,0,37046
2023-02-23 06:42:00,0,103561
2023-02-23 06:44:00,0,40323
2023-02-23 06:46:00,0,86926
2023-02-23 06:48:00,0,85811
2023-02-23 06:50:00,0,37979
2023-02-23 06:52:00,0,82352
2023-02-23 06:54:00,0,40255
2023-02-23 06:56:00,0,86699
2023-02-23 06:58:00,0,83991
2023-02-23 07:00:00,0,37023
2023-02-23 07:02:00,0,225758
2023-02-23 07:04:00,0,175400
2023-02-23 07:06:00,0,85447
2023-02-23 07:08:00,0,85447
2023-02-23 07:10:00,0,41870
2023-02-23 07:12:00,0,86767
2023-02-23 07:14:00,0,40846
2023-02-23 07:16:00,0,87222
2023-02-23 07:18:00,0,86881
2023-02-23 07:20:00,0,39162
2023-02-23 07:22:00,0,82785
2023-02-23 07:24:00,0,36068
2023-02-23 07:26:00,0,82079
2023-02-23 07:28:00,0,85902
2023-02-23 07:30:00,0,35408
2023-02-23 07:32:00,0,83558
2023-02-23 07:34:00,0,37365
2023-02-23 07:36:00,0,81146
2023-02-23 07:38:00,0,82876
2023-02-23 07:40:00,0,36887
2023-02-23 07:42:00,0,85606
2023-02-23 07:44:00,0,40664
2023-02-23 07:46:00,0,86881
2023-02-23 07:48:00,0,83513
2023-02-23 07:50:00,0,38980
2023-02-23 07:52:00,0,87336
2023-02-23 07:54:00,0,41825
2023-02-23 07:56:00,0,86903
2023-02-23 07:58:00,0,88701
2023-02-23 08:00:00,0,41779
2023-02-23 08:02:00,0,399406
2023-02-23 08:04:00,0,41688
2023-02-23 08:06:00,0,87927
2023-02-23 08:08:00,0,90271
2023-02-23 08:10:00,0,46077
2023-02-23 08:12:00,0,90476
2023-02-23 08:14:00,0,43236
2023-02-23 08:16:00,0,87381
2023-02-23 08:18:00,0,89543
2023-02-23 08:20:00,0,42735
2023-02-23 08:22:00,0,86926
2023-02-23 08:24:00,0,41392
2023-02-23 08:26:00,0,88178
2023-02-23 08:28:00,0,87927
2023-02-23 08:30:00,0,42485
2023-02-23 08:32:00,0,87199
2023-02-23 08:34:00,0,43031
2023-02-23 08:36:00,0,86084
2023-02-23 08:38:00,0,87973
2023-02-23 08:40:00,0,42303
2023-02-23 08:42:00,0,88997
2023-02-23 08:44:00,0,43167
2023-02-23 08:46:00,0,89293
2023-02-23 08:48:00,0,88519
2023-02-23 08:50:00,0,37433
2023-02-23 08:52:00,0,85060
2023-02-23 08:54:00,0,40505
2023-02-23 08:56:00,0,87063
2023-02-23 08:58:00,0,88974
2023-02-23 09:00:00,0,41597
2023-02-23 09:02:00,0,227305
2023-02-23 09:04:00,0,136169
2023-02-23 09:06:00,0,86949
2023-02-23 09:08:00,0,87609
2023-02-23 09:10:00,0,42167
2023-02-23 09:12:00,0,86608
2023-02-23 09:14:00,0,45215
2023-02-23 09:16:00,0,87609
2023-02-23 09:18:00,0,89998
2023-02-23 09:20:00,0,44601
2023-02-23 09:22:00,0,88110
2023-02-23 09:24:00,0,43326
2023-02-23 09:26:00,0,88405
2023-02-23 09:28:00,0,87905
2023-02-23 09:30:00,0,43076
2023-02-23 09:32:00,0,87610
2023-02-23 09:34:00,0,42280
2023-02-23 09:36:00,0,87792
2023-02-23 09:38:00,0,87905
2023-02-23 09:40:00,0,41870
2023-02-23 09:42:00,0,88246
2023-02-23 09:44:00,0,42803
2023-02-23 09:46:00,0,88997
2023-02-23 09:48:00,0,87927
2023-02-23 09:50:00,0,42234
2023-02-23 09:52:00,0,86721
2023-02-23 09:54:00,0,42462
2023-02-23 09:56:00,0,87814
2023-02-23 09:58:00,0,88542
2023-02-23 10:00:00,0,42348
2023-02-23 10:02:00,0,376160
2023-02-23 10:04:00,0,42348
2023-02-23 10:06:00,0,87836
2023-02-23 10:08:00,0,91090
2023-02-23 10:10:00,0,46217
2023-02-23 10:12:00,0,90544
2023-02-23 10:14:00,0,42644
2023-02-23 10:16:00,0,88132
2023-02-23 10:18:00,0,90408
2023-02-23 10:20:00,0,43850
2023-02-23 10:22:00,0,88428
2023-02-23 10:24:00,0,41961
2023-02-23 10:26:00,0,89839
2023-02-23 10:28:00,0,88064
2023-02-23 10:30:00,0,43418
2023-02-23 10:32:00,0,91477
2023-02-23 10:34:00,0,42143
2023-02-23 10:36:00,0,89338
2023-02-23 10:38:00,0,89725
2023-02-23 10:40:00,0,45261
2023-02-23 10:42:00,0,119580
2023-02-23 10:44:00,0,42689
2023-02-23 10:46:00,0,91045
2023-02-23 10:48:00,0,93002
2023-02-23 10:50:00,0,46239
2023-02-23 10:52:00,0,86790
2023-02-23 10:54:00,0,41574
2023-02-23 10:56:00,0,88633
2023-02-23 10:58:00,0,88496
2023-02-23 11:00:00,0,43031
2023-02-23 11:02:00,0,228375
2023-02-23 11:04:00,0,136488
2023-02-23 11:06:00,0,89930
2023-02-23 11:08:00,0,90117
2023-02-23 11:10:00,0,41893
2023-02-23 11:12:00,0,88883
2023-02-23 11:14:00,0,43327
2023-02-23 11:16:00,0,88701
2023-02-23 11:18:00,0,92069
2023-02-23 11:20:00,0,44260
2023-02-23 11:22:00,0,87654
2023-02-23 11:24:00,0,43622
2023-02-23 11:26:00,0,87768
2023-02-23 11:28:00,0,86084
2023-02-23 11:30:00,0,39299
2023-02-23 11:32:00,0,83604
2023-02-23 11:34:00,0,41779
2023-02-23 11:36:00,0,88087
2023-02-23 11:38:00,0,87380
2023-02-23 11:40:00,0,44351
2023-02-23 11:42:00,0,87017
2023-02-23 11:44:00,0,43236
2023-02-23 11:46:00,0,89657
2023-02-23 11:48:00,0,87381
2023-02-23 11:50:00,0,43395
2023-02-23 11:52:00,0,88110
2023-02-23 11:54:00,0,44555
2023-02-23 11:56:00,0,89680
2023-02-23 11:58:00,0,89338
2023-02-23 12:00:00,0,42075
2023-02-23 12:02:00,0,965723
2023-02-23 12:04:00,0,43257
2023-02-23 12:06:00,0,87222
2023-02-23 12:08:00,0,89543
2023-02-23 12:10:00,0,37251
2023-02-23 12:12:00,0,84628
2023-02-23 12:14:00,0,39299
2023-02-23 12:16:00,0,82716
2023-02-23 12:18:00,0,88906
2023-02-23 12:20:00,0,41779
2023-02-23 12:22:00,0,81966
2023-02-23 12:24:00,0,37069
2023-02-23 12:26:00,0,82398
2023-02-23 12:28:00,0,81988
2023-02-23 12:30:00,0,37319
2023-02-23 12:32:00,0,84491
2023-02-23 12:34:00,0,39936
2023-02-23 12:36:00,0,88656
2023-02-23 12:38:00,0,85788
2023-02-23 12:40:00,0,41665
2023-02-23 12:42:00,0,87882
2023-02-23 12:44:00,0,41301
2023-02-23 12:46:00,0,86814
