"Time","Cluster","172.16.66.106:9796","172.16.66.107:9796","172.16.66.112:9796"
2023-02-22 14:10:00,5.75,6.36,5.49,5.39
2023-02-22 14:12:00,5.78,6.42,5.50,5.43
2023-02-22 14:14:00,5.80,6.48,5.54,5.39
2023-02-22 14:16:00,5.75,6.36,5.50,5.40
2023-02-22 14:18:00,5.78,6.38,5.55,5.42
2023-02-22 14:20:00,5.78,6.34,5.61,5.38
2023-02-22 14:22:00,5.76,6.36,5.50,5.41
2023-02-22 14:24:00,5.82,6.44,5.64,5.38
2023-02-22 14:26:00,5.77,6.44,5.46,5.40
2023-02-22 14:28:00,5.81,6.45,5.56,5.42
2023-02-22 14:30:00,5.81,6.33,5.70,5.39
2023-02-22 14:32:00,5.73,6.32,5.46,5.42
2023-02-22 14:34:00,5.83,6.41,5.73,5.36
2023-02-22 14:36:00,5.76,6.33,5.55,5.39
2023-02-22 14:38:00,5.78,6.33,5.63,5.39
2023-02-22 14:40:00,5.72,6.33,5.46,5.38
2023-02-22 14:42:00,5.78,6.39,5.49,5.44
2023-02-22 14:44:00,5.82,6.51,5.57,5.37
2023-02-22 14:46:00,5.82,6.43,5.65,5.38
2023-02-22 14:48:00,5.79,6.44,5.55,5.38
2023-02-22 14:50:00,5.80,6.40,5.63,5.37
2023-02-22 14:52:00,5.77,6.35,5.53,5.41
2023-02-22 14:54:00,5.84,6.50,5.65,5.36
2023-02-22 14:56:00,5.85,6.43,5.70,5.40
2023-02-22 14:58:00,5.79,6.35,5.62,5.41
2023-02-22 15:00:00,5.80,6.43,5.59,5.38
2023-02-22 15:02:00,5.81,6.44,5.56,5.42
2023-02-22 15:04:00,5.85,6.47,5.69,5.40
2023-02-22 15:06:00,5.79,6.43,5.53,5.41
2023-02-22 15:08:00,5.73,6.34,5.47,5.40
2023-02-22 15:10:00,5.75,6.36,5.51,5.38
2023-02-22 15:12:00,5.80,6.37,5.59,5.44
2023-02-22 15:14:00,5.79,6.44,5.55,5.38
2023-02-22 15:16:00,5.81,6.44,5.58,5.42
