".+",".+"
2023-03-11 09:20:00,2.29 MB/s
2023-03-11 09:40:00,2.53 MB/s
2023-03-11 10:00:00,2.28 MB/s
2023-03-11 10:20:00,2.22 MB/s
2023-03-11 10:40:00,2.25 MB/s
2023-03-11 11:00:00,2.24 MB/s
2023-03-11 11:20:00,2.22 MB/s
2023-03-11 11:40:00,2.25 MB/s
2023-03-11 12:00:00,2.24 MB/s
2023-03-11 12:20:00,2.24 MB/s
2023-03-11 12:40:00,2.28 MB/s
2023-03-11 13:00:00,1.85 MB/s
2023-03-11 13:20:00,1.77 MB/s
2023-03-11 13:40:00,1.82 MB/s
2023-03-11 14:00:00,1.85 MB/s
2023-03-11 14:20:00,1.97 MB/s
2023-03-11 14:40:00,2.20 MB/s
2023-03-11 15:00:00,2.19 MB/s
2023-03-11 15:20:00,2.17 MB/s
2023-03-11 15:40:00,2.20 MB/s
2023-03-11 16:00:00,2.20 MB/s
2023-03-11 16:20:00,2.21 MB/s
2023-03-11 16:40:00,2.20 MB/s
2023-03-11 17:00:00,2.20 MB/s
2023-03-11 17:20:00,2.21 MB/s
2023-03-11 17:40:00,2.22 MB/s
2023-03-11 18:00:00,2.22 MB/s
2023-03-11 18:20:00,2.20 MB/s
2023-03-11 18:40:00,2.21 MB/s
2023-03-11 19:00:00,2.99 MB/s
2023-03-11 19:20:00,2.23 MB/s
2023-03-11 19:40:00,2.19 MB/s
2023-03-11 20:00:00,2.22 MB/s
2023-03-11 20:20:00,2.20 MB/s
2023-03-11 20:40:00,2.26 MB/s
2023-03-11 21:00:00,2.22 MB/s
2023-03-11 21:20:00,2.19 MB/s
2023-03-11 21:40:00,2.11 MB/s
2023-03-11 22:00:00,1.94 MB/s
2023-03-11 22:20:00,1.83 MB/s
2023-03-11 22:40:00,1.77 MB/s
2023-03-11 23:00:00,1.84 MB/s
2023-03-11 23:20:00,1.81 MB/s
2023-03-11 23:40:00,1.80 MB/s
2023-03-12 00:00:00,1.82 MB/s
2023-03-12 00:20:00,1.79 MB/s
2023-03-12 00:40:00,1.75 MB/s
2023-03-12 01:00:00,1.80 MB/s
2023-03-12 01:20:00,1.78 MB/s
2023-03-12 01:40:00,1.77 MB/s
2023-03-12 02:00:00,1.78 MB/s
2023-03-12 02:20:00,1.73 MB/s
2023-03-12 02:40:00,1.77 MB/s
2023-03-12 03:00:00,1.76 MB/s
2023-03-12 03:20:00,1.74 MB/s
2023-03-12 03:40:00,1.78 MB/s
2023-03-12 04:00:00,1.79 MB/s
2023-03-12 04:20:00,1.73 MB/s
2023-03-12 04:40:00,1.76 MB/s
2023-03-12 05:00:00,2.54 MB/s
2023-03-12 05:20:00,1.80 MB/s
2023-03-12 05:40:00,2.03 MB/s
2023-03-12 06:00:00,2.15 MB/s
2023-03-12 06:20:00,2.22 MB/s
2023-03-12 06:40:00,2.22 MB/s
2023-03-12 07:00:00,2.23 MB/s
2023-03-12 07:20:00,2.20 MB/s
2023-03-12 07:40:00,2.21 MB/s
2023-03-12 08:00:00,2.20 MB/s
2023-03-12 08:20:00,2.23 MB/s
2023-03-12 08:40:00,2.20 MB/s
2023-03-12 09:00:00,2.86 MB/s
2023-03-12 09:20:00,2.22 MB/s
2023-03-12 09:40:00,2.17 MB/s
2023-03-12 10:00:00,2.18 MB/s
2023-03-12 10:20:00,2.17 MB/s
2023-03-12 10:40:00,2.16 MB/s
2023-03-12 11:00:00,2.18 MB/s
2023-03-12 11:20:00,2.15 MB/s
2023-03-12 11:40:00,2.18 MB/s
2023-03-12 12:00:00,2.16 MB/s
2023-03-12 12:20:00,2.18 MB/s
2023-03-12 12:40:00,2.22 MB/s
2023-03-12 13:00:00,2.22 MB/s
2023-03-12 13:20:00,2.10 MB/s
2023-03-12 13:40:00,1.87 MB/s
2023-03-12 14:00:00,1.79 MB/s
2023-03-12 14:20:00,1.78 MB/s
2023-03-12 14:40:00,1.81 MB/s
2023-03-12 15:00:00,2.59 MB/s
2023-03-12 15:20:00,1.82 MB/s

