"Time","0(172.16.66.122:10250)","0(172.16.66.122:6443)","200(172.16.66.122:10250)","200(172.16.66.122:6443)","201(172.16.66.122:10250)","201(172.16.66.122:6443)","403(172.16.66.122:10250)","403(172.16.66.122:6443)","404(172.16.66.122:10250)","404(172.16.66.122:6443)","409(172.16.66.122:10250)","409(172.16.66.122:6443)","422(172.16.66.122:10250)","422(172.16.66.122:6443)","500(172.16.66.122:10250)","500(172.16.66.122:6443)","504(172.16.66.122:10250)","504(172.16.66.122:6443)"
2023-03-11 10:00:00,0,0,20.0,19.9,0.378,0.372,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 10:02:00,0,0,19.3,19.3,0.345,0.378,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 10:04:00,0,0,19.9,20.1,0.367,0.372,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 10:06:00,0,0,19.9,19.7,0.344,0.356,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 10:08:00,0,0,19.3,19.6,0.344,0.344,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 10:10:00,0,0,19.9,19.8,0.344,0.339,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 10:12:00,0,0,19.6,19.7,0.344,0.328,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 10:14:00,0,0,20.0,19.8,0.344,0.344,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 10:16:00,0,0,19.8,19.8,0.367,0.361,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 10:18:00,0,0,19.4,19.6,0.361,0.356,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 10:20:00,0,0,20.1,20.3,0.356,0.361,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 10:22:00,0,0,19.7,19.5,0.356,0.372,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 10:24:00,0,0,19.7,20.1,0.344,0.361,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 10:26:00,0,0,20.0,19.9,0.361,0.356,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 10:28:00,0,0,19.9,19.7,0.350,0.356,0,0,0,0,0,0,0,0,0,0,0,0
