"Time","0(172.16.66.116:10250)","0(172.16.66.116:6443)","200(172.16.66.116:10250)","200(172.16.66.116:6443)","201(172.16.66.116:10250)","201(172.16.66.116:6443)","403(172.16.66.116:10250)","403(172.16.66.116:6443)","404(172.16.66.116:10250)","404(172.16.66.116:6443)","409(172.16.66.116:10250)","409(172.16.66.116:6443)","422(172.16.66.116:10250)","422(172.16.66.116:6443)","500(172.16.66.116:10250)","500(172.16.66.116:6443)"
2023-03-11 09:30:00,0,0,22.8,22.9,0.367,0.356,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 09:32:00,0,0,22.7,22.8,0.411,0.389,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 09:34:00,0,0,22.7,22.7,0.467,0.467,0,0,0,0,0,0,0,0,0,0
2023-03-11 09:36:00,0,0,23.6,23.7,0.428,0.444,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 09:38:00,0,0,23.5,23.4,0.350,0.372,0,0,0,0,0,0,0,0,0,0
2023-03-11 09:40:00,0,0,24.3,24.3,0.356,0.367,0,0,0.0222,0.0222,0,0,0,0,0,0
2023-03-11 09:42:00,0,0,24.3,24.2,0.378,0.372,0,0,0.0389,0.0389,0,0,0,0,0,0
2023-03-11 09:44:00,0,0,23.7,23.5,0.345,0.339,0,0,0.0278,0,0,0,0,0,0,0
2023-03-11 09:46:00,0,0,23.2,23.3,0.372,0.383,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 09:48:00,0,0,23.6,23.6,0.583,0.572,0,0,0,0,0,0,0,0,0,0
2023-03-11 09:50:00,0,0,23.7,23.7,0.467,0.428,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 09:52:00,0,0,22.6,22.7,0.383,0.400,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 09:54:00,0,0,22.6,22.6,0.383,0.378,0,0,0,0,0,0,0,0,0,0
2023-03-11 09:56:00,0,0,23.0,23.0,0.389,0.383,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 09:58:00,0,0,22.7,22.4,0.339,0.339,0,0,0,0,0,0,0,0,0,0
2023-03-11 10:00:00,0,0,22.9,22.9,0.361,0.372,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 10:02:00,0,0,22.9,22.9,0.372,0.372,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 10:04:00,0,0,23.0,23.0,0.328,0.333,0,0,0,0,0,0,0,0,0,0
2023-03-11 10:06:00,0,0,23.0,23.0,0.350,0.361,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 10:08:00,0,0,22.7,22.7,0.361,0.350,0,0,0,0,0,0,0,0,0,0
2023-03-11 10:10:00,0,0,22.9,22.9,0.339,0.350,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 10:12:00,0,0,23.5,23.6,0.372,0.372,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 10:14:00,0,0,23.5,23.5,0.378,0.383,0,0,0,0,0,0,0,0,0,0
2023-03-11 10:16:00,0,0,22.9,22.9,0.433,0.406,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 10:18:00,0,0,22.6,22.6,0.361,0.378,0,0,0,0,0,0,0,0,0,0
2023-03-11 10:20:00,0,0,22.8,22.9,0.367,0.389,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 10:22:00,0,0,23.0,23.1,0.472,0.461,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 10:24:00,0,0,22.7,23.1,0.411,0.417,0,0,0,0,0,0,0,0,0,0
2023-03-11 10:26:00,0,0,23.5,23.6,0.356,0.361,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 10:28:00,0,0,23.0,22.9,0.350,0.344,0,0,0,0,0,0,0,0,0,0
2023-03-11 10:30:00,0,0,23.7,23.6,0.350,0.344,0,0,0.0111,0.0111,0,0,0,0,0,0
2023-03-11 10:32:00,0,0,23.5,23.3,0.378,0.367,0,0,0.0111,0.0111,0,0,0,0,0,0
