"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","falco","kube-system","longhorn-system","sock-shop","tracee-system"
2023-03-21 20:30:00,1510,2843,1201158,7342,429,6152,0,223,830225,2601,8316,0
2023-03-21 20:31:00,1510,2843,1201158,7342,429,6152,0,223,830225,2601,8316,0
2023-03-21 20:32:00,1510,2843,1201158,7342,429,6152,0,223,830225,2601,8316,0
2023-03-21 20:33:00,1510,2843,1201158,7342,429,6152,0,223,830225,2601,8316,0
2023-03-21 20:34:00,1510,2843,1201158,7342,429,6152,0,223,830225,2601,8316,0
2023-03-21 20:35:00,1450,2742,1300911,7310,450,6233,0.467,223,904232,2608,20405,0
2023-03-21 20:36:00,1450,2742,1300911,7310,450,6233,0.467,223,904232,2608,20405,0
2023-03-21 20:37:00,1450,2742,1300911,7310,450,6233,0.467,223,904232,2608,20405,0
2023-03-21 20:38:00,1450,2742,1300911,7310,450,6233,0.467,223,904232,2608,20405,0
2023-03-21 20:39:00,1450,2742,1300911,7310,450,6233,0.467,223,904232,2608,20405,0
2023-03-21 20:40:00,1485,2836,1180959,7458,449,6118,0,223,808597,2634,8193,0
2023-03-21 20:41:00,1485,2836,1180959,7458,449,6118,0,223,808597,2634,8193,0
2023-03-21 20:42:00,1485,2836,1180959,7458,449,6118,0,223,808597,2634,8193,0
2023-03-21 20:43:00,1485,2836,1180959,7458,449,6118,0,223,808597,2634,8193,0
2023-03-21 20:44:00,1485,2836,1180959,7458,449,6118,0,223,808597,2634,8193,0
2023-03-21 20:45:00,1473,2740,1296410,7407,460,6247,0,223,898346,2649,20695,0
2023-03-21 20:46:00,1473,2740,1296410,7407,460,6247,0,223,898346,2649,20695,0
2023-03-21 20:47:00,1473,2740,1296410,7407,460,6247,0,223,898346,2649,20695,0
2023-03-21 20:48:00,1473,2740,1296410,7407,460,6247,0,223,898346,2649,20695,0
2023-03-21 20:49:00,1473,2740,1296410,7407,460,6247,0,223,898346,2649,20695,0
2023-03-21 20:50:00,1782,2763,1233393,7336,444,6184,0,223,840778,2612,8133,0
2023-03-21 20:51:00,1782,2763,1233393,7336,444,6184,0,223,840778,2612,8133,0
2023-03-21 20:52:00,1782,2763,1233393,7336,444,6184,0,223,840778,2612,8133,0
2023-03-21 20:53:00,1782,2763,1233393,7336,444,6184,0,223,840778,2612,8133,0
2023-03-21 20:54:00,1782,2763,1233393,7336,444,6184,0,223,840778,2612,8133,0
2023-03-21 20:55:00,1450,2667,1804927,7202,439,6056,0.233,223,1386291,2613,68102,0
2023-03-21 20:56:00,1450,2667,1804927,7202,439,6056,0.233,223,1386291,2613,68102,0
2023-03-21 20:57:00,1450,2667,1804927,7202,439,6056,0.233,223,1386291,2613,68102,0
2023-03-21 20:58:00,1450,2667,1804927,7202,439,6056,0.233,223,1386291,2613,68102,0
2023-03-21 20:59:00,1450,2667,1804927,7202,439,6056,0.233,223,1386291,2613,68102,0
2023-03-21 21:00:00,1449,2863,1169007,7394,465,6118,0,223,806369,2531,8169,0
2023-03-21 21:01:00,1449,2863,1169007,7394,465,6118,0,223,806369,2531,8169,0
2023-03-21 21:02:00,1449,2863,1169007,7394,465,6118,0,223,806369,2531,8169,0
2023-03-21 21:03:00,1449,2863,1169007,7394,465,6118,0,223,806369,2531,8169,0
2023-03-21 21:04:00,1449,2863,1169007,7394,465,6118,0,223,806369,2531,8169,0
2023-03-21 21:05:00,1434,2715,1301053,7181,432,6266,0,223,924680,2448,20702,0.700
2023-03-21 21:06:00,1434,2715,1301053,7181,432,6266,0,223,924680,2448,20702,0.700
2023-03-21 21:07:00,1434,2715,1301053,7181,432,6266,0,223,924680,2448,20702,0.700
2023-03-21 21:08:00,1434,2715,1301053,7181,432,6266,0,223,924680,2448,20702,0.700
2023-03-21 21:09:00,1434,2715,1301053,7181,432,6266,0,223,924680,2448,20702,0.700
2023-03-21 21:10:00,1442,2776,1188179,7202,447,6123,0.233,223,797505,2402,8372,0
2023-03-21 21:11:00,1442,2776,1188179,7202,447,6123,0.233,223,797505,2402,8372,0
2023-03-21 21:12:00,1442,2776,1188179,7202,447,6123,0.233,223,797505,2402,8372,0
2023-03-21 21:13:00,1442,2776,1188179,7202,447,6123,0.233,223,797505,2402,8372,0
2023-03-21 21:14:00,1442,2776,1188179,7202,447,6123,0.233,223,797505,2402,8372,0
2023-03-21 21:15:00,1741,2720,1344826,7278,463,5923,0,223,941511,2564,20491,0
2023-03-21 21:16:00,1741,2720,1344826,7278,463,5923,0,223,941511,2564,20491,0
2023-03-21 21:17:00,1741,2720,1344826,7278,463,5923,0,223,941511,2564,20491,0
2023-03-21 21:18:00,1741,2720,1344826,7278,463,5923,0,223,941511,2564,20491,0
2023-03-21 21:19:00,1741,2720,1344826,7278,463,5923,0,223,941511,2564,20491,0
2023-03-21 21:20:00,1438,2762,1158452,7187,438,6224,0.233,223,800674,2571,8258,0
2023-03-21 21:21:00,1438,2762,1158452,7187,438,6224,0.233,223,800674,2571,8258,0
2023-03-21 21:22:00,1438,2762,1158452,7187,438,6224,0.233,223,800674,2571,8258,0
2023-03-21 21:23:00,1438,2762,1158452,7187,438,6224,0.233,223,800674,2571,8258,0
2023-03-21 21:24:00,1438,2762,1158452,7187,438,6224,0.233,223,800674,2571,8258,0
2023-03-21 21:25:00,1494,2798,1393121,8257,455,6271,0,223,974182,2626,20768,0
2023-03-21 21:26:00,1494,2798,1393121,8257,455,6271,0,223,974182,2626,20768,0
2023-03-21 21:27:00,1494,2798,1393121,8257,455,6271,0,223,974182,2626,20768,0
2023-03-21 21:28:00,1494,2798,1393121,8257,455,6271,0,223,974182,2626,20768,0
2023-03-21 21:29:00,1494,2798,1393121,8257,455,6271,0,223,974182,2626,20768,0
2023-03-21 21:30:00,1353,2732,1190388,7226,445,6020,0.233,223,816742,2636,8254,0
2023-03-21 21:31:00,1353,2732,1190388,7226,445,6020,0.233,223,816742,2636,8254,0
2023-03-21 21:32:00,1353,2732,1190388,7226,445,6020,0.233,223,816742,2636,8254,0
2023-03-21 21:33:00,1353,2732,1190388,7226,445,6020,0.233,223,816742,2636,8254,0
2023-03-21 21:34:00,1353,2732,1190388,7226,445,6020,0.233,223,816742,2636,8254,0
2023-03-21 21:35:00,1454,2763,1292601,7310,447,5884,0,223,904068,2618,20171,0
2023-03-21 21:36:00,1454,2763,1292601,7310,447,5884,0,223,904068,2618,20171,0
