"Time","failure","success","failure","success","failure","success"
2023-03-13 12:00:00,,0.0000593,,0.0000371,,0.0000358
2023-03-13 12:02:00,,0.0000436,,0.0000534,,0.0000342
2023-03-13 12:04:00,,0.0000456,,0.0000455,,0.0000340
2023-03-13 12:06:00,,0.0000374,,0.0000358,,0.0000352
2023-03-13 12:08:00,,0.0000657,,0.0000449,,0.0000438
2023-03-13 12:10:00,,0.0000469,,0.0000457,,0.0000435
2023-03-13 12:12:00,,0.0000487,,0.0000384,,0.0000350
2023-03-13 12:14:00,,0.0000379,,0.0000351,,0.0000341
2023-03-13 12:16:00,,0.0000534,,0.0000426,,0.0000424
2023-03-13 12:18:00,,0.0000405,,0.0000379,,0.0000348
2023-03-13 12:20:00,,0.0000382,,0.0000365,,0.0000345
2023-03-13 12:22:00,,0.0000625,,0.0000527,,0.0000429
2023-03-13 12:24:00,,0.0000395,,0.0000460,,0.0000346
2023-03-13 12:26:00,,0.0000527,,0.0000420,,0.0000416
2023-03-13 12:28:00,,0.0000475,,0.0000460,,0.0000360
2023-03-13 12:30:00,,0.0000481,,0.0000372,,0.0000341
2023-03-13 12:32:00,,0.0000532,,0.0000387,,0.0000352
2023-03-13 12:34:00,,0.0000429,,0.0000441,,0.0000343
2023-03-13 12:36:00,,0.0000461,,0.0000445,,0.0000358
2023-03-13 12:38:00,,0.0000399,,0.0000438,,0.0000350
2023-03-13 12:40:00,,0.0000485,,0.0000438,,0.0000343
2023-03-13 12:42:00,,0.0000407,,0.0000393,,0.0000431
2023-03-13 12:44:00,,0.0000552,,0.0000459,,0.0000340
2023-03-13 12:46:00,,0.0000626,,0.0000440,,0.0000419
2023-03-13 12:48:00,,0.0000383,,0.0000373,,0.0000354
2023-03-13 12:50:00,,0.0000463,,0.0000450,,0.0000344
2023-03-13 12:52:00,,0.0000515,,0.0000475,,0.0000444
2023-03-13 12:54:00,,0.0000498,,0.0000426,,0.0000332
2023-03-13 12:56:00,,0.0000452,,0.0000366,,0.0000435
2023-03-13 12:58:00,,0.0000395,,0.0000528,,0.0000352
2023-03-13 13:00:00,,0.0000495,,0.0000479,,0.0000364
2023-03-13 13:02:00,,0.0000494,,0.0000474,,0.0000359
2023-03-13 13:04:00,,0.0000394,,0.0000453,,0.0000423
2023-03-13 13:06:00,,0.0000558,,0.0000441,,0.0000364
2023-03-13 13:08:00,,0.0000576,,0.0000441,,0.0000362
2023-03-13 13:10:00,,0.0000391,,0.0000457,,0.0000360
2023-03-13 13:12:00,,0.0000506,,0.0000456,,0.0000432
2023-03-13 13:14:00,,0.0000398,,0.0000430,,0.0000341
2023-03-13 13:16:00,,0.0000455,,0.0000448,,0.0000363
2023-03-13 13:18:00,,0.0000472,,0.0000367,,0.0000347
2023-03-13 13:20:00,,0.0000498,,0.0000376,,0.0000438
2023-03-13 13:22:00,,0.0000570,,0.0000472,,0.0000411
2023-03-13 13:24:00,,0.0000462,,0.0000443,,0.0000338
2023-03-13 13:26:00,,0.0000371,,0.0000350,,0.0000359
2023-03-13 13:28:00,,0.0000565,,0.0000444,,0.0000347
2023-03-13 13:30:00,,0.0000379,,0.0000388,,0.0000361
2023-03-13 13:32:00,,0.0000525,,0.0000534,,0.0000357
2023-03-13 13:34:00,,0.0000544,,0.0000438,,0.0000344
2023-03-13 13:36:00,,0.0000461,,0.0000438,,0.0000365
2023-03-13 13:38:00,,0.0000556,,0.0000453,,0.0000352
2023-03-13 13:40:00,,0.0000477,,0.0000382,,0.0000366
2023-03-13 13:42:00,,0.0000491,,0.0000470,,0.0000356
2023-03-13 13:44:00,,0.0000484,,0.0000456,,0.0000396
2023-03-13 13:46:00,,0.0000386,,0.0000354,,0.0000351
2023-03-13 13:48:00,,0.0000386,,0.0000354,,0.0000419
2023-03-13 13:50:00,,0.0000472,,0.0000486,,0.0000370
2023-03-13 13:52:00,,0.0000465,,0.0000476,,0.0000416
2023-03-13 13:54:00,,0.0000480,,0.0000427,,0.0000337
2023-03-13 13:56:00,,0.0000380,,0.0000431,,0.0000408
2023-03-13 13:58:00,,0.0000385,,0.0000444,,0.0000424
2023-03-13 14:00:00,,0.0000408,,0.0000472,,0.0000361
2023-03-13 14:02:00,,0.0000529,,0.0000378,,0.0000363
2023-03-13 14:04:00,,0.0000455,,0.0000361,,0.0000351
2023-03-13 14:06:00,,0.0000377,,0.0000444,,0.0000366
2023-03-13 14:08:00,,0.0000380,,0.0000442,,0.0000442
2023-03-13 14:10:00,,0.0000446,,0.0000463,,0.0000363
2023-03-13 14:12:00,,0.0000416,,0.0000377,,0.0000423
2023-03-13 14:14:00,,0.0000471,,0.0000372,,0.0000435
